pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20
0,-291.2765076,337.83175,168.6301721,-58.45494075,-688.4112224,449.9759923,120.1815626,831.3858498,56.17753673,-170.7793026,-281.9476169,-316.3029916,-233.9140137,-203.0098373,-167.2212941,88.26359766,-358.2726919,-403.1535506,-214.3133942,23.21649446
0,-104.9416805,-62.72357507,1179.924857,524.9757933,363.6369357,-244.235533,497.7033813,-335.0664576,-709.5633974,-44.61927281,-174.2867823,323.1475256,-349.6967491,366.4151923,-107.8051668,-141.4307916,-160.6550112,209.9271066,590.7178362,-36.08142843
0,-680.3307065,-153.2649719,1040.695178,-284.6222581,110.4022027,50.70883645,-57.02195685,-315.6521627,179.1066472,115.7622966,126.4060675,280.7274026,-149.1850626,-445.0298841,-94.30337877,-70.93186802,-98.31868788,-156.9242786,214.3792643,-17.66427344
0,521.9583268,909.6777992,42.18592224,815.6599509,-355.0470632,-365.0424188,618.0382384,-415.3829406,78.0984933,-671.2265726,27.56186618,-19.46464929,-77.4298873,120.2519834,-256.1010446,2.659644983,-209.7417307,-401.0277446,201.6155116,-25.27921042
0.007,1059.110014,312.9732736,251.5137912,-714.8440868,-406.4030752,-445.9159543,-140.2956595,430.210479,0.868676557,62.88056563,-108.8218868,286.6697697,-43.74502529,-140.2031963,422.5628651,-445.7588505,-238.2710992,-170.5656296,207.8634117,152.985071
0,-789.68811,-25.53600238,854.4722793,-176.5424467,225.0811697,165.5679946,-133.9943501,-480.4553712,161.2305485,92.03352639,-36.25242363,276.3991596,-212.9685611,-537.3176176,-90.8104765,-30.22900849,-15.29592789,-218.2757831,230.2442977,11.37472462
0.001,11.74211194,-191.3335769,125.4283875,129.2850592,-466.9337343,793.3952474,-238.0912788,734.2476322,-138.4576324,103.9837263,-41.46950341,638.0330059,80.98619056,368.0245479,238.4822348,-290.7701953,395.0734742,130.8141495,-125.8713865,55.84900223
0.007,496.0193521,524.8765094,193.9543893,-379.10463,-505.7516996,-322.0502329,279.3999332,-595.5347463,-143.5346785,594.5650072,-146.577613,107.4384374,-699.1215723,-184.7371274,39.41975657,-20.07756824,699.8058207,119.9770534,384.9496311,-233.669902
0,813.5824407,770.0259319,1052.311193,757.9237916,-740.1562168,-280.8410594,175.3604846,-324.3968084,-217.9849166,-86.78973485,723.5377946,930.1606244,-40.46142937,-214.2357133,-115.0300738,-346.5760084,242.4204132,-171.0159271,-420.8839402,151.8157432
0,575.0979645,365.7415124,601.5046871,174.0716121,-71.45843269,382.6665815,206.9599671,-262.7392227,-33.94019455,-111.4374537,323.0632587,1233.922883,37.66707628,-148.2323741,153.5549478,178.9049954,-123.0326332,-41.38870305,563.8115939,90.43248481
0,789.3411566,813.9019972,352.8640266,439.8409469,-455.7953443,-196.1103009,196.2110304,-511.9185185,-129.7033045,-788.7183325,566.9207936,76.306808,597.2183616,-27.09308032,-175.486938,-406.1111867,217.3359783,146.7096356,-165.4241151,-42.48510172
0,-817.239699,-382.574905,636.5494331,146.2001002,-139.5207246,203.179532,410.9211368,-372.1649763,162.8876705,434.4128796,-33.8890081,76.54053884,-304.5467726,-207.1276232,248.6705219,-221.2120175,-102.8115382,-140.7502761,178.9485,91.7370065
0,214.0170174,-275.2748128,1096.105792,690.2068532,-188.5907629,-31.10210108,-24.04875734,-77.24009039,-241.0849219,-537.9332393,391.9333036,388.4094254,64.23114237,250.8639953,26.53695537,-475.8733398,-503.1340275,27.15312269,-533.1838146,299.4984333
0,242.2190563,182.6585354,148.5016123,346.5987497,-732.6584,433.4794394,478.5130447,602.2482695,-58.32467236,-95.18745155,-432.2825794,-490.5223621,-95.36564633,-293.5992325,-379.7715962,171.5742032,-444.1286484,-550.393036,14.13553551,-26.16473589
0,316.2112885,-231.7155619,937.2098996,641.3919051,617.052598,520.5123325,547.429934,-26.17060103,-31.42622502,-348.7336333,-227.1928698,86.48232144,335.2858005,817.3092655,451.4692154,293.4336384,-342.6781061,267.5838829,-87.1967279,-372.983074
