pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_300,f_301,f_302,f_303,f_304,f_305,f_306,f_307,f_308,f_309,f_310,f_311,f_312,f_313,f_314,f_315,f_316,f_317,f_318,f_319,f_320,f_321,f_322,f_323,f_324,f_325,f_326,f_327,f_328,f_329,f_330,f_331,f_332,f_333,f_334,f_335,f_336,f_337,f_338,f_339,f_340,f_341,f_342,f_343,f_344,f_345,f_346,f_347,f_348,f_349,f_350
0,-291.2765076,337.8317507,168.6302106,-58.4549555,-688.4111399,449.9753719,120.1814578,831.3844591,56.16769133,-170.7706943,-281.9563628,-316.2738699,-233.9769149,-202.9185729,-167.146291,88.42835111,-357.4944988,-403.4490924,-213.7708078,19.50382429,155.1401365,116.4345472,-271.585407,2.018806593,71.0214711,341.9463626,89.83547365,50.05285168,199.6655602,-218.4740088,93.24928373,90.62349101,-127.2295257,-174.5887251,126.7706945,56.82535786,-11.3220441,-0.713373642,-215.8782258,-81.17445638,-95.18879476,-43.66210977,-53.7778424,-19.13869331,116.6095795,-123.8814132,164.8651997,7.735603437,71.4582769,-262.8725706,-172.3601026,109.7139167,49.91729757,165.6497366,-40.88403035,34.94520988,152.2237249,129.516579,92.85501304,35.0715169,51.9119336,-247.681428,-55.23167797,-179.3749632,-23.12825489,-102.6249441,214.1585076,128.1413733,-12.17198633,89.09931365,-265.2727828,17.57351653,25.36620778,-19.26686592,-37.82575965,-77.55417228,84.12540046,-89.31367621,-92.15251574,73.04502437,44.57566595,40.43917654,-162.6128742,93.65108526,51.7620374,33.77156448,48.99493675,54.43605,-59.08539017,99.52826548,-79.60757955,-3.76429716,50.67332798,-6.862777403,0.472648594,-59.06900025,29.44932266,-29.66698802,42.47021058,106.513925,-65.09483001,-67.7746759,80.48190491,-68.20485908,50.6381088,70.59361813,46.0448208,47.21371087,44.10973408,-34.26371549,3.173552931,27.79704057,17.80107583,-124.9677325,98.53913166,-25.23882969,-75.19418365,-51.11920735,125.1528384,7.149452579,29.5433889,15.65917831,18.1615225,-3.387856929,187.8893293,26.22559522,-51.09597117,-17.83044984,3.152416646,79.79423946,-36.55876228,-154.6930084,-90.68377451,244.3770578,66.25368063,21.50348593,10.55529948,-125.801785,27.39084454,5.936441695,-29.57000513,133.5441616,-76.07845576,130.2646047,-84.05648237,-34.76133534,-63.33135271,-62.78164703,-8.977639753,132.1445052,10.61958521,28.71959652,49.0982748,-14.59691632,4.96676465,14.14205215,-6.702801623,-17.29359104,28.42974156,11.59535226,-0.778601743,-11.77595174,-6.47236989,6.828472862,-27.39656902,1.997476567,-17.67815656,1.5230223,-17.14677653,16.04236592,29.37964839,-6.11267673,-22.21190638,12.70538129,-2.295870349,14.2477135,25.53106829,-18.15593259,-3.239819037,-11.76246738,5.768351487,1.752347156,-10.48889416,4.094722685,-11.62617834,16.07124157,-0.871251574,15.70033412,2.743402032,-2.378011071,-4.105466759,-2.303222525,7.62627531,-10.33004688,-6.424056842,-2.974485039,-0.035464848,9.335602996,4.115763031,-9.049251393,-0.667395244
0,-104.9416806,-62.72357324,1179.924819,524.9758607,363.636892,-244.2356351,497.7044693,-335.0646707,-709.5725929,-44.60327397,-174.2189618,323.2207129,-349.6566424,366.1122992,-107.8843522,-139.923749,-161.5572852,209.5377731,591.1519356,-36.14402977,667.277452,-112.4233107,-413.9570071,-363.6093144,-209.9901969,694.3144273,-340.8080847,-288.578912,204.0166784,-32.96187564,337.6700845,-343.4294214,-149.2967699,43.13912739,-12.67780075,182.9907914,36.68988347,120.0777528,-127.2428853,-38.60270627,57.82421953,-189.8861226,-66.88943052,-94.45866732,121.4654843,174.0382032,258.9760075,69.61048745,345.5229337,132.5382225,74.20315152,-70.23845307,157.8833208,-179.8659664,-107.748229,-12.21790213,164.3714058,117.2730787,-170.4305837,159.4663424,198.5373299,226.1709373,-53.53974932,340.9860013,40.23522431,-56.85518778,115.7102818,99.20096536,-82.6203775,200.3698728,-23.28027219,65.77801367,-14.91034122,14.67011792,-59.61254045,-168.2116518,14.85612805,-167.7526853,58.81295553,-74.23421718,-4.141467164,104.7128091,74.91479933,-246.8843918,-205.4717084,-15.67731395,-32.69209311,164.0552584,-55.05183672,-29.25512442,-232.3837612,-30.60840109,104.9757226,100.801924,-13.77297574,34.12913117,-27.49983281,140.6015054,124.6758775,-62.95264469,47.09994755,-222.0544856,-37.54883876,0.398894368,127.5932678,136.2054743,-94.18117241,133.2066119,26.64024679,114.5369367,-130.6119921,-101.916073,-107.4434657,72.15810317,1.717265174,136.2337259,13.71813848,-80.1301176,79.80053934,16.37872742,-121.4538341,-73.84711676,22.49788318,94.92622563,-92.1281848,1.970059205,-84.90965746,-139.2906354,-107.2332527,90.19854113,-25.49163171,2.399767138,63.124856,-48.48055702,-87.9298395,15.59708447,-4.80128335,154.7363185,32.66722116,-67.39217143,-6.839591476,-4.128643117,41.56513117,195.3135537,-9.674293711,-150.9010808,-37.26102281,-50.73253367,-52.48886776,10.8542289,10.10254972,5.435562432,1.4789559,25.25852038,-3.145736529,6.276683951,-21.68670533,7.700001411,-17.78923523,-2.781943407,2.989816989,8.893854155,12.296316,-1.85867715,-1.961361834,-14.07508994,12.4207303,-0.064783113,10.20194436,9.683127066,-9.415008027,5.891544217,-2.044729646,-6.566450272,-7.16495437,-4.488619934,9.936300741,5.716221775,8.009225168,1.238809782,-0.572892608,3.845106597,7.897254511,-3.651184601,-3.527614784,-0.052019406,2.459684144,7.39170449,-0.849893735,-3.777581241,0.178480201,-2.534152827,-1.682951952,4.898964375,-9.759779855,-1.650128034,-5.285757622,4.232273113,2.356609673,0.531572417,5.090672021
0,-680.3307066,-153.2649716,1040.695172,-284.6222568,110.4022089,50.70887206,-57.02175318,-315.6511608,179.1039715,115.7670664,126.4088279,280.6916604,-149.1692282,-445.0661429,-94.49577205,-70.48866087,-98.55921906,-156.9992337,215.5251461,-16.99250651,-31.4931327,-244.6822544,184.6149507,77.71390597,160.3374687,101.5013145,313.8966345,94.31848894,237.9691438,-148.6463667,8.15043321,48.56312088,-81.76208991,106.91422,118.5365334,-289.9725184,-96.32191227,-13.18376875,-117.5445579,63.11440618,17.31757874,333.724883,-62.44696821,12.01241186,7.527913411,62.04900889,-87.18951819,111.1601598,-174.0001155,34.5659748,25.36393995,126.5556914,7.654637781,-89.92408108,-191.987622,-16.19516088,63.08366809,17.13732521,100.5665416,-64.12147327,15.93717102,-3.289296554,-119.6445602,-70.81315753,112.6847242,-106.0461261,-61.68052528,106.6710479,60.12477418,-103.3926893,-17.63606616,-76.63831128,22.32571612,-55.19107241,-70.1409416,26.59352765,34.46863967,20.5856529,101.8445719,-107.1425484,-21.30881308,-54.30107761,-37.50684627,4.130602055,5.879767623,80.0119929,-31.61351793,-112.9863246,-46.25542827,-68.19478845,-5.99430204,10.97007113,171.2996034,36.90707517,70.71594124,53.70127196,38.61945971,7.353335828,-33.41679065,105.3969121,64.6256327,-49.3627554,-123.5665413,21.46966627,23.1880934,105.6120226,71.43322673,74.05977835,-74.85258641,-167.1301888,86.36750245,-26.37145294,-114.3007701,-18.73601851,-48.01319428,-72.74445684,-17.56230318,-20.45485995,-121.1719198,-31.40324001,3.283492555,-82.18727102,-33.55273002,-12.19295681,18.39955341,-17.13855301,-26.81546289,-38.97057799,2.795389296,-11.26143818,39.1744929,-32.41016126,-75.38250161,31.0682289,12.47957437,-54.2439699,-35.93632731,-0.530176306,76.15011729,16.23267805,2.318415443,50.50242261,57.42113492,-33.58796883,15.83632768,46.02668852,-43.35541409,29.91040704,-100.2703935,14.13933375,13.31387801,20.42708245,5.477956637,16.70988724,-4.477669786,-34.35520935,40.00880075,49.5070294,7.140185449,28.5957339,12.66948676,-9.437881928,-35.91825789,13.30546781,8.416627046,10.2576516,-7.391931705,-21.32274283,35.03893671,11.39062777,-0.619895252,-29.32362085,-3.633912973,4.007597209,6.57590481,3.431662668,14.76332496,13.56614646,17.55100926,-11.2369566,0.136674386,13.66913137,-20.27512358,-11.66818399,19.44605406,-3.314340173,-1.899545957,-5.477551683,30.97820123,-19.65094246,9.175022502,-6.279729739,-1.77464275,34.692951,-6.032157831,-7.130613915,-7.529200665,1.990000316,10.08261588,-12.78902861,16.9252089
0,521.9583269,909.6777982,42.1858993,815.6599571,-355.0469805,-365.0417302,618.0371615,-415.3796217,78.10884444,-671.2287491,27.57697083,-19.45091563,-77.37985371,120.1639833,-255.9470559,3.815492173,-209.8996232,-400.6531434,201.1235186,-24.56009263,487.7437008,-258.9826178,-401.6344788,-268.4404296,-287.52205,-422.9326292,198.2138816,94.35060782,-223.8879407,86.12055434,-84.90989949,-39.78632901,-84.65323407,164.1815195,199.6542611,43.89388073,-246.6470966,76.03281903,-93.47441762,-31.35208851,204.2812405,5.850633532,-37.89461328,164.947709,-13.10430498,-186.7967951,252.0751168,-18.5976356,1.931834106,-26.82137433,-39.94474512,155.6879719,-127.4493675,48.03727672,129.2484856,-122.314399,-87.81264575,-62.49045462,-35.94022311,-232.9668814,181.5120049,130.0811809,-24.32459744,5.312398691,213.3341133,83.78333647,-244.8793802,55.81330532,-115.1898615,38.06398324,-7.309599592,54.41320707,37.45072911,-63.58014854,-21.81516237,136.7297813,99.03244064,9.325818556,36.93426435,-4.190848632,93.07824373,151.7495662,-64.14771611,28.39517137,-115.3277984,93.27088089,-25.66413906,128.2123893,103.8405932,22.44706622,54.11462502,262.3566212,-14.57084688,-17.00412097,81.74301682,-16.18162223,79.24162694,90.75836796,40.9093583,-160.215769,-84.29141268,-38.72167314,176.1698985,11.79549736,-28.87471024,-57.94961065,-61.891537,-8.382342428,-19.24300672,84.936031,80.01356391,-25.72394673,56.13728306,-75.40670283,-35.041276,-21.32643774,-10.729511,-43.72293225,22.4691953,-85.49783769,25.21756417,39.72327566,-24.83954176,41.51593008,-56.93383371,44.77294437,-110.4354236,44.2764435,-40.63299259,19.41249554,1.488895293,-133.5375058,7.103211402,43.88750093,44.73873584,89.31823648,120.9479025,-73.35873992,69.59108887,67.43413388,34.33409066,-58.59742014,-41.73687272,39.94169646,-5.065577131,-10.41521806,23.45042693,11.26111723,-35.1488882,-1.801832089,5.011409242,17.96656433,-30.20549649,-14.91251512,39.02111998,-21.2053216,9.613029043,25.27846803,7.987450245,-37.87911161,-11.50056828,-31.04909561,-8.878842504,-5.877215867,-26.01254138,-21.63790261,0.002976662,4.98461854,-14.74732572,-9.074008955,11.80020306,-14.90858553,2.624416245,5.783456704,5.08806224,-1.593600097,-6.400335167,18.90855422,2.339235632,10.50056769,8.549724951,-2.199350074,-3.134985437,-9.220912757,-10.00256063,-5.469990736,-7.885925873,1.333025551,-0.508300679,-7.816622038,0.086832793,-1.69852572,18.73278374,-3.010732784,-4.374331794,3.959757071,8.57666764,-8.619835345,0.66402069,0.85166372,-5.469475087
0.007,1059.110013,312.9732743,251.5137839,-714.8440738,-406.4031007,-445.9161613,-140.2948667,430.2097036,0.863235053,62.88424146,-108.8123559,286.6773977,-43.75097228,-140.2548017,422.4182937,-444.7397265,-239.9221395,-170.7602501,208.3515171,154.3650035,-124.3947937,166.1606238,135.4179453,-81.02763579,75.97821839,59.40142583,-9.871524767,-137.159003,-81.47326671,-107.6765007,135.0419639,-39.60329891,-95.38706414,-140.6555668,-235.1405558,-214.3689204,198.8917587,16.16836589,-120.1057025,185.1278614,31.61920656,-95.65474029,-199.0486877,35.2911623,-127.2315338,3.357912457,36.38963913,138.1994979,-53.93835744,24.03916386,-89.66730916,-162.7455107,83.36438969,-58.09823796,4.792470053,-95.00607354,-12.13168465,55.68620362,72.82533931,9.201198162,146.1355288,-177.6550269,113.5807241,15.81187288,-30.71519233,25.4241311,-78.61781822,39.70182822,136.32791,58.60221855,90.17903343,42.56880423,-253.2097317,161.0883694,66.30419487,131.1307275,6.120117934,-14.4798796,-20.23253243,-5.373513319,101.5179857,-27.67776985,-183.7768938,-66.17836175,196.8016581,-106.0716329,-14.63471084,84.4924116,-136.6302743,108.7299397,-32.96766969,-3.158905747,-45.86315087,-65.89489469,65.30472906,-29.63327391,-46.71987335,70.3923105,-73.07406094,-49.11416022,-14.57175783,-0.835429964,12.18344973,73.76630425,31.51847411,7.163321393,-19.95041999,4.687895154,-10.7307798,-11.13116076,68.29077862,-33.7983203,-0.402738222,106.8654638,53.63681031,-90.36694213,101.0211125,-85.29069223,-11.58210229,32.50366224,49.54078542,31.03469446,-46.79131908,-64.37516611,10.34974442,-88.09570102,41.93376754,-24.29073581,-30.57450303,-21.23960562,-78.73680895,-74.45147518,-45.04199734,60.53984168,71.14232168,-39.69795954,153.9301254,16.63312295,8.595262455,-69.9624509,45.37538584,-70.2860166,83.27381105,-10.42753715,62.12146809,15.07484236,-59.19100362,-35.14347701,-50.27899513,16.1873971,-5.151749893,-17.15945855,-12.13789278,-22.77002241,-4.362662644,-0.283884055,22.272642,14.11873967,1.891195775,-11.14123896,25.22710884,-7.30567651,6.677260997,5.394289156,-11.73160277,-12.33754335,14.09854965,-3.574379967,-25.1423497,-0.406439404,2.827910622,1.604905985,2.796925298,-16.82014918,-9.538810413,16.64056897,-3.598982006,11.38044906,11.93620605,13.41928977,-14.36956851,-11.20561096,2.207289602,9.043584097,5.443719498,-8.089054294,1.080637954,-10.70185965,-16.15268671,-20.14915328,-10.39518072,3.733997281,14.99971881,10.34677718,-11.38933866,-21.40071791,6.703060706,28.76518072,-2.189317347,-3.531266303,1.640739623
0,-789.6881101,-25.53600279,854.4722998,-176.5424793,225.0811919,165.567924,-133.9940244,-480.4553789,161.2254407,92.0328529,-36.26741998,276.3334525,-213.0011891,-537.2100331,-91.15429693,-30.81595597,-15.09391582,-218.3137551,231.8389844,9.751136595,-146.7332887,-232.3858877,163.6484645,178.8366702,177.9847818,162.6844549,178.7155974,106.9093096,262.2644111,-122.3361886,-131.9942825,85.00236883,-183.3805465,60.68741339,128.1856356,-240.445897,17.64883921,73.31331779,-89.91760951,91.85133215,-68.20596718,388.9813803,3.720509704,-47.32190808,57.65251027,23.64561917,-25.54268936,67.58201889,-141.1227015,107.9592231,10.57882205,192.4221297,-38.76598122,-91.21507795,-55.40949986,-52.9037401,105.7535539,57.51171163,82.40883668,-48.00376859,-10.13747757,-40.88231827,24.49670367,35.42343715,108.154447,-43.88694689,-24.74877962,-55.02029136,65.02035782,-104.2184038,-21.2778977,-0.621818311,-64.09500681,-53.51705143,-75.04497854,19.68512212,-36.18597135,-22.30983145,128.6227409,-113.1722714,-4.071864176,-52.30634171,92.56656277,130.6813782,65.05576406,-29.50437529,-32.93159141,-36.74852043,81.86555734,-17.99177296,20.48988314,-5.931373644,-39.99887245,14.45428309,7.515378736,46.38800723,28.65917511,47.79895419,54.60276432,-0.351369884,3.044195294,2.851760745,0.274151207,40.84238138,-11.40308567,-31.93962891,72.47527189,69.86093871,30.9884777,-104.0523885,45.83401394,-59.33064559,60.9237142,-29.62928756,-27.17197577,11.01095701,37.54615201,-79.65773756,-31.87500918,72.08234819,11.28200973,-115.6564308,-44.51115816,26.8227088,67.54149192,0.105463608,-88.3616909,76.85667339,60.88617687,-31.57231506,20.63392199,-28.38958466,-8.260194293,-4.120691169,-24.67822946,-53.53716417,-28.11822015,-46.67736566,19.55577078,-76.17380047,-95.40730989,-35.89623397,-0.664983549,146.826158,22.36399632,-104.4395738,31.77123178,73.23594729,-85.43701525,-45.34216698,-15.24710922,4.266941135,6.549353648,4.997278386,-4.771098623,14.10711482,-14.28946052,-15.65676216,32.39861289,-22.21916692,16.16423147,5.918177266,21.94058209,-9.265897222,-11.47236776,-43.74630284,-3.083884824,-11.54015338,-9.040978141,3.117797131,-12.38771424,47.05584669,22.37599547,-7.086980409,-1.944843429,-38.7980323,-8.627887501,-17.37389911,-9.183362384,8.205275084,14.98911098,-17.20768244,12.89620155,-0.310964805,-1.913550935,2.327445562,-4.776974411,12.10598155,-8.698392371,-9.204749293,1.329577422,3.394546891,5.305920595,-10.08632974,6.162668419,-6.843787249,-4.006068821,5.678288045,2.066362793,7.764058299,-9.922396531
0.001,11.7421118,-191.333575,125.4284252,129.2850577,-466.9337765,793.3941276,-238.0905388,734.2435783,-138.4725658,103.9936302,-41.48926368,638.0414328,80.89519903,368.1336856,238.514213,-293.0523043,394.4978868,130.2879457,-125.5085522,49.26410905,240.127281,316.5825913,319.4502777,5.648952746,336.4463334,231.9034099,50.89539355,-12.98152032,-95.05711653,-236.1805822,175.2707137,-18.8543014,123.8181413,-77.06103362,-126.6635192,76.17659773,48.72112501,-180.2533741,78.79558218,-187.1244018,-3.428125665,-48.17538661,-105.7367211,129.0291321,29.98274062,-63.22939226,-103.4407427,47.29412244,-128.9439692,98.37622857,-76.75595877,-115.7777225,107.0401053,9.322119968,195.6725152,78.98238607,-77.48111149,174.0083435,73.73169741,76.45690372,197.7160468,62.97322158,-102.5886295,151.7007078,56.14197321,-107.3325075,-179.248014,-59.37254423,-110.5519811,-39.8511644,185.6265884,-137.4019614,210.3335359,-26.45348346,-113.9571312,105.222776,138.6518469,7.938131954,91.07933626,8.433774243,-9.358021904,53.89219282,-158.3580646,-4.001020315,147.6537799,-11.94923222,-152.6915225,-77.05220768,-62.46485569,164.110292,94.69083139,-31.00462295,-123.6637426,-101.2727586,-125.1498228,-70.17782675,72.42766614,-9.861845073,16.39468949,11.70797411,17.01931239,51.85285099,5.528258387,75.19451623,38.28420813,-139.6448387,0.985032668,90.91532838,38.40915666,1.913604564,21.41997451,-86.78652207,95.48641525,66.91996471,-50.14894454,-45.77242044,-43.99319759,-2.144576395,-165.2879849,-1.645505813,-90.08888251,16.50096109,-17.82015635,15.99021237,-18.60465792,-40.59312451,-31.77559615,-6.240326156,79.65771951,58.56389338,-61.81437392,33.36248673,-53.18520938,26.26021394,-45.81438477,-25.20183706,26.28346189,24.85405093,-60.35925459,27.92285867,-97.52634794,-18.02432927,11.87552078,78.93187199,-0.163612665,-41.74428395,51.83673014,3.830850151,-11.02564672,37.38481445,16.76865111,-24.11688585,2.720939062,28.85989395,13.59028137,4.603535475,-25.34777855,-16.87867601,17.8855672,-16.56128439,15.91810876,-16.86560423,-15.11388325,-3.598449633,1.47803904,8.391622471,-3.999829006,-9.390783376,-6.844075157,34.11278395,5.047527155,-8.163933126,-7.638429983,8.983149308,-4.069317324,-20.28955828,-1.199064529,-16.63684241,4.227785587,27.40460346,11.49739358,15.52266453,-23.02579027,-7.124082611,-17.08494897,-5.179717511,-1.240843587,8.740829376,6.041524651,0.681412957,-21.88007576,-1.758911418,-5.212543568,9.033678775,12.12798562,10.33989175,-12.89666741,-8.710512538,8.371558433,8.30923599,10.65152757
0.007,496.0193518,524.8765137,193.9543635,-379.1045422,-505.7518961,-322.0513132,279.4024478,-595.538883,-143.5544076,594.5885684,-146.5499344,107.4420662,-699.1275903,-184.9707746,39.05661823,-21.59056734,699.2750323,119.2284186,386.6996825,-230.5542274,-84.7211768,246.9054444,47.39875656,-25.35311073,96.44888824,22.43689722,-31.6727362,-268.4652741,129.4792363,-533.2977572,222.9108756,-253.1031449,121.1187281,159.3335784,-178.8624067,-399.1313139,-132.7661599,-14.64407965,359.4692377,298.8134878,15.99320315,-106.5380454,27.30505084,251.8519452,194.1989627,-89.84016974,-91.26773365,307.2877756,150.6875313,29.08333173,349.0980885,63.75789728,-281.648601,-254.6414604,69.68067534,174.5828561,-135.9579438,408.1106846,20.60561171,-14.68581284,7.11903734,36.49847768,-72.20311647,-156.2529594,-45.72466342,20.69909889,86.71558238,-88.89359074,59.90620348,-207.4152744,59.10068109,29.98947805,142.8063402,-77.64894027,51.96655358,-15.34592548,177.8609323,43.98870457,-166.9283088,-47.53745099,23.43538034,-33.92836104,-68.67216738,142.5572418,-140.3301598,-35.11508834,-109.2744514,12.93257958,-31.75531665,-22.50709783,114.8441479,43.99179485,-134.6263005,-62.73221016,-135.6615334,-141.8331843,-86.80391992,-99.02418153,-86.65253873,40.23932462,-25.91978862,-24.72397064,29.32723404,-97.63582771,-106.5404495,27.19235419,65.24567592,-4.179398553,276.9135869,-74.49629352,-139.2017839,-30.23932419,-50.33281969,-37.72202802,-143.49308,-8.578465734,148.5509447,-55.5559061,50.52091339,-80.04538543,-90.58612783,50.22481269,-49.14872726,-59.76540322,106.3740019,-45.80763056,-64.28002995,56.24446586,-35.07281071,11.31592489,-14.21662085,-77.3505084,-20.2618072,-130.8761746,45.59479254,80.73913987,-8.029218006,-92.5223211,43.10205549,114.164072,104.5417001,-48.47019571,-86.32930963,75.99670941,-11.9554064,12.07832211,68.74324275,-61.70603003,27.77729212,26.31657124,6.540971068,19.97998571,9.360007498,-28.75773925,1.9705757,6.514631612,-34.75054454,-1.540687661,5.215201337,19.19497571,-13.70014135,7.202604,20.92749293,-0.708122386,-8.733313299,6.233052199,-10.56587183,-18.98790784,-0.758237201,17.74340581,9.547605516,11.67466104,-5.247202682,18.89170429,-10.823098,2.991848789,-0.7759655,16.99269922,1.39424109,-4.495709531,-17.89343194,3.805841794,-13.43570396,15.32700873,2.71485994,17.80617456,1.079728906,-19.09756033,24.84559125,-1.262177774,-8.899256617,0.540826458,-7.946670276,2.768796016,2.771126105,-12.85792507,1.107146706,-2.820554345,1.543552814,6.479393248,3.758558572
0,813.5824405,770.025933,1052.311251,757.9237686,-740.156239,-280.8420682,175.3605821,-324.4018436,-217.996435,-86.78035556,723.4874762,930.1336537,-40.5600004,-213.9660752,-114.8896942,-348.5932706,241.8619617,-171.2397289,-420.4323798,145.2488748,122.753845,187.8926789,-43.33252506,-224.9485189,-248.0300467,237.2624298,-307.3890265,-123.82672,-204.7746603,-23.31458185,10.84185895,155.8282444,325.9835068,-68.03674466,94.69912533,-215.0100307,-145.2023948,-159.6433158,-111.0237238,-4.28101773,255.6633432,0.764532087,-109.8711061,-223.7882809,-7.647191264,66.1038314,32.33722969,271.8962415,-15.79157801,-184.1149995,-94.82912713,78.67729332,-1.218471484,152.1787298,2.459831487,-40.60338661,254.5006804,-59.65409942,53.9400776,-161.2618568,-193.4361707,-21.59302221,93.76333279,-113.6338116,150.886244,-33.95589877,83.29556022,18.32202694,8.452346106,-126.4034701,-151.8534779,30.57188202,44.73028494,-91.03488574,84.00455847,-47.56538662,-141.2573021,27.35356921,19.17072809,50.80460532,-218.1512937,78.0461449,55.04761994,-62.47226771,133.4137292,-169.9455017,104.4159122,72.27602468,25.42371305,55.84761117,4.818533332,-62.31688201,-166.2513017,-144.8219034,49.52416507,38.25204637,-12.84054255,-93.67524942,-26.64264975,126.4740326,-99.36731258,-55.0234776,36.63293301,-11.35915132,-53.21696794,78.21744479,-86.68061695,-112.6340191,-106.4434089,-26.96555729,-3.608172932,-68.57590779,-176.178192,-88.90997831,-53.51170073,-62.25540161,-78.09225771,-159.7503404,128.9426644,-118.0302954,-115.11248,169.574607,39.93473526,-57.00461221,-106.2381386,-13.87342171,256.1351542,55.23065767,112.0563187,11.48060231,-85.44566152,19.2374948,-16.39414818,186.6288565,-50.39545969,-51.43330066,-103.3881533,88.22638191,-72.4261794,87.99549488,38.29146223,-34.74596449,123.2603106,102.016467,74.70848185,75.91609362,-43.67291273,-68.07797,-36.4527535,-9.849583069,-13.26746515,-27.02072598,10.9971367,-1.54303514,-2.607835486,-1.232586202,-4.627480404,6.082142556,4.356033568,-8.663436199,19.68709004,18.88406049,18.00739692,8.612054827,16.94106393,-4.308106682,13.45560292,-3.849789947,-0.78919385,-6.647217533,-7.735884315,-12.85625641,35.63457121,-5.169586997,-8.191501774,-2.849991429,14.97323902,-7.860796674,10.17625245,26.24134322,16.75738071,15.84514237,-0.223065464,-8.437873734,-6.930278293,-16.90699316,10.40535136,-6.853665787,1.822535029,-5.323636666,0.745032895,5.956665846,-0.13837558,-3.099504394,-15.49408118,7.563894378,14.99449186,12.51718413,-5.813057091,-8.870343629,-1.650787663
0,575.0979645,365.7415127,601.5046583,174.0716494,-71.45849272,382.6666972,206.9595986,-262.7425533,-33.93211104,-111.4388275,323.0741504,1233.951721,37.70633668,-148.3978453,154.0506939,180.2493026,-123.1614731,-41.17325721,563.5158739,90.6570897,616.0741126,429.4612495,26.24892575,-418.8322929,-243.7461823,-50.01830994,-29.33440978,74.80392447,-33.47811553,243.8933335,309.4462992,305.5845713,293.5253811,171.7851063,-107.0169502,-110.5515279,98.53216078,131.3566906,-164.4437563,-159.1660095,82.05648621,62.0040645,-232.1172881,-318.3935458,177.6694892,-98.30200876,503.8810524,143.9521078,-139.2277645,252.6829074,-14.76137676,-49.47166439,-328.5396657,124.9179022,147.8475779,60.64250418,119.2109209,-266.4908803,-38.04758476,-241.6330839,-101.6622902,134.679339,87.72996423,-124.0749009,-103.7142369,-294.7382286,-69.41889628,-175.3339299,75.12565688,112.866837,329.9533968,107.0217072,148.7564877,-142.7866374,45.13337863,-28.78312729,-28.56875156,98.56522417,-252.3803873,113.99255,-7.553427852,84.9285016,59.00589307,1.845362709,13.81899156,160.7765532,-76.84207325,-127.9632011,-137.8941151,43.91417563,-190.8039162,-36.27465135,-34.94934081,-3.333318104,141.9045658,43.46353211,-40.17412502,-62.68898967,-2.407270103,2.814755037,43.92352591,-75.62467142,-51.43277613,24.37544558,-36.07543043,-0.902568289,-58.37257612,-204.6872729,-23.17997354,85.64731042,-37.80490378,-93.86928671,123.8212651,-17.33148663,-19.25649319,104.2710456,22.15379772,-14.57597133,-78.96048577,9.81865765,58.91830888,-12.85322412,-98.16403696,-67.96990005,12.01644888,-6.435978909,-165.9218196,8.49656893,-88.4287712,16.12094097,7.337694261,13.90702659,-37.71285505,-6.666723051,24.08128776,40.68637383,-47.31394716,81.00321113,97.81480456,6.650189299,6.195222653,-44.43185802,-86.5886613,-105.2904966,67.06377561,68.78779752,82.43509007,-49.63674953,-57.78758228,146.8290397,10.77028885,23.96204604,2.233018991,8.660994167,-5.011576268,17.48423168,0.840225664,19.75268005,6.824343786,4.205792392,10.1126417,-4.513847828,4.551495297,-6.744049643,10.84375701,4.976398292,8.371238682,5.554234853,-2.80077851,-10.12150262,9.520790287,10.50433579,-1.653734772,10.89983725,2.102038923,7.973900476,-11.66960822,14.11073956,4.681746295,-11.13020169,4.616346131,-20.49291965,-11.15412598,12.07576247,5.862842313,-1.099023484,1.29743386,4.454695117,2.968727098,-5.074963738,-2.256604071,-0.46329077,0.400340153,2.82370396,22.24901027,-2.489574583,-6.570560637,2.146095425,-3.645317982,8.702606303,-8.286807656
