pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50
0,-291.2765315,337.8318905,168.6290768,-58.45453867,-688.4117931,449.9681051,120.1875084,831.4032084,56.16984104,-170.7586642,-282.0184874,-316.2881488,-233.9598241,-202.9994122,-166.953268,88.43589331,-357.7416573,-403.0153061,-213.6919664,20.2619327,155.7286366,115.9097387,-271.3763007,4.159981249,71.75647477,344.4059689,89.90625112,58.59567888,197.3434273,-216.8803129,82.25903062,61.59747482,-123.9525781,-167.267419,136.3408759,68.94018647,19.82374718,23.51667507,-181.8091237,-32.62018127,-82.56030874,-16.32569599,10.93891717,9.45981567,111.3898083,-111.7413019,126.4078913,109.3311226,-112.6370311,47.18048594
0,-104.9416967,-62.72350718,1179.924525,524.9762196,363.6368025,-244.2373734,497.7057455,-335.0525118,-709.5804721,-44.58637186,-174.2641934,323.2045063,-349.6881343,366.0504832,-107.8236549,-139.8575584,-161.6735048,209.8123785,591.3730982,-35.70307823,667.4922758,-112.7514282,-414.0186882,-362.4583987,-210.5187555,696.0255491,-342.0210905,-284.2616718,203.0636755,-29.3259213,336.3150363,-358.8923089,-118.5931266,58.26684358,-13.42794367,188.2301298,48.27279248,134.1415279,-108.0122044,-22.07452996,63.8999767,-217.0289603,91.95022068,86.48959462,159.6750381,238.3591967,229.8374439,71.0054892,313.3269224,-58.56614501
0,-680.3307041,-153.2650019,1040.695479,-284.6228373,110.4022342,50.711312,-57.02203948,-315.6617702,179.1021193,115.762713,126.4552012,280.7297802,-149.1674492,-445.0199851,-94.53780864,-70.57610121,-98.46921147,-157.189646,215.4831619,-17.70195965,-32.00642815,-244.5136085,184.8380556,76.22238567,159.5583977,99.51382767,313.9015743,92.88306451,241.4009774,-151.7761051,14.6254924,45.45500232,-88.31162099,102.9119247,126.2722786,-292.0741495,-104.1110965,-17.03470074,-137.2179903,38.19495591,54.63326251,326.0974223,62.37687841,-43.34682095,-4.354318713,11.16617549,-62.16775825,57.99272662,-101.9003866,152.2118747
0,521.958353,909.6777469,42.18651167,815.6600931,-355.0467202,-365.0384126,618.0327711,-415.3878904,78.10110365,-671.2081229,27.5931727,-19.44343806,-77.36625192,120.1482427,-256.0555733,3.817102947,-209.8076558,-400.9097894,201.1747357,-24.4327574,487.5735861,-258.9669423,-402.3543164,-268.2063947,-288.2223404,-423.4777911,198.7622323,91.71268348,-225.9542124,86.70984593,-84.12164998,-42.50358628,-86.06801824,159.6257591,202.8320177,61.37304624,-251.5554544,47.05601002,-97.57813859,-102.6610933,175.7989476,-13.81697855,46.04650409,-151.8712677,-34.20684092,-149.5168725,276.0053115,-27.96609776,25.99518828,153.4333502
0.007,1059.110031,312.973334,251.513622,-714.8437693,-406.4036627,-445.9179326,-140.2932811,430.2038728,0.861534977,62.89332628,-108.8118825,286.6984232,-43.72883373,-140.2897764,422.453193,-444.854442,-240.0206425,-170.7309537,208.3178071,154.4944294,-123.9046843,165.7377047,134.9967997,-80.56518308,75.06835394,60.15010711,-8.400671176,-135.3184803,-80.44756792,-107.3754764,131.1706144,-55.46628743,-87.07296056,-142.3442657,-224.8141157,-214.630146,190.2332744,13.12177097,-123.6004393,169.4555675,66.60291922,-91.06790608,214.3806268,-8.938022393,-142.3463627,21.69332097,-44.17870684,99.84425396,-16.95453034,-140.4656128
0,-789.6881029,-25.53604353,854.4725991,-176.5427876,225.0812308,165.5703279,-133.9943273,-480.4662564,161.2253938,92.02630591,-36.22281756,276.3527254,-213.0144812,-537.1534582,-91.22950783,-30.88485802,-15.00512731,-218.5401722,231.8619901,9.018386364,-147.2139906,-232.53282,163.7583069,177.5235344,177.4516792,161.3165017,179.0824683,105.2000673,264.6163753,-127.6364294,-127.0251669,73.91582002,-193.2166762,53.33176566,131.0053402,-244.5498982,5.628333961,73.02184403,-104.8030106,87.90555531,-7.722877121,380.1726896,-11.96299124,28.74652398,56.27921965,-21.06452881,3.426117328,-1.71809338,-72.21999345,224.835422
0.001,11.74212408,-191.3335949,125.4290437,129.2854,-466.9334521,793.3978503,-238.097259,734.2440553,-138.4875788,104.0176762,-41.48974659,638.0456926,80.84927336,368.0694084,238.2951055,-292.9717046,394.6051966,130.2788212,-125.493153,49.63465456,239.9789331,316.3856376,318.7443977,6.066706281,335.3842183,233.4788438,49.49002913,-14.34103978,-100.5327829,-234.5267643,177.8780046,-7.822269618,120.8140219,-74.98720954,-126.8396304,68.80272442,46.45342435,-191.2954884,91.33705333,-174.7481877,-54.53261527,-34.41272929,151.4689305,-123.9968935,40.87965123,-106.5309145,-94.65775762,-39.2931978,-84.33772462,-126.9839181
0.007,496.0193455,524.8764402,193.9551218,-379.1045632,-505.750994,-322.0466586,279.4016278,-595.560567,-143.5505624,594.5543002,-146.4726918,107.4310426,-699.1969451,-184.8317502,38.8046843,-21.69136713,699.3926318,118.7945407,386.6959683,-231.7626786,-85.43397266,246.9082985,47.66670303,-28.29325989,97.23026658,21.75531553,-30.8085718,-272.0045417,131.7248817,-536.3662096,237.7192999,-218.6791329,134.2783418,164.2918433,-184.9544131,-409.7059671,-171.1164053,-24.12379338,292.5847188,277.7207745,54.47134748,-125.7303092,22.18226856,-292.107087,46.42592361,-93.82382246,99.64100782,263.95834,116.8375663,36.13053974
0,813.5824508,770.0259473,1052.310968,757.923673,-740.1562347,-280.8432378,175.3631857,-324.4033472,-217.9910809,-86.78388253,723.4887597,930.1235486,-40.53307717,-213.9465156,-114.8411682,-348.6816156,241.8322638,-171.2896965,-420.4387546,144.9737646,122.8487981,187.7184891,-43.13701382,-225.0336474,-247.4553451,236.3149265,-306.4859362,-124.0985473,-202.0720719,-22.36126846,8.329878737,184.6667267,316.9910749,-67.92868501,106.2060096,-210.1444611,-140.0183852,-159.0992893,-122.2485415,-85.51390309,232.4122398,-23.25922977,102.4107153,209.8115662,13.40380701,31.12658872,-8.671181108,325.2112269,-78.22709878,84.99905841
0,575.0979861,365.7414186,601.5055108,174.0713273,-71.45755898,382.6704249,206.9547557,-262.7604808,-33.92968586,-111.4655411,323.1031798,1233.954697,37.73006056,-148.3377713,153.9349786,180.2287926,-122.9808502,-41.43370206,563.24756,90.32075599,616.260339,430.0331678,25.69918366,-420.1856339,-243.9202888,-50.75804646,-28.31654587,73.84606165,-32.82005421,246.7242801,311.1120482,340.153347,257.9133214,150.6093018,-102.3297161,-105.3373374,86.85325922,125.6702071,-151.0794595,-215.3989883,2.67774578,119.3850578,220.4446133,311.8062927,225.6931597,-119.5733636,614.5697281,57.12506334,32.59114646,-66.16654817
