,pred_prob,circum,num_size,closed_loop,average_distance,variance_distance,k,b,right_1,left_1,longest_line_length,is_nine
0,0.0,64,0.105,False,6.898,6.419,-0.556,24.444,34,48,20.591,False
1,0.0,40,0.062,False,5.166,8.811,-0.368,19.474,24,25,20.248,False
2,0.0,75,0.2,False,6.567,2.213,-0.5,17.0,111,46,17.889,False
3,0.0,74,0.12,False,5.971,4.626,-0.222,21.333,19,75,18.439,False
4,0.0,41,0.082,False,5.201,7.95,-0.316,19.579,29,35,19.925,False
5,0.0,72,0.125,False,6.235,7.609,-0.5,24.5,26,72,20.125,False
6,0.0,61,0.125,False,5.334,8.264,0.722,4.944,60,38,22.204,False
7,0.001,74,0.173,False,7.09,5.806,1.75,-16.0,39,97,16.125,False
8,0.0,77,0.18,False,5.823,7.049,-0.667,26.333,49,92,21.633,False
9,0.0,97,0.176,False,8.065,1.478,-0.176,10.882,99,39,17.263,False
10,0.0,101,0.171,False,6.421,5.804,-1.3,31.7,69,65,16.401,False
11,0.0,72,0.131,False,5.647,5.809,-0.444,24.556,26,77,19.698,False
12,0.0,86,0.171,False,7.216,2.154,0.059,17.706,99,35,17.029,False
13,0.0,42,0.089,False,5.069,7.093,-0.158,15.632,34,36,19.235,False
14,0.0,94,0.136,False,7.649,6.105,1.667,-3.667,82,25,17.493,False
15,0.0,80,0.129,False,6.189,4.497,-0.056,17.389,32,69,18.028,False
16,0.0,63,0.133,False,7.026,5.174,-0.529,24.765,43,61,19.235,False
17,0.0,95,0.205,False,6.982,8.328,0.938,5.25,125,36,21.932,False
18,0.0,67,0.101,False,5.28,6.017,-0.211,20.053,19,60,19.416,False
19,0.0,61,0.156,False,5.419,6.624,-0.611,24.278,40,82,21.095,False
20,0.0,69,0.131,False,5.736,6.015,0.214,8.286,24,79,14.318,False
21,0.0,82,0.152,False,5.986,5.154,0.538,2.154,26,93,14.765,False
22,0.0,79,0.125,False,6.844,9.247,-1.714,48.143,7,91,13.892,False
23,0.0,66,0.089,False,5.568,4.397,0.118,15.176,55,15,17.117,False
24,0.0,84,0.29,False,7.337,3.546,-0.933,22.733,150,77,20.518,False
25,0.0,62,0.097,False,6.695,5.667,-0.167,19.5,22,54,18.248,False
26,0.0,71,0.131,False,5.714,4.361,-0.222,21.333,19,84,18.439,False
27,0.0,84,0.202,False,7.018,2.718,-0.118,19.706,54,104,17.117,False
28,0.0,40,0.079,False,5.098,7.514,0.158,11.368,30,32,19.235,False
29,0.0,66,0.148,False,6.239,7.151,1.091,-0.636,73,43,16.279,False
30,0.0,40,0.068,False,4.938,7.475,0.211,11.947,29,24,19.416,False
31,0.0,73,0.148,False,6.499,8.241,0.5,9.0,77,39,17.889,False
32,0.0,81,0.143,False,7.169,4.221,-8.5,166.5,41,71,17.117,False
33,0.0,64,0.149,False,6.702,8.332,-0.684,25.105,58,59,23.022,False
34,0.0,75,0.131,False,7.101,4.148,-0.211,19.474,40,63,19.416,False
35,0.0,40,0.075,False,4.977,7.233,0.105,12.474,28,31,19.105,False
36,0.0,41,0.099,False,5.053,6.794,-0.111,14.556,41,37,18.111,False
37,0.0,34,0.043,False,4.94,8.12,-0.056,14.278,19,15,18.028,False
38,0.0,63,0.102,False,5.882,5.683,-0.389,21.111,37,43,19.313,False
39,0.0,66,0.144,False,5.453,6.528,-0.211,20.263,26,87,19.416,False
40,0.0,53,0.107,False,5.82,7.512,0.056,12.778,39,45,18.028,False
41,0.0,81,0.126,False,6.369,6.26,-0.375,16.25,68,31,17.088,False
42,0.0,42,0.108,False,5.294,7.905,0.316,10.737,49,36,19.925,False
43,0.0,67,0.209,False,5.835,6.274,-0.316,21.895,44,120,19.925,False
44,0.0,76,0.134,False,6.156,5.708,-0.056,19.333,16,89,18.028,False
45,0.0,64,0.117,False,5.699,5.539,-0.529,19.588,58,34,19.235,False
46,0.0,92,0.214,False,6.612,6.635,2.375,-12.625,117,51,20.616,False
47,0.0,85,0.139,False,6.402,7.939,-2.667,41.0,87,22,17.088,False
48,0.0,78,0.101,False,7.169,5.534,6.5,-64.5,50,29,13.153,False
49,0.0,104,0.207,False,7.17,7.861,-5.333,121.0,39,123,16.279,False
50,0.177,56,0.111,False,5.763,5.476,-0.211,18.053,41,46,19.416,False
51,0.136,90,0.181,False,6.482,5.035,-0.118,19.588,45,97,17.117,False
52,0.107,93,0.154,False,8.262,5.438,-1.077,33.769,39,82,19.105,True
53,0.192,76,0.26,False,6.142,5.642,-0.526,18.579,141,63,21.471,False
54,0.168,79,0.139,False,6.057,8.351,1.0,2.0,74,35,14.142,False
55,0.14,97,0.193,False,6.861,3.519,-0.471,17.882,96,55,18.788,False
56,0.163,51,0.075,False,5.31,5.95,0.375,9.625,32,27,17.088,False
57,0.168,84,0.136,False,6.064,7.399,-0.222,15.889,63,44,18.439,False
58,0.157,64,0.121,False,5.36,6.592,0.077,14.308,59,36,13.038,False
59,0.13,80,0.212,False,7.156,7.067,-3.8,76.2,74,92,19.647,False
60,0.112,66,0.147,False,6.243,6.409,-0.444,19.222,62,53,19.698,True
61,0.183,78,0.355,False,7.052,5.94,-1.357,32.5,141,137,23.601,True
62,0.107,76,0.126,False,6.589,6.721,-0.833,23.333,50,49,15.62,False
63,0.138,99,0.157,False,7.148,6.614,-1.5,33.0,76,47,18.028,True
64,0.174,85,0.112,False,7.266,6.17,3.0,-47.0,10,78,12.649,False
65,0.163,78,0.128,False,6.249,4.335,1.1,-4.9,33,67,14.866,False
66,0.18,60,0.12,False,5.95,9.679,0.929,-1.286,24,70,19.105,False
67,0.126,63,0.143,False,6.596,4.505,-6.0,110.0,39,73,18.248,False
68,0.109,62,0.103,False,5.577,6.183,-0.263,16.053,48,33,19.647,False
69,0.11,49,0.079,False,6.114,8.645,-0.714,26.143,24,38,17.205,False
70,0.182,70,0.143,False,5.643,6.166,-1.727,38.818,52,60,21.954,False
71,0.109,104,0.207,False,7.16,6.248,-0.938,23.688,108,54,21.932,True
72,0.13,82,0.159,False,6.841,6.042,-0.263,20.053,47,78,19.647,False
73,0.171,74,0.13,False,7.053,5.49,-0.714,19.571,69,33,17.205,True
74,0.171,57,0.101,False,6.027,8.199,-0.353,20.118,32,47,18.028,True
75,0.156,114,0.242,False,7.761,5.195,2.111,-7.667,141,49,21.024,False
76,0.109,100,0.188,False,6.8,5.712,-2.714,57.286,59,88,20.248,False
77,0.126,58,0.121,False,5.508,6.593,-2.111,42.0,55,40,21.024,False
78,0.141,91,0.173,False,6.748,4.917,-0.579,25.474,34,102,21.954,False
79,0.113,73,0.134,False,6.5,8.083,3.6,-35.6,52,53,18.682,False
80,0.165,70,0.129,False,7.163,11.946,1.083,-2.833,26,75,17.692,False
81,0.109,80,0.133,False,7.256,8.288,-0.111,15.333,62,42,18.111,False
82,0.1,75,0.14,False,6.265,7.05,1.091,1.273,77,33,16.279,False
83,0.116,75,0.159,False,5.935,8.443,-0.688,21.438,93,32,19.416,False
84,0.127,46,0.089,False,5.028,7.719,-2.714,54.857,24,46,20.248,True
85,0.146,89,0.165,False,6.957,5.924,-2.5,54.5,38,91,16.155,False
86,0.172,90,0.131,False,6.101,6.118,-0.071,10.429,79,24,14.036,False
87,0.152,67,0.108,False,6.176,7.398,-0.294,20.471,34,51,17.72,False
88,0.147,91,0.181,False,6.611,7.117,-0.643,22.143,67,75,16.643,False
89,0.149,67,0.096,False,6.52,4.714,-3.0,62.0,31,44,15.811,False
90,0.117,84,0.172,False,7.199,5.971,8.5,-139.5,44,91,17.117,False
91,0.118,70,0.121,False,6.744,9.474,-0.211,18.632,49,46,19.416,False
92,0.182,86,0.208,False,6.859,6.404,-1.0,29.0,81,82,22.627,False
93,0.118,77,0.139,False,6.753,6.706,-1.545,42.091,22,87,20.248,False
