pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100
0,-210.8045563,404.5006291,-839.5888618,437.5579662,287.2791687,140.1408202,-6.243721035,-555.4765104,419.8758811,197.3952764,-53.82627745,299.6838345,-385.8653225,-196.8990647,328.969633,164.628088,107.8341817,-220.2730129,-188.2789065,126.0929007,-237.5408283,-153.79858,-157.9174702,-97.91320875,-115.1732849,-416.8546379,-126.3242678,52.09367622,236.3475875,205.0270648,-326.6489773,107.11439,82.06106399,40.94591425,-244.0142476,212.7203504,-244.3666167,-242.8374289,332.8048322,87.65312633,57.71584509,-77.16838119,-25.48652428,102.5428363,-54.19428077,5.58185412,64.04018294,110.7604762,28.43734278,148.419667,84.28934585,56.37600781,-14.60002104,99.56413633,-240.9210685,-303.5652934,42.84214595,47.65576461,120.4727112,-152.8942314,-49.974466,-18.85022287,86.33551669,-36.41975131,51.75937906,-33.42440489,139.8555089,-149.1162567,2.412498811,-25.91205685,51.31411642,88.03483286,-1.833217106,-52.20620287,-45.15094846,-182.5426504,-117.3845501,159.6561363,-159.9515163,-109.9920577,-127.3299555,-17.21076165,-53.13169237,-62.6562771,37.36184342,31.90900411,-61.13085379,-31.5027148,61.44947513,-23.22581135,29.31531474,99.99530349,-108.0305703,159.9692235,-49.70096711,190.4645343,165.5657403,104.793941,-0.183573637,40.13054766
0,-755.809412,134.7732933,-249.5957259,-728.0385496,-145.3531054,433.8524263,-57.74799395,196.9568448,-12.71773203,-145.5393817,-244.4642839,336.1476268,228.7989836,-33.49300893,134.6858393,-5.799455762,-137.6584098,-240.0322607,-278.1719989,-23.10994668,-158.2563621,-67.74134234,-14.43471077,57.62192096,72.98302105,208.781432,-183.6302374,26.8512916,-80.15720296,65.21689682,-237.6687346,-132.2418715,58.03357549,-183.0990775,136.2207536,103.5567045,262.7169081,95.72670452,-51.63772864,-46.66459996,316.2352135,-25.45625845,123.8426192,28.38716214,59.49787878,171.931451,-9.08646568,65.36405267,45.62560148,62.94277523,31.04431499,50.35490999,134.0814261,94.91305589,63.08598857,49.40985505,-103.441339,-45.99924629,68.76703287,25.66063211,-41.35499404,-112.7940584,119.4796418,-129.2767458,-259.9361915,50.67495144,74.20361587,115.9225242,-59.04271899,-17.86294621,103.80146,-163.1365007,-198.8624099,-27.23412157,-28.89178382,-14.05953528,-7.831079239,55.38676656,73.66781794,11.25830475,-62.35264678,9.885778522,29.1664011,-27.80549249,1.124565703,-3.949641514,-134.0584663,54.15989197,64.71499046,-45.72693698,-8.423679027,76.34767665,74.3065074,31.41400984,26.12135957,-1.588909173,-39.03847583,-44.06248526,-30.95920963,30.26157843
0,690.1339889,-339.2322592,523.970031,891.0766486,348.982268,234.1231344,-552.1023579,-448.534553,-324.4163361,-210.1970356,-475.1152272,588.3236812,-334.4148741,137.8330899,436.9316076,20.09327594,138.8448059,285.6346525,151.5643744,240.0065874,-319.2402721,-0.627936014,266.8453344,-101.2831366,115.7496341,-66.90103618,4.836062025,-31.69690217,106.1465174,-91.69627869,-102.0345167,-129.1326712,-2.563683267,-123.9877988,13.72770674,-4.380613053,361.7639918,-238.5646993,162.1845668,-115.2564887,-337.7821728,108.8028805,68.62142805,-282.2657863,-93.33831854,-163.9383437,121.0677798,-186.235148,3.570341009,-47.60773007,49.09014387,-33.21961619,23.56011031,55.26864109,75.19360744,65.86356536,1.825840666,17.42729832,66.72073286,-51.45595982,-157.5785687,215.3982742,-64.45689936,15.80581909,37.69458273,-19.5246929,-246.9699082,2.91765556,-21.76244224,180.0617892,-0.531606917,-80.88660708,-39.07063585,157.0233253,-141.7262277,-108.9610214,22.57908598,-11.467592,-23.43635299,47.66760807,75.17602498,147.3461412,-79.85099513,85.01029715,-61.09195598,66.48671928,41.24270918,163.8182114,54.34477737,108.6751099,61.33677125,17.97240387,69.05612546,-79.86941268,-3.255764567,-3.85894129,53.53604495,-66.21996605,-47.41284348,-106.3407793
0,186.8790416,762.6747447,-401.0660725,369.4611673,575.2732978,-249.3087381,192.914356,48.27310096,-592.8906685,363.6763387,-57.41228021,-589.2716776,27.69544144,166.0842707,-212.169288,321.8576088,270.5585261,110.5207274,-325.1000207,59.02142794,23.34894081,-9.579546042,133.5700202,-454.2615453,227.1680958,-259.5634799,85.37496884,414.0976066,-260.8906567,288.4405312,-43.41295339,-142.3081871,-67.9593081,-85.81657107,90.77078038,76.54679394,96.33806601,-13.20201023,-191.7325075,-168.7562029,180.0488142,108.6004854,309.4721145,-40.7012364,185.3605691,-6.929639182,80.12773544,-255.0769792,-10.37532652,83.97293979,-174.638576,29.25683441,72.66151969,-48.61896327,71.90387866,39.33723608,16.15093462,-28.06457675,-146.0162683,71.75830506,-6.376303996,-45.54790842,35.08829747,-23.84954457,-47.3983762,156.0277125,-145.4211771,-75.64194101,92.96284016,72.69538925,75.45126832,122.650044,-79.0733667,-71.27445944,-16.51409553,-22.73243329,-168.0920922,-8.079968404,-87.65018496,-38.17421767,-142.5919956,-9.273783027,-91.37295965,-49.15563134,43.69880674,116.8159118,43.46033211,-39.39343333,-124.1256495,-110.3949499,41.04081064,40.31943294,-17.05942052,10.58402082,62.11611867,51.06948599,161.1736994,46.42804682,-25.66403501,-27.62791722
0,-773.486323,41.56278335,-233.8157857,-627.5743583,-373.2982538,255.0250195,-147.6690367,216.5739696,52.12413768,-242.7445352,-246.3975564,395.032319,421.7966148,-12.56773906,232.3975879,54.49240992,-180.8639678,-215.0021267,-401.7303723,-31.89328228,-132.150949,-123.2959618,-39.40367549,116.442343,59.40416737,171.7779207,-153.5184351,3.421697917,-55.19457472,-15.08599303,-238.614594,-64.40315259,84.47750558,-72.46833134,177.677288,68.43843681,249.4132725,86.58028565,-99.21211513,-46.91135566,251.0962622,-96.90094059,122.8762027,-24.39776818,-59.23672509,138.3136143,36.1024594,100.9832368,115.7152998,76.03484956,71.04588435,-56.89896582,95.64089511,96.94829297,-15.91297923,-112.62447,-26.63631079,-35.15196483,62.85813573,30.77978087,-0.640434445,12.14214067,57.90111383,22.44816892,-159.2229473,109.9045067,-13.95699139,-68.88909962,46.34407711,19.38118631,31.02189429,-87.610398,-121.8649981,-94.18805975,-93.79613376,-54.17086076,58.83633408,103.1987265,48.34772134,-33.0080085,-28.17190387,128.5400574,29.95519864,-1.520037683,-32.06059635,-31.02560143,-3.974186061,9.695289645,63.27938808,26.41580614,-82.82706984,-5.120339285,58.12199897,-23.28322349,8.143390779,66.59953909,42.65134236,-84.27966911,-11.85397833,-36.52147738
0,-387.9215379,344.6418697,-570.737522,118.1734243,638.6114235,-271.2233928,-50.56598237,15.10790954,244.0938295,826.3393498,159.7788091,217.7127435,359.2489326,-357.9918966,-38.87934218,-256.1896532,215.6889853,-19.95515804,-40.70825077,-247.7817064,361.5338919,418.0744655,-189.2571706,-137.4484354,-426.7448501,-488.2694827,-70.47466322,-36.75653416,-398.2248196,-22.61973174,-82.59284723,-162.0685714,19.17789403,-165.3777187,-231.6083586,58.48503786,-185.5298468,-161.481312,3.07658728,76.12787219,-193.1581719,-218.380287,175.7360468,63.11104433,-10.04196087,152.7129692,17.97581049,120.4085782,-250.6495964,-29.47035221,-80.80678706,12.3261349,23.69238899,7.366913135,-4.162572529,370.4371424,-126.4989739,78.64297278,8.009190616,-90.93753817,-84.37707093,140.6188163,145.8947758,-1.016123879,62.94315557,-102.5427499,-23.05511693,-217.5806109,-45.35036585,122.7880504,205.6887375,181.6406833,47.38585914,-186.1691334,-87.4837697,-29.10727831,70.73773462,76.92695413,-13.97781316,128.7096938,-169.5695111,7.536256924,-56.86028064,6.846656082,120.042241,-99.20747522,-23.7213141,49.05973663,32.51329539,-27.10050066,-185.2174063,-10.36875096,-20.60617861,-88.34697844,-52.099115,-18.52647548,56.5887247,-3.277059637,-85.039521,-66.61572828
0,-620.7736292,774.7728613,440.4873679,178.6570837,-27.97323968,60.36184664,-628.5747363,208.5997155,-180.8796955,204.6208633,-10.88671932,-191.7352117,-277.9535592,-145.2797775,-685.39429,-165.0363727,-368.1528838,-40.41948712,317.5847911,37.49858274,-419.6252899,5.262373566,-118.6343818,-26.85545679,177.733616,-50.92626101,-573.7756291,263.0769444,-79.45603598,2.978415254,-123.3114459,367.4262452,-147.7702595,23.09909745,-86.19855716,21.98706884,10.97858092,-204.2188745,-36.93652828,41.61899593,-132.9254215,-17.51424705,-12.41573742,-321.2275766,91.01128191,-27.05428449,-87.61210232,189.520699,129.0188161,-68.68965648,6.622256564,295.5656224,109.9977074,201.5389352,-56.11308266,85.20856649,28.14920852,25.62675219,9.437715407,-71.4888158,10.9254335,157.4352378,-21.98150654,-44.48660312,26.80366755,-65.26733668,-140.2530948,9.450961491,-146.8420236,58.61396605,12.59337217,-161.7384835,-75.49368465,-51.67052299,26.1485848,42.67283609,-20.83725066,-42.18505958,-48.22842153,-31.50282994,117.8282378,-47.43123889,24.91201231,19.88136245,21.84678143,89.36614068,-57.46629506,188.4642519,-62.02470836,-98.10096126,27.07243405,95.73062517,114.83898,90.86679515,-166.1079003,-77.38112811,5.922277807,-224.9403607,-13.57754576,44.77739026
0.001,169.5089492,177.0037066,15.56572066,357.7077127,122.3127423,330.8643724,-46.20212717,137.1518729,-439.8589355,455.8066962,-314.0079989,-664.4885772,726.4233817,291.644887,504.092845,369.6347855,481.2483845,-190.5457083,-144.5004802,-608.3919474,235.7050028,49.48675344,-79.30182382,227.8641539,66.65693047,477.0790989,-295.2880055,89.25486916,66.84603715,27.52160295,236.9223387,-59.24584219,-386.2760778,50.58159834,-227.7675935,-95.43216867,100.5048328,-141.7435956,-104.5186117,-79.62999725,346.8174658,-98.36600961,90.84919862,-37.21685196,-43.27956504,38.75371308,-126.4104174,-123.8750927,224.4152094,-173.9773723,123.4252121,-155.8017111,-103.5831558,-165.7383405,-329.0237407,33.44358448,366.2539765,94.56185765,123.2198254,89.14110344,-92.64135999,48.41399523,112.8944575,-22.40194923,-3.225424348,6.185550407,-160.8271379,-23.66753795,0.263171427,190.9187623,-76.9032163,126.6292042,180.8784622,122.0453217,265.5516544,-121.2518423,264.2637142,-183.0251697,214.7093348,-82.00003043,-99.81360376,124.7888391,53.5864562,73.90410787,-7.695703806,-103.7955671,71.57089455,-60.09326438,91.30935666,-13.10924914,-65.74627799,-86.83815043,63.8414892,37.09045194,19.92056795,55.9721144,60.71496623,-44.04792239,-99.96460022,-39.39565637
0,314.5077873,635.3528682,-435.9936161,450.328446,-242.5719397,-108.2797387,-596.7627123,-313.9744477,65.36537193,56.79593316,-178.3783611,971.5137267,597.3274463,-228.0062659,-365.9129118,-112.8405473,156.2905957,-71.74222739,-192.0990562,-102.6349709,-348.9794706,-161.9307741,-127.6998304,6.166661424,21.71504268,-376.3608263,-245.8232251,-264.4492973,-189.7598331,-395.448777,-134.603834,-9.790509065,32.52424792,264.5477724,-23.36607259,354.4304169,-208.8640952,-20.68655282,93.04878689,-7.669795641,144.4170577,78.18578183,-219.7674264,50.88395664,67.93500343,56.29745967,-8.646129716,-87.05163207,69.60974041,157.45306,-298.6999817,231.2051572,147.1175067,173.4020928,-26.59843359,-90.59490416,-112.9803545,-282.0284614,26.5529922,57.61010319,194.6845665,49.91908821,120.2260752,-4.107683022,218.9610012,-33.68475924,-62.631884,92.80205377,145.1388952,-6.15933055,-15.19622482,-40.33574284,-26.83305425,-99.64358631,-35.68463499,-127.0591812,41.75275911,-2.431674503,-12.82475189,-63.63546039,-38.85034544,-26.43435916,143.4281981,-175.9356772,124.0194134,-40.55505346,-71.43406581,-108.8849154,92.66416346,-47.80460422,126.3290834,37.30806962,-64.5675908,41.04690801,87.56408441,7.121301217,59.33843415,-6.085880541,67.53059334,-94.49028613
0,741.9287177,-628.6690476,49.97142747,113.8366341,1482.490503,419.7814185,-132.3368454,752.0747116,-218.8037767,94.45991065,-249.1944078,240.1419931,48.47125647,291.6331805,27.17170502,-200.9911675,-107.0519995,-160.0282323,-158.0676708,-12.4409121,-143.0786208,-236.3345385,202.1162043,-65.21191962,-162.5760163,-9.71991214,261.2843413,212.7743174,-347.0952789,134.69866,105.0242957,167.112822,54.00443152,-181.2957759,-159.6255774,-301.7570717,-72.89431585,109.1405142,123.2092065,-12.34661546,7.977205327,39.14352622,-63.95556981,-83.60611613,-234.1991292,54.8025583,102.3195922,-229.8782425,105.4828813,-190.0759322,-84.96650323,216.3549999,-14.36220318,-174.7804732,-158.9344098,-111.8485492,-111.8816916,-5.66642637,-27.68526268,-85.017121,257.941069,34.18936234,-99.95162369,-45.28070649,9.732936476,-121.4674238,-91.84574512,3.999040916,3.411674088,162.7556675,211.9529837,-12.52939699,-119.4451912,45.67588096,11.60695364,-146.9587547,-22.3001116,-142.9219229,-108.1858149,-94.10029,35.27308522,-77.74355318,-186.1844839,84.89910854,140.4312392,43.76579795,-64.4300449,-113.1973374,130.6780866,61.50592346,-127.0222322,86.20367781,2.745337882,-31.01325372,109.1691674,49.29706971,70.8062828,95.89682571,33.62948829,57.60759436
