pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140
0,-210.804557,404.5006332,-839.5888557,437.5579743,287.2792207,140.1408551,-6.243733106,-555.4765643,419.875854,197.3952276,-53.82647919,299.685466,-385.8668599,-196.9011259,328.9695388,164.6298735,107.8343384,-220.2678843,-188.2770623,126.093578,-237.5377838,-153.8042089,-157.9334978,-97.90811163,-115.2017556,-416.8777035,-126.3230526,52.07634029,236.3728164,205.021854,-326.7361526,107.1561629,82.15914141,40.87700148,-244.0590383,212.6997887,-244.2616021,-242.8068051,332.6419782,87.90028007,57.88942901,-76.81090986,-25.41049465,102.3032491,-53.82941066,5.031593539,63.74474719,109.8859989,27.7140372,149.2505205,85.40553636,55.76046294,-15.44138974,97.62336944,-237.8348683,-306.3382968,43.00758431,45.84682326,121.6814015,-153.5151095,-48.17635547,-16.54645319,84.51257591,-37.42907167,52.73544977,-34.54361859,134.4603482,-155.5623908,3.898020532,-28.6326116,54.39371392,74.84640927,5.745502663,-49.19226055,-70.42292944,-180.1121986,-110.5347734,143.0980808,-177.5371037,-82.89331437,-135.9779687,8.077440826,-43.78031934,112.6858094,-8.803425581,24.6954639,18.68339897,-19.43656777,153.9781006,3.522094775,32.95072094,-91.49242769,145.2573777,15.41644321,109.518627,-172.5800658,79.65691012,181.7785852,-27.10436002,-27.82873821,-93.82517726,-28.21488991,25.96162207,-105.8922039,-130.431825,124.5610103,-99.4392665,-0.90857536,-29.90532138,69.34370406,-28.04264487,33.8549382,-93.83948727,-30.48301442,-122.8847744,-69.57867814,-44.0929716,129.4620722,31.46791642,-10.15878686,-94.65095761,-51.98208143,42.60341299,-58.22249212,92.56527232,36.25694861,38.75244664,81.62844157,85.75981797,-31.5329907,53.37651578,-67.16212027,-85.36810348,-30.83708476,-9.120828744,-33.21053201,-1.7824331,-39.98834764,-37.45470117,-91.89402187
0,-755.809412,134.7732938,-249.5957268,-728.0385493,-145.35309,433.8524425,-57.74802686,196.9568008,-12.71797332,-145.5394553,-244.4642754,336.1474305,228.7990972,-33.49270797,134.6860077,-5.800164923,-137.6592209,-240.0322139,-278.1721994,-23.11060321,-158.257461,-67.73632282,-14.42626327,57.61823185,72.97644438,208.7797266,-183.6426126,26.82543082,-80.13347705,65.23721606,-237.6698944,-132.247006,58.01489042,-183.0850089,136.2058066,103.5731751,262.6738764,95.7173148,-51.65170794,-46.69021531,316.1214036,-25.45408074,123.7101702,28.35795303,59.5247059,171.7722828,-9.029011067,64.84967018,45.78145431,63.36977902,31.87451759,50.05300749,133.8567417,95.95086441,63.29860641,50.22054886,-102.8430954,-45.53134026,69.08715726,25.71758938,-40.6977714,-110.8362733,118.1677915,-130.6843994,-259.841855,56.1424743,76.41770458,108.0856452,-61.25991021,-11.83128459,88.21087383,-143.3783073,-217.7433951,-33.41280826,-23.6796917,-13.80816689,-2.637465242,61.93514021,61.76380658,5.824712354,-66.85998813,-1.208391103,17.85790359,-2.305782579,-23.18924128,-11.63256478,130.5551073,58.61734057,47.23268856,-23.23703838,-24.65294565,-37.37390029,-16.49118672,-70.98657015,-8.979103204,40.30009811,32.18169198,-20.82311983,23.09291831,39.75487969,-80.6442185,62.82395629,4.557026607,-43.79381324,30.42607874,12.14704383,-107.7019453,-18.04440021,88.27686691,-21.1874037,-16.48778686,-83.24147472,-11.46991455,45.40862907,-43.52058919,28.22307036,41.33368871,-24.70829484,16.28694853,-31.2183626,12.84481487,18.64536522,52.47847639,-94.28993133,35.34923211,41.89275904,-25.09270188,-54.43584339,48.98296245,43.11425506,28.40420106,47.90869061,23.32163995,19.43522947,-61.41940018,28.25372716,-24.50907169,-2.151244262,50.99020971,17.87315951
0,690.1339886,-339.232259,523.9700341,891.0766469,348.982281,234.1232131,-552.1023427,-448.534734,-324.4163032,-210.1972044,-475.11501,588.3239559,-334.4153113,137.8327804,436.931451,20.09308065,138.8441723,285.636163,151.5640793,240.0110125,-319.239835,-0.622327819,266.838166,-101.2860738,115.7517475,-66.90596014,4.84793336,-31.71279655,106.1284871,-91.6925953,-102.0338564,-129.0960918,-2.557359475,-123.9188013,13.69956454,-4.389035051,361.624908,-238.6140468,162.1687976,-115.3119849,-338.0653599,108.8478618,68.2727827,-282.1015841,-93.30562858,-163.7268568,120.9550289,-186.8866547,3.175376516,-46.91907578,51.07896504,-33.18447348,22.30501133,55.24408596,75.11697714,65.55693235,1.952536074,15.84521896,68.37839428,-49.82803363,-157.0338716,214.8239765,-63.30499626,15.65082977,40.98655992,-13.88218351,-242.4491435,6.820022027,-26.43185969,181.6980398,-11.77018022,-76.50341315,-55.36026839,148.0025906,-153.1900793,-94.72617782,12.14529503,-10.61254422,-21.73360441,49.55157609,91.16734846,149.7161486,-19.90294879,-79.17636322,97.88821051,0.641863305,-34.68023511,159.5749574,22.19946694,-60.70695086,124.7539492,10.95904882,-108.6555735,27.79133572,33.9433095,7.01069813,-68.67534399,-6.298777158,-63.22326591,33.65111758,-21.45241968,-120.2292048,24.40879424,55.54299399,84.12493303,-24.90462332,-91.16148027,36.73645071,-13.44718028,28.48249074,-96.33398677,-108.9262003,-41.1398662,15.31533374,65.38653962,69.15807698,-48.90849401,39.31886096,-96.9897271,45.86057066,-53.17525147,3.552127545,44.00086487,-130.1070644,-24.91063831,-39.27365611,-32.96665223,2.217270906,22.23662341,-58.38138886,-63.12282676,15.49984685,-135.916962,3.678853939,-32.6275007,83.95517166,-42.98107802,0.732737366,-47.13197565,47.40413368
0,186.879042,762.6747455,-401.066067,369.4611687,575.2733151,-249.3087136,192.9143029,48.27309789,-592.8910094,363.6764333,-57.41212386,-589.2714718,27.69554066,166.0848035,-212.1686933,321.8579295,270.5577033,110.5229473,-325.1032244,59.02138855,23.34993468,-9.56214981,133.5881183,-454.2635965,227.1298716,-259.5657773,85.35666588,414.0937761,-260.8304465,288.436832,-43.3740873,-142.3196137,-68.01720581,-85.82029902,90.84665493,76.56680305,96.24895907,-13.17681229,-191.9589966,-168.9995136,179.8428376,108.6904934,309.6114466,-40.63852358,185.1616085,-6.847298026,80.00453428,-255.4812757,-10.50598339,84.40087037,-174.0891815,29.10319354,71.79343352,-48.49186641,71.30983128,38.09588338,17.94050243,-28.06353607,-146.531418,70.63021094,-7.536976769,-43.86264839,34.90836521,-20.8411708,-45.2389872,163.404257,-150.938448,-71.01425103,94.84814336,79.6245229,91.9531164,125.256872,-53.20166011,-78.47558738,-15.59276705,-29.76135083,-173.3316728,-23.68764443,-79.10218906,-26.79583649,-155.6276873,19.35003293,-75.65912943,85.35863925,79.21275669,83.16096631,-39.28410764,-1.363633618,-72.35432698,134.0694886,-13.53562282,-67.68788936,35.09707526,30.93227124,119.9481887,-49.52980606,-47.80425443,84.66388641,-63.01933935,12.52418964,-143.0850235,78.22846712,-108.2887135,-97.31170017,22.93975455,-102.5654891,-6.405070607,14.4909803,86.23885375,-27.17145704,26.62166814,-49.2162872,-25.55874982,65.22407301,-47.24942831,137.8381959,26.23660893,73.90423224,31.62831447,-86.30883273,-101.030754,52.94682082,39.03722951,6.285856153,-23.21328742,-82.56762068,-50.6475713,70.78455177,-35.58653627,19.1728733,23.45475752,-9.705327827,-38.35769478,20.81066312,79.86284512,-8.472469812,208.7481952,55.47808733,-30.53405655,-47.57683096
0,-773.4863226,41.56278322,-233.8157887,-627.5743559,-373.2982611,255.0250073,-147.6690738,216.574027,52.124082,-242.7442967,-246.3974102,395.032131,421.7955695,-12.56746153,232.3974764,54.49278732,-180.8610814,-215.0020639,-401.7303845,-31.89291322,-132.1429404,-123.2949222,-39.38997352,116.4355171,59.40949145,171.7872254,-153.5249214,3.416626453,-55.18596493,-15.10129372,-238.602549,-64.3691213,84.52541837,-72.53017801,177.6918106,68.50887998,249.3574086,86.67275386,-99.22308334,-46.9614615,251.1639927,-96.95750494,123.0091189,-24.40236007,-59.412305,138.5542542,36.0851518,100.7912429,115.9520596,75.69397944,71.61120601,-56.80187164,95.65306289,95.83652894,-15.91245273,-112.4640453,-26.00988846,-34.51987227,61.69882886,32.31689346,-1.140724028,12.52317375,58.84494713,22.27887107,-158.5800813,112.1064624,-16.38882316,-68.09233127,47.36151496,19.34906652,22.70212105,-66.68441891,-136.5186354,-98.27523484,-83.86315537,-32.47166254,70.14304785,119.7760955,27.74579251,-53.53236476,-40.39234667,110.1224977,74.91990822,-23.43992199,6.209320669,-39.65394898,0.125805964,38.72589315,26.09108644,-79.85065985,-66.24106059,3.19134935,-40.94287962,-18.71061621,62.04113978,-23.29595394,-21.28687327,-40.40196617,-80.95671218,96.16548645,27.95263996,51.81413472,4.115780996,58.85535838,30.9570603,-38.45624634,-90.42588199,-129.0156454,-30.92686027,-22.62909106,-19.56801903,16.28236353,-81.11678461,50.11370806,40.99108526,-11.5491998,33.9829643,-21.62817115,41.04515179,-92.0192492,126.8827791,8.735917383,-25.29342304,-0.164718504,83.0444103,-55.86213245,24.57164363,25.84791267,-12.61564368,-33.26455331,-69.05798581,89.97463601,18.8875077,-48.54919107,17.10746709,-13.31129729,74.27878693,87.70391411,-7.885885669,-9.832402742
0,-387.9215381,344.6418709,-570.7375137,118.1734256,638.6114146,-271.223438,-50.56609596,15.10822394,244.0937618,826.339048,159.7789155,217.7127372,359.2484964,-357.9915955,-38.87943862,-256.1883561,215.6885429,-19.95174879,-40.71077601,-247.7888327,361.5402745,418.0746256,-189.2358687,-137.4612769,-426.7565557,-488.2589817,-70.49391353,-36.71012489,-398.1930188,-22.66155025,-82.62279517,-162.0241096,19.12634038,-165.4006601,-231.5618321,58.4432952,-185.4082274,-161.5167707,3.291548355,76.16782836,-193.0725241,-218.4743785,176.0715441,63.29784057,-10.04583854,152.7127387,17.37510788,120.485995,-250.6339663,-29.80151772,-82.34846978,12.15855024,22.46590544,9.21219309,-4.196202613,371.8252168,-123.7168503,79.27695954,6.894894681,-92.58262203,-81.36943917,141.0140226,146.4439032,5.229382066,64.43914838,-108.1365426,-41.54418301,-220.4367958,-38.25149266,125.6739613,225.6564409,163.2825291,73.66326955,-194.3192142,-87.56062228,-22.21392962,83.46670983,59.92574812,-27.17243618,123.9955683,-149.6064288,23.42207495,-74.72915435,-23.84386817,-138.9763807,-16.52788266,-2.830978297,56.55336934,-73.2452875,-74.58443714,-185.5601568,48.08791677,27.40801361,68.33112109,-51.37178573,-0.142255303,-72.8632355,2.197829536,1.299719717,-29.37935909,50.34264053,-67.69276863,56.76949233,-190.6459653,26.39469639,184.8780177,-101.6804834,116.4445556,-5.49209254,-63.56412329,-102.5212886,63.77123845,202.4719165,-52.37686441,-11.51225646,9.667015636,-85.14930785,27.71179425,7.281483396,76.77023314,-55.49677155,35.63065686,20.99252209,26.61992214,-89.46417951,38.72000615,47.33158474,-142.7161029,-110.8524087,-118.8247646,-27.39560479,135.0229062,130.3196363,59.8382238,-45.46811738,61.0554289,-8.696348974,104.1417709,-31.28051202,-29.89420213
0,-620.7736295,774.7728617,440.487366,178.657087,-27.97326226,60.36178343,-628.5747218,208.5996887,-180.8795466,204.6208142,-10.88734821,-191.7355868,-277.9531489,-145.2815661,-685.3945291,-165.0375312,-368.1535669,-40.4201784,317.5881039,37.49511504,-419.6253962,5.259973514,-118.6651392,-26.85319483,177.7513554,-50.93584091,-573.7484382,263.0732445,-79.46656737,2.994200222,-123.3141243,367.381368,-147.743797,23.10392729,-86.24553003,22.07545092,11.10051567,-204.1691824,-36.95073388,41.83024415,-133.0383046,-17.43151822,-12.81515754,-321.4722107,91.41401886,-27.21070042,-87.26413918,189.9998341,128.725052,-68.54711837,6.753822652,294.9714925,110.1058043,202.1580413,-55.4633199,84.88415013,28.12945353,25.56079188,10.66596497,-73.11497752,10.10618248,158.8346729,-24.63175226,-42.97331025,25.80350765,-68.26663603,-139.716041,9.061109435,-149.9008909,51.5884855,-5.653298358,-147.7099389,-90.49821988,-51.08747485,40.26564398,49.40112122,-20.82711156,-44.22388218,-34.2446236,-5.261463374,121.8087726,-69.27191554,25.05633996,-2.751501838,-9.524016257,66.68327309,79.77352019,187.9334224,-47.61517147,110.8550679,36.85942029,-78.69373554,-14.66995233,-149.4107939,-143.4426452,-32.72703536,-54.15549576,-11.04444458,-40.39313892,115.0577094,-50.7844028,43.47571583,99.64903446,3.679251065,7.79612177,145.2221104,-36.14344494,-128.3642378,25.42229763,-0.172696004,2.231219007,126.3072405,-32.78634748,66.29306727,4.764125613,-99.07284853,-157.8784194,-19.12789702,-63.67273076,39.47147652,-76.35515221,-152.7949106,-19.36806282,106.5152759,25.33491674,91.37018862,-7.022832838,-9.302125515,-14.95660867,135.2444099,-83.0444911,-117.0169396,-29.77714472,67.63766838,38.10968072,-12.08080603,29.89295157,10.27487669,135.4848766,14.50364664
0.001,169.5089495,177.0037099,15.56573023,357.7076993,122.3127761,330.8644958,-46.20225461,137.151997,-439.8589615,455.8062158,-314.0076192,-664.4887023,726.4229993,291.6467182,504.0930283,369.6371009,481.2423231,-190.5416963,-144.5036351,-608.3879246,235.702046,49.49210042,-79.29121991,227.8707781,66.6472458,477.078151,-295.3130936,89.30404525,66.88086352,27.56430022,236.9345546,-59.28522394,-386.3424784,50.65147198,-227.753472,-95.3745219,100.5742521,-141.8433925,-104.5140473,-79.75829175,346.5835811,-98.44652234,91.02455074,-36.92607303,-43.2519112,39.01277909,-126.5973285,-124.1185228,223.8782918,-173.0057125,123.0451789,-156.3242157,-104.8849203,-163.0670108,-328.251737,31.73029586,365.7237774,97.20032164,119.6844478,91.88664024,-93.66044883,49.81935619,108.696751,-18.92702404,-3.525817478,6.169279603,-165.1953699,-29.57010739,1.089116499,187.6503568,-66.84396573,92.98644422,205.8699239,127.6829761,244.3262761,-148.7780194,261.8451217,-157.6558267,228.7602141,-94.30950335,-82.63223641,111.8725838,18.7897991,-143.9803825,-66.65689583,-64.71951113,-50.42115308,-46.27500191,44.63106435,9.71680056,-129.6482401,137.5450715,-118.7039097,-17.99380896,69.34818598,-42.57520245,-125.282357,40.45198245,109.6628201,33.45947837,-2.097706868,-15.5000156,-34.42788442,29.20462252,-70.01844638,-26.47170241,-74.10041091,41.52388952,30.41827012,-57.13608975,73.28149916,126.1900428,9.152888838,-90.86686606,-220.8703969,40.29597694,-89.11532276,9.963627803,-201.105739,28.44411224,-46.14911844,86.35809651,54.55215429,-77.0243586,122.6037485,46.10426303,-80.04613385,71.82605708,-47.85996666,70.1894979,-43.59528292,122.9012341,54.58999426,18.75348948,74.49392743,149.5398859,40.08750453,-39.06130508,29.44852478,17.28583318
0,314.5077884,635.3528723,-435.9936011,450.3284304,-242.5718964,-108.2796908,-596.7627454,-313.974125,65.36555082,56.79589947,-178.3771681,971.5154758,597.3249048,-228.0046304,-365.9140365,-112.8353339,156.2901443,-71.73637434,-192.1061054,-102.6214697,-348.9707331,-161.9445917,-127.6834878,6.155138192,21.69886299,-376.3227475,-245.8347182,-264.3231273,-189.7910665,-395.4902749,-134.5798146,-9.707374665,32.55286572,264.5007704,-23.25241195,354.3342617,-208.8343398,-20.71860041,93.1509606,-8.022154145,144.8819769,78.23881664,-218.3658973,51.89760097,67.65532814,56.26126817,-8.963867713,-86.63377952,67.79479034,157.6710685,-300.5389688,232.1565097,146.7602078,172.5514356,-26.08900325,-93.51715203,-112.6771784,-283.8494121,22.28103474,61.68092429,193.8808443,45.12863183,125.0359131,-1.914764583,218.3318704,-36.15543228,-65.78493609,92.75265975,141.9032118,4.189991704,-8.114037343,-18.07529655,-47.99882838,-92.08745328,-41.9780351,-97.77262561,62.82427776,7.711018883,2.94610857,-49.89260792,-70.0416391,-20.6253909,173.1288784,205.5789655,-124.4020092,78.32272604,61.92792582,-140.7430809,132.1006782,62.60356283,43.54420667,-16.26070874,-11.30419227,50.59367815,94.44045249,-10.34363591,-105.6376487,2.039820372,-27.06653527,-9.426331157,125.834955,-124.6667964,-10.72308069,-78.29419936,-12.00879376,65.08682859,100.9368103,18.19840583,-191.178175,-74.07228387,39.02009107,-125.1329068,-27.23495905,-32.34009829,-249.3237092,-15.79444734,78.73113637,-121.3608141,-29.580385,-135.5722722,0.738646024,144.0997016,29.3961998,-17.80733654,-52.10400566,-26.85344142,24.56232966,142.9608098,-23.61907641,112.4179271,-38.69834713,-92.29464129,-13.15728929,2.700180262,33.88443063,-105.4549104,-97.2112732,-38.0143503,46.79973874,-150.4327466
0,741.9287184,-628.6690452,49.97143744,113.8366177,1482.490502,419.7814373,-132.3369525,752.0749318,-218.8038421,94.45985919,-249.1943963,240.1413194,48.4717231,291.6337636,27.1721363,-200.9902483,-107.0564463,-160.0260588,-158.0743084,-12.43835447,-143.0823361,-236.3253912,202.1261284,-65.21057015,-162.5877494,-9.691423207,261.2472458,212.8244574,-347.0601309,134.6904352,105.058554,167.0325072,53.89762425,-181.2607371,-159.5857586,-301.7456271,-72.80261598,109.1781041,123.0754504,-12.55115431,7.695951762,39.06648729,-63.60306719,-83.10763855,-234.3458354,54.90989269,102.5016993,-229.4972554,105.2530369,-189.7780926,-86.49798416,216.6982213,-15.87663032,-172.6066295,-158.3539759,-111.6620748,-112.6660594,-3.873611819,-33.2529162,-84.0816333,254.8614987,35.46068668,-103.5830158,-39.92405087,9.86747969,-124.0122011,-99.31775167,2.850263708,7.026999915,169.1422855,217.315801,-20.33027593,-105.7150192,32.07379329,-0.862718531,-164.4079647,-30.29458925,-159.49684,-80.28998503,-76.38344662,32.3684061,-17.21089833,-206.3135548,-25.97720546,-52.82705898,169.1913675,38.71910905,-19.98487177,120.2604832,-111.8778396,-188.2743494,-64.58548379,-45.71544084,45.70079852,162.072672,-24.93924496,-88.67480967,50.56202514,22.58157563,-37.65823887,-0.253709842,41.73884597,-58.08889155,-47.23789613,-84.92126885,-88.79905395,133.5446285,-96.56206892,28.60190697,57.83402865,2.888378731,-92.44661106,-109.9025585,-63.1218263,-177.3423245,41.59539177,83.76440701,-89.75551903,97.99826504,24.50577126,-82.50344681,29.9812924,-114.9841668,98.2660902,-56.69184807,108.4111598,96.50493317,12.10612611,-34.02419583,27.88146024,-121.3464245,-5.623650669,137.8630715,-27.37679142,73.26050435,-45.40858727,-17.47040962,-118.3814879,18.52992416,62.47566748
