pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180
0,-210.804557,404.5006332,-839.5888556,437.5579738,287.2792209,140.1408566,-6.243729092,-555.4765657,419.8758439,197.3952167,-53.82643237,299.6854954,-385.8668848,-196.9011385,328.9695671,164.6297854,107.8343368,-220.2681568,-188.2768612,126.0935012,-237.537862,-153.8040849,-157.9335119,-97.90841188,-115.2026989,-416.8794393,-126.3242701,52.07957594,236.3735865,205.022155,-326.7351971,107.1596466,82.16271365,40.87680708,-244.0721398,212.6896274,-244.2642937,-242.8214493,332.6453512,87.87479658,57.92429386,-76.84431687,-25.39891473,102.2789231,-53.81798151,5.063795721,63.73685532,109.8836106,27.65459758,149.2147501,85.40917712,55.72736417,-15.42332189,97.54356929,-237.8976813,-306.1844456,43.05358324,45.70022057,121.7095711,-153.4716838,-48.35131591,-16.70069756,84.11501389,-37.32622538,52.25973795,-34.51581293,134.4867432,-155.0549385,4.264919892,-28.39381046,54.72775418,74.3348477,6.42024883,-49.20921152,-71.06033266,-180.7552555,-111.4725519,141.6673204,-178.4068081,-80.79049885,-135.1101313,7.358516922,-41.76148929,113.4209848,-9.17858917,25.83657628,19.78664708,-17.46601287,151.8802169,3.558703381,30.07815116,-93.7496106,146.4445522,11.92473678,203.6020537,-47.52835564,73.24734596,175.5625166,-17.82382022,-44.28999431,-91.28482043,-25.21399242,28.42089722,-100.3285893,-130.1924314,124.181218,-111.3877999,-22.13220542,-18.98025008,46.94890737,-18.53604062,37.53174619,-119.9226524,-61.45450963,98.04429272,-87.61228358,-25.17167004,-118.8100772,38.42304391,-52.57325139,-100.3306152,-66.0486759,39.05387622,-96.07511586,68.65314772,54.31912601,21.35045548,-17.62203451,45.65834645,91.33814069,62.62143336,31.09224468,-3.544599919,38.96638763,116.393729,7.804705114,78.86697815,-14.03871339,28.30402664,-50.62065202,-65.15112886,-41.82516989,-76.65215025,-50.39975553,52.01153062,67.63350709,89.97948732,-74.53457813,36.38450491,16.16734653,145.5556414,-9.2387413,-5.988593971,-25.30269162,15.59604594,-82.83634132,6.893978232,34.34537421,41.1596939,-66.64011878,-101.417399,-6.179015963,-25.76525911,-63.84929076,33.22425851,59.0585674,-13.93536612,46.02225659,-33.81428175,-27.86803484,7.3994242,18.28175753,57.08071119,167.7320561,-53.07845859,-56.40565022,-10.88825285,-49.52968098,69.66905977,-78.29232097
0,-755.809412,134.7732935,-249.5957265,-728.0385497,-145.353091,433.8524475,-57.7480365,196.956793,-12.71793741,-145.539483,-244.4642844,336.1474431,228.7988503,-33.49277667,134.6859912,-5.800206952,-137.659075,-240.0321768,-278.1718672,-23.1106345,-158.2575244,-67.73618319,-14.42903351,57.61779681,72.97413144,208.7769769,-183.641441,26.82835224,-80.12647919,65.23491361,-237.670033,-132.2423649,58.02278618,-183.0862817,136.1890259,103.5808323,262.6744668,95.69837769,-51.64260881,-46.71202054,316.1457852,-25.49523281,123.6851613,28.33279846,59.45306775,171.8196773,-8.991999588,64.9077627,45.72920454,63.31477723,31.95315093,49.96814121,133.8486234,95.8368841,63.24185765,50.1132666,-102.7963634,-45.5664813,69.14642102,25.6712557,-40.44131301,-111.1934648,117.8989061,-130.1484669,-260.8301415,56.17958882,75.56098946,108.5447741,-61.16155572,-11.24671935,86.2317879,-143.3993255,-217.9339972,-35.1658362,-22.76628589,-13.15752936,-3.0658611,61.27258679,61.051908,6.1672054,-64.94834539,-2.211076259,18.32721361,0.239232352,-22.90167005,-9.002112752,127.9398735,60.13960748,45.35050045,-21.49640727,-23.13835695,-33.91315897,-15.59579659,-71.80703934,-31.33844084,19.12019191,28.80917958,-22.04518544,29.40815297,19.81661564,-97.94840803,55.28961283,13.15134272,-49.36310676,35.42926988,7.259122599,-96.82262655,-21.33257766,72.57038419,-28.92612274,-7.733411453,-88.90971828,-33.74841226,12.17248947,63.96920516,26.62685133,31.57551946,29.99514408,17.31578833,-20.78836155,5.259882398,-5.335828353,42.43194261,-36.97965603,81.94093503,-18.28879456,-61.44410266,14.26727446,27.03935745,-61.59088177,45.89087836,-2.538861611,118.4144116,-87.44546559,-18.60891676,-6.348611176,12.62144278,56.78949255,72.41636042,-50.98502518,-72.84029204,73.3896956,-11.1375425,-58.07254855,90.81619409,44.94359066,18.96507433,-19.6888802,40.73752934,-28.85240768,15.85289154,112.3950093,38.18606051,28.21065906,81.68039813,50.21166196,-45.35820046,-33.57821307,-71.81847887,5.822840577,16.52934649,-78.83929251,-46.08117185,-6.89189674,-10.14319545,18.41531284,17.65162607,-61.92549759,88.1491357,11.75603855,7.972595189,26.28025632,-91.65324697,84.85403623,28.97715892,17.35236456,38.78784592,13.62815541,-10.78057609,-36.24572078
0,690.1339884,-339.2322589,523.970033,891.0766455,348.9822787,234.1232036,-552.102347,-448.534735,-324.416276,-210.1971803,-475.1149482,588.3239991,-334.4154527,137.8327288,436.9313158,20.09301715,138.8448125,285.6354205,151.5644461,240.011401,-319.2404669,-0.622466346,266.8355584,-101.2862478,115.7534168,-66.90808195,4.844092164,-31.71218217,106.1269613,-91.68835807,-102.0273715,-129.0953392,-2.544669618,-123.9235441,13.68606382,-4.389561134,361.6227254,-238.61616,162.1948304,-115.3242368,-338.0284996,108.8411056,68.19216502,-282.1821554,-93.23471652,-163.735603,120.8612936,-186.8532073,3.217905329,-46.98104103,51.02925758,-33.22399169,22.30515656,55.18552036,75.17319677,65.51919568,2.087999002,15.82336433,68.25426998,-49.69192446,-157.6764376,214.763947,-63.48690126,15.66406029,40.84672641,-14.187092,-242.1378757,6.465074301,-26.4313784,181.8532631,-12.556034,-77.139214,-55.39145919,148.0339256,-154.4692351,-95.93108747,10.51346296,-11.36269199,-21.9964368,46.51190624,89.6674029,150.7787904,-24.18115209,-77.83651502,99.32199456,-1.237720756,-34.12128512,162.1024355,21.67851966,-54.91152802,122.5222154,10.71703089,-112.0880908,19.07771458,25.04163443,25.97873957,-69.91208609,-15.88095094,-59.44550308,28.2630887,-29.03479169,-107.4382574,42.31206893,55.66445149,68.65202709,-45.3156447,-106.9254635,23.45459712,-17.51743307,63.39250015,-72.54499633,-109.9168759,-38.17405278,58.30754825,-58.32953012,71.02557174,-51.42720861,-41.69347614,-29.69059932,65.11602539,-87.46834693,9.845588733,116.3646284,-24.67788023,124.5571572,-39.22039669,-42.81464872,-6.952534587,11.32506206,12.44307222,42.97068897,-10.1600102,46.80266227,47.19179723,111.7739807,-6.902244158,-115.1407778,-24.11902439,61.00531894,-78.46080155,45.89746467,22.8471593,-49.58301236,10.37384863,46.45612682,-107.946005,-81.5991085,23.62919502,-66.77228491,101.9994558,103.1896058,-90.86540769,11.97190046,3.295202589,-49.63332778,12.44069499,-2.536127753,-107.9090421,-42.62136458,-13.97877785,34.99628043,-17.2699547,-40.92714613,-60.83342292,84.4601404,-119.5045857,-115.3928423,34.84830719,-4.313583144,-24.0351595,-107.500074,28.32126644,35.10357058,17.86845699,-105.7392342,-56.35147569,25.80497633,-14.1529935,62.15577934,44.23510924
0,186.8790419,762.6747458,-401.0660664,369.4611698,575.2733133,-249.3087126,192.9143116,48.27310658,-592.8910121,363.6764309,-57.41213649,-589.271496,27.6955941,166.0849552,-212.1688219,321.8577895,270.5576316,110.5228168,-325.1031726,59.02174965,23.35033745,-9.561801993,133.5887531,-454.2620233,227.1323763,-259.5644994,85.35633201,414.090531,-260.8327128,288.4386186,-43.37679409,-142.3230912,-68.01522967,-85.81381697,90.84140641,76.56313842,96.2437506,-13.19060716,-191.9386858,-168.9764864,179.8635632,108.6998253,309.5755662,-40.62645919,185.1009585,-6.869051353,79.97678567,-255.5837242,-10.54497102,84.44353673,-174.0979755,29.12622767,71.9639906,-48.47406988,71.38431466,37.97221308,17.83166372,-28.06908099,-146.3998341,70.70058477,-7.363076282,-43.75914808,34.65625188,-21.12945117,-45.45309337,163.5313195,-151.1534925,-71.50859024,94.49911726,79.36344089,92.89132655,125.8121119,-52.63361284,-77.56683293,-16.18023718,-29.90665728,-173.7894726,-23.57394254,-80.777782,-28.43169323,-157.1830758,17.8060601,-76.30809868,84.82140098,81.31092901,83.95963944,-39.07570105,-2.979269267,-73.81472917,132.4108866,-18.7865393,-65.15998625,34.85796526,32.26085323,119.1386987,49.26701574,-42.31198866,76.73456788,-62.7581058,-4.318856741,-147.8171711,76.04517742,-109.3337314,-104.0287793,20.71752807,-99.0119906,-3.054721034,48.24489424,93.23799054,-21.30122562,21.23806447,-55.51067874,-9.971865537,46.84378702,60.68623612,139.8062454,38.96207115,-82.03026884,-11.04148877,-104.0087679,-58.60528661,65.21788827,67.00876099,30.84892829,-66.0593805,22.87689756,-9.114348873,97.08278589,54.30539588,23.79788906,25.93898481,7.722161258,5.859577975,-7.935032687,20.55907878,109.6722044,-4.144039697,-179.444439,-126.381699,-64.1311279,-27.35069007,-34.92566468,2.02124078,-16.93226997,-79.24813707,50.57435834,-22.80571705,32.49139336,-92.16517541,-0.455602769,-58.97227809,49.79854711,13.51976735,75.07987666,22.87326679,-39.5603653,-23.12386677,18.11473993,36.20407746,-59.91861318,48.81042647,43.10209928,40.77117422,20.57519427,-0.150969016,28.46652389,37.08855909,-46.86948329,-2.046540635,-76.77642724,-31.77660984,-35.04642689,19.24983006,17.4141868,-34.49739786,52.70518807,-14.48890349,2.051599215,38.6242067,80.24871266
0,-773.4863225,41.5627832,-233.8157882,-627.5743547,-373.2982595,255.0250137,-147.6690767,216.5740198,52.12409097,-242.7443193,-246.3974036,395.0321823,421.7955101,-12.56747188,232.397525,54.49279414,-180.8612603,-215.0015518,-401.7302516,-31.89308277,-132.1426844,-123.2940406,-39.39133519,116.4355839,59.40786557,171.7874829,-153.5231336,3.416917225,-55.18332362,-15.10225453,-238.6066646,-64.36795368,84.52288931,-72.52138134,177.6817387,68.51553731,249.3575856,86.65723492,-99.23307624,-46.95777612,251.1877527,-96.97067643,123.0186525,-24.40193204,-59.46782622,138.5512234,36.18134463,100.8107304,115.8177227,75.65752814,71.72183589,-56.84665491,95.63119322,95.77148514,-15.97756725,-112.4615457,-26.03315421,-34.62032038,61.87630296,32.12007384,-0.823698811,12.46569404,58.68103916,22.63411798,-159.4935421,111.8897141,-16.05984903,-68.48356127,47.50962697,19.34805148,22.17832571,-66.09038303,-135.9118027,-98.62334255,-83.81635704,-31.38357416,69.492575,119.9850128,25.93137822,-52.03264906,-38.72564628,108.9794475,76.6123512,-22.2378411,4.367016875,-38.46606806,-0.448928966,38.50052058,26.92396376,-81.07850998,-59.89571188,5.434714077,-41.07985212,-15.83675291,57.86738373,30.2533704,-15.34569885,-33.05481401,-82.02831556,96.07376112,8.726793063,51.71229562,4.079696152,49.8001082,29.51904613,-47.74236012,-71.85254074,-136.9297322,2.883059341,-25.06191726,-17.32220194,1.600292007,-54.19045298,78.69854023,-7.02598348,-5.606773507,21.12771054,2.522904337,-22.0138207,-43.67291229,128.6417133,-19.39954867,-2.955054972,75.71194819,-9.926108499,79.84215289,7.197835458,17.55440746,-22.63661356,40.09876614,-107.1968521,-10.84180467,96.41364323,26.12385722,-26.50449487,67.3703488,-36.9699805,-1.014339851,-1.228377764,-20.29871734,-163.66627,-53.06661975,68.67323514,-45.00135223,18.56793647,-3.045653587,32.43253422,63.45732159,76.93289153,-88.50050203,-17.41562248,-1.188784817,14.18046516,-0.941045314,-27.67605723,-35.86641974,-76.27631803,-71.34104284,-24.2702152,-12.24768916,-49.45264441,3.313699884,-29.98220844,-51.48141842,-63.89322875,-7.168386602,42.14713547,-8.012715982,12.9415871,-1.532676909,44.02561155,28.94583701,58.82027146,-47.80178886,36.6418835,-20.82382655,42.95830074,-28.36888117,35.47040477,-23.0569706
0,-387.9215381,344.6418712,-570.7375144,118.1734259,638.6114144,-271.2234412,-50.5660871,15.10823521,244.0937524,826.3390726,159.7789179,217.7126948,359.248655,-357.9915961,-38.87943991,-256.1883004,215.6883293,-19.95152465,-40.71107092,-247.7890882,361.5403837,418.0742248,-189.234441,-137.4619504,-426.7540444,-488.2558224,-70.49378087,-36.71378624,-398.2000683,-22.65805737,-82.62558742,-162.0284187,19.118789,-165.3945396,-231.5428027,58.44593342,-185.4160497,-161.5017462,3.287108331,76.20359597,-193.0739955,-218.4128883,176.0539778,63.320522,-9.996903396,152.6471869,17.31421676,120.4487762,-250.5653845,-29.73356202,-82.42815668,12.13173523,22.47804544,9.292908468,-4.084327061,371.8368907,-123.7810948,79.39267907,6.789800904,-92.48768225,-81.71332898,141.5134192,146.427191,4.705495831,64.98349861,-108.534921,-40.19087951,-220.6902504,-38.57836934,125.0934494,226.5724964,163.3778031,72.83490394,-193.0349806,-88.32919274,-22.25744309,84.13838474,60.70427868,-25.70861705,123.4514983,-151.7956295,22.67979889,-76.42431974,-25.97117113,-140.0000776,-14.87302089,-0.958458019,56.54526526,-71.08530029,-79.6614251,-181.2931363,50.41488207,24.28215757,77.03122506,-46.13952674,-33.74112575,-67.97131644,1.828586417,-8.28856244,-20.67819309,51.13611345,-56.11772611,59.56729601,-160.6877294,24.14292729,193.6714587,-111.8810079,123.8896619,5.99385803,-29.48949208,-126.3696585,49.87820762,201.4883215,-87.37388442,-17.44661273,25.2062721,-59.00168556,-44.57304446,12.51838043,8.408453211,-70.8496095,92.34001254,-9.463762852,24.82691436,-47.24756801,-96.06736844,93.93557139,-24.43434393,-183.7955826,-121.8264032,-126.4246158,103.2728862,-14.98441729,-20.54400226,-148.4409435,-23.17442414,-157.6826807,81.40659184,67.00335248,15.12090491,-42.39587264,-83.9051178,-7.476736073,-38.82818491,-61.35324512,-131.3599821,33.07654393,15.42713078,24.53462763,-34.9764694,-1.629220182,27.35471753,21.641512,-131.3052969,-11.16097217,23.13057891,-33.41473455,-34.05790908,92.71642973,37.43390355,-91.52144102,11.75276148,107.9409521,-8.08633859,-59.44509325,-132.403982,-5.445952851,55.46853976,-22.58807655,-28.29234815,17.9170322,-44.59479052,-11.51460457,-5.722733061,-18.72081464,27.40715863,-81.36155516,-25.00590344,26.36082506,-19.84975359
0,-620.7736295,774.7728619,440.4873646,178.6570866,-27.9732631,60.36177932,-628.5747199,208.5996806,-180.8795601,204.6208232,-10.88734368,-191.7355711,-277.9530557,-145.2815747,-685.3946512,-165.0375825,-368.1532383,-40.42047648,317.5881926,37.4956323,-419.6257385,5.259677982,-118.6650872,-26.85288614,177.7545385,-50.93698936,-573.7537687,263.0737166,-79.47151506,2.997069692,-123.3110906,367.3765384,-147.741433,23.10450877,-86.25204829,22.06704208,11.09361186,-204.1555803,-36.92012899,41.82530435,-133.0388238,-17.43603527,-12.85775973,-321.5530263,91.52071373,-27.25561635,-87.3624099,189.9729609,128.7751811,-68.53301856,6.716480092,294.9543027,110.0866623,202.1462455,-55.44735974,84.95618656,28.15244474,25.46421214,10.69967314,-72.9183204,9.671537735,158.9785629,-24.70503172,-43.15266966,26.16941531,-69.28138651,-139.0264266,8.93172332,-150.1512052,51.85258702,-5.924105317,-148.5344107,-89.71546871,-51.13519734,39.38248439,48.60269212,-21.3634529,-43.29264043,-33.55863071,-7.133512728,119.5181569,-67.6243689,19.56191439,-3.114349804,-5.88392739,66.92494057,80.90499091,189.0054049,-51.21177401,115.7092056,28.74036727,-82.00233063,-17.07547418,-148.6368137,-83.42385973,-128.2258598,-51.39584313,-14.80164162,-36.33059253,112.0813737,-63.06897003,50.59799693,91.65875291,12.79433848,-0.748694348,134.5996577,-35.41554877,-126.2523295,57.70304451,-11.93572331,-10.97482292,120.8460256,-17.79006233,80.68008057,5.647799616,-92.19009447,-163.5013819,42.30364567,-0.285321939,7.459460835,-148.4003434,-97.32152203,-83.41475551,-105.5925745,-83.60888559,-27.96945194,30.16209317,29.86853351,102.5128596,-23.60730881,86.91374569,-112.0998739,-39.8605296,-46.54033162,24.61625144,-62.85773274,-29.81791954,-11.55040804,-14.88423236,-94.20179372,-18.33857624,-79.27653796,43.91735328,-112.9149352,76.28309639,-127.836243,23.31938073,16.12510791,37.97444187,12.13450191,-45.59911136,21.46250516,-48.33957058,-33.62524149,-50.31525496,50.42529576,121.6468783,84.93640231,65.57478311,28.9790826,-1.758053404,33.21982367,70.18594943,-1.390039728,46.26149278,29.25095484,-56.71896093,-56.94184296,32.73388751,26.89934102,-13.54013585,-24.2028722,21.46421318,-31.27103141,16.5353429,-59.18265627,73.03859027,70.97357963,-78.62391294,-5.665318908
0.001,169.5089494,177.0037095,15.56573006,357.7076988,122.3127772,330.8644994,-46.20227572,137.1519941,-439.8589514,455.8062684,-314.0076627,-664.4886331,726.422979,291.6466249,504.0931912,369.6374598,481.242543,-190.5418565,-144.5039378,-608.3878438,235.7010047,49.49224379,-79.28989691,227.8724339,66.64663392,477.0770424,-295.3140125,89.30634419,66.88304783,27.55722665,236.9355399,-59.27978842,-386.3474545,50.63771199,-227.748474,-95.38354818,100.5865937,-141.8429624,-104.5360833,-79.76673785,346.5153376,-98.44629799,91.08923683,-36.9443761,-43.17520125,39.05932415,-126.529229,-124.0719472,223.8977015,-173.1372011,123.0867894,-156.2835925,-104.9517969,-163.0955011,-328.397048,31.80533459,365.8971751,97.19385606,119.4957654,91.55562704,-93.43079309,49.33269263,108.902792,-18.31201676,-3.313307363,6.441742483,-165.6368511,-29.12277295,1.616058855,188.3065355,-67.74833141,92.05464397,204.5608233,127.0169306,244.6769117,-149.8254491,262.258659,-156.7375398,230.6330298,-97.39178445,-81.4319532,112.8972959,22.64009987,-143.1776349,-69.89638542,-66.75105342,-49.86257586,-42.19164171,45.67478276,-1.472691352,-133.8639469,139.6556486,-114.5167591,-26.21972244,88.41631961,11.84939967,-132.7942115,34.64217053,110.0716053,24.52915183,-4.234452513,-20.81489857,-33.45028828,20.65421393,-60.34675673,-26.69371743,-59.70530504,29.45549007,-7.709984551,-95.319585,42.29837205,144.4945395,-43.05764143,-173.1780194,149.1662336,60.35251215,-81.12636825,1.072075761,-96.64173844,100.6068143,-16.6589024,117.4664571,16.89574299,-159.9513152,74.68476859,83.4460647,-53.65665962,103.1338293,59.38987411,28.5587162,-5.028619166,-49.84336714,110.9780051,-70.98175226,-111.2026113,30.8057592,41.25176255,-47.30533641,3.215403446,22.31466319,73.144936,88.02534572,-156.5048491,5.879356409,-40.62337913,-137.8116942,-47.12096658,51.64850361,29.58502707,70.88942332,7.331427604,-116.6607299,10.05138728,-62.85474904,-30.0510649,104.9459265,-6.417336185,-57.74915897,20.50269179,17.99191063,1.973785526,49.52712222,-59.60852075,35.54804103,0.15350898,105.754551,-16.3178033,-71.89359702,52.87458404,32.20183391,96.19464586,32.14152127,-61.77159809,66.30409215,-2.899096637,17.77810708,-40.79286111,-8.78024779,74.03610118,-77.72665305
0,314.5077883,635.352872,-435.9936005,450.3284305,-242.5718952,-108.2796926,-596.7627501,-313.9741262,65.36555748,56.7958998,-178.3771548,971.515524,597.3248719,-228.0045893,-365.9139318,-112.835327,156.2900505,-71.73612169,-192.1059619,-102.6210856,-348.9710045,-161.9441211,-127.6832512,6.155707625,21.69649664,-376.3246352,-245.8331278,-264.32336,-189.7869952,-395.4957043,-134.5822877,-9.704784409,32.54885854,264.497092,-23.25301257,354.3218518,-208.828898,-20.73701632,93.14033288,-8.044676764,144.8738761,78.21092501,-218.2949825,51.90077717,67.62420103,56.27616176,-8.915604069,-86.57647797,67.73355999,157.5949331,-300.4872749,232.1631039,146.8094569,172.4636773,-26.14836937,-93.35912788,-112.5157251,-283.9912899,22.30670312,61.48080753,194.1910119,44.84274094,124.8966849,-1.867504315,218.1807196,-35.23330409,-66.58394819,92.89716495,142.4656765,4.22355964,-8.628040074,-18.28137308,-47.44935584,-92.61183516,-42.12484761,-97.43747236,61.98629659,7.32797098,2.454833006,-49.01961971,-67.12053609,-21.57385224,177.7680438,204.97208,-121.6813148,83.17928722,61.09934212,-141.8318161,131.9014223,60.92971631,41.75826914,-15.91676695,-8.524474422,47.15926542,87.31571627,59.82207643,-110.9027741,12.42153711,-26.3793348,3.91426195,131.0717512,-124.3936373,13.22009158,-83.16762186,7.342990581,69.03078104,86.17460839,-10.98247428,-201.1328705,-50.27341734,28.56494271,-121.5200028,-44.75644345,-101.5079547,207.446838,16.0024113,78.82114613,111.8760529,-130.4172995,-71.26102686,88.89746131,109.1429943,62.14663107,25.53073891,-1.446595906,7.835521504,64.10561427,15.55738281,83.55844967,96.52194481,81.7651597,-149.2484996,-61.60097236,29.27930786,36.56898425,-86.75333078,120.5635594,29.96499544,-39.87636632,40.65692951,-10.95863014,-33.23325008,-92.34198183,14.52192607,-7.642034688,174.4831992,-56.97003809,9.948034466,13.14619358,48.59236208,-67.45985882,-46.33479238,-105.7593858,-76.2853122,10.67872778,7.532361478,-74.60343926,-31.19955002,-3.245500852,5.606356383,-114.5421663,3.743413778,57.01768231,-48.11612723,32.87965831,-16.41961991,-44.88739087,-66.82557306,-11.54744986,-0.988546167,65.79453292,-79.13794264,-27.98079275,97.67713578,26.03377869,-75.94890068,-55.7510754,-104.6347164,-100.1740916,-37.24598853
0,741.9287184,-628.6690453,49.97143764,113.8366191,1482.490501,419.7814358,-132.3369446,752.074938,-218.8038638,94.45988836,-249.1944534,240.1413343,48.47175132,291.6338105,27.17223316,-200.9901443,-107.0566495,-160.0256088,-158.0745946,-12.43777862,-143.0822799,-236.3259282,202.1283233,-65.20838094,-162.5869708,-9.693080963,261.2487173,212.8237523,-347.0608108,134.6867824,105.0509478,167.0321081,53.88815147,-181.2607718,-159.5730764,-301.7582957,-72.80474746,109.1735622,123.0959956,-12.5502883,7.670669331,39.07391006,-63.52661654,-83.12113373,-234.361067,54.89240827,102.4996622,-229.5308847,105.2458102,-189.7777123,-86.50411703,216.6540277,-15.71109188,-172.5717708,-158.549289,-111.4173053,-112.7721142,-4.054793109,-32.93713038,-84.17961652,255.6700133,35.50561926,-103.670845,-40.18183692,10.57830824,-123.8030137,-99.72268994,2.78714678,7.125769069,168.6677898,215.8563623,-21.13875493,-106.4279991,32.51595733,-1.634705633,-164.0556866,-31.5498507,-158.1794783,-79.00670521,-75.12993274,32.63944138,-16.52145699,-202.4128706,-29.5477202,-49.3721163,169.2529463,40.96824697,-17.37720383,122.5773319,-121.5431218,-185.9107908,-64.08773164,-43.20026076,47.46484658,138.4937814,95.91787989,-87.5706938,54.93747859,18.93017673,-32.40558508,7.137193128,33.23809288,-51.30531669,-59.84706558,-74.09902609,-81.77969272,144.6588202,-59.62576165,32.13024538,47.3509488,43.48910192,-112.4546622,-149.7742935,-105.0878942,104.679048,52.99977591,92.94122376,106.6074624,40.05917767,-85.20565103,-42.6404042,41.92635731,-187.6936922,12.03784735,-85.39285498,-19.46295967,123.0227414,10.51059774,-68.62071782,5.552413562,11.91383612,-148.5955435,52.07696408,49.18004855,-119.9616829,4.849407861,132.9889938,66.72705728,18.13611481,27.36876487,22.7055397,-55.05232836,85.79285832,37.24761359,-7.865623762,-12.51937082,130.0109024,-80.89263563,-39.14065015,-29.79605892,-65.64246942,13.22969251,68.91925987,-63.91519722,29.8101482,-23.88158264,-9.635369011,38.94859242,-3.198891298,-61.17829096,-97.38734538,58.25297413,28.15451789,-63.04511072,5.070404082,45.91652218,34.40610317,-3.708497709,46.74628681,88.2534772,95.33599995,19.71180532,75.30499832,-0.993501419,-83.62024735,-13.05452474,64.3805434,14.89153633,16.31515948,205.8964012
