pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20
0,-210.8045616,404.500632,-839.5888948,437.558022,287.2779706,140.1443624,-6.23202325,-555.4660196,419.8689863,197.3345666,-54.1396667,299.8197372,-385.6006092,-195.9038741,330.1163792,163.4056268,109.4250071,-229.2841651,-174.0579297,124.8904487
0,-755.8094153,134.7733091,-249.5955517,-728.0385519,-145.3519904,433.8526498,-57.74366084,196.9405399,-12.69665065,-145.5223374,-244.3255448,335.7817766,229.1193292,-33.64455575,133.2624589,-6.951879662,-138.1590933,-240.9400131,-278.1533699,-21.88194203
0,690.1339852,-339.2322559,523.9701331,891.0767192,348.9821754,234.1253933,-552.0953286,-448.5373744,-324.4094114,-210.207631,-475.1675017,588.2526645,-334.0167649,138.0770421,437.0199327,19.11737054,140.0993258,283.7465873,153.9979389,237.1306718
0,186.8790419,762.674755,-401.0660035,369.4611093,575.2743042,-249.3102168,192.9125245,48.26794478,-592.878836,363.6993396,-57.26414032,-589.4569488,27.69241191,165.7464921,-213.0787346,321.7121098,271.1153321,110.3028415,-331.1691627,59.55008509
0,-773.4863267,41.56279431,-233.8156401,-627.5743295,-373.2976509,255.0262175,-147.6642105,216.5608063,52.14053254,-242.7365281,-246.3180741,394.7183509,422.1539795,-12.55987703,231.3125052,53.28573975,-180.8587695,-217.8501621,-400.2033682,-31.35449267
0,-387.9215347,344.641883,-570.7376035,118.1732364,638.6122833,-271.2265199,-50.56896431,15.10333365,244.0908748,826.3619514,159.8492236,217.668026,358.6950041,-358.2620894,-39.40924232,-254.8884269,214.5724756,-19.35640494,-43.61830121,-238.4364427
0,-620.7736339,774.7728544,440.4870958,178.6570663,-27.9750923,60.36522635,-628.5690965,208.6278025,-180.8965809,204.5492662,-11.24107167,-191.4835144,-278.0284875,-144.1617705,-683.7377455,-165.4253255,-366.3084109,-43.43009986,328.1205002,43.05597626
0.001,169.5089514,177.0037044,15.56553957,357.7076098,122.3123828,330.8637521,-46.20725977,137.1640156,-439.8773768,455.8119478,-314.037103,-664.341737,726.0473204,291.4835666,504.5969158,370.8570309,480.1648516,-193.2942049,-143.488333,-603.6660174
0,314.5077893,635.3528708,-435.9937618,450.3283419,-242.5723686,-108.2809117,-596.7663168,-313.9791674,65.35061661,56.80696345,-178.4454848,971.587918,596.8813905,-227.7811468,-365.6518105,-111.228605,156.4161842,-75.2415419,-188.530499,-97.91716136
0,741.9287215,-628.6690451,49.97133522,113.8365566,1482.490711,419.7797026,-132.3394162,752.0872906,-218.8065319,94.44658989,-249.2064318,240.2816761,48.19629511,291.6384677,27.78952495,-200.669185,-106.9661727,-160.0235779,-158.2625627,-9.929682539
0,40.75353585,6.766581224,704.2025159,11.45494429,645.11185,-106.1714508,279.7110024,620.050664,-176.2003469,585.6909933,-382.3128354,640.6605244,270.4973495,-184.7957175,90.61421883,142.2145309,466.405252,113.1835011,82.33021877,-78.18565794
0,-34.75564705,775.5416951,-412.8736119,237.0473584,9.767566362,-402.1887842,-733.4285037,-413.1458817,-127.3403395,326.8248734,-190.0367568,-23.04682556,32.54794453,-62.10039063,108.7522865,238.6972959,319.6230126,95.84143492,157.882143,71.16913367
0,639.8503703,51.45902138,87.58669922,653.6110939,943.5891068,-219.3621668,-758.6788893,546.2595494,-404.9957369,-627.6135256,70.77938376,295.4830166,-181.2741977,-3.685247009,469.8871569,-155.139237,-97.72763302,104.7609525,-3.022127435,317.0317141
0,-895.8247842,-42.90334975,12.95508191,-443.754202,-238.1557874,699.8652026,-210.6164462,-278.629042,154.939311,137.7864336,-294.0310181,136.0330701,307.5581212,76.88356826,130.4269035,-113.5700393,145.5299016,-13.72990712,-41.05409104,307.0374344
0,-395.1365167,-387.1790326,100.5288674,-127.3687157,1049.887022,84.25340958,-225.0279922,290.4989397,-138.0945609,-264.3440027,275.7500397,392.7098059,-489.6582814,182.0964243,-592.3004218,-524.0507056,-233.1044668,-199.201895,-47.37841423,-82.09457605
0,-15.22347008,591.6760018,-540.4384932,581.6479893,370.1428647,-444.8054152,-182.3547465,40.13830248,-227.8651162,287.8283183,-217.6200984,-549.1165679,-46.95891878,302.7784972,235.0883641,174.0891561,499.8312705,306.9019345,-170.414356,-204.777435
0,-291.4338492,277.5718992,-426.5550059,891.1093799,519.684358,281.8487823,-11.76544096,-561.974181,642.3668025,197.2039261,-260.0318443,163.0353195,-518.5552583,-42.72106872,418.8316124,379.8256954,-113.6897698,89.70415689,-420.7694212,223.9779993
0,-655.1518691,105.1364662,944.0311226,309.6682789,561.3375653,-285.9526203,-2.580391993,-12.53037877,647.8602156,44.97003825,891.3424092,844.4424249,-231.0805515,-44.91626588,-334.7910347,-54.14118221,-24.46035758,-43.64779036,310.637945,210.3792917
0,-152.6594276,689.6379443,-374.6830173,-75.49038299,366.6565278,-557.4918366,-457.8903594,-218.4930429,-351.9923554,612.327778,-316.8960099,-130.5796728,-214.0601447,-287.2525737,-202.0011473,-110.2144241,-89.1405132,219.168058,-130.5019897,-124.5169362
0,-79.4661473,394.0375081,-300.6856114,150.5405114,-387.3389605,-209.913164,-896.7745224,-672.2344272,67.45751063,62.06192987,10.58597762,728.1255107,460.0401661,-431.3281266,65.08061964,-288.6495712,-86.80465291,-347.3366149,-67.91537904,-55.54473
0,-133.3694736,129.5383089,660.1827167,-2.692198227,547.8299593,-23.97786453,-238.2722237,-14.07068086,-406.2590888,27.78466521,-360.4074183,-104.373485,-323.3740619,-556.6050947,-564.4093882,179.2560144,189.2806318,759.3644105,183.9539601,25.1700567
0,-285.6644746,321.7862262,251.6345601,314.6311521,308.7739798,-127.3236097,473.5511918,380.4487243,-260.9693243,799.8060124,-523.1688877,381.2115855,405.9170237,87.15530234,151.5857724,248.3491522,164.3907801,39.813242,-119.9015547,284.2190467
0,70.35089264,41.33906928,-233.3498256,-9.507228003,256.9467171,605.6104375,-780.4809657,-153.7958404,71.20086582,-146.8732155,-429.1624227,-576.3453843,-15.71860496,-291.4847406,-226.9550788,189.0227277,99.26652959,-283.6921109,558.1951356,-410.5845063
0,-532.5482968,604.2110103,-302.2302432,135.5957877,261.2675234,-314.6014469,-74.12832945,40.79266905,-549.6805547,434.5186894,-380.880737,-203.6760287,-218.8823922,427.4167379,-35.25238611,-154.4010909,-212.5863213,164.8327457,-82.20163977,-565.2456707
0,1501.472914,-324.7256194,482.8816864,1063.766437,406.0389113,518.4194534,-41.28222601,465.0577499,-516.9633958,104.2823031,-537.5464996,644.5356077,419.2673647,224.1467435,394.7668601,-156.4886564,-159.0378704,-248.033536,-232.1411379,-457.005903
0,-457.26002,622.2066752,-449.6902003,405.3591213,414.9340228,-111.9866655,-271.9344976,-266.6202748,-293.3603231,255.7036556,90.12553831,62.84112814,-822.7729795,55.2572982,169.1909561,542.6626918,-253.5750366,132.6742586,-219.5691099,-119.9855551
0,241.0232409,796.9337663,-337.4523845,413.1758716,469.6394559,-364.8744482,-468.9470064,-157.7636011,-611.0674053,351.2751213,-51.45792435,-614.6845284,37.10799119,-133.1403786,-414.894154,39.1909692,247.1656235,302.2659544,-84.46069375,233.182874
0,810.9870282,-522.1430797,267.1388313,568.1229919,841.6707648,-425.9553423,-756.1384676,-141.542199,-22.99432236,-667.0347241,-96.74166514,238.1235229,-184.4084804,-59.83622511,296.8898381,266.7644525,45.26024756,244.3185425,46.2365773,339.696444
0,-846.6205365,210.190687,-92.99383577,-315.5895441,128.8949149,712.9791535,-200.5216991,-152.1319358,68.63066892,96.48643515,1.487340281,-56.39264792,174.5986412,-167.9348095,-59.52417375,-187.4559371,377.2339765,71.96564878,26.40310791,574.7180345
0,-677.1111503,-158.9803653,150.8882724,517.711913,180.5700963,387.9838377,-476.1531833,-484.1748652,907.1357814,-24.69122524,-415.7227737,-73.03878964,30.92755362,-163.2095263,-201.3997289,73.92830985,-470.6851657,-17.16780889,139.9479925,-246.112464
0,-893.9869106,369.0063961,-247.1982285,-258.2628813,54.7749328,627.8586332,-185.6377429,-288.7205509,71.98199732,196.3660521,28.72456794,-248.2088163,75.1848053,-24.30368376,67.96996358,-266.012457,52.04613789,76.25987693,31.47738201,390.4602262
0,-887.9516838,107.2689497,471.5247156,244.4555127,870.905093,-173.53616,-548.2556018,-414.45845,517.2135675,-352.8645965,412.9372067,-389.6312553,407.9818316,12.36933003,-396.7595292,-144.5031608,-442.7860721,81.24370752,140.8059698,-82.46561907
0,215.3800864,863.390192,394.8212346,428.3432289,541.7452447,475.3035274,400.99828,704.2774033,-828.7061173,-275.864228,-116.9967314,217.744483,47.63228287,118.0170579,223.6477297,-347.9192574,-229.0652406,43.09634268,579.8506945,155.2589859
0,302.8866804,-28.30941309,-1174.179809,246.4256644,-465.2338945,-65.30504114,50.6495252,4.34694788,370.026648,-94.90064864,139.3990275,225.271941,338.4899819,-389.8066805,-84.74706365,98.84715503,41.00967262,-255.7717835,100.4130292,28.24151701
0,-417.0059195,92.64472865,-707.0508904,899.3965562,163.6647938,-87.95790236,181.2499361,-297.1544418,240.2125737,450.7168265,-85.60234762,-127.4249491,-285.4093941,-481.2206801,615.1908094,156.1632214,103.2128786,-124.7959687,-71.1296198,-190.2626295
0,-910.9921212,288.6757705,-185.4637526,-319.0710564,-21.15648637,734.7016653,-272.3635647,-69.51244753,191.6871526,16.45985154,-70.49700731,-8.740893588,234.3710186,-135.1672643,69.68212875,-216.2671875,254.4356139,-4.730174335,-11.33774963,597.6351612
0,-841.8961588,34.86187506,114.4702355,-444.9806007,-358.865503,602.1523088,-415.6008574,-150.0072668,283.0489994,-226.5979257,-148.0661626,195.6985147,485.5687838,45.88304522,311.080039,-2.989539751,224.5003627,-103.7092374,-327.2533284,111.454261
0,-832.1595338,346.6973849,-351.039613,-576.1671974,193.3097006,585.5991858,41.64882302,69.33360504,-28.03047659,-120.7639503,-172.8536936,72.99149671,114.3472664,-206.3978512,134.5234778,-125.7177131,118.0585849,1.781706342,77.19299816,336.0993888
0,-586.928498,264.094816,-588.8508801,582.1304285,-233.3268787,-1.188544398,-108.033215,-198.2902087,-46.57448198,217.6003201,-430.2108466,95.15924996,-342.6879995,-68.93520362,404.5892492,24.13840611,-177.9942713,-215.7734715,253.8375499,-146.0617495
0,-412.0291587,451.108854,-255.4031968,161.2979108,-54.10109323,-813.4169209,-160.461372,180.6374324,35.92997825,873.9019451,-367.9409826,-122.6584549,309.1168981,-94.58164797,-89.12733528,-131.7225402,145.8411986,-169.3556032,-414.1555027,-98.51862062
0,-651.3245976,-122.165235,-10.31723517,-120.4685958,310.0891276,447.2970627,35.45373617,-825.0388931,398.6267684,61.18849602,-282.3357201,52.48196468,212.3725807,-231.6532636,-458.9524738,-153.8041878,81.5541757,-103.1963016,455.9473562,248.8031389
0,7.278640144,-26.52691449,159.1375937,-208.3210637,618.055969,138.6688116,-833.766824,-261.008586,128.0465663,-357.9741032,-274.6097545,-379.5296625,-126.3726061,-426.0613206,-198.6545412,63.52374643,-341.1712278,18.66183136,246.293046,-207.5301862
0,-888.7434525,208.852333,124.6228778,65.70654596,87.67342213,419.5988791,-250.3145467,-350.3723742,-84.54767228,437.312354,192.1434818,-534.6117452,26.47891205,221.2996211,-473.1442814,-39.88671101,-151.4115117,54.86440663,166.8679782,496.028064
0,188.3393248,458.5681581,84.65105484,769.2518698,441.0478796,-840.060578,-852.7254154,77.15037414,-169.8475573,981.5903321,-159.5712053,-304.9287691,440.3631495,-256.9561803,-491.1856196,6.01864102,-96.17436578,221.6798295,-420.7726267,75.92496355
0,111.0097149,922.2844332,-241.8949852,436.0529143,676.5053543,-698.0259817,241.6217966,17.360467,-414.3101053,343.5442336,7.48010065,-348.3348349,41.46509374,114.0822392,-256.6098294,291.4585916,64.47555521,-463.3826736,-251.7867024,9.475966747
0,-44.79920115,223.6156613,435.5234404,-246.7907337,63.59844189,312.4541229,-340.2873424,-709.1682508,-71.08204919,-185.6772641,-31.28829834,-169.0945761,-237.6041647,-217.338639,-47.29018947,411.9636622,192.3798241,57.60469122,111.6159812,-338.9446818
0,-509.917825,-271.3555402,867.830348,723.4761198,431.7427612,-469.9266187,-375.0780164,103.1622657,763.7922043,209.0140267,637.8072693,811.3598363,-145.3731451,-303.8511293,-94.00177741,-253.9276394,-136.2156908,339.1733867,-139.2978187,-360.8716763
0,15.30470472,496.6894938,163.1084407,56.57803031,536.9805475,171.9510738,-964.0955355,-278.5026392,-140.919884,115.2642033,-446.411162,-61.50642418,52.36241187,-47.29644824,-270.1808314,394.1041405,-149.030059,-338.9340144,269.5542572,-306.0820412
0,-479.1940071,21.78594457,-57.17810872,-41.54043189,1115.817793,-43.20394472,-171.1789135,303.451372,-50.50512319,-311.0134736,247.0876434,139.3429835,-183.2382313,-234.5419665,-163.7943943,-468.5217805,-198.4144777,9.912286447,-187.0061338,-84.67968005
0,-281.3349032,6.057895649,648.8689106,215.1211982,569.7740083,-261.6587477,814.2561796,330.317823,-12.18060158,933.251296,251.5327118,596.0328505,374.7244512,224.9312008,-58.35054516,310.4765206,420.0365332,-469.9021545,397.2985118,-207.6244223
0.177,-673.4013083,-209.4668251,-492.9845239,181.2942426,-568.0024881,159.9723773,-208.8553367,101.7478399,-96.5747451,-30.07776199,-292.5910967,38.56574798,207.2726768,231.2569205,452.7738218,-131.8847432,-196.6008719,181.9340133,-89.86854921,8.745288898
0.136,613.9665095,-117.3591016,-431.3065353,577.7879285,-12.25772672,134.4281596,-599.2047671,135.0762682,-231.3702206,-406.9857538,-38.26854198,-392.2600574,288.938015,-396.6245858,-16.45662023,208.9130394,251.6372015,406.7979525,-258.8521866,42.71098464
