,pred_prob,circum,num_size,closed_loop,average_distance,variance_distance,k,b,right_1,left_1,longest_line_length,is_nine
0,0.001,64,0.105,FALSE,6.898,6.419,-0.556,24.444,34,48,20.591,FALSE
1,0,83,0.168,FALSE,7.566,8.195,-0.368,17.105,77,55,20.248,FALSE
2,0,40,0.062,FALSE,5.166,8.811,-0.368,19.474,24,25,20.248,FALSE
3,0,75,0.2,TRUE,6.567,2.213,-0.5,17,111,46,17.889,FALSE
4,0,74,0.12,FALSE,5.971,4.626,-0.222,21.333,19,75,18.439,FALSE
5,0,41,0.082,FALSE,5.201,7.95,-0.316,19.579,29,35,19.925,FALSE
6,0,72,0.125,FALSE,6.235,7.609,-0.5,24.5,26,72,20.125,FALSE
7,0.001,61,0.125,TRUE,5.334,8.264,0.722,4.944,60,38,22.204,FALSE
8,0,74,0.173,TRUE,7.09,5.806,1.75,-16,39,97,16.125,FALSE
9,0,77,0.18,TRUE,5.823,7.049,-0.667,26.333,49,92,21.633,FALSE
10,0,97,0.176,TRUE,8.065,1.478,-0.176,10.882,99,39,17.263,FALSE
11,0,101,0.171,TRUE,6.421,5.804,-1.3,31.7,69,65,16.401,FALSE
12,0,72,0.131,TRUE,5.647,5.809,-0.444,24.556,26,77,19.698,FALSE
13,0,86,0.171,TRUE,7.216,2.154,0.059,17.706,99,35,17.029,FALSE
14,0.001,42,0.089,FALSE,5.069,7.093,-0.158,15.632,34,36,19.235,FALSE
15,0.002,94,0.136,FALSE,7.649,6.105,1.667,-3.667,82,25,17.493,FALSE
16,0,80,0.129,TRUE,6.189,4.497,-0.056,17.389,32,69,18.028,FALSE
17,0,63,0.133,FALSE,7.026,5.174,-0.529,24.765,43,61,19.235,FALSE
18,0,67,0.101,FALSE,5.28,6.017,-0.211,20.053,19,60,19.416,FALSE
19,0,61,0.156,TRUE,5.419,6.624,-0.611,24.278,40,82,21.095,FALSE
20,0,69,0.131,TRUE,5.736,6.015,0.214,8.286,24,79,14.318,FALSE
21,0,82,0.152,TRUE,5.986,5.154,0.538,2.154,26,93,14.765,FALSE
22,0,79,0.125,FALSE,6.844,9.247,-1.714,48.143,7,91,13.892,FALSE
23,0,66,0.089,FALSE,5.568,4.397,0.118,15.176,55,15,17.117,FALSE
24,0,84,0.29,TRUE,7.337,3.546,-0.933,22.733,150,77,20.518,FALSE
25,0,62,0.097,FALSE,6.695,5.667,-0.167,19.5,22,54,18.248,FALSE
26,0,71,0.131,FALSE,5.714,4.361,-0.222,21.333,19,84,18.439,FALSE
27,0,84,0.202,TRUE,7.018,2.718,-0.118,19.706,54,104,17.117,FALSE
28,0.001,40,0.079,FALSE,5.098,7.514,0.158,11.368,30,32,19.235,FALSE
29,0.002,40,0.068,FALSE,4.938,7.475,0.211,11.947,29,24,19.416,FALSE
30,0,81,0.143,FALSE,7.169,4.221,-8.5,166.5,41,71,17.117,FALSE
31,0,64,0.149,FALSE,6.702,8.332,-0.684,25.105,58,59,23.022,FALSE
32,0,92,0.175,FALSE,7.946,5.613,-1,31,60,77,19.799,FALSE
33,0,75,0.131,FALSE,7.101,4.148,-0.211,19.474,40,63,19.416,FALSE
34,0,40,0.075,FALSE,4.977,7.233,0.105,12.474,28,31,19.105,FALSE
35,0.073,75,0.116,FALSE,6.737,5.699,-0.444,18.222,57,34,19.698,FALSE
36,0,41,0.099,FALSE,5.053,6.794,-0.111,14.556,41,37,18.111,FALSE
37,0.001,34,0.043,FALSE,4.94,8.12,-0.056,14.278,19,15,18.028,FALSE
38,0.001,63,0.102,FALSE,5.882,5.683,-0.389,21.111,37,43,19.313,FALSE
