pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40
0.001,567.4501454,-580.952907,121.8878211,204.9139364,595.971221,-403.8381121,-516.1497347,157.5155112,43.40794248,117.0300633,-241.6732603,-25.00572452,-11.34085902,636.6277381,-258.1140868,-65.48542014,-86.19808878,506.0328518,134.3457872,44.39453869,-86.81041814,-37.7186134,642.5629908,-13.06726441,45.53290597,-332.0365262,279.5683029,286.5083412,-362.31398,-26.18623818,21.82431702,-20.81112507,50.23485077,-197.0440517,17.04358684,-196.2980723,-114.3851463,139.2634482,42.78303386,-19.93323706
0,-413.9467276,68.45130981,-844.0952997,298.131697,-412.7808863,558.4911663,396.0184848,-87.85518372,-114.9086189,661.5936453,-269.06782,494.6096558,-41.59385123,-306.1060182,-165.0477952,-266.0215703,-0.188852792,405.2276954,371.5930313,58.68253944,-238.9973541,-452.5124527,137.84721,122.4396399,-194.8683489,-149.7782574,-176.901191,350.3555228,367.0438919,126.4252097,116.0156388,172.8286687,-66.23190358,-161.5570675,274.7815574,-37.83673903,-35.12825875,-12.5913762,93.10752051,-226.2257863
0,619.8423504,-700.0774563,-459.4713693,208.4429941,-284.8543849,71.61388089,-123.7178569,-553.0989444,36.68876218,-27.58369297,149.0112109,-190.031373,-18.56975896,-310.3436296,66.69931957,-45.56939022,-266.0992361,55.46424057,-262.4335402,-214.6449948,-14.55367601,-168.4839641,39.9218169,-151.9893968,123.3793601,116.5512,-125.0060269,-270.0185881,-274.9613514,129.9756659,-311.6621906,-49.57822028,-270.6224062,-97.84899687,300.910862,108.4931662,94.78449432,72.19801505,142.5300728,13.47274621
0,-147.2401512,886.6213073,-197.1330922,329.7344742,813.7849954,-47.82271162,-355.2485144,413.1285407,-392.9549669,394.4794725,287.658383,478.6795499,-792.416316,47.60971607,303.5026391,-236.5133803,-71.61109819,306.4846764,-145.8386392,28.71277622,398.5518371,291.9865292,286.6875764,257.3389167,85.15691244,41.02436906,221.583331,-221.2034496,109.7432682,11.36466828,-104.0894432,321.1106934,-62.75663608,-26.52923843,-33.31500578,112.6914628,180.7422287,135.3859715,23.02721718,-164.559843
0,406.5243385,-548.1065832,427.3341533,676.4090072,49.45278193,-421.0471466,264.8624045,937.021675,-722.8341619,-273.5601442,172.8672827,171.9115906,-312.2592718,427.4037136,264.7709735,195.9013142,-96.39076207,13.07125022,36.69534506,-380.6014595,-428.383258,-273.5078998,-142.4326309,6.449237819,-30.49800716,-44.07004689,-314.8892576,-56.5279915,51.15440916,-307.6831675,-145.1744969,207.0486462,237.66919,-119.2380107,142.4955228,-41.87139742,-3.204751545,-115.9721585,230.1480857,-193.5594665
0,651.2665042,-619.7100376,-226.6525652,80.29747829,-259.4936255,272.5522076,-173.3621224,-717.9006838,93.56298013,-72.05398257,154.9057263,-153.5977563,-70.200537,-289.5842126,48.38052156,-283.7666975,-261.0724705,34.79612813,-294.9502529,-271.3189151,-45.24908294,-104.749242,3.064777606,-205.4248045,38.57307905,96.13980335,-92.33749276,-224.806362,-341.2049647,141.3870825,-333.7171449,-1.963152595,-348.9412967,-33.68630728,170.8796505,151.5245433,57.61738172,123.0079398,77.91024593,95.84503019
0,224.6649169,-624.1310322,409.701451,473.688017,-78.59784232,-233.4291462,-131.1470486,408.965046,167.3982879,158.7159979,111.6170789,-675.066802,290.9429056,567.6348518,270.1260084,-333.6794071,-56.67254208,-41.98782989,491.5543589,-171.3510363,57.46357656,-367.9929746,42.71039662,218.7922041,-184.1777522,84.76300369,261.7232565,-26.53324921,53.65780513,256.9271196,432.4356218,-240.4622356,174.8697041,-234.6262923,201.9202507,-255.2818749,-73.18543024,-224.5335132,114.2076375,47.76633223
0.001,-120.4592661,-688.4133122,185.7386565,171.6652483,624.1617283,-116.9215576,664.6534529,-50.05043644,-114.0451032,-107.0535486,-167.577343,-223.4934548,-202.0352489,-413.1744223,125.6782119,497.8509629,296.061216,-93.93835164,-243.7721671,-35.26761669,-217.6684405,-4.183820473,-237.8503427,139.5560252,533.1298196,188.0401587,220.2500791,-366.2622424,-131.3155151,139.523396,175.8063238,157.7582797,116.7188249,-37.66033868,192.7709551,-131.3136945,90.10648535,259.5211395,-122.5582567,173.2064234
0,666.7910224,-225.7022038,273.6940959,218.4463139,89.04249668,100.4615393,264.7993788,646.1319774,-588.8493056,93.62197107,667.4421663,319.4351537,-85.48505341,-348.6240219,72.84933384,70.05675901,-541.2240434,223.1454677,-31.03755823,-628.4470207,548.2040474,-581.2942073,-473.7372614,-306.6686662,-173.5932102,-128.5677879,-321.7174683,284.4355051,174.8722292,58.76671976,163.9348642,-112.5169212,-275.0561527,76.75930797,-79.11074192,237.7310159,-192.7882381,-258.7017431,56.54452702,372.3612022
0,759.0430618,-52.07475632,646.7982469,239.7518208,762.6934637,-246.1366261,-48.91625491,79.53831044,538.3581077,567.3014984,-422.3530464,-387.9253505,-477.2086951,129.3251256,314.6016886,-431.6162039,-383.3016683,108.3970856,-166.2525485,-358.6778094,-139.0433113,124.4049017,164.639848,53.77103362,172.9145256,342.1681439,163.4405485,28.27561582,-306.459016,-83.97817984,-112.311098,150.3674637,-74.53041979,-446.9654174,267.7813886,189.2298093,-129.7214509,-117.4628263,-247.5209021,44.87134474
