pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,f_200
0,-123.7824478,-50.80238269,58.66836225,-883.1610108,-252.1009861,-326.7314573,129.1691925,-8.720319056,-458.7881167,-288.2854693,399.6339137,51.46344531,282.4365993,-24.95899707,-264.7908052,568.1464184,-418.2535847,407.4920408,353.1772544,43.83716696,26.81073275,251.0119499,6.331175717,436.8153802,164.5422913,197.5787649,-152.007734,78.53853937,175.6618449,278.9627737,-33.50168671,42.7296336,188.7160407,-26.84185553,26.96333753,-32.09715719,51.60814558,-68.8671633,156.6431915,-219.0649806,-64.38060439,49.27150375,-47.70398526,-152.7819207,158.2352082,167.6349936,-170.8663951,-283.4416583,-39.7936891,129.5851605,-199.6616004,-178.2173136,-138.8137576,-47.21755051,-176.7310937,52.58070144,184.1510672,162.4317805,-104.915451,66.65663318,-67.33393414,-187.843481,-96.89112226,55.8092247,-12.66475718,-130.2432413,-160.6282672,115.9633008,74.10664963,113.7334463,-76.6389754,90.39439005,19.06151878,-100.796991,94.3008023,78.97926906,49.07738393,-163.0620516,-0.62215885,26.51386338,75.43447807,-34.86515177,-144.7537821,147.8890287,46.90800899,-31.84048099,156.9929215,-94.40571396,-45.1152761,-19.53435442,3.045147598,82.37226241,46.825395,-32.88383114,14.18907337,47.36387014,32.89912172,12.96233207,-174.6711863,79.77936341,0.836985007,221.5550351,-50.29349585,-93.84405504,56.39026031,-13.36199236,-49.44260027,-19.46977284,25.17746951,0.746522982,-11.68603722,-0.293889018,61.1317166,-182.2622322,-5.07779529,62.71747799,14.14223934,-10.09219317,1.16975952,28.32552285,-19.03251147,7.639351754,-5.849627801,18.25307657,104.863512,8.716241305,-98.03500183,-74.63482275,-118.5924123,-34.85536387,27.57757152,-2.555545587,27.20928823,-89.35818585,82.9899281,-30.27096577,-73.1324656,5.247324423,19.20962937,45.01884881,19.79085401,-53.76784582,78.53865358,-41.72864571,-24.23897307,5.592857567,96.82716172,50.43826243,6.664528732,-30.86319019,126.6743604,6.346067218,42.28029393,46.93203141,-2.158675978,-12.20274652,165.3499393,103.8421363,29.9138466,-85.45499159,-24.96168702,5.29218764,-7.466697714,22.84590075,0.44368434,4.748755363,1.589736392,12.99262234,-43.75342913,-104.481435,26.37362157,-101.9378088,60.93807033,-71.88855699,71.74006474,-47.61677825,52.95213765,29.13053129,-66.54155341,-55.75964467,86.14675356,47.88816345,-32.87972731,73.77044996,-52.30885164,-25.70998201,100.1395827,27.23534851,-52.67201415,27.84314824,12.78242945,82.22156753,25.90827406,7.440364105,52.69546325,-30.9039179,51.90859233,67.97584909,25.58165285,-73.5273621
0,-260.1969373,-329.2057589,-628.8314907,436.1715969,-284.8412391,935.1630793,55.85814125,636.7337166,-592.6568147,-663.8153172,-118.2520091,231.8891296,-354.3881923,660.1826269,-172.0705358,-424.5110509,-543.904857,63.45188269,-39.44137672,89.88953714,174.3496283,356.4061245,276.3138643,-41.731166,53.95120222,-267.4220433,-330.1570632,279.7658954,-188.0219712,104.4520559,64.44256733,260.5167616,133.909196,658.6114745,246.5835412,-164.1215433,-98.90463851,-70.23345112,-209.1294911,212.559547,-40.41467763,-49.15754636,-20.78226527,55.23524571,519.4248689,186.8722853,-175.5646684,172.4223011,29.97319275,-3.304026074,-168.8144487,-117.5315713,-25.13234172,-168.175409,13.3971366,-49.81241963,-14.1003945,-45.15683863,130.3341342,95.56001808,-183.7495708,-88.47483556,-34.71973305,406.4975358,-73.75299603,16.80625449,56.87938804,-79.15570974,239.5467741,81.06045695,-31.33397021,255.4357043,-142.365747,123.8574254,61.43507736,61.51460625,-3.813945454,-16.3912525,130.1672081,-61.88064138,-17.32610197,-64.90873748,47.78168915,-137.0142078,44.51376809,37.56654367,-22.60467195,103.1053629,1.812701505,-9.024602584,-25.69312242,114.343562,-123.0169752,72.57389438,-240.2639726,-108.7394426,80.76461319,-122.1063429,258.6465977,-9.877219873,-90.54943113,-4.330900003,-109.2287059,-47.85642649,-48.59011165,74.31135023,-34.03763134,53.52622597,-25.30223193,-17.6085076,-173.7316464,-4.39821269,-168.1747081,40.91909765,33.28463659,-56.34455359,-102.0599162,71.41307617,-67.34211164,115.8255412,-22.58150973,11.86402024,156.9607009,-123.583586,59.10371811,-92.22387163,-63.68434061,45.89042594,-118.5257878,3.007756885,69.64759313,83.55520043,28.87264965,26.48908637,61.91784873,-2.101694682,11.77946712,-26.20765556,-13.18056164,74.85359211,-17.05637837,-12.61226607,-27.79960576,-102.4925312,133.0834829,-80.81106423,-3.662127844,39.63664784,-33.44798765,-74.55293432,-56.33417613,0.804165221,105.2197738,117.5013805,-24.36721665,-115.7048389,-96.81232689,-17.83581952,25.50940462,36.05138757,-28.83310143,104.8676474,-58.75020891,-12.59497564,-11.39450342,-44.59365655,44.13664252,-5.188348322,-80.10723467,72.61008562,-107.031233,60.43506189,-9.560940382,42.72599098,-24.70442408,54.09910037,40.60059656,-18.35330264,24.31611117,65.52672835,37.94389473,56.85850879,-54.95180917,-121.2408265,-108.0243605,74.18898167,138.7833325,78.90981097,-7.085831299,72.5896795,64.93802542,70.38083554,-52.22179282,-29.55400473,3.552598925,25.7020966,11.57733433,-29.19961288,-26.7978581,-22.32074202
0,-605.0412109,-510.0488937,-964.1071444,-66.3707994,-73.81734621,-31.7610376,359.5500188,11.61067323,373.3320063,-454.2569191,-105.2643747,406.2821914,38.30116818,-6.002143063,133.6503907,124.3031875,232.0578691,171.3279144,-144.002177,83.00505042,-345.6764603,43.98050748,194.4468317,62.80477196,217.9948058,109.4590314,-119.7657309,0.23790909,226.7396271,-209.602597,94.35854795,73.36471127,152.2903187,-152.3961219,-19.56939285,77.69826755,21.89368197,81.64559484,-78.18350143,74.11002488,94.59262932,-31.08299174,150.4584199,-86.45202477,-80.15669609,-10.79344429,-12.81125327,103.1695826,58.35609747,12.72417435,-149.9647966,18.94260634,-32.70692497,140.9821096,-32.61498052,-80.77295207,81.91224486,-111.9196023,88.42993997,-78.93456983,37.98246081,77.70881237,-80.78259406,64.91790669,55.36579807,-29.50681801,-172.6175888,126.05885,-2.066940377,-34.87806469,-67.88438744,-38.1358497,-7.078162425,41.42826968,37.95505349,14.82598135,54.64955111,-26.47209674,-0.308272921,-33.13427274,-106.0310712,13.01175736,-52.27899595,-18.5560644,-54.14978786,47.84015526,51.99561305,-128.6168965,19.9630308,-34.57203438,-35.1121087,5.689901883,-77.11620247,81.43121888,30.54273079,-65.42452742,-30.57073579,55.47330775,-5.000638899,-7.980520514,41.72435103,51.213262,-4.660250368,42.70302208,39.35048257,-1.634957869,70.72910626,-31.57865698,39.46604981,0.588445843,5.636631241,13.21366982,41.47063895,2.99241006,-70.16222102,46.01988483,-44.09289514,-138.9475678,-38.13549291,4.798956868,0.577179041,-14.61630684,-49.88934885,-90.79885246,-41.71164094,-10.42922135,-79.88199117,-63.672025,42.27650007,43.01628919,8.824188955,-5.182816868,50.38658072,36.97963874,-16.37273597,28.76381528,59.32862208,60.45189279,24.18200075,-60.96607569,-5.291198943,39.34929793,42.66466057,-30.12985915,21.4971983,23.89277554,-74.77679947,-92.29686129,-65.30139766,16.36510216,-32.63114714,12.13937204,-3.664946453,30.64823966,37.23574695,-13.47612444,42.98223904,7.71693648,-25.44809225,-57.7406186,0.318107382,37.6712399,7.980411065,37.87879104,23.70951002,-87.5656372,-56.25814462,52.30821405,-2.803355474,11.14529886,21.8123571,53.03304632,7.620235449,0.661946436,9.966679435,-35.97841958,-10.16734911,-9.904698836,86.50008848,-24.86760583,32.36684005,-12.25202167,57.0336633,24.89094932,53.04970149,52.77512621,-19.94369494,-3.300077087,-30.17997408,1.964748088,-44.53282277,-87.38085016,1.623196298,-36.96108667,-6.982873779,-58.81251581,-21.55134381,-8.343487383,7.360163658,20.63490792
0,254.5010504,-287.7932521,1049.956662,138.4838179,-637.9691214,1002.276181,413.1938438,357.6771306,-355.4253709,-199.3129272,-52.03089592,589.5199804,214.4831615,63.36944697,-507.8212241,200.207223,-94.44729889,296.9775726,150.1288479,-286.3083703,-52.06583991,109.1520152,52.9154815,316.1417357,-90.95986632,180.0081581,-178.6845467,-471.0156472,-38.29217146,-219.7622889,116.3913338,275.2529255,-93.8826101,176.0087309,-289.8904435,64.56307664,-120.8727546,70.54242838,134.9193346,69.34647545,-133.3545565,52.89479698,96.65821088,357.4125989,-124.6051703,249.257446,71.83798971,-17.92948435,-66.31766519,128.8893126,148.8731619,-12.06108655,-62.2788963,-160.3418036,229.7127868,-85.15945334,-31.66684981,-5.72940785,92.01174731,56.86953559,-107.5779948,-26.60624069,-2.836078879,20.55259425,40.16333048,-44.68234889,-89.65901671,66.44032792,-113.0674325,-196.726432,32.5513653,-76.93371789,42.6989451,83.30642555,46.05959591,17.44020295,-216.477241,-104.3181223,-102.7436926,-110.8339529,24.10297747,-168.383964,-7.984661154,36.0157902,-1.602519993,-99.35473451,-39.97721709,-155.1461484,-122.3208055,-87.06234444,70.7331575,-56.52596903,0.259678893,-79.54550399,-110.9615908,88.8640309,-49.94670934,-9.576252335,158.7074742,27.9558315,-26.66006,87.64631834,73.42225548,28.0156261,-16.50484217,59.85779582,-26.12615129,-64.89745782,-23.50852214,13.82773311,84.90684214,56.87844556,-63.66819262,33.90335583,55.01355246,-22.76218321,-61.90079425,169.6990105,-14.89029242,32.27108644,157.0365727,112.3961245,-59.92344712,14.17047503,-19.48623753,-86.61553405,-30.30934455,-53.47372715,11.44181231,-92.71185211,35.01149642,3.609351273,23.50734635,-23.3958637,-93.59660935,79.87662538,56.0700725,66.88693111,-11.05802584,-143.6558487,-59.6874805,35.9780168,-24.57299606,43.44441673,-28.14654299,-122.4975826,68.4512354,-50.63891093,64.07343672,22.46780199,-14.24448188,33.30440217,-54.28127336,-67.95207178,-9.205459974,29.45012646,-8.647878444,115.274896,0.666717724,53.57671407,-3.646963772,27.93146729,-81.44843175,-100.6307575,49.11105697,-57.26159998,-91.25239266,-52.07619376,-110.0668561,-22.51503637,-8.729112994,0.290018366,87.44715772,60.17547153,35.36406651,0.370910526,59.88640928,40.63125343,-54.24788549,-16.17854604,25.42164699,-53.28037307,43.55860085,153.6495303,-1.22320026,111.5525952,-57.86367598,-67.07184663,-15.39965195,3.745944416,-1.446934465,-34.00539373,84.45058788,-11.15823089,-54.7317841,14.34083556,29.40410435,-46.17047456,71.40266264,-28.86294855
0,-736.489851,-569.8012578,-825.9258695,-52.3343719,205.4894698,48.71976394,443.3098058,-69.11411545,384.4177531,-489.1612865,-5.493558959,479.026914,-9.036197408,14.11502385,123.5572498,197.1127665,210.4937434,269.2437946,-204.6600531,89.44913577,-311.7373491,1.101001123,127.9549632,28.47465451,207.899881,90.38822207,-158.8132053,-40.10796918,254.9854483,-91.07094272,48.01736138,42.54227703,72.75889459,-220.1431688,-35.49309454,16.35612354,17.99735293,104.8242843,31.71505183,91.90895601,37.97543439,53.16781119,27.57614065,17.5117814,7.751403981,75.49799522,28.64187329,-17.3522109,-40.05532002,-183.0255932,-12.31142749,77.64495707,-39.09415784,106.3587302,10.43982578,-47.89064416,44.72879254,-130.4363695,-25.2657874,31.20884382,97.98844992,28.21031456,1.088844464,34.14673174,-35.99067071,-64.05938517,-109.3580169,8.395081201,103.1969162,-112.6893986,47.57763075,-5.276682366,-56.1408455,53.30714528,22.27272914,-21.0345799,-86.03062788,-48.65943819,36.5153297,-38.40978762,82.86140513,43.74231336,-29.37981087,-113.7377293,30.87518555,-41.63035817,71.62570235,-20.06695744,-8.347313332,42.03891197,-10.30765248,106.2775243,-38.56484352,57.32633325,92.08447003,-22.18247953,-34.19101529,-20.98397953,-86.6103353,6.64381086,-62.68636194,15.95910311,-82.83960037,16.16222688,4.033443887,-87.37677513,131.3090607,60.06670303,-37.1735496,-92.99995313,12.46228171,24.85309882,14.86004877,-27.97333312,27.4948733,-38.56962414,-44.6049126,28.82601813,6.143853981,-24.84665497,-33.12765663,-2.361397064,-129.1344087,-27.58074605,-28.38302246,64.54579394,-45.51693896,50.41946732,54.21028956,-78.71685246,46.31952047,25.9882309,-11.07451172,33.95216559,-100.9716772,-12.75142139,-24.69484224,59.7737636,52.15557484,-61.87190794,45.98909799,4.23598631,-31.18545961,-11.08737928,-12.2089757,-87.95174315,-82.49283259,40.65491442,20.50503657,-55.41631576,5.81077759,12.131552,4.614829991,3.30884324,-101.0685149,-2.661498371,8.777908122,-19.90563958,52.5995353,46.67702463,-111.3401416,25.36206034,22.44816263,-55.07043717,82.797337,-14.01897477,10.19050551,42.27151257,-32.93381489,17.22505813,25.31119837,-5.828531011,-95.83248096,35.26688848,-21.53871189,26.47769411,29.98610285,-23.76096571,14.93583331,13.27023676,39.06983838,57.57146523,-33.90485092,5.853704059,29.43171423,51.08313579,15.0961607,19.82001551,36.31416615,-29.63870521,-48.95469395,13.08953896,41.82396686,-32.393424,39.82452245,44.65326304,11.73645138,33.74999014,-17.76698517,6.643565264
0.003,-83.95457721,440.2677711,-227.1585197,313.6069851,-60.746354,252.9259813,-353.508319,-4.221970238,768.8638371,401.8236659,4.656715127,49.74483243,15.42101979,43.25400948,-371.3098681,326.7704668,-241.5619524,-117.3780937,164.3219035,-8.085943888,82.80752759,150.536965,-36.87175444,-141.2465198,444.9480548,-65.05694845,214.9024485,-238.8729423,-190.8059788,71.29638179,-48.51236666,237.0431573,52.27116318,-28.26736182,141.9556821,88.38736993,-390.0518732,348.8269717,-234.5728219,-137.5148256,-21.97619102,-122.2008921,341.5445101,-27.11234774,-168.7860469,-122.798172,-188.8899433,29.19098937,-155.0055646,-121.5780965,42.46272193,38.4268493,5.160681902,35.37778336,70.46355108,-233.8232971,162.2515215,242.5212765,-79.15648763,18.81163442,-30.71106032,-92.45744278,-6.416624433,-15.19062528,-22.14060848,115.667611,-1.76890638,56.30341307,-181.9378755,53.33451746,96.75086897,123.4515178,-74.24700496,-54.69341179,-1.187596899,-126.4794219,-46.45314521,43.55873367,21.92200909,-111.0447045,77.43283667,-10.442785,-85.74642725,32.65989594,-64.90087342,-26.69062797,110.8773261,-153.4704928,97.83837207,3.05381806,-24.98621788,-59.1419482,-7.221499451,-68.60803908,104.7956745,-115.299506,11.04684448,39.6930274,11.00467967,124.6847135,60.5829458,-5.948532699,134.0120369,-51.82594432,-155.4938803,22.30689778,-33.40912494,-120.0832807,0.330818375,-146.3630783,-29.01187472,20.02808666,-38.14095615,27.00652072,45.25635729,-12.24855398,-2.582736528,18.83439391,117.3340436,-88.11049664,-25.98693579,-27.72402393,-10.94395937,25.694502,127.1219855,-121.6207446,-151.9476358,-129.36741,-111.1489773,-24.13933903,-14.96153737,28.66276762,5.258202434,-35.07597669,52.60754223,-23.01368829,-27.29074468,-41.74651395,-0.643000612,3.195190174,52.19260339,90.48591286,1.259492125,31.94221885,35.40530652,0.057251938,-34.10407059,11.34256674,-29.08651941,-40.80134453,29.3859164,41.87104845,91.87067223,-66.39777868,38.85661792,-96.58850171,-104.1250437,12.02489454,-30.43065523,-115.1760595,8.483573036,-21.01827843,39.58237688,-107.7203082,-92.15494808,-88.82744842,29.62402633,18.41959,7.579640133,99.2151624,94.95150103,-25.5726031,77.97315652,1.785686076,51.84594523,18.89220843,-18.78501203,-55.15141147,-10.29115557,-2.634871186,-73.90284122,-120.111921,-13.63409017,-79.87192363,-42.6717489,-46.02617,-55.21294502,70.73550746,-42.06772853,41.26647332,26.2026992,19.52037945,89.10243659,-42.92169752,-3.40694276,44.46304841,-40.87045411,-41.4215784,110.0525943,38.07255712
0.001,461.9621955,-75.04893132,319.7820776,468.8277085,-206.6305473,-204.0476947,336.4365388,-28.47966398,-287.7971298,-951.4795218,433.3242332,663.5057407,-476.7096776,-298.5156166,582.0478234,-27.05049946,239.2050993,-98.31724823,-144.3735696,359.4941343,69.84154301,134.9710536,-241.0177556,-308.5735249,281.8017676,-33.10326309,35.00911353,180.2940918,-337.0314419,145.5320062,305.3812791,-214.6262161,-150.3780787,33.22752406,226.3934717,7.732632691,378.8481016,279.6144681,-231.3743637,150.6711571,51.53668351,-225.2209996,-46.24174984,335.4263178,-405.3565211,-76.23181628,98.96246197,139.7189302,-97.31846496,188.3837561,54.56449679,-33.25417979,-182.7456531,-185.123148,-5.920511388,33.04632103,-46.03269496,-64.23351168,-123.049772,30.76426005,149.367038,69.95972301,145.3872128,-47.78481124,292.1289159,-47.06123806,72.43444356,-29.62352675,-96.96296502,-64.09102299,24.66534107,52.19926364,-72.26055319,-72.24083151,-73.57936482,72.52293717,-27.28762581,-26.86974205,8.916318552,-78.78868911,-91.07820196,49.63134383,-120.3237314,60.75458751,-117.3878249,-61.97788972,90.80551939,50.40101883,233.3124779,-238.1229226,21.60784758,67.22916493,43.58686967,31.96092521,-97.60084271,7.373777698,26.01112183,-140.255452,-18.64268984,50.18460593,-65.79704265,-60.02242674,-59.03363764,-12.65799369,52.03719642,-78.13519751,78.55673242,-29.63491531,-47.55588483,-100.6542221,-187.7330918,6.644997988,-114.2956256,-2.127755011,104.9329929,-0.70541813,38.39820015,-63.13218531,82.35889441,-3.059334785,-48.55409823,-6.435100805,8.300964531,54.46752336,106.5839008,87.38000349,-66.32631763,24.82995701,-34.08447298,-33.5734401,-52.21434805,-31.2563362,-68.51694219,88.78775341,-35.47696021,19.87154687,91.79507671,154.5503917,29.63043601,86.022133,51.30175653,11.84658597,-28.20048089,161.7663095,0.791298482,-62.97235307,-33.17091917,88.16740532,14.11015474,-77.65640699,58.61698655,-39.74892401,-46.69621401,-117.5678132,-43.39819492,31.2665107,3.307290828,-51.30769577,-61.85002342,-13.70431695,-129.7840995,-142.907912,-32.61667522,-16.28506021,-66.9000953,13.90454022,97.32974115,-66.49596521,-39.10684439,4.727952379,47.97915926,-60.1008128,-6.999440698,-126.9813892,-71.62771693,-43.67752823,10.71111565,-27.27443976,-58.17430281,-13.09219271,43.33915146,123.7205475,8.000531688,46.0691395,9.805805227,6.998284711,49.55662057,9.380703343,30.89420851,-48.57667767,27.4444007,-11.7770322,9.052513842,-16.19714097,84.95132866,-37.35253297,3.518621333,17.27058699,-41.51347419,-18.35093405
0.001,-131.3697449,-536.1814966,655.5837377,-836.6464441,430.0114548,262.4876845,-263.4267761,-20.73720111,572.0693549,-184.6238093,214.0163867,-22.88232855,363.1425306,16.40106753,32.75715397,193.104477,449.2855366,364.4346936,137.5072877,-0.547409369,180.1904725,-69.68399353,-211.4359903,141.891457,-87.33612958,83.90704933,-192.009108,-81.26374609,-106.3080429,135.4425996,-262.4955245,289.0533547,-89.23151895,247.7118462,-20.75143554,-119.3829423,-71.30571689,-85.00484793,274.5914962,-309.7220044,32.32667682,-190.4134426,48.82669113,-216.7753818,250.8009548,51.37836492,33.62201606,98.46683493,181.1571692,30.76576527,-70.50178899,-115.2934193,-150.9068605,72.29993321,11.70762161,55.82895388,102.8868271,-3.362477885,204.2075206,171.5369958,50.21523028,102.6989463,84.19633129,-38.72206538,8.190397434,-221.8448001,159.7423466,-56.6258942,-9.744086556,119.8156776,82.31955461,-56.51049161,-72.6878753,17.99802226,-80.83805173,42.73994479,159.2399507,-3.532401161,-34.70945196,122.9469106,15.68036682,54.99217977,-27.63890322,52.75820618,45.15444574,202.8077665,72.66666145,88.61933163,-15.49468374,3.861502009,-99.35594402,-46.43403621,115.8575652,75.83159574,-38.87800337,-28.2145853,-84.54087876,-167.673003,31.31946346,59.21288828,-116.6692746,-48.13533301,69.15476156,-41.51060986,36.20803539,-27.88764953,-7.034528004,48.45135116,56.47849229,38.4732152,-96.67600057,70.51933312,26.19022481,-21.89523549,4.290093701,68.3957396,17.16466305,-129.48729,13.35458975,-48.05593173,-66.9012404,5.649725786,0.553435547,131.7532311,-8.687998845,44.39866512,53.21706649,62.20914182,58.557058,20.26365381,-31.62638931,15.67280206,90.50735804,-7.502591236,-182.7558605,-3.0092587,-26.90094985,-17.32247393,142.1923138,95.65469844,-13.43485727,-122.7723801,-150.0199604,112.3839188,-24.43669596,-79.38741872,-129.022077,-81.65061706,24.67483744,53.97502294,148.4678746,37.28168734,175.1950359,-60.88336685,46.68218718,-59.30358111,86.58158318,169.8517202,135.9547357,-71.22901747,-45.79178089,-81.72050707,-43.09969981,-63.30102178,-11.7409123,-110.1522763,-70.20719122,-53.2695869,27.69115771,-6.190658567,96.36286886,-44.95783781,82.82567815,-42.98395567,67.59015448,54.68103435,10.34329922,-9.604973801,13.28431441,-57.27346277,21.02003167,-50.57953135,-24.39921369,46.94480415,-43.43448663,-59.5925042,-6.691107552,32.20936223,59.08500992,4.688824006,11.00013216,45.37867744,47.09447919,-115.2946939,70.54672267,29.17762346,-60.61531336,59.74724091,-12.65426255,10.27096044
0,959.9756706,-114.0599953,-34.79173171,-363.3174356,-719.6224478,780.5677128,767.0083744,453.8494462,-165.5605601,-436.1887907,-549.2511949,1081.496549,-365.0485873,0.123167459,-317.8404724,-402.1414265,-129.137167,230.337709,166.1242593,169.9400412,370.5451842,-491.0359921,335.262504,-82.04763579,-249.9841049,123.9874564,237.9729097,69.23902602,17.07795652,5.254528635,171.5371733,-4.707646765,-325.3659378,-34.89336302,-87.51030653,-20.29633421,-38.80831475,-224.3740128,37.29030162,-334.4699687,44.54630534,-223.3159937,-95.19699102,-336.7800754,-174.7896318,-119.953773,-26.11597378,7.867061173,7.799439526,102.01644,96.20575785,-1.43198403,-57.47641424,301.166896,-124.8276052,110.2527866,226.7485296,129.8323524,107.7936971,-43.20064236,35.21020671,-13.43188058,114.2656786,114.4113531,-11.28095427,-0.247904021,-48.1702684,-110.9976901,57.69240895,-59.80897162,48.62386707,-187.4514342,-153.3026912,-89.95623583,210.0234563,17.44241385,-75.85545125,-157.8442584,101.4719236,99.47357253,58.51493652,115.6341798,-154.0233077,-33.9323863,-87.06528457,76.79855185,12.92124218,-147.4310115,-46.79780052,72.07082236,85.28096899,-1.102057544,42.88728066,93.17282652,-96.37064103,-31.25119777,-20.36890987,103.8888193,-108.7069428,146.8039052,-35.25560572,-16.08894985,-7.958310218,-35.06323954,59.00240113,-77.8281083,87.10566487,-19.08460823,-110.0296477,117.2290159,-11.07126886,123.0178386,19.2820306,-19.87651743,-88.91977534,-43.90109573,165.3154733,-59.14237918,164.2677348,-60.02339076,115.2507045,-67.83054176,56.14879828,104.023184,-14.7507063,70.88465091,-99.48624681,-47.27840277,-24.21896861,62.88479808,8.865051401,23.23638255,52.34437969,63.54435649,18.90424007,-35.01699636,-15.83725294,20.86439452,58.21331614,90.92171949,-72.31514431,-100.3342861,-22.17825,-75.21572504,-92.26462445,-7.419997065,89.93128932,39.12007163,37.626355,9.69545904,73.19680086,93.3231632,5.724819995,21.08136554,-58.60191351,-105.6848095,59.01862846,-128.3342542,-66.6755644,-24.50455104,76.05729378,-17.17615622,15.02666533,-5.829326212,48.17438726,-18.61958713,91.2495679,0.811827029,-2.758943341,67.17988968,67.04144691,29.93237648,-48.16874207,-47.26622099,-39.1240927,-59.89714402,-93.62546384,40.60223711,19.9698567,7.875329759,-68.67710575,18.32810097,84.40883019,-28.50086136,79.28802767,20.01241423,9.699390216,-70.80722272,9.660058621,-57.53027275,-58.83969661,17.15139195,-5.875956769,51.5621777,-73.69313571,-66.76459634,77.17339283,17.52111651,13.10490348,8.57371005
0,680.2318011,-101.4553448,-172.5547487,-330.2622477,40.35393021,632.234231,597.5527583,-224.9719354,210.2750573,-304.6504383,-709.5692619,370.7754688,-327.3181419,194.449872,-241.8229307,-351.5733875,-358.7083997,-180.161273,67.26043448,24.7493003,272.893153,308.0005369,118.4328431,-208.4333896,-237.2183826,122.7154945,-253.6553552,-775.7690874,58.89263678,-222.2077647,140.621328,197.7386131,-73.49398787,387.9570796,247.2339808,-167.4917082,214.3476354,-317.5148,-209.7412076,-237.3205266,-56.91067544,-182.2402076,-147.3765947,58.29227899,-322.0913017,83.7339146,-339.434608,32.43980861,28.94981619,-44.71519498,-11.58748686,-64.43691917,161.2025146,-158.8817355,193.8223435,-25.50570281,45.56493875,-83.619078,145.8987866,-253.2215859,-123.0636085,-68.21426326,46.63330404,216.8479355,68.31457547,-21.59550295,-158.9831477,-258.9821438,34.96652166,-276.6910122,-340.724054,-126.2685945,-89.76686752,39.832114,7.286463143,162.6902655,-95.68523511,128.3219714,-75.32299013,-66.7153376,-84.78675315,86.36757863,-54.29560217,-23.51457728,134.5964372,63.35826395,-39.12948395,163.698757,9.459579022,21.31620131,-61.09658909,-14.43274546,60.19254759,23.80554169,-41.24108413,38.43369203,-39.00786154,-171.7450991,19.10352991,70.44568656,-83.46341716,88.47946041,117.5727512,-13.77949793,176.1161302,95.00196972,180.9859252,-7.958684846,166.0786833,12.47444966,-71.24732385,-177.3882819,107.3817682,-10.13478658,96.85402157,66.74595632,-117.6042884,105.6050601,1.707980994,-42.38317155,-67.31834589,-97.28236372,-7.620991908,14.59830464,-83.00307625,73.37639943,76.87438813,36.1368378,6.763992865,-77.8915807,-149.4890092,40.84558913,-73.60590845,-89.91709651,13.53116043,85.29173756,-84.18968309,60.82364909,-32.33902544,-123.9737997,-57.19890314,113.9607974,-145.5413057,-0.263341746,0.271564582,-8.192081198,-14.21544144,-42.75325003,-152.6246936,12.77811028,18.9725607,-1.384153867,4.844614075,-26.89324658,119.2613308,3.087144866,-33.07037747,56.71184234,81.3966171,2.289327428,-23.11995635,0.445446143,16.36790487,45.68573466,-62.50652388,-35.94983535,30.63099741,91.01343913,16.86239007,-15.14308914,58.25745384,-3.447281073,2.553658651,-148.863098,16.10294002,91.61693915,-47.22421801,-47.77594428,-10.57725608,-70.31804856,20.44879748,-5.045847471,45.20866579,-13.32685978,-14.66133009,2.413171136,-18.50136755,44.25950358,58.47574869,-10.51418099,75.00873964,-79.90651064,11.36920535,19.76071323,11.05202078,-32.11141464,56.1655288,-89.0938618,9.66754269,-95.20747709
