pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10
0,-507.4102385,-459.361924,-203.8487102,-23.09988682,557.1223975,-636.7226503,-11.3905945,49.02993465,625.0580441,27.91696086
0,149.4872106,-64.43151591,334.8794174,-683.1450532,-538.5154418,880.4066498,-223.9747377,601.8667539,-271.7688822,108.1158771
0,-633.7608598,-532.993102,-204.0077286,-616.9874224,114.2222843,363.3090433,-215.3053271,-121.9822544,165.7025584,344.2606453
0,181.8883343,654.4227944,701.0827876,-6.431592276,-116.0861606,-564.6999676,927.6406209,425.3048296,46.33777045,-51.87611021
0,-184.36939,-800.0118031,-111.5358486,392.6050605,-358.4177492,-582.7409418,711.919967,-490.7537587,162.5419378,405.9202425
0,-685.3119808,-385.4608283,-114.8056224,-437.1977756,214.4277263,332.7867509,-434.9825586,14.17083366,148.6275128,501.1158356
0,-63.91901095,-906.9550105,37.13345339,305.0563361,-30.84873394,-138.4348145,-356.3359469,-171.0836914,669.2120802,-312.8247445
0,8.840105549,-521.2363501,-391.1993335,293.379591,-253.8833656,-469.6153259,-59.37989171,114.4058095,-277.6197579,-57.31392142
0.013,-598.3782711,46.57042501,-47.49518765,649.9101792,-682.1965973,114.2460686,473.5156676,-654.8025229,301.5495243,879.8761731
0,-742.1143386,-179.0228459,330.1204997,745.3694002,148.7238361,-472.6621244,-344.6616517,229.688065,460.0823957,-540.8727208
0,725.9791269,58.68706029,639.1772601,-15.45156302,229.2683908,648.1198637,1114.419511,-642.0021737,386.5839667,-76.8104999
0.006,126.1290097,-631.6804322,906.2153675,-93.78652754,-473.8720286,27.73809359,485.7929061,222.9618903,351.6962762,-327.3011397
0,-655.2109412,-336.632634,-341.3576742,743.9491267,-26.74953085,-484.2537858,243.4538453,195.8754038,135.0412763,-236.2749727
0,695.9880003,-82.89118804,598.2075955,517.0342375,190.7277099,67.5295524,881.9055627,-328.8595757,-329.9817909,323.2484461
0,-566.7711312,-221.5959146,-355.7672676,-663.4160428,130.8769632,105.5013696,-374.9497336,317.9073605,492.6943389,228.873808
0,-82.91054167,-632.3155564,-288.2869707,539.0927494,-148.8295532,-628.6519486,507.8294529,-421.6581718,412.0191853,445.2054383
0,-80.70388864,-223.0362681,-208.2284454,-3.792121111,597.7101559,-936.6275283,258.579024,214.3265443,435.2575398,99.7573461
0,874.9181854,-625.9449258,659.6626036,-338.8500605,-309.8018654,-14.81044855,-910.7048018,388.1553314,-213.0638163,-294.5712465
0,-373.2159554,-576.1233498,-362.2525065,498.8498932,-341.5304888,-425.4012882,253.9495601,-321.5305342,74.98203178,-258.1099775
0,-765.7118887,-10.49092789,254.8390615,336.9728035,450.4625115,-403.3258726,-578.4548241,416.6801075,90.68764934,-398.8360575
0.002,323.2986045,-202.0013144,-354.9734961,-62.81830951,-1005.34464,-251.251474,300.8063657,185.5249116,-270.3274735,-426.8410537
0,-131.9718456,-869.6321166,503.7526673,66.28729923,-471.5209748,-477.0439128,399.2442764,95.41692763,493.3273963,3.123601102
0,-289.7418334,-828.7464239,-293.8271398,209.7620713,-185.1042499,-495.0666702,344.2021392,-338.6735111,157.2388206,198.0161652
0,4.957200136,755.6790948,1238.768045,625.9007789,-417.5157213,-67.18139806,937.5083192,-518.6694743,430.1068641,70.59385067
0.001,-5.263557517,-600.7917034,-324.5763257,-39.25110073,337.567004,-990.7815002,374.2070087,-285.7066738,-54.84308034,207.419382
0,-320.1043903,-518.5983256,-329.2781691,817.3045803,-287.570671,-512.7888657,849.4135388,-135.3735618,67.2711828,-67.77200176
0,633.9795978,664.7625581,582.9192901,263.7544128,92.38735288,17.32149626,783.397925,191.8980615,-484.817516,21.14051251
0,-448.0300349,-456.3432133,-586.0894332,-530.1415684,67.17792121,185.6315605,-168.9444448,409.1139056,378.102999,110.808248
0,206.8452091,453.9207901,-636.7328046,-243.7977369,328.7431042,-467.6118942,-736.1879842,189.9597446,128.8275749,-179.3144556
0,-497.8993462,-563.812404,-650.1556595,-480.164805,159.8763555,-54.96474874,-159.9300795,122.1366539,371.0152796,267.8711785
0.002,693.5501116,-244.0140283,-715.5957084,212.6717846,128.42939,281.0408374,-659.2020246,332.2954849,-577.8753476,62.24865563
0.001,-232.612985,-957.4066336,450.1878608,43.10137579,-449.7233861,-76.55110744,941.7755509,-365.6274897,-204.8503557,73.95938658
0,-745.9651305,22.37243865,195.0449484,182.1457703,402.5494049,-161.6848265,-368.2514119,-296.3962637,823.6303847,412.8751839
0,33.33572659,-58.56954162,563.1100374,-515.9995717,-225.9721908,329.8224315,248.4669212,-504.506166,1065.311445,385.5753592
0,-138.5701241,-341.1582313,-287.8746024,187.8530322,191.057625,-792.7301167,-81.1965866,-130.1127737,815.9688214,440.5331768
0,-510.3083276,-473.4157164,-539.3810924,-482.5035432,224.1826273,124.0437031,-252.9292525,287.8692976,375.4530526,275.8996586
0.004,96.27728575,83.94337656,-62.90960517,-633.5334136,-9.353969001,382.0042362,-32.15492265,113.2381478,208.0933413,237.8021986
0,-619.3214802,-132.0906141,-281.1649428,-446.112703,171.2564617,354.5413972,-552.6237055,377.4566086,236.0274972,441.9285433
0,-526.9010552,-745.5294822,-487.2416639,-661.4701816,155.0847619,213.0632654,-100.7720548,-125.0917804,268.1411734,187.858769
0,-399.1263663,-312.9215638,-363.8248208,89.14922844,269.7174308,-665.7774169,-44.97448149,-100.8735739,623.0066335,395.686388
0,-354.5757585,-738.1984006,28.7534201,698.8552702,-199.6703515,-449.9834264,-168.4813012,-30.54377558,563.4313092,75.63996492
0,-629.9483903,-597.4383922,120.6632968,-534.4948708,-149.4423253,384.8706564,64.69559676,-451.363951,-148.5071871,445.1015981
0.002,-222.4020583,10.7565243,-660.9871009,-667.9173321,-212.0024278,-19.83933108,-489.0921951,345.425599,547.3295636,-301.8129773
0,-103.0318619,-303.5023252,-794.3674112,-237.8702165,-119.0097627,-224.3366197,-91.30698148,346.7154013,299.615991,308.3288134
0,-731.5282791,-653.4152925,127.6424664,-330.9913108,-450.0091318,120.2612949,153.9244329,-162.308728,229.0021205,344.0639813
0,209.4118476,-242.1521022,24.31316109,1301.872982,-304.9402442,-792.624107,148.9124561,42.74619945,182.0199721,-280.8250606
