pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50
0,-507.4102346,-459.3622581,-203.8461822,-23.10283271,557.1926584,-636.6962895,-11.31878819,48.73678945,625.4451488,27.97981654,98.19551865,161.4745108,-13.60823374,-180.1598287,430.7922905,-4.987741719,24.89559924,-239.7028343,412.366655,-491.9205809,243.1436973,-404.740629,-25.18813126,-309.62218,417.0300102,80.22207761,86.83850475,165.3635282,-17.86083947,43.92589767,88.04965034,-264.1441556,-210.297352,190.5811615,101.3346143,-79.82181202,-93.37948139,206.3657958,-64.49102573,69.26201688,110.4550655,-266.6773889,-392.9214312,61.60165891,-95.39562133,-10.04385483,-5.80884118,-190.9240649,276.8760832,208.9044394
0,149.4872218,-64.43158418,334.8791802,-683.1461204,-538.4962469,880.4516338,-223.9773832,601.7325596,-272.3990336,108.2054577,83.69479794,327.5524933,-161.1024005,511.8319525,201.7972268,7.739100636,56.29960967,-93.93596843,418.9246055,-416.320993,-106.3434074,-54.33386362,2.316800419,252.6924371,43.21267611,156.6653721,-218.0705451,8.249617199,295.1489336,337.394709,-78.06862201,-19.19807272,-27.25405344,89.66457546,-468.564625,171.0262726,-325.8379469,-298.1972002,-96.24344048,138.3989394,337.1830562,-96.13802052,-206.787259,196.3120064,204.9695292,-41.33291626,137.7638925,286.7977049,-26.12026825,278.4121805
0,-633.7608533,-532.9928684,-204.0086017,-616.9851074,114.2041504,363.2336842,-215.3260389,-121.5577826,166.3684614,344.8345787,166.3907387,-306.1795742,83.07172833,172.7926709,256.7135468,-149.8854389,401.0703865,110.5865827,-101.5738564,478.418082,-104.5563086,-160.7328395,28.8360956,6.088174881,-21.51458309,-76.69455054,282.1675044,69.31654107,-287.538167,-117.9527136,-67.62124135,121.9084344,43.78330473,143.4337675,257.8185152,-66.8319349,-35.36035477,-89.37929821,-57.60235744,-244.2248127,302.6860323,-3.874398631,124.3145778,-8.616001722,74.57893287,-197.5244853,44.59276537,-169.839641,-11.15607799,-230.0990422
0,181.8883291,654.4225769,701.0834337,-6.431007691,-116.1164509,-564.6600735,927.6536524,425.1553159,46.34385764,-52.69514345,256.9863669,314.0945561,67.05411699,-313.4932827,49.72817069,217.7183529,437.285559,209.3121011,484.9768773,22.436925,187.9811072,-224.6150682,-271.2734545,57.47476469,-174.7779567,160.5201683,-21.85856187,277.899772,27.54889632,-100.1080632,87.24929581,107.4142634,259.6335524,-122.4899977,-194.9167702,-215.2215852,269.4710502,-45.35984843,-180.2334282,73.93890033,52.78811523,142.3593548,-262.9841736,-129.2101839,50.327098,-73.60688835,-56.80377164,80.17921575,125.7454479,-21.83144543
0,-184.3693807,-800.0118598,-111.535742,392.6053824,-358.4450228,-582.759334,711.980103,-490.8096598,162.7482212,405.1877248,-417.0489193,130.6276907,-466.3347608,27.91995031,244.8727657,-138.9553445,-395.2352249,-136.4803777,-14.46931184,1.154807362,176.1309638,-122.0767933,215.467337,78.17332187,-423.9592167,-168.7466047,342.5696508,250.3752591,329.3510025,-175.9622295,-67.65150159,193.1343937,-8.233104495,55.92087858,-181.4985043,-140.4223907,-348.3218892,-17.08199084,-36.62675129,196.2436859,68.9110494,30.60835137,27.77650689,317.8773338,71.76833091,6.154788866,100.8778342,-97.85769188,30.16468932,-32.26804468
0,-685.3119726,-385.4606162,-114.8060212,-437.195808,214.4096336,332.7200136,-434.9510458,14.57034647,149.4616795,501.7758742,148.5256014,-324.068257,28.95537412,115.7653069,311.285781,-125.2602594,434.723127,143.4250231,-181.1052943,518.4280091,-123.3489816,-285.197075,-29.54632812,34.7420918,-51.70048261,-11.21136766,225.6637347,-10.65313473,-369.1404748,-191.444041,-190.316869,141.4211567,86.87929746,137.546315,226.8111116,72.12736969,51.14208569,-97.95149979,39.28406074,-237.6025853,284.708474,-5.917003397,64.00329055,-56.873021,-26.04876508,-143.8347539,-4.72451143,-162.2486741,-21.18304115,-87.5064629
0,-63.91900709,-906.9549725,37.13361807,305.0561435,-30.87168037,-138.4213154,-356.270495,-171.1898468,669.6267221,-313.7022231,-191.4214905,-42.18774257,-433.1940622,-56.45543114,325.8220945,192.5818335,-271.2281883,-220.1945254,-266.5358053,83.55841911,529.0949347,-119.227162,170.9979907,-129.7287764,123.1555816,-135.4344022,-306.2098962,-454.6385555,156.2300086,157.730171,127.2224429,-257.0617961,23.1341373,-181.8279625,175.5442645,-31.99356917,-213.4092578,362.9837373,-109.1212985,-236.8730855,-225.2072523,-192.8382608,-251.7072753,-162.8830232,85.51463919,4.018649412,199.0273742,-182.1173968,-31.45059167,-140.8016642
0,8.840102033,-521.2362213,-391.2016641,293.3835132,-253.8794028,-469.6508806,-59.61253265,114.7245732,-278.3011259,-56.66898706,-130.7298431,-408.5572342,266.5267896,297.8523628,-334.0000745,-433.6916166,125.3431232,-121.7971851,162.7252185,353.5224018,-409.0410253,569.7816329,-101.8984526,92.56387319,196.6002639,124.5769235,202.2248391,334.5311647,-398.5578928,90.94701109,-138.030865,79.30355287,-104.6875594,-206.9580553,-133.1242163,-158.711284,-37.91837528,198.2692078,22.1504195,10.1272979,-258.1788599,-114.8206893,-141.0959572,-22.68485994,-138.595333,-65.87530216,50.69595867,-6.171312961,83.84880757,-176.6897187
0.013,-598.3782736,46.57065637,-47.49598552,649.9113183,-682.2341379,114.2380724,473.5259856,-654.6715903,301.682128,879.4227407,442.8494534,426.3237623,-378.7319957,626.1789098,238.3079229,-87.29410498,-227.744579,268.443197,-0.982873,240.7321714,-21.23106133,-99.54024883,75.01400918,113.933112,-44.11499922,-166.1987476,-114.8931012,-214.5823147,270.8489577,-363.3046591,-40.7176021,-206.9308372,213.4906834,57.1565807,-101.9757669,146.0717684,387.2660383,-55.24567782,-206.7966682,44.75955628,-14.94650554,-132.2135337,135.1728045,-207.4245051,3.558033475,15.32131842,305.2120114,84.24543601,73.90151148,63.48312541
0,-742.1143375,-179.0228398,330.1202608,745.3713877,148.6778133,-472.7138985,-344.6090932,229.9882573,461.0503795,-540.9288215,118.5350953,-199.0535625,271.3384466,-349.2532,289.9628052,-267.3534936,145.1107867,-78.84000299,259.1798081,356.7708065,287.1383091,-562.9014011,181.2620413,173.6687749,-173.2321933,-188.2644867,321.1492529,109.2141325,-426.0360869,-203.0608324,82.77438317,-126.3942806,32.84221382,9.910824266,-254.9676035,55.04529352,2.604417408,225.3275609,100.5222078,98.41099455,76.11123727,62.09320991,-288.6515694,174.2121012,74.29139567,134.3834288,-147.7925236,-5.034981714,-234.2104875,-5.876789425
