pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60
0,-507.4102466,-459.3621437,-203.8462762,-23.10292697,557.19046,-636.6973043,-11.320733,48.73133212,625.4470911,27.98440321,98.20016519,161.5037331,-13.54232459,-180.1969893,430.7339517,-4.960822765,24.96147425,-239.6200393,412.6240944,-491.642506,243.9110347,-404.9002697,-25.28509939,-310.2250689,417.912169,81.67396489,85.83438673,168.1607412,-16.29140307,38.66923352,92.22720622,-266.1990523,-211.5550657,185.0618211,108.2019099,-78.59714608,105.2130601,215.0213161,62.97348876,52.5255726,100.7672252,-256.9627669,-427.19808,-46.45206728,-95.87141494,37.55515822,-54.10796296,92.23829397,-239.1473257,-102.1780467,-215.6003978,-115.5193157,-4.266866697,163.2275331,110.9317602,-8.413593218,32.09044979,-75.31737563,-192.1639458,-13.35989882
0,149.4872039,-64.43172191,334.8793959,-683.1465881,-538.4910496,880.4495637,-223.9857902,601.724422,-272.3914173,108.1968519,83.69886459,327.5525329,-161.1632025,511.7539461,201.6190061,7.592228852,56.25603336,-93.66249877,419.2133398,-416.4866643,-106.1661324,-54.78630251,2.516685855,252.5072776,43.58780364,155.6012041,-217.012102,8.529729478,294.8519739,337.6520608,-79.20529502,-23.54707161,-28.32423985,85.63740384,-448.3617443,163.2479315,331.1403324,-264.1040457,114.0861137,179.8340029,300.6866904,-87.83526698,-267.5028516,140.3120728,205.3265508,-120.5693644,273.7905406,-164.1756579,85.41785974,12.60615457,-226.1781359,-57.41041513,-78.09890643,58.28949102,-52.64487809,97.81228713,104.482591,0.222451847,96.0344131,-62.86996986
0,-633.7608485,-532.99279,-204.0086695,-616.9849317,114.1980295,363.2369061,-215.3288412,-121.5828039,166.3716534,344.8523701,166.4207001,-306.1925065,83.08785755,172.7927112,256.675975,-150.1123094,401.1068113,110.5334014,-101.5208816,478.8368009,-103.9919275,-160.8444966,29.09068327,4.807150517,-21.98156798,-74.71332558,282.3114389,71.77893715,-287.7008053,-119.7125897,-68.92479993,121.1085737,39.31646815,145.8870673,252.8358689,-65.82325352,26.08484029,-101.1916683,48.78979552,-233.1082011,323.453007,-19.63129545,102.8632382,46.86654905,50.36504168,-169.9762048,-134.2150468,102.9554104,-120.7342595,184.7617076,26.30806577,1.098740043,-137.3434681,14.28048815,-114.0928652,-226.4889884,-17.30292514,-25.51107982,-101.7123342,-15.50072525
0,181.8883324,654.4225916,701.0834904,-6.430989593,-116.1193045,-564.6602971,927.6575051,425.1426663,46.34910406,-52.68780651,256.9993,314.1279428,67.10225151,-313.5252419,49.56222127,217.605041,437.3616352,209.2884711,484.5735128,22.79946008,188.407787,-224.427464,-270.5398358,56.46998538,-174.0947179,162.2076109,-21.99270898,278.4829273,26.09336467,-99.19279114,86.81954948,108.5327834,255.7628776,-115.4683955,-199.3395027,-223.6693514,-259.2228295,-18.51742404,197.7687337,71.53436281,51.54122252,145.7003183,-186.2986601,-197.771082,77.23665313,-18.28114877,-14.28977701,-111.1262503,-86.55334033,-1.149303145,-9.689256782,98.96595717,202.3867041,-92.35861616,-76.48203719,234.1382688,3.58323462,-119.4591837,-114.8451429,-59.56789246
0,-184.3693861,-800.011774,-111.5355636,392.6056943,-358.4525655,-582.7559708,711.9748302,-490.8449598,162.7545573,405.2333232,-417.0117992,130.5438883,-466.303594,27.87176984,244.770037,-139.3051608,-395.2432883,-136.3441412,-14.45742321,2.033870388,176.9697862,-121.9273898,215.8484169,76.56104141,-423.9179154,-165.0261004,342.1817374,253.4153467,329.3142158,-178.8700411,-63.39441276,191.8502208,-13.17852774,55.80133318,-174.3392044,-145.511289,366.5567845,-5.311822424,73.26912433,199.2715609,76.31043536,31.96580758,-88.28404801,278.8280407,57.38085566,-25.83880945,26.48157978,156.7244565,23.07105304,-101.8457858,56.70875386,25.53651788,-123.258967,-110.1057404,24.7329119,111.7862363,-166.100034,-98.29872163,-187.001549,60.79355522
0,-685.3119756,-385.4605742,-114.8059407,-437.1960439,214.404094,332.7229547,-434.9554682,14.54892785,149.4739295,501.7881883,148.5546786,-324.0631031,28.96396758,115.7462099,311.1544158,-125.5404032,434.8309931,143.4777702,-181.0561604,518.8356324,-122.6016634,-285.4778406,-29.30382794,33.32351049,-52.20815793,-9.463114385,226.1016609,-7.561677965,-369.3314384,-193.7737807,-191.7095162,139.4762449,81.99085626,138.9164925,224.1826944,74.86582381,-59.54818931,-104.3770876,-39.53090207,-211.2474928,310.0992395,-8.667812697,35.31277021,-2.024155695,-54.96960954,-140.0947192,-151.166456,84.16100245,-48.79749599,89.90442815,-86.82807169,8.463864954,-117.0795373,-46.69335972,17.72781251,-115.1822152,-113.2744674,20.62510702,-122.5117331,-232.9143581
0,-63.91900639,-906.955092,37.13356343,305.0558462,-30.8687873,-138.4238367,-356.2702931,-171.1960998,669.6255813,-313.6865249,-191.4244014,-42.19366044,-433.1880401,-56.45285557,325.694805,192.4864938,-271.2391499,-220.3027147,-266.7265893,83.66524694,529.0118111,-118.9600314,171.5682281,-129.4567377,123.4106786,-136.2166532,-305.1067688,-453.9400061,156.1678025,153.590779,126.8403803,-262.2491643,23.05622711,-183.9580845,179.5684458,-38.6471014,221.0714018,342.1446051,57.8932317,-276.4449134,-222.6626658,-172.5877731,-152.0594389,-225.200321,121.734939,-10.02041186,-5.444866525,306.41873,-13.80675049,26.90306524,133.2961511,176.0321667,140.8704333,-116.3064208,-205.0704268,61.69522795,95.3628379,63.03936509,-115.5286045,76.86919807
0,8.840111114,-521.2362999,-391.2016493,293.3832608,-253.8784158,-469.6501906,-59.6057655,114.7241882,-278.2977941,-56.67032488,-130.7292784,-408.4802236,266.5129546,297.8961152,-334.0018724,-433.7679582,125.3682418,-121.7334896,162.3034455,353.3209233,-408.9647318,569.3918153,-101.1308663,92.52170051,196.3598272,125.3205784,203.0747762,333.691437,-399.7880845,95.26970497,-141.4106055,79.46595528,-103.5073118,-210.3094415,-134.9395281,-162.2225554,37.40008556,189.8356146,-55.51768197,-7.817779566,-272.5615513,-83.74486162,-114.5889806,-61.35402629,-107.8268939,-81.52303449,-2.459714016,21.06903895,-165.3284686,172.5232385,181.2674391,-8.250192594,242.4988022,132.2075372,16.36511038,92.84799035,55.95655071,-42.35799098,-96.50400917,-59.47919869
0.013,-598.3782637,46.57055388,-47.49631665,649.9112078,-682.2356939,114.2408467,473.5215139,-654.6747477,301.6865595,879.4397229,442.8419896,426.3576719,-378.7004171,626.176306,238.2604733,-87.3053612,-227.7761044,268.278717,-0.511385125,240.7847312,-21.28900228,-99.22733721,74.5122727,113.6364436,-44.21707655,-167.1581494,-114.9616459,-213.6793065,269.5725568,-364.5461301,-41.72850953,-206.1829819,210.018694,63.41619967,-110.0358735,150.6652574,-389.8705117,-34.11964971,222.9237517,12.25183237,-3.173741884,-157.1175306,207.058274,-156.805147,-31.34644464,-143.0097307,258.8591246,136.9284441,43.35696929,-172.9973835,51.56575455,4.875496113,86.58865199,4.616795187,1.21252303,88.36865912,115.2669897,-61.12075036,-98.66662176,-51.28605829
0,-742.1143412,-179.0227434,330.1208331,745.3717469,148.6736955,-472.715204,-344.6105634,229.9696365,461.0560741,-540.904079,118.5745171,-199.1705297,271.3149438,-349.3340609,289.788521,-267.5497096,145.233417,-78.59194544,259.1772457,357.4279345,287.3494288,-563.0367312,180.9803192,172.7971168,-173.4990264,-185.0625774,321.1867377,111.7035786,-425.375625,-201.8174717,89.29629753,-125.0827849,34.39149074,6.389743963,-246.0630963,55.3431935,33.54066901,250.9697965,-79.68074497,115.4595475,58.5611542,80.22609081,-338.3194428,26.30796426,68.96062589,187.4880855,-84.92923589,-23.17959203,225.5584705,132.9148112,36.4286527,-209.2017266,-159.7502,107.3173784,86.30199662,-66.98437206,138.1326948,-145.1581433,34.39171364,63.14223346
