pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120
0,-133.9341869,-148.2507855,667.3593638,541.8428015,729.3028021,-355.726062,577.7181842,-451.4270317,-624.2954288,-135.6849176,213.0683513,67.55080399,-206.2424977,573.9390601,-192.7703592,-107.1452105,183.8080837,-62.08305744,-217.8475387,-200.7249011,-149.211127,-26.78798613,1064.521131,191.1467768,220.2047332,736.0881766,-90.8029385,341.4092842,-512.0196128,75.93232397,-514.8353546,133.0568388,75.62880065,-62.3467404,135.0934086,122.1990966,-224.586889,199.010842,-51.94238762,19.67601145,-76.47368303,69.09374074,-40.37225029,354.1538731,-83.80480711,22.77552059,-216.3085686,-43.02560532,-67.11770208,113.5298533,-103.0226707,-148.1423217,-31.45427819,63.93054256,52.6230132,-212.1345725,-63.0288603,182.5857822,-101.5800266,35.76327348,184.8365154,252.2634775,-226.9899786,40.93848078,-39.09815012,-201.775478,-9.357629587,97.59963293,-22.32099821,242.3840505,-192.2755023,-81.09181655,6.051685719,-81.03689762,-67.21044355,66.58654883,-86.91409272,-28.93742885,-127.2879099,19.57309307,-15.08506885,-87.01407815,12.53101564,264.4588382,-242.4092822,-78.54756587,62.48014873,-105.1460791,204.5510058,59.28790231,53.26551884,-41.9654951,-163.5731304,75.77420896,-95.69923578,-124.7344217,59.14082871,-61.63782861,83.14585255,-144.7316953,-129.8698268,127.487299,60.84328478,-74.37975134,-41.25029965,-106.1623851,165.2810502,-104.5287303,-65.54173421,-118.1049556,66.60795234,-4.887656896,67.90045367,29.40669852,70.72144909,-132.4861,-2.173111192,-38.82687498,-32.461183,-18.8087496
0.014,-1001.405167,-602.9623217,472.7598273,118.9261009,204.7284918,-205.9462716,-125.1649525,148.4249497,118.191954,-74.00338959,62.41648033,225.9678475,90.89278813,-280.6777193,-11.67059129,-51.42330043,-154.9984835,-16.52169428,-141.0795923,-266.928476,25.99035557,19.27590973,67.59890392,-165.0833996,-16.88138167,146.949127,-143.1396601,-113.4543331,109.0882082,83.19635388,-47.22001282,-247.7176524,-203.0989854,78.31120126,-32.85395708,8.829942492,-154.3107869,-8.752386655,24.19642967,-18.82231191,-18.89349451,-25.90898603,8.848142943,-40.54242545,0.169827996,57.49464448,-137.0248028,-40.68720605,0.079085629,123.4513479,-69.59230896,56.43389381,100.7280078,19.30229602,-27.52768349,-10.75987217,-106.5272757,132.2799133,97.38678101,-48.47954293,73.82553468,-31.46164844,65.08193771,31.41363532,12.77407952,154.3843249,18.82598655,-21.66265646,8.179215724,-25.84661311,-14.37288906,22.12359859,-43.83049364,24.39653145,-57.3747796,2.320929172,81.78426898,-76.89582575,33.23707339,4.490252616,34.98366856,-47.30311853,27.40300552,15.52738894,-18.4187534,27.48454281,-20.19198867,31.95854755,77.2357469,21.18285179,-54.63797664,60.54852909,2.4112405,-159.7482991,33.87412772,122.8618749,19.07366226,-83.75818601,-14.95537689,21.43494089,9.549970919,-18.93409313,58.96740132,-25.49562021,-48.45211815,19.61119989,17.01454466,75.38850118,54.77641085,36.0407698,18.65633041,5.819745754,-25.33822608,5.904973586,32.1078166,-59.69144629,4.067682479,59.1223743,62.11746321,44.80433591
0,737.3511542,869.3834619,38.21770104,94.10135182,475.7623673,-735.3830938,556.2544441,229.8865518,-67.42851906,-789.6445093,-172.729022,-5.409365227,-49.2360826,526.6756646,231.9533411,16.24043584,-110.3535827,392.1186356,44.97258654,-345.2028404,-521.9809151,6.171099183,196.684065,-191.556499,-165.0841232,-254.3476684,-72.98907714,-340.0049472,-140.0414719,159.616677,-285.8332805,-58.13223344,80.07567326,-285.2410812,-284.4903181,-188.4186966,-163.223394,134.4128707,86.55205074,26.52631453,3.242925672,37.92115412,288.9330975,3.242246172,-69.28812297,2.875276581,72.42749248,14.9235856,-22.51354275,101.1579647,236.8764294,-65.47674457,152.838753,-240.2266004,-107.7262308,-9.892076919,3.580749737,-30.84731684,177.6635318,157.0310039,37.78590351,76.58178963,0.513547617,-52.63655393,72.52069652,-138.1734129,75.20872436,53.18889159,-137.6349397,43.55198816,-5.504389045,113.4416199,-50.6706593,19.878749,-123.6325518,34.86136503,-36.36128831,-146.5646751,-95.8079007,29.71912278,-83.42703646,-12.93504653,-209.5767377,-84.01652162,-117.490681,-125.1957007,-4.745316907,257.6079507,-90.66197921,110.7815626,61.65026696,-88.24315119,-74.78376262,-44.29454957,-25.72878525,40.93854693,-93.93987531,8.31852378,-51.52031957,-55.04097893,34.43532993,-190.8928557,15.06590262,-72.26823488,12.12202702,75.64222388,-52.20696958,-8.991834268,-41.29963536,32.65326656,95.44663627,-38.2733646,24.27803901,-4.20079293,-127.5330033,-34.26915831,15.39035677,-21.27768238,34.85236988,9.463163128
0.001,744.7437667,357.115771,581.3062929,285.3120357,-617.2672894,249.7108059,322.005173,-240.6944128,417.114077,227.5771326,-434.6715026,486.8795259,-215.9880706,-557.7610028,-403.4035704,-137.405249,-206.728365,87.18723612,146.1171016,-335.7853858,94.49005532,183.0336664,101.6187709,-138.2415082,136.7986835,80.71225447,-83.11058425,121.3822101,56.95610379,129.4802768,-49.07760064,119.6307292,6.068592298,2.861688977,-224.8699719,-41.55874806,-239.9960557,-269.8022113,36.26522211,3.684501467,-102.4862912,-280.105213,-79.40030187,31.2275862,-72.32717272,-196.5812632,118.3212163,-26.18601273,69.08101474,-50.32024731,-164.3796521,30.57227971,-30.08003158,-85.61321768,66.05971336,-101.7182242,35.75488556,-30.84831844,115.8724572,72.37325755,-0.53849353,96.76021625,-97.98559775,54.34275161,-164.9078241,143.4194105,-17.59012688,-27.15790876,76.43794644,31.20093707,-146.5185225,-112.4154264,80.02815647,-97.64548665,-41.54359925,100.5711678,18.63503051,128.7549921,-100.3598153,24.27974271,-4.404948526,221.8805974,-138.2013705,-102.0520928,131.7866253,-2.029002251,116.1567159,66.68627877,-69.13042215,-212.9530112,-44.24157326,-121.4959239,93.90014183,-32.52830162,-10.9794367,-130.5563679,8.299956437,-110.1436096,-68.08525759,58.27871295,-79.26678806,-30.07815941,43.89384005,-185.6002549,76.31895195,63.69675098,-94.17460345,-27.70605309,-114.4053747,14.04434653,169.9750013,28.05388508,-46.2877621,77.2075364,14.46731319,-24.92477546,-7.90981109,118.9327298,-16.141246,5.276388632
0.033,-1148.073993,-508.4828071,200.3043117,88.49576263,337.0497377,-144.2767587,-94.1922271,174.5650218,320.785263,-221.4120475,186.9686295,165.9298014,153.2465181,-188.8699001,-80.32297325,-67.19634452,-178.5070673,-140.975214,-121.728244,-206.5972696,95.06377439,60.47460184,64.79296348,-198.0060227,6.970113339,24.00978297,-87.81957495,-40.78644437,96.27129973,88.44822947,-63.41053001,-147.6644058,-170.6177464,115.444304,9.356399112,-27.37746064,-130.0968743,-14.28491153,27.48336953,0.384532816,55.77391527,-88.65945145,-20.70512007,-12.25535487,15.48450163,31.44514091,-76.60891567,-48.33470006,-21.53165028,56.75298746,95.80730111,-75.44722194,-63.03393118,33.48145414,-22.23007168,-3.47203755,-132.0247213,142.6568077,46.33882344,28.42128791,-31.05191422,-50.0797197,17.34966307,85.65962174,26.95333474,32.27445383,-25.0950731,-0.899846513,103.9295105,-11.83590047,2.000881864,-35.72904447,11.2833392,6.159366235,-5.734442266,3.85767062,14.72191718,-45.83561269,49.26513268,59.80947551,-42.57844541,8.806268333,-89.78285819,55.66978422,-7.9795639,60.33702628,-35.38551116,-2.993156597,87.83287726,-51.02113185,48.78809296,17.76077052,-88.97860725,13.96018397,43.94454464,10.10064312,-47.61695272,12.14350749,27.00573037,-53.01603979,6.456931232,26.04032247,-11.24920146,-92.52321738,-40.87313978,88.4970164,-67.21450606,79.63753856,-5.045608664,-50.42737973,-86.03824475,10.95438423,-22.76505922,50.17680288,-68.88369158,54.8252647,-59.72706722,-39.5832583,22.5605708,-25.054496
0.002,481.6173809,-91.44750474,-108.4089952,-190.8401103,-85.47052613,-351.4939924,119.8433621,-469.8159383,138.1367494,1118.372115,80.00557831,-442.6268119,163.7802296,-506.5047509,-90.44521879,7.08737882,53.53033441,-2.153561404,-253.6033919,-93.39088261,323.2363416,-124.2837323,310.8046989,9.459412386,-2.615976318,258.3053719,75.20732465,-113.4614048,-271.095752,-89.06055505,281.031909,-139.1867338,19.15050293,64.04362892,-44.64603076,289.1841656,133.0363237,76.81331973,-85.8554397,-72.72544777,-249.0312659,-86.8504253,18.41447839,-70.38048786,83.59679764,67.57178062,26.32325494,-45.87139327,14.25800831,-110.7003682,214.6669431,-61.90937518,64.2506685,45.68526637,42.50810079,-106.6328344,-35.59653667,-99.46647575,76.90969791,87.91439613,-181.4632779,40.52797391,120.3412524,140.2096172,-11.71887564,167.3707389,-80.63698706,-196.5142048,151.9135222,19.93245142,91.10348741,90.76932851,64.3179749,1.006812084,20.88145784,6.645533228,-21.82047679,136.7235079,133.8084461,25.08220666,37.88408421,-2.566863776,-129.2562761,-205.7518379,61.02954685,-45.60190728,161.8409466,-24.33597647,101.7587324,-187.6183914,-141.020228,-2.857482597,-191.2435019,108.6037893,32.0868989,96.06243699,-24.98982995,-200.4464304,-27.92587599,34.43693552,-33.94924407,123.4780056,-139.6276974,129.7713767,-61.4743326,-89.05185916,-8.069598906,82.15658237,-15.68396558,-69.05397834,10.61174673,-52.08485858,-27.34096914,105.2046924,-59.03820771,37.61332308,44.43071428,-44.40504835,-33.33521082,-33.83687329
0,326.8603939,-398.1848341,476.9786833,-418.0849868,347.4931249,624.0982182,254.9471005,-108.9124727,-351.7565679,-135.2707653,-49.98809529,107.1951934,-387.0081777,-289.4273401,246.3542158,328.8369812,-14.67427648,141.6095082,433.833449,-6.350096752,201.8363617,-258.0211772,4.904091524,-13.19916307,-174.7836885,-210.9094552,-111.7742373,-30.39157353,-3.401404134,397.9937791,188.727944,-124.0028173,296.0869376,-172.2056935,327.1460745,-382.714215,-232.6587697,169.4932928,-197.710422,-126.7792871,313.436365,244.7331548,180.2994949,-45.55047777,31.92675316,73.23916045,131.2063072,-5.696744096,187.1789385,106.6776142,-71.8884848,107.5021454,-140.1896505,13.8072823,-4.75330099,-86.94243554,-122.300191,-83.20692514,9.300771512,167.8341962,94.81418544,5.822843629,153.4731471,37.0615093,199.0501241,47.81154217,-63.86853114,58.1716662,23.92262346,78.67256015,96.28262508,4.592848374,-37.07032932,7.432162191,43.31730639,-61.65729369,5.618655981,-81.34676445,227.8760471,-104.4596961,279.7761427,77.68699589,135.0833865,18.97687965,-35.08950683,-10.87179851,-92.29326892,-41.15655458,-36.61170242,62.53196612,-43.98953463,-8.848099788,34.88232804,-135.1931921,139.2703077,-97.59067636,-138.1829019,-49.65256524,-30.63467143,52.07266728,-92.58658093,21.28894067,42.22148362,15.46135811,45.49672762,101.8414309,-22.05130698,-71.52212865,44.55566872,-20.30805827,-44.52911859,3.330418713,2.623200165,15.61749828,-85.03176917,-154.9913929,56.4315443,-114.4792607,16.36074673,-82.07738232
0,244.805681,71.19576319,176.1194302,468.5437879,-130.4376276,-8.328502559,1031.785257,272.365553,613.1179163,-41.31145872,-347.3956023,706.6688452,278.2845354,-63.35747839,132.3271513,-152.4211638,423.1801851,-375.0434854,-354.3342792,-614.5070336,88.43392226,19.16733981,-28.67481506,397.1553074,728.6839351,150.8121184,184.3833212,57.64770521,-82.78758368,93.21405863,-57.55091626,26.11071217,80.42678576,370.2374763,-97.74565652,-50.40039429,-35.76559044,127.5836447,3.92796201,-108.7500744,-22.16379145,212.5309186,-23.74512989,151.8411617,26.97106499,-178.5998999,-97.92918935,-182.8145245,152.2038366,-294.6981348,-46.34925461,-172.4268961,29.53481982,-101.3981834,-110.9210244,77.81490057,-22.58782455,-69.96946462,-114.2052887,182.7220366,24.34867457,-92.798863,229.5139876,118.1809532,116.0096575,177.1502314,-47.09851614,-96.44140874,-151.1764,-170.0672583,495.8533832,-19.72694343,32.08265966,154.1450639,-183.5710392,-52.16817193,90.55918356,-3.705637536,-94.00476576,98.75996587,29.32176975,-120.8441621,203.5221806,-77.17870306,196.3876848,-17.08509242,113.0632892,-47.28178612,29.26882742,-102.7972738,15.66109326,-21.1592954,-54.33281293,-25.29593943,77.11625451,-82.50247621,50.31794243,60.35499122,-44.44853067,36.80053284,-8.948884639,-225.7189382,-55.4009801,-37.92142265,-15.73992022,-18.23654876,106.6531642,68.69986314,94.66585985,-83.72843172,-102.7882671,-62.3245526,59.68982379,-52.84082354,-93.88177018,92.80844753,-19.36611885,-99.80531463,-10.67416727,75.1479047
0.045,-209.038297,1059.374256,-332.0902288,-882.0861335,376.9517758,-120.9683659,-58.93305304,95.68497587,70.72211474,182.042451,118.9385041,321.4198416,-119.8244954,-317.544668,319.7897045,-328.2656492,-311.0309369,116.6117453,-117.8762726,-111.7571487,56.42300579,-436.9835387,-116.0209408,-269.9056517,-200.7420197,91.05778773,9.804198796,188.9812413,-56.09915933,-146.6435659,101.0024143,78.8003364,159.8663076,-73.72655264,228.279479,133.4770718,216.9478116,70.89518621,-187.9121423,101.6390968,124.5420984,-24.4206647,-43.67171164,-10.8855015,-103.7296424,-135.801026,-260.4129672,198.1277769,-11.12252065,-36.89878155,-52.44899265,109.8837324,-112.0450541,38.63164033,128.2764892,23.69501071,120.472475,37.50539276,11.19750514,-29.32678529,-52.54208531,159.4009128,135.0177145,-141.2878293,-1.327460617,80.7687786,66.41996202,-29.50950981,138.8765015,-60.96783751,44.52805059,-71.03029364,96.36943475,-206.0087034,-67.89419589,-61.01869928,139.0242348,25.06085157,9.360026329,105.2828151,-48.83253291,-92.53701814,25.14544712,-10.3968636,104.890816,-157.8570661,-226.0400332,-48.33422018,86.62538332,-18.01407685,35.20596733,-61.07050903,84.76707796,-0.880934613,-88.42891622,25.93166737,36.21783599,102.4772509,97.44351641,-3.925747408,-71.18426881,48.01085753,-66.19621019,-80.81680447,123.9941906,117.8133925,77.54985327,-75.26339929,-100.3851418,26.15750883,92.37754488,106.3724567,-99.92472138,-91.41386496,-3.09543955,35.13799823,-59.1459465,93.18135357,-89.06554111,48.03417204
0,377.3425165,574.8640538,875.0592482,761.2284679,136.2549456,-1109.144958,978.5120962,34.50751493,-56.8472406,-245.0723965,-147.0902207,-246.5141941,521.9224871,-554.4400782,147.2048044,-405.6145257,468.074934,409.3923953,92.93892219,411.0760868,-2.527867273,85.27230184,298.6747518,-309.4353024,-55.43372206,-168.6778692,-102.9125005,211.6978238,-327.7139801,74.74448036,151.7030304,-213.0964785,-43.8057242,146.7535757,-55.46198567,-100.2396174,-134.2311968,-265.1458679,128.9984673,199.4212719,-95.03384528,-168.6848611,30.86907843,60.53049578,102.9352643,-166.5016921,86.04283099,-92.06935712,50.53258053,85.14330993,-166.8401372,123.2622537,80.16422519,8.469922679,79.38503074,50.50856052,-49.98627678,-203.4865801,73.86611253,117.6555121,147.7063335,270.4567937,-65.84864482,-117.415564,3.974143914,34.7915632,-65.56725874,41.36910254,27.23969529,-155.2781721,-6.636578895,-37.66143271,-57.42192991,7.986152095,-246.6137388,-125.9110253,-14.36023324,165.3439526,25.2040703,135.4774053,-13.17196288,-166.6169935,-303.9258601,-2.086011809,163.6201015,-152.997313,-67.10846824,-61.59094145,121.9125099,-44.26670341,-31.12408854,70.95100365,159.2072637,-162.5603838,82.06459158,81.36778719,-111.122701,75.42291528,-167.7723747,25.90738786,4.862630675,-81.9402307,-8.838080182,7.792013023,138.754957,-61.04855999,-87.58734426,32.67565343,-103.4332982,-135.131797,-61.43070515,-2.109484101,-21.56275606,-27.28581792,90.11160416,-67.2055118,-123.7654821,-13.30037876,-177.7627725,29.45815099
