pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150
0,-272.2391582,-696.2042833,529.1804109,-298.9088614,85.66535326,-81.78423293,297.0515906,-700.9750875,186.3831546,-684.0512097,11.20346845,-9.497202773,-561.29208,147.4977555,401.5248852,-191.5124615,214.736923,-164.1808327,-76.56962519,-269.3914154,-256.5398039,-103.2524424,-217.368358,-235.4625377,-297.1933968,113.6691278,191.0328735,-263.1489172,33.3572866,145.1696798,4.057625798,-217.2024778,-66.75418136,-199.8902682,-86.58775064,102.7811822,389.6928193,3.748037756,268.3674162,-176.6428802,-2.409930427,3.458020946,45.35942063,-99.48649255,-7.729133966,-74.72360673,-161.9322322,-145.5412354,-228.0817264,-234.2750654,-159.0941977,41.5074079,167.4762143,-23.18393076,73.05061582,-199.5643545,-47.21207188,-45.64582803,-39.37887943,-202.5885987,180.057988,-75.40286275,106.2938306,-8.707192508,-94.40725451,68.36650451,87.94362396,-8.298813878,39.09374594,32.18191457,71.98208225,46.12176701,-185.1397815,-173.8525588,4.6632501,-29.82272858,55.26370324,-85.97563297,162.5104116,198.6338319,32.6449181,-70.58513276,-3.145642855,-17.84997977,102.5167391,33.17886343,153.9055637,33.74696133,-9.710658667,-97.22865868,-20.22179943,120.5628885,-120.2141499,-147.8876147,25.47569135,-113.813996,-83.36757175,84.85343495,41.74960109,83.86199059,75.60334939,23.59578968,45.72530196,21.45806451,-14.77253593,-104.8785347,-59.90923287,78.18380436,6.344856642,-75.94500006,-50.30129961,119.6635276,-13.82389781,95.45534228,117.3250752,-45.91113201,-117.6749955,67.75665603,78.61332424,164.3247709,-36.5614053,20.22452155,-20.15178609,-88.67616611,-72.22524369,-35.87953726,-50.46785106,-0.298362577,52.33377468,128.0834161,-51.33695597,22.01941649,-25.24124358,-23.81425283,-20.13427947,79.48538887,11.22697617,-97.26683911,-0.409065192,-28.08833972,50.44557858,20.41566672,34.30158961,-4.500764851,-3.236860035,-23.14857366,51.48671772,-70.3425034,-37.2437476,-60.83617086
0,229.2221185,393.4752256,-1012.896612,-673.1815684,454.4925946,116.8245151,-187.7663982,312.631006,-155.6828546,-199.4229726,341.8239355,153.0475084,-569.0431638,-363.9232498,559.8475128,385.2562402,127.8258508,286.8607255,35.19899395,-397.0692161,231.1247861,-148.3503349,-84.02566948,-163.8995704,34.48120957,-76.09524369,50.94313207,37.3676248,-116.3103713,23.66969295,150.8151724,-173.7749824,174.6034679,-120.9567775,180.2141865,-235.6893419,-365.1146598,60.09723983,209.1089154,-0.13882194,18.6744533,-264.4052503,196.1023624,3.543461511,32.54407162,-318.9556863,-128.080177,159.6794254,-26.95244151,11.2846323,-151.6993467,277.085118,-47.9403339,101.4849593,-172.8122484,-263.6367457,-178.6690906,-241.6630057,66.34584067,-72.92704555,102.6132889,-197.8453142,-136.9792719,-164.2332364,45.41038903,-227.4876835,-76.92963859,-42.19010593,91.65207065,60.7189111,62.96951067,-156.6330784,206.9688622,79.7632981,-37.10090947,32.12314063,-52.31659876,68.44622615,-235.0369872,-107.4111894,138.4809717,-243.2593691,177.1238466,34.99305009,-123.1721465,-18.89301114,3.118016143,-127.0832281,44.47083072,21.30410154,58.58492398,-66.18001463,320.2905234,-29.78166123,55.28815914,-40.05739124,91.4564067,-67.0470751,18.54028948,29.07580364,-33.54531978,-28.85415867,-63.07161015,-81.83619576,237.7873165,15.82074386,-15.97167629,-87.39101134,33.17636856,57.33538798,54.99095395,78.55332527,29.58007248,-11.07431518,172.9178842,-118.0586758,-55.00771053,-28.10491936,-10.01467535,-50.79226295,-86.76027725,50.7366772,76.99779594,-104.873044,-112.3284217,196.5877379,-125.4106731,63.17184897,-22.30765361,55.99846228,121.9713172,64.89580177,98.4438211,-51.34859835,16.97540472,166.4966256,-119.9703976,-87.9158825,-50.03983087,11.45716049,42.16265754,-40.63926548,-14.12378266,-40.01239041,70.94451287,0.726431559,94.2616415,110.9124241,46.13505748,-25.06369026
0.002,-446.8203696,-845.6470906,-686.5705339,-317.8344676,-40.34583336,-102.1258111,-102.3527215,-170.0402015,-51.74066678,-51.23526812,321.9350151,-181.6896662,483.6301388,234.7320058,34.77490662,-54.12754427,15.1515093,-126.1514821,11.864127,100.6058442,191.7857309,194.0878987,35.59942051,-181.3562224,108.0485088,-58.66043665,-271.7965789,-100.5439358,-148.7742942,132.8194395,-141.8345143,-213.2467254,66.59168219,-256.0312022,90.8321744,-54.82842619,211.8864565,313.3118508,-12.57856413,-18.1402499,19.19045022,39.1812625,140.6239489,147.1202988,49.00676277,-111.2950377,-97.08398827,-77.56829554,-68.29276167,168.9271546,-68.51494096,-64.08578954,8.469292208,162.0441592,106.4217923,71.0399716,92.00884668,-135.2770666,47.23438445,-53.61985898,6.380847143,243.9557784,10.57479891,-87.00628677,-27.92465761,-43.38577464,-62.07786381,106.5410241,108.5481001,-51.50085981,8.529731101,52.68968109,50.57148725,94.89918125,-50.90014571,-56.84977994,20.67042152,62.5066389,-30.0953229,-40.12029448,-158.5498414,48.03723648,-10.6439434,-56.18670837,65.74965586,1.00226098,41.26768336,50.87677975,58.18659957,0.616305482,19.55156645,30.61836412,21.98624066,-48.74395369,-6.517181777,-79.14548284,-30.91930143,-43.04259459,-46.49609395,19.90373662,62.07286144,-13.12908606,-57.05363804,59.76121592,-58.25454767,-8.355574664,-2.795548913,-37.26237256,62.95097219,100.0823303,81.39603705,91.56363502,53.53927889,-36.30132351,-43.4759657,45.56582591,49.41418093,12.08973003,18.72432858,-10.64067755,-71.3829229,50.13844706,-78.3982333,36.86386615,-29.33703833,52.22680291,86.49307462,42.12812358,-30.07258051,29.02256222,-137.9437522,-41.76990586,-51.07805159,42.14361964,-12.68771934,-14.16975892,-63.54563506,72.24977203,26.05651995,-5.268685712,-24.33841397,-57.70410963,56.83035649,26.11084345,-46.29755499,-19.37866797,-46.81296205,14.88951426,30.86837602,-57.0390932
0,274.6063629,713.8829228,598.259832,20.38627779,465.282153,509.8168099,34.00251087,-127.1918481,-254.2050922,-737.5806044,386.926402,-510.0116431,-79.14849518,602.1862636,547.4563964,-114.9247831,-460.7797657,227.3177787,102.4719686,-510.1689273,287.8239253,-352.1317977,66.70575033,239.6247732,255.0418135,113.7026387,-108.6098407,-50.96097489,83.49554913,210.2794009,-150.8542006,160.4088119,-207.6230384,-79.24397796,-34.85938007,62.82706846,20.97653975,302.3036315,-293.1725843,-13.8684214,44.97392171,-41.51882258,72.43198513,91.20368923,-142.7958419,33.05625053,68.98343797,97.92563269,-51.01751459,-397.0226542,-51.14550277,-0.867315672,178.5470342,-116.3080236,-32.87435171,61.91382528,-181.1175206,56.64808254,-217.2800865,-68.09338183,91.95931941,-45.53883507,-26.15122378,77.37476197,70.30132819,-22.33178064,-89.96623668,-57.90155507,49.60163082,-182.0820945,-98.29134503,-151.718111,-27.77370397,-93.88834082,30.0124139,-4.531302115,75.36458794,19.15735311,-5.733288946,-6.617867716,192.6540633,-57.11369587,-30.30340524,60.37152445,-30.76160824,77.35493384,-18.41152721,-1.133199063,86.74817977,36.9394429,-12.65895217,118.073178,85.59767821,-79.11590528,-84.73859389,-62.21499443,-37.73558328,-66.78334864,57.83909701,-54.59422812,-35.56842384,14.64297649,31.3123273,-166.3494891,46.91008228,108.2884468,-137.6490732,29.17383732,-112.9252979,18.73503303,-87.77477057,3.575321865,-23.40470579,124.1774692,17.69453599,-60.4143056,-57.65833742,-44.18699631,-72.46225098,20.34365651,72.74731375,-90.0451784,-30.33186739,54.19239103,-35.25851919,67.06008485,22.74434848,-32.10911777,-20.7619963,-126.4614622,31.95405557,17.4954316,1.767007616,80.13861496,-24.3267814,-15.33556222,48.02371902,24.31382095,91.33715906,-89.81250388,-0.442324667,82.41392372,-19.47913712,-2.225763266,-18.52779087,85.45932102,-113.6724944,21.69321224,-108.7054752,-38.71667222
0,185.6275447,-435.7906481,831.7419079,-693.6995987,-380.9622792,276.9847699,188.0537608,-182.2327569,-229.1884872,549.8041267,-369.0335719,-148.1046124,-487.2029534,492.010792,386.6277742,23.62936019,-26.30967744,-223.5166833,-261.9741199,352.9967592,133.6360099,-236.0741378,237.6843522,18.16503137,445.7754815,-66.54644137,37.04998221,-150.872353,107.6470068,163.6894565,-46.25393151,-170.0802555,274.0837625,344.1662671,183.1188709,-37.77086189,-203.7642299,59.03159541,103.6782155,-90.29255827,-138.6049774,-210.591016,-4.826712119,-36.71590552,-163.6033347,-18.07690306,-55.80595958,-220.4207398,19.72108583,14.41427074,-72.6886726,-15.648314,-99.81723944,101.5510195,32.46107652,-43.25401572,55.36669522,30.16618725,-35.16413953,-234.0593694,47.03319586,107.4772471,269.4012562,-288.6962054,15.68039544,42.87501807,-116.9664969,44.83884242,-39.75283225,-190.8278273,61.93116403,138.0408065,106.010656,-211.2479123,-18.08381998,-59.59287606,35.07643812,-110.3632289,145.8615726,95.82418941,-52.87772325,11.72435798,-17.32573891,-14.02395765,-95.78411982,27.15799915,-64.33494333,-13.11534594,15.72007108,-19.24386683,8.265070418,22.7028616,17.61314235,-22.73158131,56.2404544,-156.0740416,40.41290959,64.72520175,98.31817535,-48.42367295,53.6164203,-53.55080153,-69.39923082,104.3365542,-74.75483294,-64.91245601,-132.3867794,-49.69080496,-98.57574002,46.66588223,51.38628366,-125.2646132,-18.95034529,-26.83212806,50.64191912,-7.347993822,86.17345567,77.45463215,15.37841715,60.44497983,3.246200621,-36.74956435,-79.25046938,-85.42012844,-43.1748315,35.44871847,43.0097016,-117.7286333,-94.5846486,29.77174925,65.14153597,51.72426465,48.37757383,-18.43953519,-45.85210847,-52.79587901,-31.77161486,-60.97343947,-17.87489388,97.10438702,25.38998,-94.84856489,46.20565444,-26.09259403,61.49371456,-5.263313731,12.99446449,54.23236461,-15.01055501,-5.409565841
0,-456.3927608,-817.6562338,-681.142142,0.818391228,64.59454762,-367.2020498,-140.0066947,-165.275524,28.39220399,-29.9833327,291.6310548,-325.259382,490.2580169,250.7036773,29.73217819,89.28360111,-55.67272523,-102.2418454,-11.7203221,204.5441126,167.075381,230.7774538,12.01185562,-58.41873356,-12.95719937,-134.1034411,-291.5501749,-68.58749363,-128.1221276,38.72179267,-115.1982325,-139.3542205,70.22393399,-317.7054093,-33.11885102,-92.84045109,240.6337277,260.2827055,22.61521851,30.38149532,55.76391573,-53.93711852,151.1801806,119.7308849,-58.10140289,-65.27503185,3.225359057,-80.89750541,-42.66685034,45.47850524,-20.39203674,-55.48371958,91.12475725,150.1382904,4.257618336,53.46348465,40.23203963,-113.011708,57.53969551,-31.9752483,-75.99943161,77.94130098,-39.45575022,-183.1147879,24.10652029,9.901161704,58.18372172,75.98786071,-33.88357307,-47.1473346,-27.66234057,63.98456661,61.57454886,-43.0073047,0.853256448,-10.81866371,55.14545673,11.333929,-82.64536436,55.35871816,-76.65645645,-103.9117629,-33.78654537,52.27620708,85.7007856,-66.80170586,-8.203796092,25.40201548,2.276993111,-16.66041987,42.85581168,11.72469635,-79.07998248,14.14658038,114.6518862,79.46913417,-14.25525333,-12.05613402,-132.4856769,-45.97144515,-59.91968741,155.4934518,-2.078294608,33.13208661,-4.361975011,58.79185704,-26.97731982,-38.29203992,8.236495704,62.99217501,6.595724722,1.793657218,-44.67962405,2.330252258,51.64000346,1.040094516,26.16389073,-63.29379631,40.53388664,-39.76908086,-36.26780545,-2.194771355,-23.29374017,3.59437521,63.99662745,12.78621723,28.09457616,44.31324464,12.15511469,43.78231995,48.72940915,-3.988085233,102.1764219,62.34416269,-17.39754863,-21.08549503,45.44042675,-26.50415566,62.80958778,34.52467956,-45.68404508,-28.31840448,-5.575921262,-28.44858128,20.56478111,-16.61719625,15.49138215,-17.39596908,-6.912503815,-76.85801147
0.01,251.9892279,-535.3214745,492.2684729,-605.4567703,-173.8736169,-367.7864774,56.14957062,-719.8840608,-509.8481182,-197.5188757,-68.88587452,629.8323616,-186.41214,-306.9694212,-97.10799821,-16.59537029,374.5431277,-199.4862086,-413.3687857,-9.146725415,-29.71083375,62.20519073,-234.9199659,66.44975226,-47.75687716,-187.9753324,43.97432868,260.8273735,-13.0221533,-45.07888697,-64.57052022,221.5331206,23.04473959,444.33378,-152.9719729,-97.48927615,185.1540085,-89.83635588,155.1389617,-193.2212254,74.73479494,330.5465962,-64.01483983,42.78406678,-4.580010228,29.70678182,-31.21274313,-302.2554776,6.340843521,146.5193649,366.6082384,-47.66355622,39.19599033,-104.2283738,56.07511276,-177.3926096,-83.5977203,-43.15026824,3.135987757,64.33034798,146.2289988,-11.76806665,-154.282724,-51.8762118,215.3869224,15.85985681,41.12918013,-60.92288299,-55.76007451,-54.57022412,-6.892703628,78.22307524,109.6126325,-4.635985232,180.2268214,45.41781119,-25.4227661,125.070521,-123.6680708,-1.875371197,-80.13494754,3.191838308,-44.68124057,-142.9675347,-48.30778393,139.5970482,69.58073153,56.25310531,-55.6784465,-69.94156607,51.80060874,38.57357945,-47.91467823,-0.944086123,-93.20513017,57.33366155,24.70869351,45.51259592,-19.42393659,-104.3967268,20.47653023,63.16338286,-120.2529161,22.12811689,93.72175532,40.3756625,-10.85571597,-0.964734489,-68.75738555,84.10588787,-176.1057114,-29.46377876,6.699011499,29.722138,24.27334005,14.49323343,75.03495401,104.7755735,-47.78597697,-174.1550425,13.51992271,-45.66561593,-88.74846817,15.69532914,-19.13848422,-66.58001509,-53.27542109,-3.758353833,24.79650025,12.7491042,49.98939724,34.95189928,-84.9405517,142.3029579,-32.92809477,29.23417876,-67.16935122,50.23303997,-69.75662991,-12.3588605,-10.66854485,15.07480968,10.90844961,-19.13395646,45.86711387,0.489838431,15.39843921,33.29613409,27.00473977,119.6536352
0,416.476242,-476.6124284,5.113443401,-326.8302665,284.7981534,223.7715833,792.3976928,436.8822822,-186.1323674,187.5277814,-343.8387015,-220.6208747,393.0281994,-113.2319935,-199.0027912,-553.0283814,107.471084,-108.3765444,92.2605521,60.30099497,-194.8095435,-132.9817537,-47.18646771,-6.288346797,542.5489872,70.32471209,216.4613734,-458.6192945,134.0122777,-78.65287456,313.7721413,214.1341345,-171.4482432,-374.7368346,-152.2251586,7.069985999,312.9390969,2.172392054,5.132059206,45.44886707,115.7696495,-20.29558645,0.721720681,-79.03689853,52.41637253,64.59609617,15.26464246,82.78206932,2.690400595,-15.22786426,78.10473202,201.3706344,59.7903709,32.58545093,168.0430894,181.1865188,44.53443664,-181.6334038,-134.962511,-151.6419752,132.8068554,-88.62371329,-35.06655364,19.02137578,-18.05259929,-51.34953242,-170.0593955,-142.7438835,34.78385254,19.05370144,59.57122394,-53.74698917,120.1915897,3.006640129,126.6884376,-49.44534218,-99.22476475,127.5190816,-71.08741468,-111.7014695,13.33062401,120.4754148,72.62267437,-11.55490543,17.62062929,-25.4069862,-0.697206038,-65.06575419,-150.304889,-5.436808699,54.13722025,-23.03819184,14.89203469,-17.84137123,-107.2416494,-102.4715252,-62.81085603,20.26759327,-80.1057815,-38.78902061,11.84502162,-4.221021571,-44.69577458,-33.47761909,38.87063416,43.73355093,-144.9905549,100.5209564,100.4703596,-20.63081792,-30.87785115,35.38534473,47.83250913,-14.41540762,-47.11410337,120.6321056,67.48036781,20.42095435,11.31848411,7.692985379,-45.8194044,133.4381785,64.36879777,32.497116,14.2682732,80.66151751,-88.17154511,36.29211263,93.58453857,-219.7493897,-52.50802634,-41.21038396,-19.77727097,-29.2373698,94.20368187,35.06818975,62.16270679,-54.39236258,69.36387456,-79.41531666,-92.58838498,48.848562,-11.67870928,-35.76895012,25.18997713,38.71238914,-17.67592796,-49.97823183,-104.4013024,33.73888633
0,-104.8031717,-223.7724905,449.6204131,13.46869553,124.1563959,451.6987116,65.86480475,-161.6649758,-419.2499136,1052.568001,848.4932717,72.00633905,-85.17061099,200.0916439,548.6124469,168.4421974,346.9452227,-198.361745,56.60782639,294.6844476,321.8160222,-407.279132,-117.0874691,188.8874139,-140.0930755,-98.83706904,-244.994082,-130.2707136,-311.2098663,-302.466128,-120.4498232,-223.3409623,-85.32115721,268.6859789,-87.38957766,-129.6838574,-248.3945985,-23.55372272,-88.99827842,-137.3507878,39.28339425,-178.6720085,-26.38608173,-83.83873901,-375.688847,268.3862439,43.78546197,270.4436027,-185.5987952,34.27600123,-22.25166534,-30.04492796,-33.83585254,302.4631274,-262.1594301,-27.35754794,-27.1947918,-93.73224277,-107.011223,-6.7617393,98.20245874,283.2200687,-71.24553283,122.2925014,162.3851122,-162.3354603,278.0591804,-122.4922386,-165.9069435,53.07528625,-96.2420217,25.16904499,-38.16549238,-40.18075082,121.5827714,-77.76712535,-57.45050606,-23.39639036,127.5113431,-58.78194168,40.0124198,-202.5498994,-74.19588798,-84.01387026,148.5476032,-100.8433283,-157.7198897,207.1630298,-176.4709836,-67.18340293,47.89195337,-66.53421554,-90.21900498,21.02210931,-96.88426626,-62.96331201,26.71703622,126.4691083,-87.95178342,-16.71931178,13.97837061,-11.9163323,37.14176986,66.01711108,-31.00206741,-35.45188162,47.20781553,-93.39185493,-8.167976353,-83.63549595,-56.48045825,134.6321227,91.47090468,115.0771056,73.40601501,-20.68910105,-35.5647801,-67.8108257,11.42613316,17.58075138,-16.3127505,40.76928934,152.3799914,-194.9030243,-74.48327842,-79.43152351,55.71692897,-18.41073327,-31.19946956,-62.32564372,-117.8556734,-104.8966062,33.99795307,-70.64467121,9.413227518,-84.48065141,-85.00184094,68.78503844,-27.57071672,86.75669193,-43.03053114,-5.532909967,-43.05639907,-141.9152979,32.90144958,-60.6158608,-93.46932283,-134.9250632,-7.48221968,-64.62620903
0,-478.3824842,-331.3073811,968.7741308,109.7562607,651.7839371,-318.9634947,44.48542504,0.058807027,-262.7174185,-643.6996138,-159.0300229,-472.909195,266.7647014,56.74280233,-184.9811654,-27.59583377,346.4604912,-379.5832549,-30.84540441,34.2701865,233.1334173,367.9233566,-514.4892943,22.44608204,-77.89029396,173.7511645,162.6273218,-136.5838908,384.610919,208.724177,-39.56833036,56.51457168,218.2962552,196.9878555,126.5703096,-93.43067636,53.19676832,2.433521484,122.440588,-27.10201435,16.70165071,43.95501033,163.9647377,-216.4550953,-53.713213,-132.9465708,18.54703436,-41.47779716,95.68977333,-204.1104231,37.00977632,49.78386696,100.4477528,-8.189629188,-18.60436508,-123.6669745,19.49172349,-138.9619324,281.6049789,20.62061312,48.72947481,4.085258007,99.50775215,114.6827624,-159.7463832,8.295531653,-174.4502566,137.8550287,-23.07959383,206.1247503,-123.8461994,29.67739802,-142.4779394,40.55507786,-108.826458,-80.57067393,79.74522524,114.3840982,70.21805958,-51.430074,2.95732199,-25.93832828,-71.56838151,-20.39297152,20.19678387,-87.16915776,-37.39607524,38.26954732,-64.47535927,39.05451277,-103.3008256,-220.8456655,75.60752626,-152.3304492,40.51953302,24.48709369,166.2144001,92.6992873,48.45244822,157.9757689,-47.20902092,133.6528988,125.0495392,108.7004072,-5.423354213,0.966569767,72.94636434,40.03292406,106.7697567,77.59575006,27.44696118,72.97085916,54.09074893,-134.73422,-1.348187585,53.00974289,-71.35767983,-73.34752569,94.44554046,-87.18650482,-18.14259315,-34.70393889,-38.57338578,-31.75388087,-40.26163007,-63.2812108,-99.29706025,-41.23752869,2.41881601,-141.8184414,27.57153416,52.06619578,-9.900365109,1.531410823,-3.908587706,81.09773014,-108.6505157,-20.9071461,-16.88585213,-86.1935471,-9.840696858,148.0855007,10.65990813,-16.05204048,-88.18299485,55.09235981,89.76277074,2.802966343,24.66520482,0.513388452
