pred_prob,f_1,f_2
0,-272.2388669,-696.1895109
0,229.2205178,393.5017986
0.002,-446.8200529,-845.6603368
0,274.6059737,713.8885063
0,185.6279786,-435.7781835
0,-456.3925975,-817.6701859
0.01,251.9892592,-535.3194452
0,416.4770175,-476.6316781
0,-104.8032634,-223.754266
0,-478.3816935,-331.324502
0,460.261788,792.7250178
0,273.8694249,340.5115396
0,-255.7084511,-482.5946335
0,572.2604006,546.3318222
0,-308.382907,-767.892497
0.001,759.473948,88.84949782
0.001,287.1848808,-496.1323897
0,208.9420794,-490.4799874
0,64.45972669,-412.6095413
0,-455.0949147,-246.9900158
0,602.1251512,99.26260976
0,245.4875762,-271.9754429
0,-375.3794335,-63.05044304
0,251.8505426,-748.2019589
0,31.36897571,1100.714792
0,303.6821801,-711.8796341
0,155.985256,-325.8155315
0,452.7317471,1085.569836
0.001,-153.0431969,-886.766376
0,423.1089699,-106.1582645
0,-163.4149358,-975.0865825
0,1080.214528,-250.5488448
0,67.96841214,-383.9374512
0,-839.9803531,-328.7126263
0,-229.8847904,225.8383891
0,221.0964237,-677.8178445
0,-229.5958861,-978.7053679
0.001,113.8937323,59.5411932
0.003,-331.3253749,-760.1614705
0.003,-325.853055,-1023.119181
0,-16.05721826,-808.3416165
0,167.4974238,-437.907043
0,-471.4952871,-322.1705693
0,24.07763865,-451.5644156
0.002,61.2541485,414.2006122
0.001,304.8381467,-727.0244798
0,-465.2391439,-476.0502081
0,751.2037559,210.2691686
0,321.5032562,-331.2987113
0,-168.6107397,-21.01809256
0.135,884.0261668,120.9448473
0.142,1077.132467,-179.6728235
0.111,445.2457622,307.9448195
0.172,1140.140538,1153.153575
0.166,394.7657883,-312.8122376
0.105,-611.1976729,-557.0896789
0.186,-529.9258296,730.3132586
0.155,105.7658896,593.6166981
0.136,337.8160335,-592.7445892
0.15,619.043735,-232.7838713
0.182,-660.5547061,-612.3209004
0.153,-26.90579394,-228.5949029
0.197,1096.841642,-16.27702463
0.111,-253.9430601,135.5450338
0.142,528.1342743,-427.620986
0.104,738.3932559,-173.2356512
0.145,-83.73885606,-624.2672122
0.112,1218.396184,-231.1253707
0.121,-314.6973383,-813.4701026
0.158,1252.092267,648.5571988
0.113,1098.606103,537.4784686
0.133,267.2372257,-827.2184542
0.113,-170.6934749,-269.9553061
0.177,-46.86006305,-127.0527865
0.191,196.8737695,-286.5615378
0.156,-80.23369395,-389.9896716
0.184,-876.2012373,76.45348862
