pred_prob,f_1,f_2,f_3,f_4,f_5
0,-272.2390606,-696.2121423,529.2144509,-298.8630235,86.30186941
0,229.2224558,393.4738754,-1012.881711,-673.1594019,454.6138224
0.002,-446.8204034,-845.6488771,-686.5642998,-317.8258678,-40.25736254
0,274.6066327,713.8768567,598.3012026,20.4446822,465.8587905
0,185.6277783,-435.7977475,831.775419,-693.6571309,-380.6152326
0,-456.3927074,-817.657015,-681.1389904,0.822566703,64.56245574
0.01,251.9892692,-535.3203631,492.2597078,-605.4709017,-174.027677
0,416.4757904,-476.6143484,5.115372138,-326.8294819,285.0730859
0,-104.8030756,-223.7803582,449.6481167,13.51046781,124.6213071
0,-478.3825216,-331.3086509,968.7661168,109.7507809,651.760203
0,460.2610059,792.7071704,409.2103063,-971.7364497,-654.671148
0,273.8684268,340.5046349,49.79353544,-845.2249957,-19.66965402
0,-255.7075337,-482.6091305,758.9595592,137.273436,-81.22491915
0,572.2609463,546.3263976,866.8928762,-548.8045377,-380.530216
0,-308.3833482,-767.8958829,-711.6493742,37.99470942,334.1628802
0.001,759.4732957,88.84076391,-350.0195696,-919.350501,-456.0135
0.001,287.1854695,-496.1521994,937.4769043,-254.7086655,-343.0510372
0,208.94159,-490.5119186,485.2951541,-154.8254833,190.2909087
0,64.45938953,-412.6093491,447.3927632,-337.6396432,-465.299046
0,-455.0946293,-246.9754577,321.5773946,343.0266212,553.9060675
0,602.1251606,99.27311778,-71.2885542,-484.3476967,-62.87096669
0,245.4859614,-271.9854819,240.6477622,-513.7732499,127.0059889
0,-375.3799308,-63.05812971,111.8083243,119.7284169,-271.0400511
0,251.8502232,-748.2093395,262.1870832,-512.2541474,-225.7629503
0,31.36736508,1100.688201,1066.194161,-94.03303659,322.1338603
0,303.6823001,-711.8835767,373.4010439,-505.6631433,-35.25664669
0,155.9852634,-325.8212933,976.3138623,-271.452492,-473.4941483
0,452.7332488,1085.558497,525.739679,-149.0454831,-179.4466912
0.001,-153.0437865,-886.773662,-490.1725886,-197.3168607,169.7911884
0,423.1077977,-106.167077,-340.6035172,234.8836268,492.8275545
0,-163.415458,-975.0993884,-374.7209282,-263.1522632,59.84273459
0,1080.215566,-250.5449638,-329.101781,-386.0185311,330.3099902
0,67.96734074,-383.9499847,557.2817629,-1121.391513,76.57543275
0,-839.9806764,-328.7067815,665.8522042,133.4900493,0.65618518
0,-229.885272,225.8197467,380.4237039,-941.9059621,42.26119137
0,221.096608,-677.8378326,631.2225532,14.12129659,37.63942637
0,-229.5964123,-978.7083628,-463.6209861,-134.1574396,177.9020018
0.001,113.893523,59.51947308,-739.738739,-366.9272654,-3.861972391
0.003,-331.3252221,-760.1617681,-754.0798671,210.2087982,501.728397
0.003,-325.8534695,-1023.113368,-487.3158793,-590.8160329,-124.7219249
0,-16.05785779,-808.3427125,314.5462354,108.7028203,149.1857221
0,167.4965533,-437.918504,347.8177195,-14.00425163,-240.0746791
0,-471.4953955,-322.1818159,-602.1091016,-815.0141215,-20.05032734
0,24.07722883,-451.5690556,-566.127015,-144.3341798,319.7838338
0.002,61.25437711,414.204257,-237.9126335,-175.8019064,-344.8808532
0.001,304.8374681,-727.0351018,-316.5523266,-38.00095365,180.4987186
0,-465.2381087,-476.0385011,-70.56673071,-540.8149885,-137.5585317
0,751.2030557,210.2705528,1006.638794,165.593905,-219.9341234
0,321.5024364,-331.3062948,821.5824951,-914.4615635,-85.72968462
0,-168.6098167,-21.02695873,-426.8257448,-168.5456579,425.0160526
0.135,884.0256497,120.9385555,-452.7964578,-726.8561165,804.9486156
0.142,1077.13362,-179.6497008,122.3114734,-514.6478027,-241.0914943
0.111,445.245439,307.9346458,-153.9525431,-278.8132666,-966.8002435
0.172,1140.140622,1153.147636,-116.3184165,46.4176594,1030.618566
0.166,394.7667153,-312.815236,-413.531202,467.9118249,-300.9690542
0.105,-611.1979405,-557.0917321,-728.6878882,479.66919,440.0621026
0.186,-529.9260212,730.3119359,85.13054614,205.5407463,101.1446292
0.155,105.7657943,593.6247325,-110.4235146,850.9400128,-47.34592537
0.136,337.8170401,-592.7390289,460.2331109,546.6987942,-7.90781365
0.15,619.0445814,-232.775065,-731.3984848,-371.6844627,412.7137038
0.182,-660.5550758,-612.3267285,570.5613433,-706.9708798,508.8562174
0.153,-26.90588927,-228.5958011,-391.7596079,407.193131,-234.7810261
0.197,1096.841621,-16.26513279,163.3652878,-925.8155473,-203.7170729
0.111,-253.9438423,135.5582979,714.4349693,-218.0838897,-86.78173502
