Coefficients,Estimate,Std.Error,t.value,p.value,lg neg
(Intercept),0.495680804,0.012619996,39.27741489,1.36E-37,36.8668769
f_1,1.74E-06,2.03E-05,0.085575374,0.932167486,0.030506049
f_2,-9.30E-06,2.34E-05,-0.39764422,0.692692789,0.159459333
f_3,-0.000308035,2.73E-05,-11.26937017,5.89E-15,14.22980007
f_4,-0.000139722,2.87E-05,-4.862227242,1.34E-05,4.873465892
f_5,1.49E-05,3.09E-05,0.483660251,0.630872851,0.200058162
f_6,7.18E-05,3.42E-05,2.102419663,0.04090052,1.388271167
f_7,-0.000106838,3.56E-05,-2.996886002,0.004346139,2.36189643
f_8,-3.69E-05,3.98E-05,-0.928259042,0.358016062,0.446097489
f_9,8.06E-05,4.15E-05,1.942567159,0.05807331,1.236023423
f_10,8.92E-06,4.30E-05,0.207515492,0.836503835,0.077532064
f_11,-5.32E-07,4.52E-05,-0.01177223,0.990657165,0.004076615
f_12,-0.00014705,4.69E-05,-3.132460706,0.002981657,2.525542245
f_13,9.42E-05,4.84E-05,1.947891804,0.057414376,1.240979354
f_14,-2.72E-05,4.93E-05,-0.551036717,0.58421862,0.233424605
f_15,-3.93E-05,5.27E-05,-0.745308712,0.459796221,0.337434602
f_16,1.40E-06,5.43E-05,0.025854847,0.979482581,0.009003283
f_17,-6.37E-05,5.44E-05,-1.169916772,0.247933002,0.605665662
f_18,0.000141081,5.60E-05,2.517709706,0.015278427,1.815921348
f_19,1.44E-05,5.87E-05,0.245817887,0.806893536,0.093183764
f_20,-0.000168927,6.01E-05,-2.811646048,0.007167661,2.144622516
f_21,-0.000109143,6.14E-05,-1.778093741,0.081858033,1.086938695
f_22,-0.000218181,6.41E-05,-3.403340894,0.00136966,2.863387091
f_23,3.52E-05,6.51E-05,0.540698769,0.591268657,0.228215142
f_24,9.85E-05,6.66E-05,1.479100656,0.145785027,0.836287078
f_25,-0.000122357,6.80E-05,-1.799095051,0.078426046,1.105539683
f_26,0.000139387,6.91E-05,2.018393877,0.049277261,1.307353441
f_27,5.87E-05,7.26E-05,0.808784483,0.422714439,0.373952917
f_28,0.000281384,7.43E-05,3.786353224,0.000433209,3.363302516
f_29,-0.000227561,7.50E-05,-3.033384089,0.003930274,2.405577145
f_30,8.10E-05,7.93E-05,1.020898246,0.312528981,0.505109705
f_31,-9.27E-05,7.98E-05,-1.161634214,0.251249511,0.599894775
f_32,-6.17E-06,8.23E-05,-0.074970866,0.94055609,0.0266153
f_33,0.000221961,8.25E-05,2.689632513,0.009869485,2.0057055
f_34,-6.44E-05,8.29E-05,-0.776420334,0.441390803,0.355176721
f_35,4.73E-05,8.55E-05,0.552957224,0.582913377,0.234395978
f_36,0.000208753,8.62E-05,2.422275023,0.019333079,1.713698973
f_37,0.000130026,8.78E-05,1.481503796,0.145146117,0.838194578
f_38,-4.74E-05,8.92E-05,-0.531525074,0.597558328,0.223619696
f_39,-2.28E-05,9.04E-05,-0.252256493,0.801942724,0.095856649
f_40,-5.75E-05,9.17E-05,-0.627082734,0.533639564,0.272751979
f_41,0.000217397,9.31E-05,2.334102112,0.023916278,1.621306409
f_42,-7.63E-05,9.43E-05,-0.809382868,0.422373686,0.374303146
f_43,-5.48E-05,9.59E-05,-0.570746498,0.570890412,0.243447251
f_44,1.20E-05,9.76E-05,0.123476505,0.902256315,0.04467007
f_45,-0.000148037,9.92E-05,-1.49244813,0.142264359,0.846903888
f_46,-4.30E-05,0.000101616,-0.423238931,0.674051419,0.171306973
f_47,-0.000178657,0.000102924,-1.735813841,0.089149255,1.04988228
f_48,-3.42E-05,0.000103966,-0.329410982,0.743308626,0.128830827
f_49,7.82E-05,0.000104885,0.745449579,0.459711898,0.337514256
f_50,0.000128486,0.000106223,1.209590673,0.232485168,0.633604749
f_51,7.10E-05,0.000107336,0.661098602,0.511776923,0.290919301
f_52,-8.37E-05,0.000108217,-0.773412765,0.443150828,0.353448435
f_53,-2.54E-05,0.000109537,-0.23220775,0.817384809,0.087573438
f_54,-0.00013653,0.000111871,-1.22042908,0.228390213,0.64132251
f_55,-5.47E-05,0.000113235,-0.483064832,0.631292385,0.199769449
f_56,-0.000170691,0.000115009,-1.484154346,0.144443998,0.840300499
f_57,-9.52E-06,0.000115327,-0.082591221,0.93452733,0.029407993
f_58,-9.66E-05,0.000116567,-0.828340547,0.411664377,0.385456713
f_59,-0.000253182,0.000118276,-2.140603719,0.037524494,1.425685157
f_60,-0.000144427,0.000120761,-1.195973655,0.237705821,0.623960183
f_61,-0.000150602,0.000122178,-1.232638361,0.223841105,0.65006016
f_62,8.99E-05,0.000123382,0.728365639,0.470003413,0.327898989
f_63,3.46E-05,0.000123755,0.279963906,0.780733709,0.107497069
f_64,9.26E-05,0.000125347,0.738906292,0.46363817,0.333820817
f_65,-4.89E-05,0.000126694,-0.386026904,0.70121869,0.154146517
f_66,-5.18E-05,0.000127072,-0.407508118,0.685485072,0.164001999
f_67,0.000147643,0.00012884,1.145940609,0.257620924,0.589018866
f_68,-3.25E-05,0.000129082,-0.251661883,0.802399594,0.0956093
f_69,-0.000166637,0.000130924,-1.272773249,0.209358712,0.679108962
f_70,-0.000207514,0.000131978,-1.572342984,0.122579459,0.9115823
f_71,-4.90E-05,0.000132271,-0.370345277,0.712789064,0.147038972
f_72,0.000172729,0.000133677,1.292133935,0.202628107,0.693300313
f_73,-3.84E-05,0.000134739,-0.285354981,0.776625982,0.109788084
f_74,8.55E-05,0.000136024,0.628392318,0.532788937,0.273444802
f_75,-2.59E-05,0.000137198,-0.188495797,0.85129956,0.069917591
f_76,3.19E-05,0.000138675,0.230057007,0.819045841,0.08669179
f_77,3.62E-05,0.000138896,0.260644602,0.795505208,0.099356973
f_78,-0.000261794,0.000139586,-1.875499474,0.066943571,1.174291127
f_79,-0.000246515,0.000140605,-1.753247424,0.086079842,1.065098541
f_80,0.00020116,0.000141504,1.421589079,0.161747567,0.791162243
f_81,-9.19E-06,0.000143042,-0.064255395,0.949039387,0.022715763
f_82,-3.49E-05,0.000143635,-0.243302912,0.808829549,0.092142991
f_83,9.23E-05,0.000144694,0.637614429,0.526818921,0.278338636
f_84,0.000138747,0.000145068,0.956423889,0.343752017,0.463754745
f_85,2.41E-05,0.000147699,0.163490746,0.87083306,0.060065092
f_86,0.000329866,0.00014791,2.230187351,0.030548295,1.515013026
f_87,-0.000281152,0.000148515,-1.893095235,0.064511515,1.190362756
f_88,-0.000348455,0.000149855,-2.325274965,0.0244249,1.612167207
f_89,0.000198855,0.000150166,1.324233818,0.191829364,0.717084912
f_90,-0.000270195,0.000151791,-1.780043019,0.081534279,1.088659766
f_91,-4.36E-05,0.000152299,-0.286470101,0.775777116,0.110263035
f_92,-3.94E-05,0.000155129,-0.25373924,0.800803754,0.0964739
f_93,0.000142557,0.000155356,0.917615268,0.363505307,0.439489244
f_94,-0.000133474,0.000156684,-0.851866482,0.39860807,0.399453913
f_95,-0.000201582,0.000156801,-1.285593274,0.204883488,0.688493042
f_96,-5.78E-05,0.000159035,-0.363269226,0.718032605,0.143855834
f_97,0.000155161,0.000160166,0.968748645,0.337629583,0.471559508
f_98,0.00021569,0.000161195,1.338074535,0.187310257,0.72743844
f_99,-9.47E-05,0.000162373,-0.582924299,0.562730855,0.249699271
f_100,-2.79E-05,0.000162909,-0.171312618,0.864713404,0.063127809
f_101,0.000195206,0.000163581,1.193325586,0.238730921,0.622091327
f_102,-0.000165846,0.000164629,-1.007393164,0.318904293,0.496339634
f_103,0.000151191,0.000165258,0.914882865,0.364923194,0.437798533
f_104,2.93E-06,0.000166784,0.017538952,0.986080903,0.006087452
f_105,-9.11E-05,0.000167228,-0.544736734,0.588510135,0.230246053
f_106,1.50E-05,0.000169698,0.088476625,0.92987379,0.031575994
f_107,-0.000171248,0.000171167,-1.000473855,0.322204494,0.491868407
f_108,-5.84E-05,0.000171945,-0.339580231,0.735685486,0.133307812
f_109,-0.000153662,0.000173657,-0.884858957,0.380737286,0.41937459
f_110,0.000121789,0.000174105,0.699514894,0.487678089,0.311866756
f_111,-0.000344643,0.000175901,-1.959299582,0.056024216,1.25162421
f_112,-0.000146032,0.000177218,-0.824025446,0.41408728,0.38290811
f_113,-0.000240712,0.000177454,-1.35647288,0.181429241,0.741292716
f_114,3.42E-05,0.000179521,0.19025138,0.849931512,0.070616069
f_115,0.000105833,0.000181063,0.58451164,0.561671575,0.250517554
f_116,-0.000141639,0.000182546,-0.775911293,0.441688402,0.354884004
f_117,-0.000166491,0.000183077,-0.909404051,0.367776964,0.434415476
f_118,-2.03E-05,0.000184207,-0.110223088,0.912701767,0.039671109
f_119,0.000167995,0.000185585,0.90522104,0.369965417,0.431838871
f_120,5.11E-05,0.000186538,0.274184705,0.785144193,0.105050577
f_121,-0.000199908,0.000188593,-1.059995199,0.294563874,0.530820517
f_122,3.19E-05,0.000189134,0.168493123,0.866918368,0.062021795
f_123,-7.34E-05,0.000189964,-0.386168427,0.70111459,0.154210995
f_124,8.38E-05,0.00019119,0.438381479,0.663118219,0.17840904
f_125,3.55E-05,0.000192372,0.184709875,0.854251329,0.068414337
f_126,2.27E-06,0.000193745,0.011728338,0.990691998,0.004061345
f_127,-2.04E-05,0.00019533,-0.10438029,0.91731173,0.037483053
f_128,6.41E-05,0.000196358,0.326545385,0.745461492,0.127574786
f_129,0.000470793,0.000196861,2.391498053,0.020834222,1.681222714
f_130,6.34E-05,0.000197592,0.320835795,0.749757099,0.125079413
f_131,-0.000205696,0.000198098,-1.038356118,0.304416913,0.516531222
f_132,9.49E-05,0.000198739,0.477721123,0.635063059,0.197183149
f_133,0.000147966,0.000200502,0.737977268,0.464197186,0.333297497
f_134,-2.39E-05,0.000201664,-0.118471806,0.906198733,0.04277655
f_135,-2.61E-05,0.000202844,-0.128735663,0.89811613,0.046667504
f_136,-0.000286348,0.000204361,-1.401188983,0.167726318,0.775398786
f_137,-8.28E-05,0.00020529,-0.403239388,0.688600728,0.162032522
f_138,0.000167472,0.000206924,0.809342643,0.422396587,0.3742796
f_139,-0.000167003,0.000207268,-0.805736135,0.424452914,0.372170481
f_140,1.12E-05,0.000209395,0.053343836,0.95768405,0.018777745
f_141,1.46E-05,0.000209587,0.069783607,0.944661967,0.024723569
f_142,1.35E-05,0.000210834,0.06414097,0.94913001,0.022674295
f_143,-5.47E-05,0.000211622,-0.258617869,0.797059342,0.098509343
f_144,0.000108939,0.00021419,0.508611676,0.613403722,0.212253593
f_145,9.51E-05,0.000215579,0.441208371,0.661085238,0.17974254
f_146,-5.13E-05,0.000216079,-0.237302928,0.813453161,0.089667449
f_147,-0.000227407,0.000217157,-1.047201769,0.300362199,0.522354725
