pred_prob,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,Feature_70,Feature_71,Feature_72,Feature_73,Feature_74,Feature_75,Feature_76,Feature_77,Feature_78,Feature_79,Feature_80,Feature_81,Feature_82,Feature_83,Feature_84,Feature_85,Feature_86,Feature_87,Feature_88,Feature_89,Feature_90,Feature_91,Feature_92,Feature_93,Feature_94,Feature_95,Feature_96,Feature_97,Feature_98,Feature_99,Feature_100,Feature_101,Feature_102,Feature_103,Feature_104,Feature_105,Feature_106,Feature_107,Feature_108,Feature_109,Feature_110,Feature_111,Feature_112,Feature_113,Feature_114,Feature_115,Feature_116,Feature_117,Feature_118,Feature_119,Feature_120
0,-291.2765075,337.8317508,168.6302088,-58.45495561,-688.4111425,449.9753782,120.1814477,831.3845045,56.16781976,-170.7707779,-281.9564411,-316.2742393,-233.9767398,-202.9187575,-167.1453403,88.42925191,-357.4943186,-403.4484868,-213.7722239,19.50540186,155.1354449,116.432358,-271.5866392,2.02069857,71.00586136,341.9421225,89.84248583,50.06019248,199.6674924,-218.5062096,93.24588918,90.68745686,-127.2450841,-174.5970083,126.7107195,56.92411555,-11.38598729,-0.81109017,-215.8014765,-81.11265993,-94.95649054,-43.6175616,-53.79908106,-19.0788551,116.3823954,-124.1696978,164.7520104,7.2933101,71.63873078,-262.5824859,-171.9321657,110.3217505,50.58396354,165.456748,-40.54560135,35.47869417,151.3053799,130.4705564,92.16262356,35.00995498,50.88483975,-246.7918199,-59.55832491,-180.7359753,-26.295061,-102.9326446,212.9254567,130.4074197,-11.55715653,90.67590811,-260.6969191,20.61808839,20.00259776,-15.99734656,-38.63723882,-86.19734869,70.51051797,-86.21927415,-94.59377722,73.75096846,55.65603154,34.89769112,-159.4551298,99.91875696,48.5282698,28.06352794,53.34702687,61.72242713,-71.76867039,89.75950051,-91.0392034,-5.667821888,54.00222398,8.757773842,35.65988377,-56.08356955,11.83320375,-66.80780777,-39.48806681,-98.00693956,-73.9060327,-69.40139118,68.07468385,88.12509634,-8.092250651,61.41473718,24.58407895,-13.8614226,16.33138483,-40.96707987,16.92186715,19.83560597,-7.959355935,114.7847598,13.79924092,-32.42840494,27.76192303,-139.0461661,-53.85540162,-136.7491723
0,-104.9416805,-62.72357295,1179.924818,524.9758596,363.6368852,-244.2356477,497.7044701,-335.0647006,-709.5725821,-44.60327417,-174.2190881,323.2207073,-349.6567508,366.1124456,-107.8848214,-139.9242378,-161.5566832,209.5357613,591.1526626,-36.13933964,667.2787133,-112.4240847,-413.9555563,-363.6078248,-209.9908733,694.3219411,-340.8047056,-288.5925427,204.0118647,-32.96299124,337.680484,-343.4213356,-149.2133398,43.11136753,-12.60895553,182.9290166,36.74865693,120.1207647,-127.2442055,-38.58692291,57.78541202,-189.7386006,-66.68709791,-94.52059126,121.7078678,174.030752,258.7400073,69.64239325,345.7672152,132.708191,74.10045743,-70.65453419,158.0195738,-179.6078906,-108.3533704,-12.00759164,164.099287,117.2130694,-169.7411679,159.7209661,197.1932951,228.0022097,-50.68018137,340.7301935,37.99175288,-57.97722959,121.2120435,98.58459366,-83.30586235,201.7313082,-26.88081168,61.17957316,-15.95944893,15.45940384,-62.39714758,-165.4176898,1.802270211,-168.3422731,59.89983174,-69.26805017,-0.07441619,109.4711227,76.50390709,-243.7932418,-211.6791377,3.907075692,-63.58918509,152.2086251,-78.17096442,-65.63411195,-236.6514239,-44.49311037,111.1764426,-61.40852093,-92.60600593,21.11221,-16.66064997,144.8498839,-78.17907803,101.5389573,44.95647401,-186.3488268,-57.01524528,43.2222437,131.190424,77.90488146,161.5431719,-28.77897927,66.2378413,70.88383601,-183.7168624,-120.8837638,-96.82481029,-49.73614633,-55.83051807,60.8476241,168.2697691,31.95680759,-65.49531421,-47.41104832
0,-680.3307066,-153.2649714,1040.695172,-284.6222577,110.4022054,50.70887996,-57.02176507,-315.6511315,179.1040266,115.7670703,126.4088835,280.691436,-149.1691099,-445.0660349,-94.49592566,-70.48814855,-98.55901941,-156.9991061,215.5254598,-16.99169224,-31.49457073,-244.6850044,184.6152743,77.71437958,160.3404196,101.4984611,313.9002361,94.31217955,237.9666398,-148.6513299,8.141878895,48.59623204,-81.73831155,106.9218229,118.5316119,-289.9266734,-96.28004618,-13.1806833,-117.5582423,63.1939883,17.42480277,333.7716178,-62.33926805,11.83986591,7.593279575,61.93935592,-87.13823922,111.0042975,-174.0087915,34.4844902,25.46404229,126.9281134,8.153209934,-89.85255327,-191.8181021,-16.01366923,62.8192302,17.51716831,100.3789143,-63.87594298,15.13990155,-1.943566288,-119.8963433,-70.22382621,110.2317407,-108.2387974,-59.66741046,108.1184821,61.92591063,-100.1270838,-13.40358525,-74.54752368,21.80204225,-54.16179969,-69.19135154,24.37132687,37.79501701,20.15342669,101.6093413,-102.5373151,-21.12852976,-55.82702196,-35.96778787,5.220785893,12.65952669,78.76531169,-27.07546074,-117.4096655,-26.47433537,-68.49590456,-6.055629204,6.045151226,178.5940823,53.00426865,-82.86837273,38.10940266,59.09793709,-17.14649586,-6.920957367,-101.7128934,48.71127163,-9.293465946,-134.0195676,-18.83193716,44.71480223,96.91108433,-3.290216707,-128.3753314,-119.6188416,16.78117409,124.095323,-122.3876365,27.60255991,-26.46110064,-5.712905708,-56.96617488,-76.24953846,31.62519349,54.99228082,32.64551433
0,521.958327,909.6777979,42.18589815,815.6599588,-355.0469764,-365.0417213,618.0371838,-415.3796235,78.1088485,-671.2288594,27.57695397,-19.45089927,-77.37984486,120.1636106,-255.9467026,3.816030656,-209.8999198,-400.653418,201.1218509,-24.55771306,487.7408615,-258.9822782,-401.6392653,-268.4402249,-287.5309387,-422.940264,198.2150262,94.35757261,-223.8791154,86.12085265,-84.90069411,-39.75782923,-84.65948923,164.1323774,199.5979623,43.89404257,-246.6941292,75.92594465,-93.40639645,-31.4230051,204.3483586,5.932317171,-38.08215112,165.0009139,-13.10673942,-187.0974036,251.9849016,-18.66716706,1.947059295,-26.448847,-39.94687852,156.1277656,-127.1066122,48.11569663,129.0868243,-122.1951309,-87.6399256,-62.55123941,-36.60793517,-232.7318715,183.1394002,129.0821093,-24.24798513,2.542607949,213.9373767,81.51595352,-246.8878342,56.39453168,-117.1043361,35.110893,-6.855697945,58.93290994,36.97684199,-64.72600778,-27.17697876,128.1577708,104.964879,10.82861471,37.54076659,-9.603830848,96.61813836,142.5227387,-62.99033093,26.76763629,-107.3272765,102.2420204,-27.72967867,145.4156027,83.43496221,32.97858569,45.23065433,267.27529,-14.98902659,81.46091696,-26.34095479,-15.02869566,53.98278146,101.2381684,20.84394474,143.8761102,-68.30517448,-81.94049687,166.8654081,12.7155607,-23.29228431,-70.95667358,12.5909476,14.19278485,13.79525036,-128.0936224,22.04637885,39.82077698,-75.20948265,-32.92243813,-26.40617039,-92.238063,-8.2756772,1.994951907,-79.82645823,-3.213500891
0.007,1059.110014,312.9732744,251.5137847,-714.8440729,-406.4030998,-445.9161613,-140.2948558,430.2097216,0.863225994,62.88428471,-108.8122741,286.6775274,-43.75100461,-140.254951,422.4179642,-444.7394938,-239.9217614,-170.7605144,208.3508338,154.3649141,-124.394345,166.160816,135.4176676,-81.0290731,75.98316174,59.39954941,-9.874379691,-137.1639089,-81.46685758,-107.6644397,135.0354609,-39.60280652,-95.40599303,-140.6439046,-235.1552446,-214.4108153,198.9088073,16.17004292,-120.1272328,185.1312171,31.57229633,-95.61619502,-199.070669,35.26889163,-127.1192423,3.389675092,36.68395285,138.3136175,-54.2554434,24.18281641,-89.87062029,-162.5877776,83.39956117,-58.11792023,4.9324285,-94.69296488,-11.19508783,55.90053594,73.26905004,9.467079005,146.4359869,-179.0443237,112.3688218,16.19119938,-30.04034739,27.3949207,-78.12338103,38.36045791,136.0136993,58.15050106,87.55440402,39.69178579,-253.4295205,160.4342534,65.206023,127.062489,17.99373803,-16.12148236,-20.9656867,-6.975504099,102.8294085,-33.39694995,-183.4744904,-66.1912478,188.4837244,-122.0229253,-8.116566725,61.34292082,-147.1203338,100.134763,-43.66256971,0.442484449,-48.6453847,87.38512946,15.76458714,-46.7002229,-41.15467989,83.07880846,82.23548697,6.409680497,-29.75515664,-11.63282058,-6.081207027,-51.16845529,48.61126665,20.79705074,32.45930134,-16.40253208,-22.89312626,-38.99021975,26.97567899,-30.42708647,-40.77997552,-34.40654549,123.9104266,37.75490556,-132.0523927,-124.9778258,50.05820741,-49.5909535
0,-789.6881101,-25.53600261,854.4722994,-176.5424811,225.0811874,165.5679211,-133.9940187,-480.4553409,161.2254967,92.03286447,-36.26742303,276.333364,-213.0011463,-537.2102244,-91.1542433,-30.8153991,-15.0935981,-218.3133605,231.8382461,9.752213671,-146.733443,-232.3892115,163.6497181,178.8362403,177.9867573,162.6858439,178.7162543,106.9107135,262.2554616,-122.339235,-131.9848238,85.04836728,-183.3819451,60.69302799,128.1611344,-240.4436477,17.64148089,73.27310546,-89.90815739,91.84213466,-68.10078268,389.0040385,3.751538768,-47.47146652,57.66703956,23.51461427,-25.47595181,67.36757743,-141.0779465,108.1279802,10.57107837,192.8894495,-38.25786531,-91.08624462,-55.03344037,-53.08116017,105.9287487,57.59306473,82.58040623,-47.49733972,-10.30927383,-39.87601793,23.59473023,35.86706656,106.8135525,-45.85679151,-24.44851129,-54.18910131,64.97181389,-102.0166293,-19.29419431,-0.865540707,-64.73900871,-53.11797331,-75.66576524,25.32113766,-32.94162965,-23.02577584,128.7298335,-114.3878197,-11.05534578,-53.4224104,95.32312872,133.0877474,62.44442624,-35.21216997,-27.01167181,-24.42215792,87.21356587,-18.59141568,24.98367154,-3.13184335,-37.90800775,0.594799691,-19.13061942,37.60852321,28.01222278,56.53421644,-54.62487481,4.653215336,-17.92976002,-17.6389325,-10.94827694,-41.90918463,-4.219418972,-38.45663738,-10.81811384,-84.19857889,-34.81122013,31.03178138,63.05139952,64.88121052,-51.26997522,-54.42211003,-30.69824078,-10.30278259,-34.97864551,-60.88040813,86.75858996,56.16847739
0.001,11.74211176,-191.3335752,125.428424,129.2850578,-466.9337798,793.3941181,-238.0905293,734.2435959,-138.4725846,103.9935828,-41.48934417,638.0415677,80.89525523,368.1333946,238.5144932,-293.052774,394.4976962,130.2885238,-125.5103231,49.2637976,240.1265591,316.5839627,319.4496683,5.651033278,336.4454015,231.9061123,50.89680841,-12.97971915,-95.06180417,-236.1884588,175.2968022,-18.8485011,123.7985069,-77.04759029,-126.6533509,76.16330736,48.69677234,-180.2740237,78.80217562,-187.1575356,-3.373755195,-48.11254393,-105.8281465,129.1209162,29.86452569,-63.44363859,-103.7092201,47.17216388,-128.9159806,98.42156238,-76.45978414,-115.7988358,107.0535451,9.457485657,195.5800567,78.12615394,-77.75171948,174.2654416,73.98361741,76.07975866,197.2123917,64.72721487,-102.1161888,151.6993325,53.61969833,-107.0299275,-181.5773612,-58.94524572,-113.1925033,-40.40765028,187.8062556,-131.6227037,209.6225877,-25.82590936,-115.210819,92.83566254,143.6398712,5.525667164,91.448826,5.996307122,-8.913925839,51.58369492,-156.1155673,-7.160860736,150.8535959,-24.74861243,-150.7399652,-91.91342823,-61.04017711,166.7856711,90.27705351,-20.22936506,-134.0462215,-58.2265898,170.0803948,-45.30638127,55.73171405,20.21331884,-21.52325831,-18.54744134,3.561947388,31.72835175,-1.380866168,-54.7415841,46.96825844,-161.3554463,14.49528135,-104.9973981,21.37121127,66.3261653,-9.998331882,63.50110714,-24.98512333,-41.07027168,67.00598224,-52.30376233,-61.11842792,104.9909083,-12.03933875,130.1736184
0.007,496.0193518,524.8765136,193.9543635,-379.1045426,-505.7518949,-322.0513182,279.4024412,-595.5389197,-143.5543482,594.5886478,-146.5500361,107.441696,-699.127605,-184.9706067,39.05672609,-21.58980232,699.2749043,119.2282963,386.7011575,-230.5540484,-84.72273389,246.9070982,47.39738905,-25.35635214,96.44716884,22.43940184,-31.67662555,-268.4760413,129.482693,-533.2968631,222.8987733,-253.054904,121.0990762,159.3394633,-178.8888677,-399.080697,-132.7320757,-14.66566478,359.4272322,298.8173805,15.91146835,-106.5328667,27.39703077,251.6921031,194.1066635,-89.77592322,-91.12168235,307.0031421,150.7431029,29.40074307,349.3123028,64.04732525,-281.4633127,-254.8413924,69.24000955,174.5233538,-135.8014283,407.9108716,20.39990698,-14.24528615,7.307210915,37.02325701,-73.14875077,-156.5272448,-45.95667027,20.75473327,87.4020409,-88.97695309,59.11829199,-206.1620044,56.44766714,31.73530897,143.1110753,-76.20554249,52.95379191,-33.51178411,178.4702598,43.81608979,-166.7998433,-45.81897203,20.24772145,-33.1199256,-64.94033055,143.635203,-142.760677,-26.68492531,-114.5767354,7.863407511,-41.69296158,-30.00176737,126.8997085,57.31415448,-121.9663288,-82.79118615,101.4920384,-150.5914445,-66.82170182,-129.9413209,70.92691964,-49.30863942,-1.256546794,-25.65713992,50.67422987,48.3581114,-184.1314342,41.96037871,57.90972662,102.1258315,92.00069581,237.9905141,86.43946196,-31.79087063,-31.78861096,-117.8891188,-92.38308073,8.114204311,-55.31635862,-26.53352979,-133.404998,-45.4698245
0,813.5824404,770.0259333,1052.311251,757.9237674,-740.1562409,-280.8420783,175.3605591,-324.4018962,-217.9965634,-86.78034824,723.4875594,930.1337132,-40.55992494,-213.9655727,-114.8904852,-348.5936629,241.8613601,-171.2386934,-420.4316746,145.2440001,122.7563911,187.889178,-43.3305297,-224.9484444,-248.0138953,237.2732079,-307.3765565,-123.8371057,-204.7724872,-23.28974002,10.82882533,155.7831971,326.0289408,-68.01981849,94.8202385,-215.0221022,-145.1304267,-159.5435443,-111.0871655,-4.244028659,255.6403127,0.793294479,-109.8367535,-223.982782,-7.554960201,66.21423702,32.00602767,272.1677357,-15.33800256,-184.6456315,-95.13678373,78.01897306,-1.992969776,151.7432735,2.25599333,-41.0130633,254.674144,-59.46046061,54.26324802,-161.0316332,-194.3833555,-22.72905279,93.67356256,-110.1530077,150.2756634,-36.38549653,82.17155842,19.59530276,7.75983993,-128.1803443,-148.2674994,27.48355302,45.84012668,-97.13202044,86.48997803,-34.14060955,-140.7333257,28.63594764,20.18317703,46.86958123,-216.0994972,89.04490468,51.61571864,-69.25437143,113.7082976,-180.4280917,77.72831227,72.29816857,5.718801144,49.43409417,14.31002543,-54.85144319,-167.885273,113.8710676,107.4573892,45.61390774,-33.30443043,-130.363728,10.34219104,-106.1820264,-65.61214574,-49.32541716,53.92342248,-27.56527789,16.19089592,50.85178481,-19.78438735,90.71014657,-90.45384123,-19.99910547,129.3711801,-180.3489308,15.69488433,-7.21601061,-37.97334512,-85.57722962,34.60512512,12.76206168,-149.6217858,-86.51394773
0,575.0979646,365.7415124,601.5046579,174.0716496,-71.45848988,382.6666969,206.9596106,-262.7425599,-33.93208474,-111.43882,323.0740018,1233.951679,37.70638976,-148.3978442,154.0504283,180.249657,-123.1617188,-41.17332622,563.5161451,90.65551354,616.0718305,429.4641006,26.24808281,-418.8313461,-243.7444691,-50.02089357,-29.33622337,74.79943923,-33.47090092,243.894096,309.456227,305.5931998,293.5023627,171.7820382,-107.0412413,-110.5289729,98.541736,131.3246777,-164.4534374,-159.1815331,82.0390871,62.04462775,-232.214918,-318.4180326,177.6454297,-98.33225523,503.8980027,143.8470315,-139.6287357,252.7269931,-14.54586003,-49.22360219,-328.5071425,125.1237229,147.3303848,60.68945423,119.7790181,-266.6710788,-38.24667763,-242.1099531,-99.77937303,133.1789496,89.36748871,-124.2498037,-106.489887,-293.3091434,-69.97919873,-177.1516905,73.04293581,113.3235889,326.874669,112.4481808,149.4683295,-142.1072279,44.24469758,-31.88052581,-35.30903047,103.0715223,-248.925576,114.6504602,-4.673021285,86.18852174,60.90497305,3.51411973,27.82498283,157.7053599,-60.21957667,-149.4781158,-130.0170048,29.69654277,-195.5326662,-38.2599683,-46.73313828,118.3749008,-73.14326748,42.42951542,-39.88875775,-45.27770592,-4.995385826,13.03192778,63.15745138,-64.3966147,-64.15232832,-24.66920469,-34.46356227,18.00046355,-71.62844808,164.3679526,-34.17280997,-73.81755301,-64.8600525,83.29332089,-161.9018513,-65.42060843,-48.32059312,-21.55439434,62.95849573,0.54654599,80.37533234,81.25781355
