pred_prob,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,Feature_70,Feature_71,Feature_72,Feature_73,Feature_74,Feature_75,Feature_76,Feature_77,Feature_78,Feature_79,Feature_80,Feature_81,Feature_82,Feature_83,Feature_84,Feature_85,Feature_86,Feature_87,Feature_88,Feature_89,Feature_90,Feature_91,Feature_92,Feature_93,Feature_94,Feature_95,Feature_96,Feature_97,Feature_98,Feature_99,Feature_100,Feature_101,Feature_102,Feature_103,Feature_104,Feature_105,Feature_106,Feature_107,Feature_108,Feature_109,Feature_110,Feature_111,Feature_112,Feature_113,Feature_114,Feature_115,Feature_116,Feature_117,Feature_118,Feature_119,Feature_120,Feature_121,Feature_122,Feature_123,Feature_124,Feature_125,Feature_126,Feature_127,Feature_128,Feature_129,Feature_130,Feature_131,Feature_132,Feature_133,Feature_134,Feature_135,Feature_136,Feature_137,Feature_138,Feature_139,Feature_140,Feature_141,Feature_142,Feature_143,Feature_144,Feature_145,Feature_146,Feature_147,Feature_148,Feature_149,Feature_150
0,-291.2765076,337.8317506,168.6302105,-58.45495588,-688.41114,449.9753707,120.1814592,831.3844567,56.16768329,-170.7707021,-281.9563487,-316.2738947,-233.9769158,-202.9185739,-167.1463425,88.42830919,-357.4945439,-403.4492353,-213.7707469,19.50390044,155.140392,116.4345869,-271.5852241,2.017497451,71.02158122,341.9459393,89.83612806,50.05181365,199.6694068,-218.4697131,93.24851057,90.62530466,-127.2293866,-174.5924144,126.7713953,56.82623541,-11.31481285,-0.698919455,-215.8762214,-81.17198574,-95.19281091,-43.67389071,-53.77888707,-19.16355443,116.6250629,-123.9381862,164.8401071,7.734623089,71.48831514,-262.8795031,-172.3294383,109.7043368,49.86088045,165.7205715,-40.85683237,34.97876201,152.0692437,129.3765519,92.86928506,34.94066438,51.97510613,-247.5397294,-55.19085868,-179.6831448,-23.34369833,-102.9073192,214.5002125,128.3426436,-12.13416363,88.60377478,-265.5487139,16.95567499,24.90100247,-18.89727965,-38.19925342,-76.89815372,84.09878828,-88.81197581,-91.67470131,73.07867974,42.89892872,39.85827254,-161.7925081,96.51591913,50.34535472,34.74592878,51.16371039,54.49941309,-59.3165218,98.90432917,-78.6662802,-3.360952742,51.39565546,-5.638464506,0.021606405,-63.20195992,31.4805558,-28.90001786,31.55147136,112.068326,-59.28301744,-74.88484718,79.22877838,-69.63539809,51.39311848,65.34193528,52.12989195,39.26818607,42.15810218,41.23074222,-0.870965784,21.93099419,21.84238919,-127.2415446,113.4188279,-25.40714147,-50.47926428,-70.50841349,112.2694582,20.88291982,34.41637865,15.57230438,18.52733221,23.48820749,189.9419267,45.1307377,-33.07657242,27.07862935,-37.27423925,98.55700279,-110.0857008,-128.5963562,-94.38966918,252.6270498,11.72866269,-69.42027134,-40.39711491,24.90777147,85.55537243,13.91272724,-140.0511152,20.56274086,-63.29957457,-83.59384746,-97.10906397,28.0809892,6.694128668,22.45885307,-55.93104968,62.08107904
0,-104.9416806,-62.72357324,1179.924819,524.9758614,363.6368913,-244.235635,497.704469,-335.0646677,-709.5726027,-44.60327157,-174.2189905,323.2206965,-349.6567376,366.1123019,-107.8846196,-139.923956,-161.5573138,209.5377107,591.1518111,-36.1441152,667.2775455,-112.4236119,-413.9569501,-363.6104885,-209.9896647,694.312922,-340.806634,-288.5759314,204.0173581,-32.96295811,337.6694848,-343.4276327,-149.2932707,43.13027304,-12.68230727,182.9829821,36.69635267,120.0825038,-127.2350985,-38.61043391,57.80819366,-189.9010481,-66.88401864,-94.47893214,121.4673234,173.9901772,258.9515058,69.5627389,345.6006441,132.5466463,74.13972768,-70.20483042,157.7826012,-179.9662659,-107.7050784,-12.17237263,164.4270584,117.2875584,-170.1060519,159.548074,198.4485683,226.3691624,-53.55601235,340.4572549,40.1393233,-56.97417568,115.8596647,99.2543405,-82.76041575,200.1344474,-23.02164977,65.2062408,-15.21777189,15.24536039,-60.09663379,-168.2834393,15.26662921,-167.7279304,58.96339307,-74.52813526,-5.810109029,104.2057463,73.45559144,-249.37083,-206.76296,-23.61521627,-29.66112382,163.376428,-54.64799854,-29.45029102,-231.0723803,-32.10721943,103.9747001,102.5066723,-8.593113796,35.62873055,-29.08870439,145.1927643,134.0184681,-47.32250065,55.21603188,-216.5563073,-39.45142809,-3.797961144,126.0670198,140.1216337,-82.18542763,134.5108747,45.51599857,-118.1466286,130.8874093,-88.93461105,-109.5117792,81.93639836,-17.55944583,118.0967113,28.06123783,-89.08718346,63.17204628,13.48459944,-121.8624266,-53.72227028,31.44255652,61.36195215,-98.67900181,36.34193277,-8.331655397,154.2319276,72.1233295,144.5861263,48.83429689,-22.90283346,26.93957159,-98.21960927,-14.33039194,42.86962675,15.15329667,63.24810834,-131.3815164,5.39891122,-17.80761387,-46.45959535,-154.3803808,-117.22584,-73.7778951,-45.33014418,-2.688810237,-104.6262412,-23.29684985,24.43004979
0,-680.3307066,-153.2649716,1040.695172,-284.6222561,110.4022085,50.70887244,-57.02175693,-315.6511632,179.1039824,115.7670756,126.4088006,280.6916814,-149.1692487,-445.0661133,-94.4957977,-70.48855062,-98.55903144,-156.9991884,215.5250531,-16.99237655,-31.49335961,-244.6825385,184.6148419,77.71421848,160.336729,101.5010956,313.8964366,94.32282929,237.9677039,-148.6508991,8.151753994,48.56287058,-81.76052919,106.912452,118.5322841,-289.9755227,-96.32386854,-13.18536583,-117.5528447,63.10279615,17.32359007,333.7115092,-62.4608365,12.02600743,7.519123836,62.06736376,-87.16044063,111.1382476,-173.9835152,34.58391813,25.33161823,126.5716934,7.688469187,-89.96736416,-192.0184524,-16.20151551,63.19370958,17.15357129,100.6518188,-64.05961091,15.96648845,-3.356110896,-119.8964593,-70.72377104,112.5997866,-105.9136419,-61.83611614,106.4198705,59.86740993,-102.9495336,-17.13852572,-76.2756862,22.06641075,-55.23452639,-70.17351609,25.90737832,34.60846631,20.03466559,101.4658958,-107.5389838,-20.23815513,-54.24340525,-36.12479401,4.327342485,4.12498427,80.49486805,-35.03906317,-111.9014882,-47.32964711,-67.34171221,-6.78889702,7.189789837,170.6719654,33.16849293,71.16541153,57.33163296,37.44481444,9.531065642,-46.18039619,102.3675613,66.07909732,-42.93418527,-121.3610452,27.07194205,23.05442027,106.289449,76.91092618,74.84547859,-80.50796424,161.693795,-80.77066507,-17.11810132,-110.4426698,-24.83213976,-45.61907778,-67.77570998,-27.9122161,-15.31191927,-116.3042259,-59.52963073,-17.65992917,-66.65850325,-41.96585122,-21.22677841,36.21400503,-4.671984304,-10.20357398,45.25202573,-14.87287691,-32.53900804,-64.55380247,-8.260842119,-56.85422719,32.54821034,1.455648252,-20.03026878,-44.04741166,77.64547134,-19.27450419,48.79854026,9.194186105,38.58060799,40.37392078,36.39597446,24.77527413,-7.115048672,70.95164416,-4.29660934,-80.26513858,62.90682139
0,521.9583269,909.6777982,42.18589939,815.6599567,-355.0469805,-365.041731,618.0371641,-415.379616,78.10885033,-671.2287517,27.57695626,-19.45094156,-77.3798085,120.1639264,-255.946924,3.815584561,-209.8997625,-400.6532496,201.1235408,-24.5603787,487.7436715,-258.9820951,-401.6340257,-268.4398761,-287.5220593,-422.9324619,198.2147193,94.34943342,-223.88863,86.1227084,-84.91089861,-39.77833331,-84.65607114,164.1840719,199.6528772,43.89645677,-246.6452061,76.03725193,-93.4740846,-31.34575388,204.2944336,5.867102953,-37.88327379,164.9724133,-13.10015985,-186.8309491,252.0572905,-18.61644854,1.94292431,-26.83895461,-39.94423854,155.6200028,-127.4038138,48.0398034,129.2617497,-122.3993289,-87.872837,-62.45918059,-36.05637964,-232.9454711,181.3061522,129.9781168,-24.13796621,5.433781421,213.5832159,83.76669902,-244.6196389,55.86826305,-115.2107158,38.01252442,-7.675948822,54.86381799,38.00767297,-63.84678398,-21.37770028,136.6479047,98.49522504,8.804884323,36.98988929,-4.132171579,92.10754627,152.1030395,-64.20497133,29.86275895,-118.6695676,89.41396923,-25.27843098,126.6840386,107.6082808,23.07763031,53.34028751,261.9488683,-11.18716414,-21.95579744,81.49067242,-15.41836191,78.67602364,90.54310584,57.5375054,-156.3918786,-86.47608547,-41.9582208,172.7584905,14.8547123,-32.15559973,-51.92545062,-64.40539985,0.751236794,-10.49130622,-80.86053503,-80.64726625,-26.87565871,55.02621248,-85.18213757,-20.62721265,-15.76354531,-3.901710208,-45.79199265,31.45853158,-73.46615006,27.94316308,46.68612347,-18.68769687,36.05737573,-84.14812349,67.57974707,-112.9571701,-0.375268415,47.64829582,59.50466307,-81.74076185,-81.2929725,10.81503923,73.90320214,2.714505881,-63.12698878,111.7264681,63.38796719,81.57318811,40.72193461,-39.52114084,-81.47452897,-21.24479717,-13.98610963,-12.05591873,11.27533961,-29.97480686,-36.69397676,10.5356806,-145.267226
0.007,1059.110013,312.9732744,251.513784,-714.8440739,-406.4031005,-445.9161621,-140.2948639,430.2097079,0.863247922,62.88424198,-108.8123673,286.6773503,-43.75094036,-140.2548362,422.4183967,-444.7394442,-239.9222517,-170.7604177,208.3515931,154.3644269,-124.394959,166.1609678,135.4183417,-81.02700683,75.97821142,59.40015821,-9.870433656,-137.1607764,-81.47361177,-107.6771522,135.0430616,-39.5937612,-95.38805212,-140.6538551,-235.140798,-214.3689639,198.8976637,16.17037415,-120.1063395,185.1262753,31.61656892,-95.64154635,-199.0488143,35.32077915,-127.2490932,3.312142776,36.39342017,138.1815395,-53.89784056,24.04544644,-89.65975131,-162.805465,83.48202298,-57.95892583,4.77840425,-95.00683837,-12.28376382,55.59666151,72.68104857,9.360700439,145.9004247,-177.7013555,113.8303463,16.14203269,-30.3979956,25.29419311,-78.35051946,39.71288383,136.1188877,58.31701477,90.29687092,43.65469704,-252.3697759,160.5267117,66.33933828,131.0271653,5.936175263,-15.29224327,-20.00764329,-5.16843644,102.4833255,-26.65401655,-184.8082711,-63.32081672,199.212029,-100.9237733,-16.38388842,87.48822102,-133.7147052,109.1587119,-33.61582992,-3.588070669,-46.7941428,-69.52853953,64.01358132,-27.54886204,-47.99454279,66.92812553,-66.99367965,-58.57806304,-14.94147875,0.78935798,9.084689397,79.74485019,27.93952928,12.46259682,-19.86140264,9.234881698,-6.987833331,14.36418323,-64.76591555,-30.4999565,-6.392719658,111.8948334,44.92542303,-95.97327532,98.03892445,-81.01924815,-34.84096538,14.28298348,36.47423174,40.05089407,-55.01217393,-62.20461156,16.0022279,-49.11367475,81.38601964,-14.10118561,8.191903876,-9.333396969,-38.41894935,-101.9022202,-31.02142567,94.95151067,-26.22757894,-143.7013342,65.22414768,6.196379614,-41.33893256,9.942106155,148.693983,-49.69711015,-49.86945972,-26.9613356,-9.84501802,43.43986636,-20.90029699,-59.57042973,-51.87068495,-10.35211146
0,-789.6881101,-25.53600279,854.4722999,-176.5424791,225.0811918,165.5679248,-133.9940232,-480.4553771,161.2254486,92.03284595,-36.26744996,276.3334408,-213.0012237,-537.2100101,-91.15444171,-30.81606105,-15.09391721,-218.3137529,231.8388215,9.751166701,-146.7335543,-232.3858493,163.6491843,178.8363081,177.9853109,162.6847188,178.7159635,106.9114048,262.2624691,-122.3346243,-131.994159,85.00631643,-183.3762608,60.68324352,128.1788426,-240.4495505,17.65039523,73.32019807,-89.91494632,91.8456462,-68.1976649,388.9905455,3.719241519,-47.29291052,57.6439066,23.62094111,-25.55820912,67.5572222,-141.1220416,107.9605764,10.50407575,192.4249613,-38.76187687,-91.34550502,-55.4036903,-53.02462234,105.8662898,57.65442418,82.60011547,-47.93325274,-10.23841806,-40.99412159,24.57538037,35.42054276,108.1060331,-43.7331253,-24.61159912,-55.15940162,64.96676138,-104.3539698,-21.22107753,-0.085796324,-63.9127006,-53.56093158,-75.02894797,19.46172593,-36.97294445,-22.79502601,128.5100773,-113.115695,-4.021476019,-52.75245758,95.84665145,128.0119328,64.92919907,-28.35263657,-32.94185061,-40.00507587,82.03754099,-18.68866996,20.35673161,-5.623227153,-41.20139036,12.67737195,5.533575727,46.51523046,27.82253391,52.58634335,49.62362633,2.054911696,3.05795074,6.822303782,1.105290894,38.81549523,-12.5008761,-29.14283525,78.48527417,66.62359741,28.98468889,110.0795439,-37.87168428,-61.00514082,58.14433015,-21.02667208,-30.91786979,10.87316704,48.97227725,-82.05807594,-63.67731244,40.18684172,-14.06560761,-96.1302319,-44.11676937,32.5903973,64.42234674,4.794654963,-120.8992591,-35.9945809,-45.62163951,-45.00692448,-18.7213022,-21.38618408,-7.001325241,-15.18817139,19.71672098,-34.59919601,-55.55381778,73.33365895,13.2138419,-132.2996009,-74.77495791,-24.52592399,-134.2268715,-10.40987562,-71.5279127,-87.25976532,12.16404527,-48.91761474,3.333331836,-21.22853479
0.001,11.7421118,-191.333575,125.4284252,129.2850583,-466.9337769,793.3941263,-238.0905326,734.2435816,-138.4725621,103.9936234,-41.48924213,638.0414197,80.89518161,368.1336555,238.5142323,-293.0523367,394.4977293,130.2878872,-125.5087843,49.26393558,240.1272056,316.5827675,319.4507053,5.648953213,336.4467786,231.9030926,50.89679155,-12.98557319,-95.05835526,-236.1792046,175.266429,-18.84609791,123.819497,-77.05313422,-126.6574329,76.17558874,48.72112676,-180.257945,78.81287691,-187.1162111,-3.434854639,-48.15094489,-105.7466793,129.0228865,29.97298085,-63.27665715,-103.4750274,47.24066796,-128.9368207,98.36471733,-76.79096336,-115.7731736,107.0385425,9.380272222,195.6439912,79.06858684,-77.48095874,174.1069766,73.8067038,76.55108494,197.4229673,62.96934182,-102.0903144,151.7731657,56.38607197,-107.3958796,-179.3965947,-58.83252403,-110.4189217,-40.03732494,185.3348261,-137.5093954,210.925405,-26.38578563,-114.0928461,105.6888195,139.1176407,7.286546212,91.77909735,7.564089813,-10.44664411,53.8288133,-158.2047539,-2.443694981,145.6573811,-7.847051837,-153.4003781,-74.83508915,-62.82319737,162.1413286,94.09514739,-31.46240453,-125.3514122,-95.00453556,-128.4703588,-70.06336101,69.9375846,-10.26742368,15.2068481,14.99654615,18.36803793,51.88891319,5.474066431,75.44436396,33.89980346,-142.5579279,5.85999324,85.05540963,40.92046374,3.373366585,-19.6246961,-93.55025896,86.28209431,59.9241624,-55.71497007,-38.84526199,-61.66409983,3.689648264,-165.0319046,-31.41277884,-94.53379827,51.75325606,3.63737467,21.91854557,-45.83745007,-6.500920234,-20.82500836,-22.67140655,-72.18699495,49.97795601,83.99718589,-6.201290256,-74.05524224,-4.480050299,35.38196435,-3.753676141,-38.50702515,-33.39415735,-35.14122786,-37.43699876,-82.6918795,1.488641067,-51.66316017,-22.68879912,-19.62343242,-24.20654973,-6.840141266,47.67704892,-13.45236699,8.113618633
0.007,496.0193519,524.8765137,193.954363,-379.1045428,-505.7518952,-322.0513109,279.4024517,-595.5388843,-143.5544299,594.5885506,-146.5498982,107.4420594,-699.1275887,-184.970732,39.05653749,-21.59093046,699.2748628,119.228733,386.6995518,-230.5543502,-84.72103984,246.9059808,47.39889185,-25.35342782,96.45042973,22.43802256,-31.67611037,-268.4701006,129.4778197,-533.2944632,222.9141539,-253.1095067,121.1209374,159.3274195,-178.8613265,-399.1378156,-132.7706912,-14.64186523,359.4813425,298.8290472,15.98444216,-106.5008532,27.33231728,251.834289,194.2405216,-89.79797849,-91.24065218,307.3723758,150.6032267,29.09551942,349.066071,63.74196009,-281.6467425,-254.7525295,69.6187745,174.6781277,-135.9254898,408.3310114,20.64462253,-14.71549558,7.157959743,36.69771875,-71.94035326,-156.5937714,-45.8411665,20.74583066,86.9059488,-88.58186879,59.73205448,-207.0825245,58.24024402,29.13205694,142.495807,-77.29788651,52.19345466,-14.47116648,177.4985282,43.28751459,-166.6592614,-47.72193803,21.4491191,-35.62540886,-67.51453677,143.0656647,-138.4421564,-40.17884691,-106.6108646,16.20517021,-29.952375,-20.6010504,115.0416584,45.99975157,-134.8622312,-54.94130523,-138.1190465,-143.369289,-87.59100866,-101.8028624,-90.24530953,27.15621555,-26.92720764,-26.22271659,23.18920234,-112.3334909,-98.71092515,18.3149724,68.6825234,-29.00921356,257.5393402,89.60588853,140.0340527,-24.91180289,-60.12114637,-50.89694841,-134.1966744,-6.738349309,154.8041193,-43.45420835,54.50095955,-76.21444579,-101.7287903,91.73723517,-23.31691779,-30.30259045,88.17990041,-51.92753391,-75.81225718,-19.24193812,51.27486266,20.75601763,-46.21006091,-71.01921604,-12.15813791,-78.96296057,-65.97103479,36.34502031,55.27412286,53.98085503,189.5283097,72.59242363,-92.67701733,-35.02664761,-11.25665958,-27.51248467,32.81503574,41.97348738,-65.75612429,22.81354148,8.01270375,75.41426111
0,813.5824405,770.025933,1052.311251,757.9237685,-740.1562393,-280.8420695,175.3605817,-324.4018499,-217.9964264,-86.78033528,723.48746,930.1336771,-40.55996077,-213.9660587,-114.8897778,-348.5935118,241.8620167,-171.2395728,-420.4325245,145.2495777,122.7536901,187.8930135,-43.33182479,-224.9496619,-248.0301668,237.2627525,-307.3894277,-123.82198,-204.773529,-23.31391024,10.8410939,155.827212,325.9853458,-68.04040148,94.6887834,-215.0081544,-145.2065894,-159.6249606,-111.0367892,-4.282387545,255.6849908,0.767481882,-109.8719133,-223.7650949,-7.659190439,66.09046152,32.40007633,271.8955301,-15.8036086,-184.1129993,-94.88344584,78.63746916,-1.274499661,151.999379,2.501951212,-40.81112299,254.7396806,-59.56554112,54.02886839,-161.2659206,-193.1906697,-21.68251648,93.46404469,-113.5048446,150.9747672,-33.834736,83.05709316,18.10195356,8.89361128,-126.6786998,-151.5133995,31.16229848,44.25623375,-91.22717988,84.45767023,-48.72048187,-141.504826,28.33748492,18.25490799,51.69577991,-218.4675697,76.02291719,54.31983302,-63.66596137,140.9723356,-165.8311606,106.9537922,65.83042005,25.76569877,54.83853935,4.988645101,-59.56753785,-166.4416275,-149.2157348,36.84940966,36.41580267,-12.02084461,-88.22071683,-46.82023746,120.4912031,-100.5602852,-59.74943846,37.49644233,-4.906362864,-51.3254484,84.71780838,-91.48894345,-94.9295444,-107.3082201,14.87127203,3.459228104,-62.98654054,-171.9827734,-108.3055046,-49.8475005,-49.86948695,-47.28472896,-160.0637083,142.2911913,-77.00033336,-74.38176632,188.6043517,43.16546886,-40.54227663,-117.3278046,-47.7719921,225.4346767,-177.5124842,-109.571237,2.640761628,53.62091593,-7.51955508,-40.80815879,147.1124629,39.17714019,158.1859771,-83.62313989,-63.3505077,-16.63134685,97.15687688,48.77875623,49.18540562,-112.8221989,-72.73830419,81.50667713,45.6434116,1.865287134,-24.68136515,-16.91333881,31.28061986
0,575.0979645,365.7415128,601.504658,174.0716497,-71.45849215,382.6666987,206.9595953,-262.7425577,-33.93212802,-111.4388247,323.0741862,1233.951734,37.70630188,-148.3977681,154.0506808,180.2492416,-123.1613593,-41.17296286,563.515748,90.65718223,616.0740124,429.4612383,26.2483419,-418.8316745,-243.7454562,-50.01827915,-29.33708643,74.80331273,-33.47976674,243.8919488,309.4515758,305.573985,293.5255867,171.7823723,-107.0162178,-110.555397,98.52017319,131.3531058,-164.4445625,-159.1572475,82.03867093,62.01140983,-232.1153892,-318.4217102,177.6979976,-98.24117396,503.9620446,144.013765,-139.3024814,252.7395133,-14.72401054,-49.45676521,-328.525523,124.8771664,147.726096,60.81840226,119.3260767,-266.3536966,-38.02028691,-241.6209538,-101.519382,134.8837391,87.65731294,-124.2761865,-103.8728977,-294.8784601,-69.90742551,-174.8294014,74.89560699,113.4311781,329.6986354,106.0621551,147.8736229,-142.7205337,45.20268515,-28.65526709,-28.08870329,97.80389581,-251.9953857,113.7048779,-8.555782835,84.2514122,58.95823712,0.913683131,10.45350298,162.0366989,-78.89507849,-123.7796389,-139.2793499,45.60032523,-191.4899572,-35.07964026,-35.87806305,-9.98767081,141.71835,47.13730269,-42.03903423,-63.21149022,2.39656448,5.265714001,44.64100452,-67.98272555,-52.25770847,21.03103895,-38.15533414,-1.140017716,-69.83521986,-203.0071827,-28.45944117,-97.35226187,27.48816492,-97.17655447,120.3171902,-11.65071389,-12.9860846,113.5031711,20.44134128,-6.954580007,-75.06591688,2.287277546,50.01059808,-11.53389304,-98.98841703,-103.6302996,41.3465512,-5.248045692,-119.6476549,58.8890468,96.71943802,18.8456098,-2.526203446,-21.20737967,-37.02513925,35.78490218,-36.66585593,87.14585084,33.61454948,62.55249396,-72.24058846,-5.591378446,34.39436722,-71.93942011,66.0793457,73.49847217,47.32706687,82.55874747,-51.83516722,52.26258732,-153.1577474,-17.59489588
