pred_prob,f_1
0,-291.2770033
0,-104.9422894
0,-680.3293932
0,521.9578637
0.007,1059.111019
0,-789.6868066
0.001,11.74335536
0.007,496.019356
0,813.5855561
0,575.1011851
0,789.3422781
0,-817.2395487
0,214.0178026
0,242.2179823
0,316.2098607
0,256.4246459
0,390.2034389
0,616.933453
0,-397.9192215
0.014,547.5499774
0,790.1003991
0,613.0455111
0,717.4323473
0,540.8376683
0,-706.3134735
0,-102.438121
0.001,-501.8476269
0,256.2806913
0,506.4640247
0,-626.2053244
0,263.503
0,67.02609094
0,-791.4904835
0,-21.3041757
0,-913.1987999
0.001,-614.3690187
0,-224.5802397
0.002,260.9259922
0,-132.5971002
0,-480.3003329
0.001,-136.8692263
0,0.126708766
0,-271.5783775
0,944.1733747
0.001,1127.947272
0,-161.1979632
0,531.3075895
0,77.27118989
0.001,357.3259473
0,734.674656
0.16,-384.9635099
0.116,-193.3313617
0.196,-853.6067277
0.115,588.7206836
0.172,939.2591636
0.182,8.976128112
0.113,-411.7311234
0.115,-146.7163783
0.169,302.1443769
0.117,-649.403663
0.122,-7.150821316
0.137,884.2289505
0.117,99.72811241
0.114,1380.56753
0.2,-516.8443848
0.166,-955.7843783
0.114,1213.647986
0.152,27.43904492
0.138,-204.2817708
0.158,515.7740892
0.134,1419.361771
0.176,-628.2699062
0.121,-506.3577756
0.104,73.55012853
0.149,304.0014634
0.19,494.3569694
0.121,-172.567724
0.102,914.0066632
0.1,204.9840927
0.111,-885.9887102
0.159,6.351143842
0.146,-293.5601043
0.108,-262.0074485
0.136,360.7590452
0.12,240.1582573
0.118,-510.609868
0.129,-789.0183013
0.101,164.0013778
0.129,749.4395947
0.107,740.1058756
0.101,-94.54415766
0.142,6.056166898
0.151,-730.2016738
0.148,-508.3594226
0.112,-591.6790328
0.192,-464.8884894
0.149,-886.4294602
0.113,505.6397174
0.154,459.8645152
0.178,955.8755267
0.203,1.502564596
0.251,708.1826323
0.271,-156.1418912
0.203,-411.9264435
0.215,53.25492922
0.284,637.7616366
0.212,-278.0145774
0.227,-90.11291631
0.249,-717.0249218
0.257,-718.2354581
0.239,276.8747251
0.293,-512.4807107
0.271,843.3639586
0.23,885.2294082
0.226,687.8465241
0.281,384.0446253
0.223,796.7669615
0.245,-666.5528653
0.252,1387.722511
0.27,-747.2529194
0.204,-876.4170261
0.203,-407.9854026
0.207,593.9077795
0.23,871.1627835
0.262,-356.3763735
0.268,-180.6202037
0.275,-224.9799495
0.216,638.9712488
0.28,-333.3973843
0.253,597.8744022
0.267,-824.8692803
0.27,-804.8435955
0.265,983.791917
