pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80
0,-291.2765101,337.8317589,168.630181,-58.45504113,-688.4111715,449.9751257,120.1812167,831.3850537,56.16615408,-170.7713899,-281.9549518,-316.267705,-233.9723287,-202.9152849,-167.1537595,88.45884979,-357.501551,-403.4440125,-213.7695314,19.51393443,155.1196392,116.3893639,-271.5756402,1.962952954,71.02241199,341.9570516,90.03341258,50.13055829,199.3518786,-217.8847082,93.65230854,91.18769842,-127.4927197,-174.6887786,125.9217961,56.72618945,-12.17527308,0.955581808,-213.9900929,-79.31554593,-96.3125062,-40.93158683,-51.92431012,-20.44217458,115.0057421,-126.325626,166.895163,8.992624436,76.81475217,-255.99803,-185.0981872,130.1049825,41.72216201,178.7024928,-25.98871694,31.87662188,141.4337268,122.537054,98.89184876,30.1626678,-42.91982146,-130.3835302,-104.019576,-163.2746716,-35.62649222,-100.7653682,222.1672468,-11.25097769,-7.110763548,300.1175711,79.53198201,-29.53251307,-99.25967415,29.34389704,-40.6835867,-90.88692953,19.41957715,39.49150422,74.23797273,-29.53777632
0,-104.9416806,-62.72357943,1179.924844,524.9758649,363.6369684,-244.2357797,497.7046687,-335.064157,-709.5720976,-44.60338398,-174.2183507,323.2241008,-349.6599257,366.1098202,-107.8857583,-139.9393637,-161.5529307,209.5336644,591.1392627,-36.15635236,667.3071803,-112.3262762,-413.9483861,-363.6765828,-209.9706593,694.2803203,-341.0108178,-288.5203686,204.207913,-33.3530028,337.5713224,-343.2839267,-149.6049594,43.30740898,-12.32053722,182.6484365,37.75922586,119.6738407,-127.8129621,-38.04076803,56.61295986,-190.3354348,-65.71787956,-94.93700574,124.0367118,171.537732,261.5046439,52.33309775,337.458846,137.0647547,72.9554831,-84.64171347,155.3014733,-180.4644719,-101.6980829,-34.69145602,175.349844,101.9841848,-181.829832,159.0612256,-187.5506578,179.7342781,-14.433211,364.7655379,38.75681535,-10.06673882,90.10229506,185.5146827,-33.88424978,158.4057729,48.7694048,37.66577786,0.408095827,-82.09873795,35.23125225,-2.5459644,-20.16255837,-249.1550581,-158.5668701,-10.50656631
0,-680.3307061,-153.2649733,1040.695168,-284.6221947,110.4022066,50.70901604,-57.02160553,-315.6515557,179.1044704,115.7672478,126.4082212,280.6902798,-149.1739126,-445.0688961,-94.48392792,-70.50046668,-98.55368023,-157.0047349,215.5255747,-16.98433547,-31.51750278,-244.6384872,184.51821,77.74897488,160.4104094,101.4971188,313.9121692,94.60613405,238.1739469,-148.7379372,8.473768885,48.61545271,-81.77352113,107.4036899,118.9943967,-289.6602068,-96.89300421,-13.77488964,-118.5440203,62.63320649,17.75681984,332.0026749,-62.46549527,11.48563603,6.436958054,65.63570501,-87.91107404,118.7302355,-167.4681776,42.08554344,33.7579086,120.6028878,2.713689817,-89.2217425,-198.1243915,-13.16763228,58.92601118,25.44217247,94.07793977,-62.62594129,-20.2164473,77.72293384,-68.94587036,-111.6310262,113.3453742,-93.16701777,-42.13439798,117.6183701,-31.0351891,-50.47215469,-25.10051031,-40.9922821,-66.97919254,112.0937845,-42.30504024,-153.8127345,51.34106458,-9.726047069,-5.670071784,-3.35484526
0,521.9583249,909.6777994,42.18594721,815.6598934,-355.0469442,-365.0418012,618.0369606,-415.3794708,78.10879202,-671.2272264,27.57717524,-19.44519018,-77.37884112,120.1632405,-255.9500617,3.797450736,-209.9034348,-400.6561562,201.0877435,-24.60596828,487.743742,-258.9330007,-401.5401413,-268.5277242,-287.574881,-422.9866204,198.2211528,94.4181987,-223.6969125,85.99401233,-85.3299466,-39.6785744,-84.6732275,163.8784912,199.9544585,44.11260759,-246.9386478,76.77654197,-94.85035359,-31.09258349,203.0810951,5.293121617,-35.08603335,167.5822877,-9.589393413,-184.6755405,257.7779973,-27.99794783,1.020690883,-29.16653717,-34.0282875,164.0779628,-124.8381188,34.45672084,132.4532904,-147.5896554,-101.5676589,-63.15761893,-48.50420701,-226.7005814,-166.0628889,97.44757758,-7.85759771,-81.46884594,186.6370956,33.5504359,-234.3853539,91.13321484,83.03782911,25.87696922,19.25747824,151.255995,63.64990484,-26.92217921,-37.56899234,-118.052772,67.72231255,95.45392396,-22.87940701,-43.61603536
0.007,1059.110012,312.9732782,251.5137799,-714.8440736,-406.4029765,-445.9162855,-140.2949183,430.2099561,0.862839594,62.88478957,-108.8104631,286.6805524,-43.75136501,-140.257981,422.4208292,-444.7476309,-239.9222951,-170.7743,208.3256376,154.387059,-124.4175738,166.1790036,135.4490542,-81.05971398,75.93391389,59.38601019,-9.740657772,-137.1605122,-81.51171236,-108.0489504,134.8251602,-39.6186781,-95.68671686,-140.6036964,-235.4315921,-215.2002639,198.5577252,17.57363245,-120.5576326,185.8160908,32.41100647,-96.81055363,-196.1452176,36.37235947,-126.3792171,0.508747923,40.86597795,128.7616256,-54.61737458,21.8452672,-100.4150204,-154.2505839,82.38240271,-56.68714382,5.983009863,-103.3962875,-15.58844428,56.14560372,72.17553974,14.04888804,-91.13388881,-213.2307938,-26.90347138,-36.70255651,-49.7903412,-6.504176447,-33.4048041,11.05139379,-199.3932941,-41.03956362,17.26960923,-180.0897866,119.895415,-157.5952911,3.647230002,78.82138476,79.23761999,108.9473366,-162.3331373,6.691926532
0,-789.6881093,-25.53600807,854.4722975,-176.54244,225.0811161,165.5681295,-133.9937858,-480.4556062,161.225603,92.03188472,-36.26881376,276.3305875,-213.003493,-537.2080782,-91.15271087,-30.81567513,-15.08962969,-218.306896,231.8459033,9.772089819,-146.7407875,-232.3785413,163.5584525,178.8846743,178.0945317,162.6971193,178.6059802,107.0612272,262.3762362,-122.0571151,-131.6027246,84.95177202,-183.3090812,61.18560318,128.5624687,-240.0091333,17.79867881,72.13822005,-89.52488433,91.2458929,-68.21664677,389.5145663,2.065329983,-48.12673608,57.18753415,25.59533736,-26.76869216,77.25179318,-136.2717038,118.4370433,25.49715911,179.5076325,-42.37940928,-85.28053676,-60.84192784,-54.85949842,100.8941163,60.13505109,77.08605912,-46.43301619,8.309487984,-49.77874424,-3.762861491,52.50232512,133.6463092,-30.81514969,-58.98929423,-10.69871364,-27.48312309,-87.67575119,28.64088916,-81.94428555,29.24592803,93.54119403,-58.83039848,-93.56089033,91.49150486,-23.46300684,6.307938708,91.69310631
0.001,11.74211195,-191.3335698,125.4284224,129.2850153,-466.9337457,793.3941025,-238.0907831,734.2438901,-138.4722188,103.995243,-41.48861416,638.0405515,80.89494117,368.1350091,238.5150877,-293.0531983,394.4997204,130.2795708,-125.5130962,49.26176443,240.1150124,316.5664309,319.502077,5.656620874,336.382473,231.8403286,51.02695479,-13.29202167,-95.12333199,-236.3629143,174.8479255,-19.24671159,124.1056885,-77.26281636,-126.8924842,76.44445982,48.38389628,-179.3770592,77.72962636,-187.4861046,-1.997400625,-49.53474468,-106.8181827,130.9422204,30.51785595,-64.4848515,-101.8686009,42.01357601,-132.3601172,84.83563586,-80.04252789,-103.977337,108.2311418,-4.129274806,194.9270004,76.02757828,-60.21945727,180.3387605,68.15936536,81.96066882,-203.4786732,70.67573333,-101.0629476,102.6550169,60.81915443,-146.7792882,-116.4055408,-9.334456989,107.7961728,-127.213618,-224.2305029,241.8458324,-57.18674987,-148.4805226,-97.26056445,-162.9664675,63.8898537,84.69911311,-72.22979181,-67.47414626
0.007,496.0193509,524.876524,193.9543425,-379.1045912,-505.75195,-322.0513595,279.4021045,-595.5386036,-143.5553322,594.5876206,-146.5470459,107.4436971,-699.1197908,-184.9600954,39.04830595,-21.55099471,699.2588679,119.2377844,386.7332671,-230.5482355,-84.75652038,246.7691114,47.403042,-25.38117885,96.56014229,22.36521147,-31.28792619,-268.5695589,129.1032755,-532.6738677,222.7131461,-252.7914111,121.4868939,159.4714357,-179.255906,-399.3272143,-133.6881216,-11.8592986,361.8689537,299.304928,16.17680976,-105.4545331,29.19292815,251.3994822,193.0976223,-96.04265383,-81.94685964,307.1666348,157.7955991,34.5363352,347.5701342,32.94579813,-277.5009852,-248.2395301,68.25737409,186.898305,-127.6012088,431.8269007,9.323268242,-8.284389629,-47.76950285,76.17651295,36.96696824,-129.0474358,-22.77912291,29.16118121,53.37939819,-153.47132,80.26658284,-155.2096562,44.99608233,127.8597987,-34.61570753,-25.47054649,67.64082526,-47.15205349,48.38506389,155.8927887,140.964982,35.98305876
0,813.582441,770.0259407,1052.31122,757.9237088,-740.1563686,-280.84213,175.3604196,-324.401729,-217.997094,-86.77964671,723.4860221,930.1294476,-40.55756486,-213.9623868,-114.8927626,-348.5610013,241.8620987,-171.2383794,-420.4176944,145.2544502,122.747331,187.8208153,-43.34828845,-224.9076035,-248.016264,237.2699494,-307.4603991,-123.9366201,-205.0417796,-22.85746256,11.08739249,156.2890114,326.1713482,-68.27029001,94.33941293,-213.8464815,-145.6024188,-159.3076386,-109.7724353,-4.608197154,256.8354741,0.205419354,-110.7666133,-223.3436434,-10.51026054,65.06442831,29.15639616,280.9630957,-6.712393192,-176.0042388,-98.08462733,93.72543838,-3.952731338,155.4912706,-0.552666755,-51.31173667,240.9572862,-61.11481275,57.935906,-153.0474805,166.4984544,-60.86851015,76.16488415,-60.0137325,171.7088702,-28.42408504,41.0797475,-17.48900936,61.60043388,22.70481799,98.95725609,-36.10593779,15.09969325,159.2866104,46.35242594,74.48372818,-13.0608436,-55.01553879,-21.54937988,-112.3297551
0,575.0979645,365.7415088,601.5046871,174.0716881,-71.45833464,382.6666385,206.959708,-262.7423073,-33.93076381,-111.4374786,323.0744465,1233.953355,37.70613049,-148.4029389,154.051421,180.2194733,-123.1450867,-41.19340895,563.4691798,90.64905564,616.0593068,429.5120158,26.340157,-418.8495495,-243.8565982,-49.99898846,-29.38632038,74.46564518,-33.21020005,242.935774,309.2227302,305.0281646,293.6232647,171.8757805,-106.8636728,-111.1640476,98.89646434,130.3475527,-166.6247929,-159.8536834,84.95018841,56.9734689,-234.125944,-315.1153226,179.5708264,-92.03521959,507.2385486,125.0325176,-142.8499873,241.2207662,1.609259422,-56.17136321,-317.7536306,113.7358088,142.5332236,49.04196168,130.953389,-269.0832287,-36.14168297,-249.7870197,88.32278095,31.51070851,170.7803361,-80.97134147,-116.1531208,-322.3354868,55.0026847,-184.9508935,-147.3144452,-131.5599475,-25.54968409,266.4805614,93.86163981,28.78741845,-14.64912918,105.9851126,-72.10202153,-43.47577731,260.8919887,-74.20368938
