is_nine,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100
FALSE,-291.2765078,337.8317521,168.6302134,-58.45496434,-688.4111125,449.9753915,120.1814809,831.3843619,56.16775937,-170.7703965,-281.9554318,-316.2741849,-233.9759171,-202.9192384,-167.1482352,88.42512526,-357.4962435,-403.4466629,-213.7681392,19.51114677,155.1355283,116.4431271,-271.5845666,2.043380792,71.01935959,341.9671577,89.78569528,50.01972953,199.6652717,-218.4969878,93.18139412,90.54363074,-127.2477862,-174.5437101,126.9911866,56.7727899,-11.40693016,-0.582546126,-216.1090947,-81.13891306,-95.30604288,-43.6116653,-54.01418913,-19.54060675,116.6260716,-124.1246559,164.7994616,7.773557762,71.88990649,-262.9302985,-173.9070111,110.0571489,49.22019526,167.2517446,-41.29709752,35.5161296,152.4062328,130.7484191,91.28700747,32.86662882,48.63593316,-241.4302612,-69.49681766,-181.980141,-20.10362711,-106.7544554,234.6439418,90.37865547,-0.201558169,69.69277167,-268.0097151,35.41484874,30.44703298,4.088274409,-51.93962519,-78.58755869,-102.4685636,-91.29927475,41.08040074,73.61568292,62.11204194,55.25920339,0.176407272,162.18458,57.44075819,-28.87317778,30.49204339,-9.467029328,111.2667841,58.81700966,-16.2022546,56.4524895,5.477846844,46.50704163,23.80166047,-3.064663329,-38.4633539,18.40295994,5.102576609,39.46815156
FALSE,-104.9416804,-62.72357357,1179.924817,524.9758703,363.6368803,-244.2355811,497.7043909,-335.0645816,-709.5726595,-44.6031848,-174.2197714,323.2210808,-349.6573099,366.1124071,-107.8861036,-139.9226036,-161.556851,209.5384445,591.1500131,-36.14559911,667.2821221,-112.424336,-413.9587766,-363.60989,-209.9946707,694.3030732,-340.8306464,-288.5961521,204.0605605,-32.96048179,337.7442504,-343.4273798,-149.2914763,43.29318071,-12.62667257,183.2562146,36.85665984,119.9590219,-127.1706533,-38.96029987,58.28095911,-190.1500022,-67.05494964,-94.0359879,120.7621872,174.7511637,258.0356576,69.6415186,345.3501829,132.7697643,73.26717307,-70.28166667,158.2760247,-179.4201314,-107.7210642,-10.939042,165.8551715,116.9827725,-170.3501842,156.4526706,199.9326608,232.8411339,-35.98158177,345.418076,24.46057955,-58.13442434,130.646911,85.98054406,-75.36715695,203.8616966,-37.9469682,79.42716045,-26.47613969,7.906112957,-51.21545998,-150.714251,-59.31336751,-150.1511625,-58.29350489,-105.484647,-41.08355361,85.85065542,-162.717705,-253.7617646,-88.99989815,129.744447,69.14232824,-11.63360421,30.2400129,274.9511779,3.124840734,53.18261371,59.06730563,-92.54270635,-46.17029407,-35.71132838,-30.17578025,46.10342788,61.92780121,113.6544758
FALSE,-680.3307068,-153.2649708,1040.695176,-284.6222616,110.4022197,50.70890118,-57.0217802,-315.651305,179.1040406,115.7673223,126.409771,280.6910461,-149.168052,-445.0667717,-94.49885336,-70.49014987,-98.56093981,-156.994606,215.5261248,-16.98780486,-31.49824324,-244.6645127,184.6176486,77.72518825,160.3388376,101.5072898,313.8437603,94.29744876,237.9739016,-148.6925774,8.171322184,48.6003471,-81.80432103,106.9320825,118.6958644,-289.9719827,-96.44572803,-13.1133103,-117.7727749,62.95671252,17.25724615,333.4403237,-62.38427193,11.75063791,7.369920617,62.01586356,-87.95540828,110.6158749,-173.6072302,35.15892455,24.54668994,127.4427202,6.42461249,-88.56347532,-194.3864301,-16.92890609,63.4026651,15.0453309,101.1457316,-64.32836074,17.58744512,4.275201401,-119.9304411,-70.95034814,113.2388038,-103.1891712,-41.24525675,116.5224754,56.53937089,-106.4468422,-9.418933389,-79.81202282,38.72704645,-48.14912604,-69.29729215,35.9608567,7.554958349,29.41003279,-82.46338252,-111.9586915,-41.41148265,-54.23362482,-32.16718518,43.29821327,67.39605548,50.48358451,-73.13675907,90.55278338,-81.89906692,-8.831768438,139.9133316,149.1542261,-20.87559164,-20.18771166,-48.9416474,51.88862251,72.61091068,-45.60466575,100.4121545,14.62269492
FALSE,521.9583268,909.6777976,42.18590154,815.6599622,-355.0469674,-365.0417078,618.0371524,-415.3797524,78.10883208,-671.2285988,27.57735462,-19.45171246,-77.3792577,120.1632389,-255.9493782,3.814258439,-209.8995316,-400.6537565,201.1214576,-24.55302826,487.7429255,-258.9748928,-401.6210639,-268.4437909,-287.5248913,-422.9307512,198.2216187,94.3500785,-223.9131963,86.13673511,-84.92437631,-39.81181267,-84.6889293,164.0799631,199.6429449,43.88863087,-246.8175195,75.82312535,-93.6359775,-31.20948447,204.1665971,5.67925892,-37.81486731,164.8911963,-12.95392521,-186.8955513,251.6024403,-18.87717565,1.617927179,-26.78716333,-39.86581161,155.4986897,-128.4732327,48.67602941,129.6282116,-123.3456898,-84.39576566,-61.7226412,-35.78986582,-236.3996708,184.0895305,135.212902,-15.28799543,5.4120625,217.5281158,85.92742769,-215.1736521,88.19292369,-115.5247743,40.90546045,-5.49045245,66.29650392,36.87281736,-65.34870966,-40.05089918,156.5180741,-65.82703372,-2.221083237,-40.00010839,-42.7848387,103.3768616,138.3118867,-11.54228235,46.3212163,11.99423698,137.7140772,29.26996354,-199.2338665,-6.837054116,-22.56372653,24.77682697,-86.45601981,141.7291138,-63.46521506,246.9809655,-10.19432016,39.27019777,140.4759771,-97.36409085,109.45573
FALSE,1059.110013,312.9732747,251.5137878,-714.8440758,-406.4030645,-445.9161189,-140.2948546,430.2095459,0.863295491,62.88463848,-108.8108984,286.6771639,-43.74936159,-140.2555217,422.4151244,-444.7433276,-239.9242448,-170.7596868,208.3514743,154.3795899,-124.4032159,166.1825141,135.421037,-81.01507521,75.97304735,59.42551304,-9.925497648,-137.1897148,-81.50678709,-107.7320761,135.0567915,-39.49764956,-95.43348803,-140.7717925,-235.0857569,-214.5541116,198.6776628,16.28761887,-120.0774323,185.2088994,31.55423809,-95.74918028,-198.6878792,34.76633291,-127.3551658,3.020917898,36.24070758,136.7095117,-53.35591833,24.55175714,-90.43208513,-162.8022982,81.90247037,-56.8078367,3.896307298,-98.47334417,-9.062311396,59.9046697,69.68202817,2.627310728,146.5759291,-181.6456727,103.0173919,14.18511368,-27.24604292,36.63634228,-64.31349067,42.60444697,141.1997659,45.12008168,96.4792041,32.42610481,-253.3283208,173.5176966,43.08105159,103.3800328,31.71015315,-22.4053892,23.65187582,-6.621885929,89.67110712,-6.523837936,-132.6082564,70.11842389,-6.784720878,-224.0485477,-24.24097,44.96065503,158.3845235,-16.44858105,-139.9523597,8.547277348,51.69494442,-14.0466766,59.58624509,-2.565275733,57.72738959,-23.509475,-49.44509322,103.2061787
FALSE,-789.6881101,-25.5360042,854.4722949,-176.5424901,225.0812008,165.5679176,-133.9940357,-480.4553322,161.2256393,92.03254484,-36.26763922,276.3335868,-213.0016757,-537.2092793,-91.15345218,-30.81505242,-15.09296541,-218.3149967,231.8440952,9.74558213,-146.729779,-232.3856743,163.6572209,178.8522694,177.9747819,162.6725026,178.6931662,106.8821493,262.2253232,-122.3184089,-132.0158121,84.98117444,-183.4458118,60.63612096,128.3448454,-240.3573245,17.89405866,73.30921978,-89.60869579,92.13665837,-68.28642448,389.0651441,3.73257211,-47.12743194,57.17478003,23.61768251,-26.14838949,68.16630918,-141.0712433,107.2158274,10.46329319,192.9258576,-40.03674905,-91.57227952,-54.66985242,-51.99110573,109.076575,57.18940185,82.41395809,-46.87867553,-13.22862601,-39.71933445,23.16603073,39.42290276,105.2959213,-48.31029755,-46.30652714,-50.36756096,55.80060477,-113.0084738,-13.22919829,-16.39492926,-57.73908093,-63.64103154,-56.82018817,20.1784388,59.79551994,-14.93808509,-87.8589036,-117.5489109,-13.92114356,-71.30365603,169.712043,35.68626633,-5.618565632,-38.77456644,-65.06644228,-24.56925917,-35.99530282,-29.88666942,25.06010816,-59.76588943,-43.02327296,-59.67884016,29.5196219,46.32680791,-10.19093856,14.92255469,-0.650748738,15.98741485
FALSE,11.74211173,-191.3335761,125.4284211,129.2850562,-466.933769,793.3941322,-238.0905724,734.2436548,-138.4724065,103.9932142,-41.48928117,638.0416764,80.89486443,368.134451,238.5151181,-293.050675,394.4984251,130.2871131,-125.5082892,49.26012185,240.1254585,316.5918958,319.4528868,5.654149206,336.4519133,231.8993292,50.85649122,-12.96506021,-95.1094315,-236.1922282,175.2464022,-18.81350857,123.7361672,-77.1167991,-126.6926016,76.10462363,48.9509452,-180.1230844,79.05687843,-186.7368334,-3.39868208,-48.32728353,-105.8680414,128.9846986,29.75510624,-63.21867368,-103.4820067,46.22193008,-128.8029611,97.8393321,-76.91322914,-114.878172,105.1615084,9.241410735,194.5014477,75.22613577,-78.69764625,172.1950212,73.42736181,74.5860472,200.4148939,68.63918381,-101.6773376,154.5035914,54.49884369,-99.19601304,-184.5306498,-31.21852519,-114.8720765,-15.99546942,185.5585449,-153.6904698,230.9649596,-26.47708874,-120.4163094,134.8822091,-59.27144249,0.733853359,-75.56252298,9.214273162,24.67370039,61.25607079,-82.18197764,115.4351614,14.61336053,-97.23199134,-172.4103233,45.66256038,148.3361888,-143.0012674,-151.7633828,-81.05292347,-9.269151477,146.5253616,117.6135449,85.5755329,22.30991743,44.49956031,-5.729856844,-80.6755704
FALSE,496.0193521,524.876511,193.954359,-379.1045371,-505.7518909,-322.0512516,279.4023671,-595.538882,-143.5541658,594.5883642,-146.5498691,107.441773,-699.1281243,-184.9709126,39.05581893,-21.59108131,699.2778615,119.2278056,386.7015385,-230.5530516,-84.71799044,246.9000123,47.40208492,-25.35972759,96.42974565,22.41961523,-31.69961631,-268.4650416,129.4539428,-533.3149086,222.8686442,-253.1836777,121.0696801,159.3839981,-178.8689038,-399.0086703,-132.7492329,-14.86171161,359.228666,298.862517,16.1211866,-106.6114451,27.26948963,251.7457679,193.7373544,-89.51740571,-92.28521141,307.6621586,150.4523458,28.68601929,348.4983862,62.77413987,-282.0170746,-253.27989,69.72692953,170.5654534,-139.1897236,405.5089157,18.61882847,-16.31897595,5.648596125,38.90967766,-73.69634697,-157.0334589,-45.45739122,22.89833149,74.28803869,-102.4079369,54.31997445,-199.759918,70.00690113,44.34288069,148.7537733,-43.5292883,32.48078673,20.49053697,-192.2268317,31.54846295,154.130262,-26.54102989,15.62007828,-15.53417252,73.86965839,125.3161231,-111.60075,151.6004027,-49.29580088,17.67307179,-30.19182461,-80.83313149,-148.5623694,-152.6137588,27.22305181,165.8794616,33.51571039,-132.855072,15.99271099,-113.749097,-95.37071864,-101.0021926
FALSE,813.5824402,770.0259364,1052.311258,757.9237661,-740.1562374,-280.8420624,175.3606057,-324.4019483,-217.996455,-86.7798731,723.4883678,930.1337162,-40.55939393,-213.9670837,-114.8923758,-348.5966392,241.857883,-171.233944,-420.4396813,145.2628468,122.7379092,187.9126088,-43.33373174,-224.9345552,-248.0181524,237.3018679,-307.4262133,-123.8082191,-204.6764225,-23.46784162,10.90981352,155.9141484,326.0081396,-67.90168038,94.69826746,-215.1525465,-145.5097058,-159.340453,-111.2979267,-4.343157282,255.8412132,0.36561783,-110.015694,-223.9273217,-7.525462218,65.35077963,32.39159011,270.2994905,-15.4905252,-183.741732,-95.40903363,79.65415076,-0.781237804,152.1300002,0.971648143,-33.85338525,255.1469355,-60.55955777,58.82827142,-160.0251249,-192.702138,-25.86355854,88.35159272,-113.2417311,150.8640799,-38.15270161,88.10469404,6.37112829,7.820423188,-133.2280533,-130.9849888,36.14407961,48.54521282,-96.34918867,91.00631226,-93.50148053,122.2354324,31.17208827,-40.19413981,72.15140081,-213.9337242,68.80252498,-14.90043021,-113.3675736,-66.81967354,-242.5129179,90.61133828,-44.2950007,31.6917573,-60.9562594,20.7544551,-77.79730437,-258.8117176,53.13910358,32.58161598,-130.2638907,-4.210879119,-36.47289817,-8.856267842,-25.48995072
FALSE,575.0979644,365.741513,601.5046651,174.0716509,-71.45849583,382.6666685,206.9596242,-262.7426704,-33.93222452,-111.4389306,323.0744582,1233.950934,37.70655847,-148.398614,154.0499618,180.2491472,-123.1625966,-41.17288458,563.5158502,90.65522827,616.0764494,429.4645952,26.26013458,-418.8379185,-243.7470054,-50.01617413,-29.29475759,74.82555809,-33.51412902,243.833848,309.4053984,305.584562,293.5439192,171.7718191,-106.990192,-110.7154168,98.35537759,131.1979507,-164.7810076,-158.9643927,82.0567583,61.78262054,-231.9205405,-318.3713622,177.9366679,-98.24709611,503.9580757,143.6227531,-140.3974515,252.7653182,-14.29824508,-49.11500568,-328.545805,125.3519003,146.1317089,68.12358758,115.320992,-269.3028261,-35.9074169,-237.4498223,-96.4173635,124.5267175,94.53337498,-124.9059066,-110.4833854,-286.7318902,-102.8595101,-162.8343488,82.11145245,123.1819449,322.8100701,114.3140204,145.7151639,-148.5235702,36.84828622,-62.49083578,-18.84052782,98.91788416,229.0003106,130.4408618,40.00123741,94.59735036,24.41980577,-41.474271,134.193467,70.99509274,-103.8530881,168.4880436,175.2763658,102.1208728,57.80924522,25.3826906,-76.90689198,-132.3452735,18.85050524,-71.47216715,-20.3134267,-93.86037122,-13.16763806,-45.90886068
