pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100
0,-163.163253,354.2342587,78.83016816,48.72187552,-460.8565936,334.1214833,82.02244447,592.9102422,84.50149689,-72.57780135,-261.0089453,-190.5550918,-174.8209301,-119.4655633,-105.1761368,105.628526,-227.0960714,-304.168969,-165.6204211,-5.695219205,153.6290819,95.3242364,-189.9262957,31.22548421,43.51952438,268.0252478,-15.56376117,-30.83817107,187.0131463,-191.5489187,-69.22261868,36.5690749,-120.3615524,-83.77919837,141.7248814,12.46072941,-17.72908994,43.95187818,-100.9836147,-51.03376335,-29.75053275,14.23019285,-34.97213161,97.87297068,23.81948777,-118.1214715,-200.3500717,27.4183582,147.6508593,-192.5212913,-109.9513152,59.53215247,-45.7994845,28.30733261,74.53737751,-183.5342512,80.16954895,-65.63933803,184.1038276,14.11734142,-52.67648992,-86.73303276,-156.7372356,-82.11620339,-7.056513985,43.7731207,-14.78035389,53.13360637,-164.3303281,-185.8482246,41.20073917,71.55326747,69.91386745,13.07989633,-11.10735668,11.14152459,81.99023023,85.99872379,-81.47851414,82.38822816,-19.85535462,34.5597533,-75.62276045,-92.96608983,78.55522735,-1.918530557,-4.481543097,-64.84189685,59.02232286,-10.05295838,-0.010091783,-63.53682084,-12.7484691,-40.55332788,-21.43907043,-20.81473558,-68.08189562,79.31199444,109.0283405,-71.85299846
0,-124.3306678,-89.4990974,1014.215065,239.6220293,263.7988275,-211.0105245,396.5260919,-196.4925773,-606.5095395,-20.66118441,-85.40973806,254.9932958,-290.1788617,293.6514698,-63.05201707,-76.93208121,-153.0852198,138.4582087,534.6541566,-102.8214798,499.5914886,-116.9831574,-354.6449163,-238.6933151,-211.9505524,478.590346,-320.5017938,-203.0595893,68.31105217,-10.53983419,-294.5410444,-303.2779347,-28.77190953,71.04796246,21.67504865,-93.80077935,73.08702635,124.3902903,-135.6788962,-94.12894971,28.92681847,-155.9783972,31.80305536,12.98850229,53.80167922,-142.1957819,47.06648378,198.8596943,207.1959362,203.2259045,95.10062959,-68.31106708,-56.90486217,114.010643,-136.070344,57.81312504,80.20066656,-121.3789994,34.30091739,-125.7910358,199.9025997,-67.29988931,207.2005224,-5.682724124,-244.3073071,58.11124775,77.55411022,79.17100911,-62.21154419,-24.37966853,-124.5705109,-14.9239137,36.77824116,14.48229556,-4.85275932,-15.53119872,190.2243018,36.10525295,-161.9173851,-103.2631385,-5.267150917,118.6401665,201.0140376,13.08241752,-37.67624439,20.0357881,221.9710797,68.88778179,-74.02004255,-52.87531662,-79.46692608,-118.3508497,-41.43679939,-64.83398986,14.45699876,-85.49557355,-10.00090672,110.009018,-89.01291873,-27.92632299
0,-448.9330973,-12.16479885,739.109316,-243.1650509,90.72833721,44.89216869,-27.7466346,-279.6879564,131.158767,74.9184782,108.1834868,237.1810012,-78.5572087,-281.8281592,-80.59455081,-33.51478117,-73.66783081,-123.9581606,127.3586043,-28.87859847,-16.98158547,-186.2959672,138.1032238,53.33036963,134.7169399,102.2643774,185.5030422,-9.002991516,227.3255251,-130.0522822,-6.461572675,34.42402183,-33.54631986,98.97110177,4.634437926,198.2306428,-141.8158265,-10.48557129,-28.80315038,33.73146957,58.40846626,251.3912511,83.7768428,-6.927031094,0.506709878,14.05055799,75.18045041,-14.56657013,-98.30459598,-54.25076506,-33.94354676,78.83472864,78.3569447,125.8413071,-112.348191,-98.83170655,79.66960096,7.914029206,47.35579639,49.52103925,-72.7991715,-72.18355946,26.1743421,-59.62684081,-20.01445858,-84.05915135,-81.07065412,73.09112261,9.015807763,6.035879257,55.93202682,63.51402862,-30.02448703,-35.15111717,-18.84352181,-63.22293377,-52.9352491,7.579494753,-0.799349628,-96.29031971,-8.167570713,-53.69939823,2.132239572,-57.7239718,13.37181234,69.80902186,-35.94323762,41.38787027,45.99055008,22.56474295,-69.35223131,12.321668,-104.9408417,-84.87040378,-5.403727087,7.876506027,38.51505604,-33.03884612,37.25732108,-70.0989239
0,384.3449172,691.0277671,47.59294273,681.4864226,-232.1178135,-270.9951775,489.0836485,-288.1049856,-13.79386019,-559.5539732,13.77586693,-12.16303451,-77.51272298,123.0178401,-157.2708313,67.61261433,-110.0198658,-339.5024228,161.6020694,-70.91754433,368.9702001,-198.1696133,-318.8748348,-180.7766705,-215.4837462,-367.4229084,208.0202461,91.39168446,-132.9914561,57.16183428,48.54774665,-13.12794627,-10.57133983,168.0638874,143.777595,-24.7891933,-190.6087618,76.61614811,-72.63324362,-21.77129722,157.2671452,-7.706167998,-9.954555445,99.37864207,46.15649669,127.4310425,-166.4965888,146.6040674,11.68148894,-4.927434901,-27.37095421,138.2763738,-14.43284379,-151.7872374,42.63542934,148.7379068,8.055955592,91.9702154,-139.9607699,33.60519784,-45.86314157,-164.4017241,62.53568133,48.78324249,-8.321445248,-194.6186427,10.0022073,64.71645283,10.01697501,85.16766396,-113.4415901,43.42434783,112.0733004,14.47995043,-43.0432776,14.05263053,-112.6230617,14.16275111,-46.3247941,-23.08062664,41.93058282,106.033577,-52.72486384,-14.28869305,74.40520761,96.86328107,5.594577625,14.94720508,-101.7492252,-54.06224435,15.55501738,-41.22153159,150.0577076,-92.04934319,151.2903941,107.062732,-55.15462314,66.74130289,3.852092727,76.15233014
0.007,831.1236828,274.0095117,110.8759782,-527.4591314,-350.0018273,-367.0134455,-115.5512322,313.2774168,30.42209323,62.39847362,-61.86885263,225.429418,10.02973885,-119.3132744,322.0649123,-312.7208949,-239.3061841,-162.3115949,176.8703976,109.6438769,-92.03396901,103.0982371,101.8303647,-79.17889176,49.25864794,59.85949396,-2.407315221,-81.66888104,-88.32569925,-55.37640166,-106.2047725,-73.76512942,-117.8002877,-82.76637345,-245.9337503,115.7859496,121.5256988,34.00999069,-63.93532695,150.0149431,1.467853982,-41.67696208,108.663916,109.5274196,-102.7763523,69.0455641,31.6488097,77.09901889,6.74613649,-17.11248457,-93.34179622,-144.0354243,-30.52547819,52.42657218,-20.35197859,47.82055515,11.8739927,23.50353031,53.20751618,61.25026015,72.06517806,-80.16515424,-167.9520069,-34.71833915,-2.599234963,14.88737983,3.861608113,72.6782867,137.4417342,8.993269744,9.368663984,-42.40222002,-19.87725939,198.1806856,82.3233336,108.1124079,-48.29606153,2.47251183,3.29014534,-17.35112159,79.97525673,29.60977151,-18.00775069,-130.3722276,-93.63366222,-98.61783717,-45.4771232,-122.9329479,125.6915758,-61.93463382,41.97311279,-112.0441344,30.61880056,46.5271202,29.57741058,12.65787924,-23.12525914,-26.71887627,-75.80643116,6.400597319
0,-586.3627325,32.56654159,631.6109441,-189.7762006,174.6472587,132.5256141,-100.7757015,-401.432452,105.2916555,48.66354226,-7.925731063,254.2561472,-133.6009153,-392.4175333,-83.13553177,-10.67632625,-12.98025642,-182.2264218,159.8355018,-4.714738209,-111.5946927,-192.3629134,130.6569701,135.3350906,136.7457311,142.9878825,118.3682915,31.9306964,226.5389058,-96.02456075,98.09788816,26.82512516,-132.6482157,88.26880393,15.81179289,209.0007404,-32.17653757,54.87515729,-34.25048937,26.03751442,-5.136076952,298.0302871,91.63601994,-111.1650433,44.88089737,27.67889068,49.85941186,20.20164005,-113.2885865,14.2373696,-40.14543777,147.886837,57.27771453,53.04945183,-65.88645066,19.0655579,106.5884331,-35.45165325,29.43449984,58.24357725,-12.64418444,10.37799324,-26.81790812,-41.11766076,-56.65107253,-59.77410578,-21.46913215,-22.31327989,44.4088547,13.29783903,91.60563341,30.97221233,1.162017374,27.5101363,-15.37647388,-65.80332232,-28.71817693,-71.04341987,-27.36066167,-96.10666703,-2.780028335,-89.62378886,-57.70638858,75.97699824,34.67342442,-16.28142207,12.44924376,-62.98190378,-10.79541008,66.47323854,-25.39248637,41.84896623,16.27916081,-1.394113626,-1.437273356,-6.012477067,7.613656673,43.35050575,-11.71661555,9.842355619
0.001,-29.91788364,-188.4817141,198.7354855,14.08648397,-390.9031298,536.2598545,-196.4216677,592.1432612,-73.27398833,86.06190786,25.17168608,433.3907792,87.0926128,231.7146108,164.4016381,-256.2956676,236.327496,109.411639,-72.70517722,44.26966765,153.2265032,225.0395485,222.5582499,-20.81735201,207.3602834,200.1135999,53.04498013,7.583660223,-102.6475171,-178.7641621,-104.9134061,-14.15993646,58.84794645,-104.9682793,-77.42154371,-59.80644431,54.05711329,-130.9874879,-21.38061859,-124.8709441,-12.8252642,-86.16667861,73.08301241,49.35706152,60.43854431,147.1212109,65.14815704,-38.96439414,-101.4261137,30.22587581,-60.43125435,-87.42650498,-79.55063123,-38.24888556,66.79612386,109.1587132,-137.7369549,-77.75653342,70.75802435,56.77259127,126.100928,-97.65167467,73.24093848,-55.6585193,-61.45859034,-30.16951992,-86.35363069,-43.11483117,15.73367975,158.1282449,-132.5197052,41.63166486,-39.40995808,-132.1665873,-24.54229728,-114.4551673,-155.0267291,32.32829606,-36.39283224,-17.14215344,-13.22284961,42.17707378,-14.45966969,-83.5124133,-83.55410326,41.93565346,-114.2704936,-57.57386268,99.30098773,76.14299066,114.9439504,-13.77743453,84.92193059,91.01488891,-45.72383482,-84.52448432,-63.94848272,49.9369845,24.3409563,65.34066316
0.007,388.7566257,444.2204413,80.10772696,-239.8048949,-391.3563425,-232.4567862,229.900001,-474.9075468,-95.93176453,445.8968844,-75.68677768,145.823625,-540.1377461,-167.4610743,34.22848189,-89.19227812,484.3668792,134.714009,263.0024938,-183.0187026,-96.6169634,177.2842783,50.06144174,-8.424331138,76.92309574,19.96159089,-73.90673451,-250.6863965,60.65838301,-382.2600541,-160.4305334,-155.4773832,122.2751581,90.71005299,-234.8930284,173.5962476,-150.3283179,-53.95310764,254.9472779,265.1843262,-68.23168621,-82.4385634,4.746700107,55.46086699,206.8099192,214.866562,121.5186806,4.78608184,137.6200944,1.061511283,207.0859636,114.8054581,321.8093676,63.53191302,-62.07852327,129.8824074,-168.4379559,-143.98081,273.1870589,-13.39248727,-125.2286248,-78.34733623,10.63650549,44.42300653,52.29948324,-5.2636884,22.76655013,-84.30047176,35.58568813,81.32051966,103.6335238,-46.76888867,42.85998948,-134.5132284,-77.65863557,64.13140672,-15.66457547,152.7416064,28.71571515,16.83765604,-102.3369774,-19.04389031,-138.0352762,-53.16069018,-47.24018385,111.1213626,64.65386081,-34.0525781,27.13458983,-21.22779307,56.12098627,121.0659862,94.14280067,73.38006044,-135.5234162,-6.00331026,-115.8999037,-3.355253962,135.3341439,-1.68552335
0,625.716099,614.4697818,851.5016892,573.6157501,-572.532637,-232.3789208,125.6436934,-219.9553106,-212.6866992,-85.32258901,650.1913826,683.331554,38.18373672,-129.8225341,-110.709961,-308.8488203,140.1052175,-149.2317319,-297.9427332,124.1593353,91.27182877,117.2549741,-56.55357837,-164.5781475,-220.4689476,164.4438955,-228.8105569,-53.65889119,-227.3585728,-10.18130444,26.36640486,154.2208542,196.9118803,-163.5865099,-37.20969987,179.1777421,-153.9120993,-94.43055197,-158.0493221,31.04391012,180.5675498,-92.58319138,143.0040974,-142.4348404,-38.65954607,29.42255772,95.90788136,110.8566748,88.62096209,-176.5418699,-81.32367548,57.26323159,-43.52625942,-43.81312253,76.85058541,-83.76179643,209.8576236,-67.32806722,-55.87905171,52.12415313,-147.2442544,111.008556,-70.17107713,53.55290211,-15.40945219,-120.2044528,-27.1763282,5.19197752,-98.45222802,-60.9210153,148.4303896,3.234422404,9.853290873,-64.88305901,-44.37939802,3.243116516,53.39424513,-113.5002924,67.70275003,52.13194835,-76.68741905,8.7873423,142.0354717,13.77787117,53.58833837,-195.6107064,7.06917569,-121.1389915,-3.283072369,35.47471306,34.35898356,7.521228991,32.79552324,118.9527069,53.41132922,94.50725817,23.46445808,-2.865227614,105.7480476,-33.25714114
0,430.0607005,279.8684374,479.573197,79.94119941,-72.60729799,288.7651176,148.2724341,-163.2473433,-61.96582821,-109.7084894,343.767196,925.8918722,112.3643681,-75.85778253,101.9531198,166.0784202,-71.56819888,-37.5074135,465.4520481,33.72975934,452.8052067,306.7950356,20.56898159,-321.4098287,-187.1938172,-73.7254288,-19.61052763,53.75757969,-10.59400314,138.7759603,-215.447926,297.4511,199.8048901,-22.30846225,-164.9155148,70.40136215,36.28616099,77.51027053,-94.74952516,-166.0194564,114.655718,-16.86835859,223.4332527,-155.2276626,85.08684435,-66.65330316,-228.0061833,382.5473697,-61.16488168,107.9845194,-129.9424569,-0.781279632,251.4510304,-20.44394055,227.3703066,-107.3914139,71.19131962,-2.755007738,-177.8951762,-17.47110162,-198.8634642,-5.715004792,-24.78179545,153.6057709,-74.55302071,61.51572104,-194.5809625,-147.1114713,203.0187866,64.56243425,-156.3775436,-150.3662424,31.63415685,-87.57118394,-110.7886742,24.54505901,47.15136243,11.80259405,131.9406302,139.9463928,-53.32936038,51.83773191,5.997134104,67.20431451,-25.04916267,116.2675175,-57.02673268,22.55423698,142.5766269,50.60974423,-95.70727638,-123.4814437,-30.47781827,6.411676148,41.7168012,-38.77536888,77.2473216,-45.2882214,-49.80792289,66.90660119
