pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140
0,-151.9526509,281.4066533,23.12875921,31.31539006,-431.0957273,254.0296875,98.5064044,523.8150748,16.09761049,-136.2712613,-133.82563,-203.0192378,-189.4615948,-148.9534261,139.7284217,-0.312806099,252.2930558,-293.4007766,183.6783795,4.246392569,32.63490637,50.95868674,-157.1275208,-28.22350814,46.97450891,-0.911907892,216.5131944,79.49629755,51.9863061,128.6969561,-152.1291742,-89.46109208,94.70896313,-65.64388169,-59.23523255,109.1248813,-0.157023767,-13.08994966,43.80308682,-60.78127254,40.5220376,104.3994624,-8.471186611,-47.94304033,18.81518789,94.45657852,107.2082428,29.89588135,111.8497016,-34.27170631,-157.4022724,-31.10594181,-91.88679828,-21.89811507,-115.0993557,-70.32720497,-31.88711404,96.25348005,13.14625378,-95.00869641,49.52667049,81.85043664,-127.7012582,-95.5452097,-114.6387814,35.61853805,-83.59725231,101.1082042,13.8071353,26.9206426,89.16894319,-165.2962002,-58.14554181,-11.97314685,-19.58527828,55.64631977,71.62692603,-64.28914293,22.36040935,71.00141141,-9.970488003,2.318737013,59.15338072,-96.54279927,-118.9904491,1.721269725,11.27957864,-23.78175418,5.731406192,-26.54495889,-36.23842045,-27.03570296,-7.330219176,-23.7993547,46.15512111,18.65737703,-57.07942141,13.0627755,-80.00696962,-68.01875262,-12.00065398,-4.304882253,0.508271798,-0.28384725,-0.152008353,-0.796887957,-0.290402265,0.100115613,-0.6489586,0.339960835,0.313438946,-0.24493975,0.341703386,0.04222015,0.013504874,0.521105073,0.204647279,0.518655426,-0.207527243,0.023267132,0.007747362,-0.287891797,-0.186686562,-0.265409146,-0.275250259,-0.18113805,0.352610797,0.358824646,-1.092720944,0.229882658,0.040160116,-0.82609669,-0.404916342,0.388026214,-0.155081252,-0.231949817,-0.393953221,-0.601392832,-0.563467173,0.188836492
0,78.27025392,195.979709,767.0034811,232.3254906,225.3442316,-100.1434529,291.487184,-333.19549,407.0990373,-99.81925202,-211.6130487,274.8837992,26.94667135,-219.1761231,-31.07988196,-128.5684452,-6.4926131,71.5448313,68.17196632,-291.990951,-436.1556964,209.7765011,-159.5085279,-350.3268394,-30.22473162,-328.2010551,254.9127175,-77.52666928,-165.9175845,123.5745396,-185.73605,78.62421658,-172.9441423,-2.112367814,-149.2963338,24.53606744,111.0539543,30.1835145,80.60865019,-69.44158869,102.3641283,90.4117213,50.40285015,-41.8904141,40.26403408,103.2554957,-31.7884071,93.78545801,50.57086329,206.198906,32.63609605,45.23100302,-57.71366896,84.63305639,102.2364011,-72.58376013,-35.60632904,76.17321523,93.10376992,42.27830478,1.643362102,85.51374263,174.006264,-7.338139047,142.8524803,-188.1271666,-89.22555031,88.31998852,-12.76971668,73.22125965,98.21954938,8.274166165,50.28088,-13.39656962,-7.191482402,-31.33638857,51.00904863,21.6015134,110.1573465,51.21744905,42.01771138,-3.585011421,15.21246301,123.2423797,8.640938459,178.4823,-81.04324362,-95.00620154,-42.72676604,-14.25084168,74.10133771,-72.66255323,-99.36355275,-117.0777829,28.52974044,44.64816847,-93.56087846,62.62567764,69.10443541,60.85233174,77.02813014,-3.064702572,-0.977014484,-0.595322434,0.871030252,-0.174580033,-0.312750629,0.786947777,0.281992532,0.002399813,0.282906024,-0.242953762,-0.288338258,0.65942603,-0.284228765,-0.245094346,0.10193418,-0.272335573,0.436863766,0.240204044,-0.205635255,-0.846691867,-0.215190973,0.21314621,0.131208685,-0.979715414,0.813037206,-0.135558102,0.745609967,0.295325917,0.772923283,0.415386471,0.425999803,-0.020385324,0.02336344,-0.024999845,0.476939017,0.196986586,-0.565950605,0.239196639
0,-504.6314477,8.632785331,682.1965603,-341.1898807,-37.79244376,9.082790128,-98.90457726,-100.1350674,-129.4186387,112.1304447,168.7944549,-183.3318132,341.6041351,-126.5103258,84.13676457,-90.60594484,44.40602914,-122.6371508,-108.2179172,-54.78114242,-12.44813062,26.11566049,154.24923,-67.81409896,85.77165891,66.28987377,95.84804091,222.2702866,98.24638918,66.01706812,-60.05373114,-54.59722653,-6.801882282,109.0292733,-24.24562606,24.54288793,-196.8163667,-62.88846954,7.791939344,-91.21778219,-90.92908257,-136.5186278,-122.1589899,-62.58191507,32.11951573,7.576623527,-39.12359084,37.95346929,-73.21287529,-103.544196,49.47222344,-66.84054663,-28.73635897,-29.66127744,77.12964298,-123.2886587,12.98499638,21.1386257,-7.683775096,-44.49015998,33.37761263,-23.12038517,16.9943115,-82.27734625,5.355272378,41.22714345,-75.93368822,-57.40655822,69.7874513,-10.51740349,-64.71637816,-42.6140703,-44.55434749,1.523738195,32.65802021,-44.07906679,-21.06389859,89.21518883,21.03999122,-10.86130257,14.94105747,-0.286887356,-25.99747811,-21.17096358,-15.54026565,-24.94517985,73.72681364,-58.5474166,18.48170398,-10.88424885,65.5044236,54.36480246,24.58048639,-65.08431189,62.22729952,-28.47154372,30.70229458,17.18441456,-68.02928531,45.21824613,16.74017572,-2.269765966,3.262602322,0.803532004,-0.192668521,-0.137833093,0.560985175,-1.321922341,-0.261830297,-0.228028981,0.537173453,-0.680466122,-0.322514126,-0.80315291,0.519371017,0.232077744,-0.340035862,0.786056017,-0.837591102,-0.032603558,-0.618543642,-0.595986746,-0.278048773,-0.512135392,0.97099143,-0.498846698,0.538825904,0.164558705,-0.016660732,0.110917403,-0.353357478,0.458643154,0.327468703,0.086558439,0.496997732,0.258814158,-0.401878337,0.242086551,-0.716504653,-0.367574609
0,399.2128051,521.5075601,-11.87266963,552.3156641,-138.9400834,-233.4903781,424.0327364,-278.5946023,-156.1734333,-342.5984853,164.0934003,-142.4622876,53.82354546,-57.61733968,-81.45607897,-243.0342931,163.6458916,-285.5834546,-243.8026117,7.591678126,-47.19713407,395.1607049,-265.7341578,-37.26649348,-285.4130028,-110.5645299,-135.7768136,7.058120749,30.31686345,-165.2437884,111.4479249,35.33133154,-10.6676064,161.520466,-22.56082095,115.3726895,25.23280398,-143.9480159,36.23964219,-102.1154603,94.33652473,-90.73965191,42.84554626,2.369835082,-78.61144959,46.83814663,125.9476325,80.69386039,153.9535901,-37.23258462,23.26327778,-62.63029171,-20.27754109,-88.75285201,-47.26625389,116.6275189,101.2773656,51.54386897,-10.39802508,66.84423728,155.5416549,-69.10287181,60.7320712,24.08051977,122.6995762,44.85582887,19.53695521,-147.9168785,38.10440361,105.159633,35.99728857,1.987173549,-2.957510485,-25.24620107,49.0525979,-26.33088402,-57.3233977,-9.448873969,-48.8844141,39.18490904,61.17400946,-16.00458884,111.8010079,-47.88930488,12.91068901,81.1866129,42.21445126,-8.006454387,-57.92746459,67.94533082,-52.08132006,-128.4992977,97.56783828,10.9789151,51.84201809,24.92679683,67.93822887,4.035018551,115.6841648,-72.97032994,-37.35513703,-4.38523717,0.815577423,0.575610178,0.565278371,0.139970246,-0.213951867,0.005578908,0.40583973,0.826907178,0.030859476,0.281673562,-0.115144177,-0.847734399,0.838452347,0.413946717,0.099693928,0.438874013,0.349524053,0.325760557,-0.41262384,0.283114222,-0.805268867,0.313666679,0.792972518,-0.121742116,0.238637838,0.230527124,0.739174244,0.430424027,-0.123767844,-0.416664136,-0.001116302,0.011866689,0.168823856,-0.893555384,0.425794268,0.08832487,0.081790319,-0.417436676
0.007,705.3599514,85.40518645,-7.052098376,-482.4589892,-331.0861929,-367.1227961,-115.8752852,379.6486917,41.50607728,32.19340509,18.25285927,-208.1759719,239.7743237,-102.0413017,-357.7797244,-85.54269849,-92.99505352,-124.9193141,110.7213875,-183.2498957,-6.578886338,-130.656863,82.81450645,33.14645954,-76.27769959,79.05270463,55.85865048,-60.63417328,-95.61131147,5.9775444,-132.7112474,-41.28888416,-12.73184549,-93.26117329,-134.5051479,-193.6653279,-115.894836,117.3226323,-50.66223861,-103.48947,-30.6032649,-18.04632653,149.2007084,-98.60382631,-40.39511117,-51.0057383,-39.08531306,128.3819307,-12.58799867,-4.873329661,-59.04050059,55.95723653,31.95597306,83.30388739,20.02811543,-27.7190775,77.30389678,30.25513706,28.20023789,-51.22955555,99.79639581,92.23548308,-104.4312004,56.20318837,-22.47934932,-60.72207984,34.7615699,-75.17144878,48.47652604,-120.9323978,56.52515048,59.11009491,110.9760761,119.0855075,-74.30207761,56.38047143,-108.3887539,-53.69263854,-34.59758621,-13.30421483,5.439141499,102.4663456,57.10854548,-38.85099696,-105.205887,-63.37609879,-100.111629,-34.08444005,61.31406699,1.137421578,-52.85349665,-39.13491329,-35.11757529,33.13600941,11.67207551,17.59232346,11.93384711,30.31727809,35.82525757,36.05764862,-14.23110067,-6.206766667,-3.4386406,-0.161098149,0.68426344,-0.394510483,0.95658041,0.194627024,0.064555056,-0.703608065,-0.239549962,0.570588665,0.281187162,-0.108102833,0.892291122,-0.882800667,-0.005569142,0.080431917,-0.519688421,-0.060366202,-0.303195764,0.065585982,0.664511596,0.946474565,0.346036409,-0.162837408,0.269087989,-0.672868643,-0.07462919,0.116350041,0.421871266,-0.366782165,0.782320751,-0.182060951,-0.372447281,-0.080329899,-0.611898548,-0.2236454,-0.97092548,-0.186251291
0,-568.850419,97.11315843,562.4855814,-250.5523273,70.47081869,101.3667857,-156.6565004,-241.34699,-133.0009419,110.8326642,71.21977181,-249.5214191,365.4856838,-166.9112032,125.2678103,-30.79870491,10.83629073,-164.3606051,-115.9575909,-75.45154019,4.910357534,-62.12229687,154.1043606,-64.41872768,182.2224336,37.06107971,90.83045619,167.6096322,113.278713,121.316972,14.49302163,-73.56303932,62.89355266,122.6630915,-61.11175191,26.60558849,-191.4499255,35.61309049,68.56518914,-88.7851352,-148.7646746,-113.7732563,-169.9361274,-29.46972682,60.26775833,16.83818699,-8.094851868,26.72975,-23.60545039,-59.3581522,88.11835638,-144.067287,-2.240699856,-25.28082297,58.58218909,-50.16199468,8.075984412,64.31960901,6.290777772,-51.71164283,22.40860948,-32.82512544,-39.90570899,14.40666893,43.18983782,43.46955652,-50.68590916,-32.1298849,-12.75185675,-57.65892609,-42.61831116,-41.85173763,25.27704428,25.56472104,29.76145193,-63.96954835,-49.30700443,77.81283935,56.87765617,-0.003229038,8.811740062,-21.61408138,-58.85392346,-48.55515154,45.71635726,-75.39767876,10.63470601,53.89711845,-13.46535004,1.776990668,5.026664948,0.074267402,-17.45142712,1.819431754,-24.00709238,-15.52129268,2.781968175,1.310216357,31.73558428,-16.29092555,16.03143821,-3.574504893,-3.438792648,-1.415767827,0.33481884,0.117709101,0.097592493,0.074546444,-0.177144938,-0.371208597,0.331553123,-0.122214512,0.549667259,-0.692049965,-0.74134598,-0.833041949,0.628860741,-0.790454375,-0.018922484,-0.51046229,0.296096645,0.165571503,0.078364311,0.698836178,-0.635217458,-0.576331845,-0.956362608,0.124154971,0.020998562,0.493097635,0.148641451,0.507873919,0.351252802,0.546900094,0.863068411,-0.579643655,-0.120872514,-0.084224604,0.3060667,0.05239948
0.001,-8.183906701,-92.9840746,105.6274279,86.3333396,-324.9826822,458.5328014,-137.6394762,479.1598064,176.654252,-50.06575851,-173.9750042,315.991958,208.4144814,10.08297418,-160.2033734,26.18474189,-327.9676603,80.59628815,85.38154522,10.82908933,-38.69929133,106.2503327,142.0635869,116.9188701,-43.6043265,281.8683057,216.8353841,-73.67562525,-14.07212667,71.63325144,-156.5197235,-96.04417263,-62.01026017,-115.0785329,36.13890194,-29.18578629,58.78769074,-15.85383394,-59.90765454,135.8556884,61.4176215,-27.57780351,41.54554042,-55.05242894,2.830885024,25.81421633,11.70546014,20.6924237,-74.23442675,-21.73537753,20.66436974,16.61300188,71.83153294,111.4476111,-41.90088016,110.2796131,17.68225829,-17.17549347,48.53999772,-113.5080853,66.91531012,21.98380898,27.68325616,-52.44418857,97.24648072,-114.8549313,-50.59123236,-109.3502148,-59.25418239,51.94022843,-43.43341871,162.9729444,-108.3706432,11.77587174,26.23957215,-102.223653,0.406540643,49.1949353,-42.14939543,53.55955319,9.564902019,-7.276980912,47.42646344,-72.93981712,-46.09167744,-36.93529702,-38.9008881,-96.77308998,37.4335636,-21.86243538,-78.81882528,102.1198947,42.26193403,134.4444757,-66.30377391,-66.37490624,10.86494055,1.799755753,41.34047523,-72.12393348,2.531832469,5.708981825,-0.470083448,0.099999109,-0.46975768,1.47428542,-1.512685877,-0.645971769,-0.028047111,-0.180886925,-0.890381298,-0.427859919,0.14561351,-0.476261305,0.403066315,0.465927358,0.02888422,0.075843472,-0.359549455,-0.949310019,0.076675522,-0.315686349,0.70482028,0.055885504,-0.306734809,-0.019659704,0.324188274,0.206571763,0.601021507,-0.011409804,0.980165772,-0.216788337,-0.283386992,0.648581811,0.58685041,-0.233067383,-0.294403187,-0.106595938,-0.102232519,0.301975448
0.007,474.2122446,428.0758163,26.33661624,-107.9131063,-276.4962414,-188.0053204,150.2971824,-428.0620275,56.09292628,313.2496751,-213.824305,122.0603643,7.31646704,-390.548326,208.3578265,206.6706933,-385.5474824,49.10137435,-60.84131612,-73.37568889,-285.6255235,-198.8587201,24.10288095,-19.00182868,38.92074981,17.21214148,-39.98692839,101.8735349,-137.6935347,-28.91674151,-177.9552175,-252.278041,-209.8545333,38.90849808,-25.11734378,-131.1935064,-155.8446755,-87.92911279,-107.3066504,88.87604481,-133.8176855,-108.4034809,138.2136115,118.3134807,-24.91861312,140.331127,109.4580246,76.52551902,-191.6596828,59.88180547,59.97673867,42.13309113,-10.47647786,-195.2254182,213.2241617,138.4047404,-47.61433587,-24.86569416,255.0919102,-139.0228775,0.775175907,5.915686068,46.85144366,-79.17931757,-35.43264564,57.683745,19.72936353,47.86932875,-35.27521945,-41.59635415,-118.0019122,29.85089381,6.588161454,-46.70760553,46.9139871,49.10078443,91.42496299,-35.77605082,-91.62161751,12.44345016,75.45460019,15.6132645,-22.75456499,-130.8002696,34.46134248,47.98087083,42.30318789,-37.34817938,5.499149447,44.01894654,10.3814649,47.36793923,95.54879855,93.68722516,-66.63511507,-22.4050026,-50.6249287,13.62418917,-68.65251944,62.90241935,-33.06173828,4.716428653,0.252016455,0.335782546,0.899323696,-0.829310028,0.161757401,0.630844801,0.267762241,-0.072985549,0.030820368,-0.070700993,-0.907642103,0.248520743,-0.314898706,0.135374171,-0.361959305,0.114493324,-0.377994524,0.097886406,0.06915375,-0.345918691,-0.114691806,0.336914473,0.410507608,0.767799866,0.048345437,-0.517151965,-0.046593714,0.809192004,-0.542469924,0.013396564,-0.674765697,0.093062679,-0.252944908,0.227371082,-0.609227825,-0.036459883,-0.166027416,0.562170356
0,599.9826294,535.3401892,582.1243046,404.8139495,-369.0512791,-159.7221159,107.8668095,-157.9391869,76.76631929,-57.6188033,264.1444947,371.6473191,482.2531786,-70.0544605,134.4410952,12.43495339,-207.4712344,-106.357255,268.394919,11.15617641,90.2679943,42.93297688,-15.43880706,-1.538082774,-149.962273,-126.404565,75.76099263,-213.0583954,-112.946079,6.991118241,-22.48844848,-17.30838235,2.782067722,-75.57045667,193.7419915,19.70767369,-137.4532338,-86.89070295,-107.1638799,-66.82459069,103.6213586,-57.28038696,-8.219195651,-77.94374423,112.6695661,-51.02537272,-51.08900945,100.9487949,-28.55423201,-32.04056497,-94.51814261,1.228916129,-93.7252589,-66.13043982,-45.85665486,-44.55006334,-16.48061044,176.7938674,-68.72429598,21.04337966,-36.23209867,-81.95327545,-39.19207478,31.88650861,0.829603072,124.1278225,-47.87938165,35.61119266,-8.193455597,20.65427193,-35.02380297,-90.86300522,-7.262037776,-28.25682923,57.42873862,38.16137894,13.35659307,-21.52915318,9.041879655,-91.15552365,-43.68997758,-84.49909337,-41.98946148,62.48339011,-69.48740596,-7.594761577,-112.4308243,92.34945276,37.54991791,-4.966573384,-51.92437295,-11.97550978,-47.27041508,116.7212238,-20.24567555,-19.33084358,55.48504901,28.0899461,-130.4539089,-25.33335973,-85.99557858,5.870405219,3.544600603,-0.946782045,0.773397058,0.446036167,0.424446214,-0.554327927,0.228197341,0.134571388,-0.151259772,0.43322042,0.046647207,0.085572493,0.316262154,0.89335962,0.212720626,0.086695764,0.366049011,-0.174248225,-0.351769647,-0.051916754,-0.103286514,0.565991478,-0.4028728,0.718942594,0.352935828,-0.380845486,-0.715301569,-0.419091429,0.910452437,0.866154706,0.056634755,0.226004977,-0.252528122,0.50787857,-0.071432998,-0.349660415,0.156021873,-0.390754618
0,386.5527597,228.7119829,368.487933,15.83948553,-100.3027006,212.8937564,103.295649,-89.15649705,6.324955789,-82.92078331,92.2218594,276.0474159,696.9040108,-54.5808744,-86.95520301,124.6938522,65.30402361,-22.58134218,-51.80569158,-318.6521176,-350.9619483,200.9366782,-53.15211647,98.94018238,-349.1702129,-23.21661865,40.90255598,-69.09581501,22.19444518,-16.55553043,-159.2821212,201.3154703,-7.55984169,39.61548091,256.633434,-139.7408225,-56.26286784,18.70481173,72.92306065,-54.11129277,78.32623498,28.72998754,-35.47108741,-158.6517002,189.6032912,19.7397093,55.92178579,241.0464386,230.045821,34.84290151,123.7855766,17.95334054,137.1312684,-149.9220602,-19.76886928,86.25104902,-73.04159908,79.10881473,-146.9601023,146.4740492,4.117279852,-114.6657125,58.66113333,37.99203036,-156.6743751,79.95052139,-112.9746281,-61.8338589,-79.82532817,-60.64021698,56.14819411,190.1194583,13.46177437,-112.0316477,61.47926819,-40.39380036,101.1898425,-153.7506335,-77.39766026,-87.63662554,30.9851637,-84.06715722,57.35193747,48.87462573,74.05856887,-58.30630618,26.53251918,-139.0909503,41.60932633,-140.7306741,-30.43423269,-58.11087349,-50.95351621,-28.0085577,-4.471911206,-66.12946895,40.60591285,57.57396102,-27.00941989,47.40485808,-53.70020469,6.493016342,-2.328364254,-0.46028241,-1.074898223,-0.055150334,0.374922347,0.042247847,0.331088808,0.145023811,0.130272092,-0.018233338,-0.260536839,0.181860951,-0.217399841,0.058494248,-0.290119534,0.564303647,-0.134281013,-0.514457983,0.263210451,-0.168557026,-0.064960838,-1.453870958,0.366949996,0.204972286,0.109738242,0.246884349,0.264173648,0.144810281,-0.072544623,-0.676931133,-0.522959515,-0.033264995,0.029371745,0.095432362,-0.496651164,-0.262094509,0.175755079,-0.120515633
