pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160
0,-151.9526509,281.4066533,23.12875921,31.31539006,-431.0957273,254.0296875,98.5064044,523.8150748,16.09761049,-136.2712613,-133.82563,-203.0192378,-189.4615948,-148.9534261,139.7284217,-0.312806099,252.2930558,-293.4007766,183.6783795,4.246392569,32.63490637,50.95868674,-157.1275208,-28.22350814,46.97450891,-0.911907892,216.5131944,79.49629755,51.9863061,128.6969561,-152.1291742,-89.46109208,94.70896313,-65.64388169,-59.23523255,109.1248813,-0.157023767,-13.08994966,43.80308682,-60.78127254,40.5220376,104.3994624,-8.471186611,-47.94304033,18.81518789,94.45657852,107.2082428,29.89588135,111.8497016,-34.27170631,-157.4022724,-31.10594181,-91.88679828,-21.89811507,-115.0993557,-70.32720497,-31.88711404,96.25348005,13.14625378,-95.00869641,49.52667049,81.85043664,-127.7012582,-95.5452097,-114.6387814,35.61853805,-83.59725231,101.1082042,13.8071353,26.9206426,89.16894319,-165.2962002,-58.14554181,-11.97314685,-19.58527828,55.64631977,71.62692603,-64.28914293,22.36040935,71.00141141,-9.970488003,2.318737013,59.15338072,-96.54279927,-118.9904491,1.721269725,11.27957864,-23.78175418,5.731406192,-26.54495889,-36.23842045,-27.03570296,-7.330219176,-23.7993547,46.15512111,18.65737703,-57.07942141,13.0627755,-80.00696962,-68.01875262,-12.00065398,-4.304882253,0.508271866,-0.286459401,-0.1508157,-0.825518821,-0.299162981,0.122804933,-0.625825854,0.344566072,0.259454855,-0.216411559,0.341815295,0.022804987,-0.053634891,0.48333456,0.250599244,-0.481704293,-0.088838707,-0.233456294,-0.09464748,-0.439243061,-0.422999693,0.024312364,-0.30708789,0.051495407,0.326704178,-0.369392264,-0.477233059,-0.142684929,0.409709471,0.063453418,-1.064929053,0.704217407,0.333299843,-0.025297506,0.459093099,-0.666382654,0.324252167,1.038613423,-0.296038096,-0.172503838,-0.02731808,-0.417806888,0.204709102,0.184059419,-0.080729893,-0.712097711,0.349846375,-0.023131765,0.045501534,0.166302163,0.033454079,0.133564307,0.537872263,-0.309211051,-0.064057031,0.146956284,0.661619938,0.272323768
0,78.27025392,195.979709,767.0034811,232.3254906,225.3442316,-100.1434529,291.487184,-333.19549,407.0990373,-99.81925202,-211.6130487,274.8837992,26.94667135,-219.1761231,-31.07988196,-128.5684452,-6.4926131,71.5448313,68.17196632,-291.990951,-436.1556964,209.7765011,-159.5085279,-350.3268394,-30.22473162,-328.2010551,254.9127175,-77.52666928,-165.9175845,123.5745396,-185.73605,78.62421658,-172.9441423,-2.112367814,-149.2963338,24.53606744,111.0539543,30.1835145,80.60865019,-69.44158869,102.3641283,90.4117213,50.40285015,-41.8904141,40.26403408,103.2554957,-31.7884071,93.78545801,50.57086329,206.198906,32.63609605,45.23100302,-57.71366896,84.63305639,102.2364011,-72.58376013,-35.60632904,76.17321523,93.10376992,42.27830478,1.643362102,85.51374263,174.006264,-7.338139047,142.8524803,-188.1271666,-89.22555031,88.31998852,-12.76971668,73.22125965,98.21954938,8.274166165,50.28088,-13.39656962,-7.191482402,-31.33638857,51.00904863,21.6015134,110.1573465,51.21744905,42.01771138,-3.585011421,15.21246301,123.2423797,8.640938459,178.4823,-81.04324362,-95.00620154,-42.72676604,-14.25084168,74.10133771,-72.66255323,-99.36355275,-117.0777829,28.52974044,44.64816847,-93.56087846,62.62567764,69.10443541,60.85233174,77.02813014,-3.064702572,-0.977014515,-0.59636953,0.872197232,-0.160039131,-0.29477103,0.758758785,0.320190771,-0.01028421,0.206072836,-0.302443975,-0.31953056,0.651250431,-0.28520555,-0.264968851,0.172091577,0.233042483,0.451329204,-0.075103441,0.057185682,-0.718558744,0.211719111,-0.106094311,0.518577742,1.175408103,-0.587168314,0.098931488,-0.170902235,-0.23848927,0.034610315,-0.805677303,0.999838282,-0.432243177,-0.33418545,-0.06954712,0.282104149,0.862865207,-0.114150659,-0.070228797,-0.18985079,0.095870862,-0.767945706,-0.075449282,0.121330176,0.037522605,-0.535344502,0.253799246,0.040672052,-0.211824199,-0.057111158,0.237217498,-0.64974523,0.087760109,-0.065119174,0.017739386,0.202292021,-0.08941598,0.884160181,0.16305108
0,-504.6314477,8.632785331,682.1965603,-341.1898807,-37.79244376,9.082790128,-98.90457726,-100.1350674,-129.4186387,112.1304447,168.7944549,-183.3318132,341.6041351,-126.5103258,84.13676457,-90.60594484,44.40602914,-122.6371508,-108.2179172,-54.78114242,-12.44813062,26.11566049,154.24923,-67.81409896,85.77165891,66.28987377,95.84804091,222.2702866,98.24638918,66.01706812,-60.05373114,-54.59722653,-6.801882282,109.0292733,-24.24562606,24.54288793,-196.8163667,-62.88846954,7.791939344,-91.21778219,-90.92908257,-136.5186278,-122.1589899,-62.58191507,32.11951573,7.576623527,-39.12359084,37.95346929,-73.21287529,-103.544196,49.47222343,-66.84054663,-28.73635897,-29.66127744,77.12964298,-123.2886587,12.98499638,21.1386257,-7.683775096,-44.49015998,33.37761263,-23.12038517,16.9943115,-82.27734625,5.355272378,41.22714345,-75.93368822,-57.40655822,69.7874513,-10.51740349,-64.71637816,-42.6140703,-44.55434749,1.523738195,32.65802021,-44.07906679,-21.06389859,89.21518883,21.03999122,-10.86130257,14.94105747,-0.286887356,-25.99747811,-21.17096358,-15.54026565,-24.94517985,73.72681364,-58.5474166,18.48170398,-10.88424885,65.5044236,54.36480246,24.58048639,-65.08431189,62.22729952,-28.47154372,30.70229458,17.18441456,-68.02928531,45.21824613,16.74017572,-2.269765965,3.26260235,0.804313016,-0.192897455,-0.114696584,0.590200513,-1.325567537,-0.363986429,-0.218143452,0.562263125,-0.73234042,-0.429923306,-0.854028889,0.672070741,0.07169215,-0.190417938,-0.731853536,-1.017679011,-0.436907109,-0.54461802,-0.679921447,-0.078434344,-1.105376892,0.322561279,0.416932214,0.089022102,-0.285668948,-0.18378756,-0.385517781,-0.170737901,-0.144404405,0.13225375,0.043395445,-0.316889442,-0.849031338,0.08872848,0.942842847,-0.459978318,0.653984196,-0.001492983,0.411921736,0.760896479,0.180372958,0.093024331,0.044249556,-0.456408225,0.637284776,0.105983855,-0.027378446,-0.433681201,0.047776188,-0.26524286,-0.345529035,0.173831513,0.03563465,0.395569661,-0.457146221,-0.241220875,-0.201824629
0,399.2128051,521.5075601,-11.87266963,552.3156641,-138.9400834,-233.4903781,424.0327364,-278.5946023,-156.1734333,-342.5984853,164.0934003,-142.4622876,53.82354546,-57.61733968,-81.45607897,-243.0342931,163.6458916,-285.5834546,-243.8026117,7.591678126,-47.19713407,395.1607049,-265.7341578,-37.26649348,-285.4130028,-110.5645299,-135.7768136,7.058120749,30.31686345,-165.2437884,111.4479249,35.33133154,-10.6676064,161.520466,-22.56082095,115.3726895,25.23280398,-143.9480159,36.23964219,-102.1154603,94.33652473,-90.73965191,42.84554626,2.369835082,-78.61144959,46.83814663,125.9476325,80.69386039,153.9535901,-37.23258462,23.26327778,-62.63029171,-20.27754109,-88.75285201,-47.26625389,116.6275189,101.2773656,51.54386897,-10.39802508,66.84423728,155.5416549,-69.10287181,60.7320712,24.08051977,122.6995762,44.85582887,19.53695521,-147.9168785,38.10440361,105.159633,35.99728857,1.987173549,-2.957510485,-25.24620107,49.0525979,-26.33088402,-57.3233977,-9.448873969,-48.8844141,39.18490904,61.17400946,-16.00458884,111.8010079,-47.88930488,12.91068901,81.1866129,42.21445126,-8.006454387,-57.92746459,67.94533082,-52.08132006,-128.4992977,97.56783828,10.9789151,51.84201809,24.92679683,67.93822887,4.035018551,115.6841648,-72.97032994,-37.35513703,-4.38523717,0.815577435,0.576987389,0.563425041,0.140509058,-0.223002013,0.012120716,0.455621855,0.783252702,-0.040554546,0.32098441,-0.165700262,-0.820433612,0.93713566,0.550989673,0.036373195,-0.47850931,0.393324238,-0.563014266,-0.348921266,0.331954379,-0.375759104,-0.12224477,0.797672578,0.211768533,0.392795264,0.001142338,0.599486692,0.048562106,0.51664956,-0.702794691,-0.125061114,-0.232120008,-0.236107925,-0.059278494,0.239015639,0.122284998,-0.303340874,-0.133325963,-0.722182041,0.593491766,0.424775835,-0.043806144,-0.236697951,0.11935652,0.134326434,0.398485735,-0.193589745,0.245595982,0.033502865,0.092163197,0.09855253,-0.310642972,-0.202188606,-0.028946508,0.405353435,-0.041701072,-0.783887297,0.299336592
0.007,705.3599514,85.40518645,-7.052098376,-482.4589892,-331.0861929,-367.1227961,-115.8752852,379.6486917,41.50607728,32.19340509,18.25285927,-208.1759719,239.7743237,-102.0413017,-357.7797244,-85.54269849,-92.99505352,-124.9193141,110.7213875,-183.2498957,-6.578886338,-130.656863,82.81450645,33.14645954,-76.27769959,79.05270463,55.85865048,-60.63417328,-95.61131147,5.9775444,-132.7112474,-41.28888416,-12.73184549,-93.26117329,-134.5051479,-193.6653279,-115.894836,117.3226323,-50.66223861,-103.48947,-30.6032649,-18.04632653,149.2007084,-98.60382631,-40.39511117,-51.0057383,-39.08531306,128.3819307,-12.58799867,-4.873329661,-59.04050059,55.95723653,31.95597306,83.30388739,20.02811543,-27.7190775,77.30389678,30.25513706,28.20023789,-51.22955555,99.79639581,92.23548308,-104.4312004,56.20318837,-22.47934932,-60.72207984,34.7615699,-75.17144878,48.47652604,-120.9323978,56.52515048,59.11009491,110.9760761,119.0855075,-74.30207761,56.38047143,-108.3887539,-53.69263854,-34.59758621,-13.30421483,5.439141499,102.4663456,57.10854548,-38.85099696,-105.205887,-63.37609879,-100.111629,-34.08444005,61.31406699,1.137421578,-52.85349665,-39.13491329,-35.11757529,33.13600941,11.67207551,17.59232346,11.93384711,30.31727809,35.82525757,36.05764862,-14.23110067,-6.206766667,-3.438640699,-0.162581879,0.685184874,-0.403510488,0.928894739,0.208189633,0.006335556,-0.737227321,-0.235520688,0.610595431,0.262027849,-0.057117719,0.997490251,-0.85598843,0.027908932,-0.045894561,-0.579808559,0.135633726,-0.14674457,0.169201062,0.796227938,0.545750647,0.785627556,0.033730467,-0.514995327,-0.004743751,-0.098431076,0.204243778,-0.281080073,-0.580696117,-0.124137261,-0.357363104,-0.232718693,0.429449949,0.657329949,-0.811154161,-0.026091526,1.013675816,0.471024702,-0.300698637,-0.317432991,0.241697523,-0.337747391,0.60501593,-0.288172288,-0.205152876,-0.02510926,-0.163365722,-0.498980937,-0.194150817,-0.170090105,0.242730319,0.052244874,-0.406561289,0.302592319,-0.112089716,1.199908853,-0.182326511
0,-568.850419,97.11315843,562.4855814,-250.5523273,70.47081869,101.3667857,-156.6565004,-241.34699,-133.0009419,110.8326642,71.21977181,-249.5214191,365.4856838,-166.9112032,125.2678103,-30.79870491,10.83629073,-164.3606051,-115.9575909,-75.45154019,4.910357534,-62.12229687,154.1043606,-64.41872768,182.2224336,37.06107971,90.83045619,167.6096322,113.278713,121.316972,14.49302163,-73.56303932,62.89355266,122.6630915,-61.11175191,26.60558849,-191.4499255,35.61309049,68.56518914,-88.7851352,-148.7646746,-113.7732563,-169.9361274,-29.46972682,60.26775833,16.83818699,-8.094851868,26.72975,-23.60545039,-59.3581522,88.11835638,-144.067287,-2.240699856,-25.28082297,58.58218909,-50.16199468,8.075984412,64.31960901,6.290777772,-51.71164283,22.40860948,-32.82512544,-39.90570899,14.40666893,43.18983782,43.46955652,-50.68590916,-32.1298849,-12.75185675,-57.65892609,-42.61831116,-41.85173763,25.27704428,25.56472104,29.76145193,-63.96954835,-49.30700443,77.81283935,56.87765617,-0.003229038,8.811740062,-21.61408138,-58.85392346,-48.55515154,45.71635726,-75.39767876,10.63470601,53.89711845,-13.46535004,1.776990668,5.026664948,0.074267402,-17.45142712,1.819431754,-24.00709238,-15.52129268,2.781968175,1.310216357,31.73558428,-16.29092555,16.03143821,-3.574504893,-3.438792626,-1.416428908,0.331954185,0.130073104,0.071287275,0.13474978,-0.224011742,-0.434231537,0.410834884,-0.100284798,0.516517452,-0.772543693,-0.614803907,-0.67522221,0.617866571,0.735118648,-0.009548349,0.804976767,0.172175038,0.252966605,0.086668912,0.895634879,0.128477067,0.665759989,-0.227497202,1.416840531,0.370324819,0.635960108,0.157913455,0.027350453,0.152680311,0.620992608,-0.178062992,-0.562949698,-0.230307048,-0.296566887,0.521079268,0.099558528,0.096810795,-0.265467378,-0.249414136,-0.014300463,0.126837974,-0.110843927,-0.438952505,0.566829811,-0.236328301,0.058165767,0.199372448,0.417461072,0.15442818,0.704728077,-0.872142384,-0.057866268,-0.456949235,0.061997868,-0.183601763,-0.106871594
0.001,-8.183906701,-92.9840746,105.6274279,86.3333396,-324.9826822,458.5328014,-137.6394762,479.1598064,176.654252,-50.06575851,-173.9750042,315.991958,208.4144814,10.08297418,-160.2033734,26.18474189,-327.9676603,80.59628815,85.38154522,10.82908933,-38.69929133,106.2503327,142.0635869,116.9188701,-43.6043265,281.8683057,216.8353841,-73.67562525,-14.07212667,71.63325144,-156.5197235,-96.04417263,-62.01026017,-115.0785329,36.13890194,-29.18578629,58.78769074,-15.85383394,-59.90765454,135.8556884,61.4176215,-27.57780351,41.54554042,-55.05242894,2.830885024,25.81421633,11.70546014,20.6924237,-74.23442675,-21.73537753,20.66436974,16.61300188,71.83153294,111.4476111,-41.90088016,110.2796131,17.68225829,-17.17549347,48.53999772,-113.5080853,66.91531012,21.98380898,27.68325616,-52.44418857,97.24648072,-114.8549313,-50.59123236,-109.3502148,-59.25418239,51.94022843,-43.43341871,162.9729444,-108.3706432,11.77587174,26.23957215,-102.223653,0.406540643,49.1949353,-42.14939543,53.55955319,9.564902019,-7.276980912,47.42646344,-72.93981712,-46.09167744,-36.93529702,-38.9008881,-96.77308998,37.4335636,-21.86243538,-78.81882528,102.1198947,42.26193403,134.4444757,-66.30377391,-66.37490624,10.86494055,1.799755753,41.34047523,-72.12393348,2.531832469,5.708981825,-0.470083382,0.098500602,-0.469911417,1.461111505,-1.505055879,-0.615945012,-0.157564119,-0.261365586,-0.948466742,-0.456887297,0.179807406,-0.352922345,0.376882855,0.484417546,0.027887598,-0.171849359,-0.530771264,0.956326306,-0.064666876,-0.224229885,0.431843312,0.337793808,0.080573193,0.247516282,-0.002600084,-0.359453486,0.163599425,0.073317815,1.228767685,-0.453608277,0.155511871,0.120212642,0.293154075,-0.517019686,-0.096215047,0.044977694,0.756858287,0.081272845,0.101527694,-0.324104566,0.226436536,-0.107879907,0.230695924,0.675084638,-0.233439237,-0.441740681,0.009569595,0.391776262,-0.051324645,0.166507766,0.313331916,-0.098866305,-0.023494434,0.454616584,-0.435068682,-0.017881779,-0.029890427,0.232565771
0.007,474.2122446,428.0758163,26.33661624,-107.9131063,-276.4962414,-188.0053204,150.2971824,-428.0620275,56.09292628,313.2496751,-213.824305,122.0603643,7.31646704,-390.548326,208.3578265,206.6706933,-385.5474824,49.10137435,-60.84131612,-73.37568889,-285.6255235,-198.8587201,24.10288095,-19.00182868,38.92074981,17.21214148,-39.98692839,101.8735349,-137.6935347,-28.91674151,-177.9552175,-252.278041,-209.8545333,38.90849808,-25.11734378,-131.1935064,-155.8446755,-87.92911279,-107.3066504,88.87604481,-133.8176855,-108.4034809,138.2136115,118.3134807,-24.91861312,140.331127,109.4580246,76.52551902,-191.6596828,59.88180547,59.97673867,42.13309113,-10.47647786,-195.2254182,213.2241617,138.4047404,-47.61433587,-24.86569416,255.0919102,-139.0228775,0.775175907,5.915686068,46.85144366,-79.17931757,-35.43264564,57.683745,19.72936353,47.86932875,-35.27521945,-41.59635415,-118.0019122,29.85089381,6.588161454,-46.70760553,46.9139871,49.10078443,91.42496299,-35.77605082,-91.62161751,12.44345016,75.45460019,15.6132645,-22.75456499,-130.8002696,34.46134248,47.98087083,42.30318789,-37.34817938,5.499149447,44.01894654,10.3814649,47.36793923,95.54879855,93.68722516,-66.63511507,-22.4050026,-50.6249287,13.62418917,-68.65251944,62.90241935,-33.06173828,4.716428654,0.252016439,0.337588461,0.901464836,-0.828479016,0.15403666,0.643011076,0.313011832,-0.062809329,0.129764998,-0.023157054,-0.889107301,0.144345107,-0.316577286,-0.04312691,-0.456234517,-0.059797328,-0.423934877,-0.324299243,-0.077917031,-0.630978345,-0.325989643,-0.090137698,0.058265429,-1.238446047,0.296899356,-0.508762395,-0.147345609,0.924229507,-0.004438785,0.019962414,-0.272066067,0.172837288,-0.082007605,0.076086531,0.486001096,0.175506709,-0.548555393,0.812396458,0.588062409,0.494248623,-0.138443201,-0.030355443,-0.015164189,-0.420578148,-0.093012042,0.239828043,0.293584337,-0.287075761,0.487591411,-0.779533678,0.025190832,0.145631424,-0.231985369,-0.79565719,-0.003846476,-0.278808975,-0.198721638,-0.254041142
0,599.9826294,535.3401892,582.1243046,404.8139495,-369.0512791,-159.7221159,107.8668095,-157.9391869,76.76631929,-57.6188033,264.1444947,371.6473191,482.2531786,-70.0544605,134.4410952,12.43495339,-207.4712344,-106.357255,268.394919,11.15617641,90.2679943,42.93297688,-15.43880706,-1.538082774,-149.962273,-126.404565,75.76099263,-213.0583954,-112.946079,6.991118241,-22.48844848,-17.30838235,2.782067722,-75.57045667,193.7419915,19.70767369,-137.4532338,-86.89070295,-107.1638799,-66.82459069,103.6213586,-57.28038696,-8.219195651,-77.94374423,112.6695661,-51.02537272,-51.08900945,100.9487949,-28.55423201,-32.04056497,-94.51814261,1.228916129,-93.7252589,-66.13043982,-45.85665486,-44.55006334,-16.48061044,176.7938674,-68.72429598,21.04337966,-36.23209867,-81.95327545,-39.19207478,31.88650861,0.829603072,124.1278225,-47.87938165,35.61119266,-8.193455597,20.65427193,-35.02380297,-90.86300522,-7.262037776,-28.25682923,57.42873862,38.16137894,13.35659307,-21.52915318,9.041879655,-91.15552365,-43.68997758,-84.49909337,-41.98946148,62.48339011,-69.48740596,-7.594761577,-112.4308243,92.34945276,37.54991791,-4.966573384,-51.92437295,-11.97550978,-47.27041508,116.7212238,-20.24567555,-19.33084358,55.48504901,28.0899461,-130.4539089,-25.33335973,-85.99557858,5.870405219,3.544600657,-0.949604864,0.775618744,0.442411458,0.446755259,-0.539903125,0.166342729,0.071936064,-0.192257503,0.379364708,0.011982728,0.119534474,0.248124487,0.876470958,0.155912134,-0.039192483,0.181114192,0.147176359,-0.658460634,-0.099281151,0.134369789,0.287384018,-0.015392421,-0.800846113,-0.914046533,0.386785291,-0.732040244,-0.313361741,-0.331860064,0.145671725,0.443276275,0.228758171,0.489728468,-0.306218759,0.463510671,0.165183522,0.826950426,0.105133108,-0.211706204,-0.56511363,-0.442939605,0.052750698,0.094766266,0.385768518,0.184358739,0.810465784,0.420873137,-0.652301316,-0.030402866,-0.047880402,-0.191882865,0.084568525,0.312747442,0.237478297,0.132360944,-0.019343137,0.039702432,0.147494066
0,386.5527597,228.7119829,368.487933,15.83948553,-100.3027006,212.8937564,103.295649,-89.15649705,6.324955789,-82.92078331,92.2218594,276.0474159,696.9040108,-54.5808744,-86.95520301,124.6938522,65.30402361,-22.58134218,-51.80569158,-318.6521176,-350.9619483,200.9366782,-53.15211647,98.94018238,-349.1702129,-23.21661865,40.90255598,-69.09581501,22.19444518,-16.55553043,-159.2821212,201.3154703,-7.55984169,39.61548091,256.633434,-139.7408225,-56.26286784,18.70481173,72.92306065,-54.11129277,78.32623498,28.72998754,-35.47108741,-158.6517002,189.6032912,19.7397093,55.92178579,241.0464386,230.045821,34.84290151,123.7855766,17.95334054,137.1312684,-149.9220602,-19.76886928,86.25104902,-73.04159908,79.10881473,-146.9601023,146.4740492,4.117279852,-114.6657125,58.66113333,37.99203036,-156.6743751,79.95052139,-112.9746281,-61.8338589,-79.82532817,-60.64021698,56.14819411,190.1194583,13.46177437,-112.0316477,61.47926819,-40.39380036,101.1898425,-153.7506335,-77.39766026,-87.63662554,30.9851637,-84.06715722,57.35193747,48.87462573,74.05856887,-58.30630618,26.53251918,-139.0909503,41.60932633,-140.7306741,-30.43423269,-58.11087349,-50.95351621,-28.0085577,-4.471911206,-66.12946895,40.60591285,57.57396102,-27.00941989,47.40485808,-53.70020469,6.493016342,-2.328364217,-0.459294624,-1.072748674,-0.065590229,0.361162118,0.022800298,0.340948661,0.069726415,0.092699634,-0.05015601,-0.161169003,0.228817029,-0.2848549,-0.037332057,-0.235584533,-0.612036973,-0.147239992,0.323868558,0.010807216,-0.249322922,-0.43214133,-0.865757326,-0.902422706,0.070065545,1.096629751,-0.615666929,0.306391076,0.191967645,0.575228785,0.024898913,-0.475116972,-0.055054757,0.076693142,-0.029004582,0.305847915,-0.55268385,0.403551166,0.430620024,0.101632185,0.029936582,-0.339551373,-0.314342568,0.148082688,-0.196818715,0.399619675,0.417214449,0.13735198,-0.22243285,-0.161105249,0.012244372,0.244569745,-0.342888085,0.391076865,-0.442338069,0.014482472,0.785690553,-0.063808326,0.135886507
