pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,f_200
0,-151.9526509,281.4066533,23.12875921,31.31539006,-431.0957273,254.0296875,98.5064044,523.8150748,16.09761049,-136.2712613,-133.82563,-203.0192378,-189.4615948,-148.9534261,139.7284217,-0.312806099,252.2930558,-293.4007766,183.6783795,4.246392569,32.63490637,50.95868674,-157.1275208,-28.22350814,46.97450891,-0.911907892,216.5131944,79.49629755,51.9863061,128.6969561,-152.1291742,-89.46109208,94.70896313,-65.64388169,-59.23523255,109.1248813,-0.157023767,-13.08994966,43.80308682,-60.78127254,40.5220376,104.3994624,-8.471186611,-47.94304033,18.81518789,94.45657852,107.2082428,29.89588135,111.8497016,-34.27170631,-157.4022724,-31.10594181,-91.88679828,-21.89811507,-115.0993557,-70.32720497,-31.88711404,96.25348005,13.14625378,-95.00869641,49.52667049,81.85043664,-127.7012582,-95.5452097,-114.6387814,35.61853805,-83.59725231,101.1082042,13.8071353,26.9206426,89.16894319,-165.2962002,-58.14554181,-11.97314685,-19.58527828,55.64631977,71.62692603,-64.28914293,22.36040935,71.00141141,-9.970488003,2.318737013,59.15338072,-96.54279927,-118.9904491,1.721269725,11.27957864,-23.78175418,5.731406192,-26.54495889,-36.23842045,-27.03570296,-7.330219176,-23.7993547,46.15512111,18.65737703,-57.07942141,13.0627755,-80.00696962,-68.01875262,-12.00065398,-4.304882253,0.508271841,-0.285474093,-0.149949845,-0.820101228,-0.28670242,0.115384052,-0.643794323,0.354333667,0.214865654,-0.221530761,0.37803436,0.016811022,-0.062361583,0.526711809,0.190001584,-0.482985124,-0.041567823,-0.246683562,-0.019315666,-0.346536855,-0.391785038,-0.024965342,-0.230040401,0.057748373,0.324068273,0.135574815,-0.506557095,0.02527867,0.304575287,0.690671528,-1.102745545,-0.561376892,-0.144530535,0.596588295,0.328251113,0.096404905,-0.014709803,0.745304903,-0.128605542,-0.201153579,0.211921631,-0.607343546,-0.099508888,-0.106279707,-0.168077122,0.406390345,0.267477098,-0.00754588,0.443761474,-0.24617812,-0.592510863,-0.666493941,1.051834194,0.195982297,0.101047442,0.233364906,-0.801383484,-0.148725878,0.239961607,-0.624826201,-0.295298127,-0.417267786,-0.114036299,0.224968029,-0.715094496,-0.050050084,-0.488120079,0.394289126,-0.190928656,-0.513279769,0.259229967,0.276279264,-0.677557198,-0.30319681,0.507032811,-0.217996698,0.389856463,-0.234419114,0.014097337,0.362593765,-0.226892791,0.121383355,-0.325578891,-0.20845209,-0.215088903,0.143604792,-0.250619478,-0.394168224,0.306295949,-0.327159934,0.301889962,0.791499644,-0.78969543,-0.181191052,0.120445475,0.104313197,0.165863382,0.378794499
0,78.27025392,195.979709,767.0034811,232.3254906,225.3442316,-100.1434529,291.487184,-333.19549,407.0990373,-99.81925202,-211.6130487,274.8837992,26.94667135,-219.1761231,-31.07988196,-128.5684452,-6.4926131,71.5448313,68.17196632,-291.990951,-436.1556964,209.7765011,-159.5085279,-350.3268394,-30.22473162,-328.2010551,254.9127175,-77.52666928,-165.9175845,123.5745396,-185.73605,78.62421658,-172.9441423,-2.112367814,-149.2963338,24.53606744,111.0539543,30.1835145,80.60865019,-69.44158869,102.3641283,90.4117213,50.40285015,-41.8904141,40.26403408,103.2554957,-31.7884071,93.78545801,50.57086329,206.198906,32.63609605,45.23100302,-57.71366896,84.63305639,102.2364011,-72.58376013,-35.60632904,76.17321523,93.10376992,42.27830478,1.643362102,85.51374263,174.006264,-7.338139047,142.8524803,-188.1271666,-89.22555031,88.31998852,-12.76971668,73.22125965,98.21954938,8.274166165,50.28088,-13.39656962,-7.191482402,-31.33638857,51.00904863,21.6015134,110.1573465,51.21744905,42.01771138,-3.585011421,15.21246301,123.2423797,8.640938459,178.4823,-81.04324362,-95.00620154,-42.72676604,-14.25084168,74.10133771,-72.66255323,-99.36355275,-117.0777829,28.52974044,44.64816847,-93.56087846,62.62567764,69.10443541,60.85233174,77.02813014,-3.064702572,-0.977014527,-0.597019365,0.87170832,-0.160638214,-0.290794998,0.755290311,0.302158711,-0.008575146,0.200369825,-0.27523787,-0.277560352,0.667509247,-0.396897414,-0.280976022,0.146851736,0.198693104,0.444660812,-0.061616917,-0.062480018,-0.722690078,0.187945395,0.424844704,0.56547306,1.034028675,-0.291360661,0.512995136,0.000959054,-0.457453543,-1.045064897,-0.359526684,0.740157035,0.309670622,0.238359748,-0.502080677,-0.30365527,0.847289378,0.298231786,-0.183660421,-0.347076627,-0.544291286,-0.057144695,0.092665951,0.412943976,-0.034296631,-0.636066008,-0.11780308,0.153657777,0.2128031,0.26991056,-0.765580942,0.146328399,0.494438958,0.069279489,0.157605541,0.342503723,0.422974832,-0.104383049,-0.727614209,0.322217193,-0.628569987,-0.27552583,0.012005919,-0.359358034,0.565452949,-0.436897008,0.159679638,0.092291396,0.043780093,0.271875506,-0.329584209,-0.048084678,0.268732379,0.204475706,0.025615854,0.257648018,0.096060998,-0.113254996,0.385307377,-0.229914977,-0.220612737,-0.279263855,-0.258578023,-0.493204719,0.160091726,0.022065151,0.350378812,-0.03597954,0.103935677,-0.07226272,-0.1185429,0.173139562,0.105307524,-0.200027128,-0.051292489,0.62127954,-0.299319794,0.541359517,0.04843247
0,-504.6314477,8.632785331,682.1965603,-341.1898807,-37.79244376,9.082790128,-98.90457726,-100.1350674,-129.4186387,112.1304447,168.7944549,-183.3318132,341.6041351,-126.5103258,84.13676457,-90.60594484,44.40602914,-122.6371508,-108.2179172,-54.78114242,-12.44813062,26.11566049,154.24923,-67.81409896,85.77165891,66.28987377,95.84804091,222.2702866,98.24638918,66.01706812,-60.05373114,-54.59722653,-6.801882282,109.0292733,-24.24562606,24.54288793,-196.8163667,-62.88846954,7.791939344,-91.21778219,-90.92908257,-136.5186278,-122.1589899,-62.58191507,32.11951573,7.576623527,-39.12359084,37.95346929,-73.21287529,-103.544196,49.47222343,-66.84054663,-28.73635897,-29.66127744,77.12964298,-123.2886587,12.98499638,21.1386257,-7.683775096,-44.49015998,33.37761263,-23.12038517,16.9943115,-82.27734625,5.355272378,41.22714345,-75.93368822,-57.40655822,69.7874513,-10.51740349,-64.71637816,-42.6140703,-44.55434749,1.523738195,32.65802021,-44.07906679,-21.06389859,89.21518883,21.03999122,-10.86130257,14.94105747,-0.286887356,-25.99747811,-21.17096358,-15.54026565,-24.94517985,73.72681364,-58.5474166,18.48170398,-10.88424885,65.5044236,54.36480246,24.58048639,-65.08431189,62.22729952,-28.47154372,30.70229458,17.18441456,-68.02928531,45.21824613,16.74017572,-2.269765966,3.262602315,0.802810907,-0.192728263,-0.116333435,0.586220593,-1.320523545,-0.335834586,-0.203921916,0.589916775,-0.706772563,-0.401695796,-0.810591638,0.657864272,0.073354657,-0.042882879,-0.771114315,-1.08883539,-0.480061149,-0.547182323,-0.660597111,-0.082957922,-0.513176278,0.988191405,0.433717637,0.23790198,0.306918233,-0.041962817,-0.334307751,-0.083777646,-0.124863506,-0.020629099,0.168981923,-0.149497579,-1.152450725,0.169642082,0.420513976,0.250523353,0.836734575,-0.375402584,0.786355456,0.348472121,0.400719631,0.00909368,0.091455448,-0.237537713,0.183941558,-0.250601053,0.168189072,0.302494584,-0.001462462,0.72915792,0.76330588,0.21507901,0.082539829,-0.223925611,0.028792755,0.424628972,-0.344719437,-0.333542889,0.111001977,-0.219727995,0.706275661,0.141091161,-0.550875674,-0.032774122,-0.123676772,0.953864801,-0.606479773,0.020796066,0.262590487,0.078341572,-0.577233233,0.399889181,-0.648647028,0.265559139,-0.593528194,0.100623171,-0.246290756,-0.40193341,0.44825481,0.263962207,0.740327783,-0.116624485,0.102360241,-0.232557826,-0.09240973,-0.29862805,-0.470998781,0.022611323,0.573523967,-0.212947647,0.096864337,-0.151053881,0.176022385,-0.450993316,-0.343350073,0.215770159,0.048194953
0,399.2128051,521.5075601,-11.87266963,552.3156641,-138.9400834,-233.4903781,424.0327364,-278.5946023,-156.1734333,-342.5984853,164.0934003,-142.4622876,53.82354546,-57.61733968,-81.45607897,-243.0342931,163.6458916,-285.5834546,-243.8026117,7.591678126,-47.19713407,395.1607049,-265.7341578,-37.26649348,-285.4130028,-110.5645299,-135.7768136,7.058120749,30.31686345,-165.2437884,111.4479249,35.33133154,-10.6676064,161.520466,-22.56082095,115.3726895,25.23280398,-143.9480159,36.23964219,-102.1154603,94.33652473,-90.73965191,42.84554626,2.369835082,-78.61144959,46.83814663,125.9476325,80.69386039,153.9535901,-37.23258462,23.26327778,-62.63029171,-20.27754109,-88.75285201,-47.26625389,116.6275189,101.2773656,51.54386897,-10.39802508,66.84423728,155.5416549,-69.10287181,60.7320712,24.08051977,122.6995762,44.85582887,19.53695521,-147.9168785,38.10440361,105.159633,35.99728857,1.987173549,-2.957510485,-25.24620107,49.0525979,-26.33088402,-57.3233977,-9.448873969,-48.8844141,39.18490904,61.17400946,-16.00458884,111.8010079,-47.88930488,12.91068901,81.1866129,42.21445126,-8.006454387,-57.92746459,67.94533082,-52.08132006,-128.4992977,97.56783828,10.9789151,51.84201809,24.92679683,67.93822887,4.035018551,115.6841648,-72.97032994,-37.35513703,-4.38523717,0.815577411,0.576456739,0.565012595,0.137319938,-0.224060153,-0.003195212,0.486227839,0.791366152,-0.047510877,0.318203733,-0.192273281,-0.725839342,0.989963536,0.508689889,0.125169552,-0.497228112,0.421040111,-0.561454481,-0.421694474,0.359369476,-0.408478036,0.357754637,0.639343222,0.161916134,0.473175945,-0.16831057,0.606948134,-0.083494919,-0.804885541,0.079677821,-0.332023487,-0.00839353,0.309726901,-0.049537411,0.106058224,0.096803485,0.28893718,-0.14310178,-0.601068335,0.449839333,0.285317527,0.096667418,-0.333417692,0.007748872,0.421103704,-0.198799667,-0.139536842,0.344282787,-0.039373689,0.336910074,-0.088658603,0.170712622,0.131072869,-0.034356439,0.367496399,-0.176162571,-0.172763155,0.132706145,-0.604844493,0.323053558,0.187081929,-0.755369897,-0.082736528,-0.296731245,0.10764856,-0.278548121,0.205377824,-0.230479466,-0.340238604,-0.535264005,-0.06762279,-0.352310369,0.011212354,-0.287664883,-0.146542379,-0.253136074,-0.249997929,0.802744635,0.595022893,-0.229922473,0.413137538,-0.249118358,0.759861061,-0.202907686,0.701528979,0.05440731,-0.40401278,-0.487291477,-0.248093088,-0.431787692,-0.406042079,0.410068679,-0.232718554,0.182361841,-0.088320102,-0.162142948,0.048721378,-0.230199426
0.007,705.3599514,85.40518645,-7.052098376,-482.4589892,-331.0861929,-367.1227961,-115.8752852,379.6486917,41.50607728,32.19340509,18.25285927,-208.1759719,239.7743237,-102.0413017,-357.7797244,-85.54269849,-92.99505352,-124.9193141,110.7213875,-183.2498957,-6.578886338,-130.656863,82.81450645,33.14645954,-76.27769959,79.05270463,55.85865048,-60.63417328,-95.61131147,5.9775444,-132.7112474,-41.28888416,-12.73184549,-93.26117329,-134.5051479,-193.6653279,-115.894836,117.3226323,-50.66223861,-103.48947,-30.6032649,-18.04632653,149.2007084,-98.60382631,-40.39511117,-51.0057383,-39.08531306,128.3819307,-12.58799867,-4.873329661,-59.04050059,55.95723653,31.95597306,83.30388739,20.02811543,-27.7190775,77.30389678,30.25513706,28.20023789,-51.22955555,99.79639581,92.23548308,-104.4312004,56.20318837,-22.47934932,-60.72207984,34.7615699,-75.17144878,48.47652604,-120.9323978,56.52515048,59.11009491,110.9760761,119.0855075,-74.30207761,56.38047143,-108.3887539,-53.69263854,-34.59758621,-13.30421483,5.439141499,102.4663456,57.10854548,-38.85099696,-105.205887,-63.37609879,-100.111629,-34.08444005,61.31406699,1.137421578,-52.85349665,-39.13491329,-35.11757529,33.13600941,11.67207551,17.59232346,11.93384711,30.31727809,35.82525757,36.05764862,-14.23110067,-6.206766667,-3.438640693,-0.162594881,0.686003619,-0.406411438,0.926719629,0.203164857,0.011134301,-0.736388162,-0.219404965,0.63724873,0.260103796,0.039354407,0.977313777,-0.887286446,-0.030177018,-0.061017381,-0.59580273,0.049611368,-0.146006993,0.237049903,0.660487536,0.911021738,0.20220483,-0.126687712,-0.178553053,0.473264648,-0.008218959,0.123884277,-0.510060643,-0.522877191,-0.13787507,0.018172164,0.658842204,0.723509811,-0.068695208,0.173355576,-0.082006861,0.987883454,0.478251287,-0.410444515,-0.195155529,-1.025500725,0.155335562,0.415999754,0.245491025,-0.055401977,0.009089752,-0.523412497,0.194695705,0.203096773,0.117505362,0.030226571,0.226641793,-0.038482705,0.20748625,0.035716403,0.093796266,0.366353655,0.514412141,-0.99089743,-0.72068443,0.141485633,-0.417744943,0.004774232,-0.415977219,-0.312094157,-0.933706533,-0.056617976,-0.006038286,-0.377796349,0.637210793,0.14459267,-0.156205924,0.171227803,-0.396991267,-0.179734902,0.198775428,-0.119509237,0.188098909,-0.105223971,0.432175433,0.700683827,0.525200937,0.022289066,0.363740482,-0.187637042,0.00281245,-0.136221572,0.168713777,0.435347386,-0.027987884,-0.137054331,0.345496767,-0.019818491,0.078660317,0.145590015,0.180936916,0.264667277
0,-568.850419,97.11315843,562.4855814,-250.5523273,70.47081869,101.3667857,-156.6565004,-241.34699,-133.0009419,110.8326642,71.21977181,-249.5214191,365.4856838,-166.9112032,125.2678103,-30.79870491,10.83629073,-164.3606051,-115.9575909,-75.45154019,4.910357534,-62.12229687,154.1043606,-64.41872768,182.2224336,37.06107971,90.83045619,167.6096322,113.278713,121.316972,14.49302163,-73.56303932,62.89355266,122.6630915,-61.11175191,26.60558849,-191.4499255,35.61309049,68.56518914,-88.7851352,-148.7646746,-113.7732563,-169.9361274,-29.46972682,60.26775833,16.83818699,-8.094851868,26.72975,-23.60545039,-59.3581522,88.11835638,-144.067287,-2.240699856,-25.28082297,58.58218909,-50.16199468,8.075984412,64.31960901,6.290777772,-51.71164283,22.40860948,-32.82512544,-39.90570899,14.40666893,43.18983782,43.46955652,-50.68590916,-32.1298849,-12.75185675,-57.65892609,-42.61831116,-41.85173763,25.27704428,25.56472104,29.76145193,-63.96954835,-49.30700443,77.81283935,56.87765617,-0.003229038,8.811740062,-21.61408138,-58.85392346,-48.55515154,45.71635726,-75.39767876,10.63470601,53.89711845,-13.46535004,1.776990668,5.026664948,0.074267402,-17.45142712,1.819431754,-24.00709238,-15.52129268,2.781968175,1.310216357,31.73558428,-16.29092555,16.03143821,-3.574504893,-3.438792679,-1.41743071,0.333134129,0.127575949,0.079749553,0.099527639,-0.236919988,-0.403966169,0.342298573,-0.116005816,0.520864208,-0.743688592,-0.647869963,-0.799973357,0.539522298,0.734450292,-0.029039385,0.823660948,0.20531246,0.366139183,0.02723119,0.863992067,-0.426746934,0.72437076,-0.740323256,-0.956875,0.096493541,0.343160327,-0.416471316,0.019140323,0.169748114,-0.669132459,-0.037278592,-0.062145209,0.735345869,-0.267553333,-0.651685665,0.228040856,0.171270568,-0.161853288,-0.103231746,-0.211075403,-0.059362067,-0.329339536,0.015940429,-0.089798326,0.249861402,0.505185484,-0.070267727,-0.191005238,0.014818248,0.600132317,-0.77860199,-0.747613433,0.478691327,-0.271354164,0.342775773,-0.390150916,0.591675119,-0.349020881,-0.077690625,-0.439113711,-0.153607594,0.390074927,0.58517781,0.634134755,0.170964001,-0.066888287,-0.570373353,-0.193726983,-0.361724807,-0.220731397,-0.227707893,0.133758013,0.399150864,-0.611481849,0.307025516,0.393399677,-0.842951998,-0.586558155,-0.101792683,0.049576415,0.274824441,0.496337899,0.323859305,-0.153428487,-0.526488657,-0.291407146,0.606864279,-0.21025792,-0.39273608,0.14008972,0.18129095,0.397387002,-0.128851605,0.232787209,0.220941846,0.240938703
0.001,-8.183906701,-92.9840746,105.6274279,86.3333396,-324.9826822,458.5328014,-137.6394762,479.1598064,176.654252,-50.06575851,-173.9750042,315.991958,208.4144814,10.08297418,-160.2033734,26.18474189,-327.9676603,80.59628815,85.38154522,10.82908933,-38.69929133,106.2503327,142.0635869,116.9188701,-43.6043265,281.8683057,216.8353841,-73.67562525,-14.07212667,71.63325144,-156.5197235,-96.04417263,-62.01026017,-115.0785329,36.13890194,-29.18578629,58.78769074,-15.85383394,-59.90765454,135.8556884,61.4176215,-27.57780351,41.54554042,-55.05242894,2.830885024,25.81421633,11.70546014,20.6924237,-74.23442675,-21.73537753,20.66436974,16.61300188,71.83153294,111.4476111,-41.90088016,110.2796131,17.68225829,-17.17549347,48.53999772,-113.5080853,66.91531012,21.98380898,27.68325616,-52.44418857,97.24648072,-114.8549313,-50.59123236,-109.3502148,-59.25418239,51.94022843,-43.43341871,162.9729444,-108.3706432,11.77587174,26.23957215,-102.223653,0.406540643,49.1949353,-42.14939543,53.55955319,9.564902019,-7.276980912,47.42646344,-72.93981712,-46.09167744,-36.93529702,-38.9008881,-96.77308998,37.4335636,-21.86243538,-78.81882528,102.1198947,42.26193403,134.4444757,-66.30377391,-66.37490624,10.86494055,1.799755753,41.34047523,-72.12393348,2.531832469,5.708981825,-0.470083365,0.097692321,-0.470844724,1.463519887,-1.505218384,-0.609585594,-0.148274181,-0.247697968,-0.913825942,-0.424071454,0.133468023,-0.310115854,0.463414042,0.455343537,0.152700372,-0.08096823,-0.653153493,1.005648265,-0.027272014,-0.269130555,0.340214894,0.183325968,-0.167118669,0.164716782,0.384750358,0.348680661,0.401125776,-0.07267404,-0.931711128,0.760161349,0.288744502,-0.262798787,-0.500031283,0.148479724,0.466989683,0.011023002,-1.006459585,-0.049965898,0.184501808,-0.117150561,0.137394455,-0.015065715,0.393842373,0.392997635,0.425211201,0.614565909,-0.112867458,0.102015726,0.331471245,0.393052866,-0.308018467,0.274297624,-0.079700508,0.076308282,-0.53965341,-0.419089165,0.223976133,-0.352102341,0.078198683,0.009621818,0.512980711,0.6901108,-0.465509484,-0.172423432,0.333037964,0.025504895,0.211104202,-0.384990913,-0.306927532,-0.13004733,-0.065772737,0.40582683,-0.016254163,0.357059487,0.008061542,0.41034865,-0.552185198,0.077626184,-0.122635491,0.351480034,-0.116385741,-0.459223367,-0.67118247,-0.245360382,-0.75391794,0.047995949,-0.310784825,0.546715232,-0.185845068,-0.089441946,-0.083789592,0.131369197,-0.590216211,0.479016519,-0.654650859,0.274735589,0.052077826,-0.619910958
0.007,474.2122446,428.0758163,26.33661624,-107.9131063,-276.4962414,-188.0053204,150.2971824,-428.0620275,56.09292628,313.2496751,-213.824305,122.0603643,7.31646704,-390.548326,208.3578265,206.6706933,-385.5474824,49.10137435,-60.84131612,-73.37568889,-285.6255235,-198.8587201,24.10288095,-19.00182868,38.92074981,17.21214148,-39.98692839,101.8735349,-137.6935347,-28.91674151,-177.9552175,-252.278041,-209.8545333,38.90849808,-25.11734378,-131.1935064,-155.8446755,-87.92911279,-107.3066504,88.87604481,-133.8176855,-108.4034809,138.2136115,118.3134807,-24.91861312,140.331127,109.4580246,76.52551902,-191.6596828,59.88180547,59.97673867,42.13309113,-10.47647786,-195.2254182,213.2241617,138.4047404,-47.61433587,-24.86569416,255.0919102,-139.0228775,0.775175907,5.915686068,46.85144366,-79.17931757,-35.43264564,57.683745,19.72936353,47.86932875,-35.27521945,-41.59635415,-118.0019122,29.85089381,6.588161454,-46.70760553,46.9139871,49.10078443,91.42496299,-35.77605082,-91.62161751,12.44345016,75.45460019,15.6132645,-22.75456499,-130.8002696,34.46134248,47.98087083,42.30318789,-37.34817938,5.499149447,44.01894654,10.3814649,47.36793923,95.54879855,93.68722516,-66.63511507,-22.4050026,-50.6249287,13.62418917,-68.65251944,62.90241935,-33.06173828,4.716428653,0.252016441,0.338688613,0.902102277,-0.825272716,0.155534205,0.639595182,0.31620466,-0.058273967,0.112677596,-0.063010674,-0.846527467,0.095902906,-0.349505429,0.037105859,-0.440757431,-0.027126327,-0.469266319,-0.35676555,-0.082132643,-0.476548417,-0.303776727,-0.044218078,0.10952124,-1.268667867,0.292851497,0.100654785,0.080028173,0.961858263,0.057767767,0.19563047,-0.419008531,-0.034291909,-0.009675931,-0.228432056,-0.138439742,0.442590119,0.779291256,1.034313355,0.142862135,0.164273051,-0.438459558,-0.158629099,-0.11761603,-0.321956006,-0.502237724,-0.372915015,-0.016245149,0.367521517,0.087351643,0.11709105,0.155364045,-0.909233061,-0.084427609,0.257685419,0.478151,-0.105198468,0.674688425,0.090687927,0.049226184,0.122266322,-0.396500705,0.179363572,0.41250404,0.596719298,0.32635423,0.327377613,-0.108627197,0.6345123,-0.003517527,-0.099360198,0.235839751,-0.424499497,-0.426405529,-0.211560481,0.005301301,-0.364300402,0.476422279,0.64413842,-0.356062745,-0.227534641,-0.762884464,-0.061929266,0.082775163,0.199515777,-0.382060298,-0.145631394,-0.338441386,0.260550047,-0.574259015,-0.200256292,0.028236881,-0.408132141,0.189808901,-0.114956685,-0.287975473,-0.001866625,-0.014685628,0.229607505
0,599.9826294,535.3401892,582.1243046,404.8139495,-369.0512791,-159.7221159,107.8668095,-157.9391869,76.76631929,-57.6188033,264.1444947,371.6473191,482.2531786,-70.0544605,134.4410952,12.43495339,-207.4712344,-106.357255,268.394919,11.15617641,90.2679943,42.93297688,-15.43880706,-1.538082774,-149.962273,-126.404565,75.76099263,-213.0583954,-112.946079,6.991118241,-22.48844848,-17.30838235,2.782067722,-75.57045667,193.7419915,19.70767369,-137.4532338,-86.89070295,-107.1638799,-66.82459069,103.6213586,-57.28038696,-8.219195651,-77.94374423,112.6695661,-51.02537272,-51.08900945,100.9487949,-28.55423201,-32.04056497,-94.51814261,1.228916129,-93.7252589,-66.13043982,-45.85665486,-44.55006334,-16.48061044,176.7938674,-68.72429598,21.04337966,-36.23209867,-81.95327545,-39.19207478,31.88650861,0.829603072,124.1278225,-47.87938165,35.61119266,-8.193455597,20.65427193,-35.02380297,-90.86300522,-7.262037776,-28.25682923,57.42873862,38.16137894,13.35659307,-21.52915318,9.041879655,-91.15552365,-43.68997758,-84.49909337,-41.98946148,62.48339011,-69.48740596,-7.594761577,-112.4308243,92.34945276,37.54991791,-4.966573384,-51.92437295,-11.97550978,-47.27041508,116.7212238,-20.24567555,-19.33084358,55.48504901,28.0899461,-130.4539089,-25.33335973,-85.99557858,5.870405219,3.544600637,-0.949255843,0.77608244,0.441645909,0.44657524,-0.546397456,0.178810299,0.055165966,-0.167626752,0.394572756,0.013585214,0.128155012,0.305279428,0.895825898,0.213369165,-0.044572056,0.149227329,0.123159433,-0.620872675,-0.113466431,0.026378813,0.198132242,-0.202522803,-0.814319947,-0.684356615,0.253601454,-0.723602652,-0.377866165,0.166208383,-0.181318204,0.530318882,-0.028653885,-0.462392997,0.409327498,0.064658303,0.736389842,-0.784170046,-0.143954922,-0.236014046,-0.518544504,0.033490264,-0.245936153,-0.191367769,-0.373819138,-0.518911645,0.079137841,-0.806960351,-0.374339362,0.018799046,-0.367095138,0.449955738,0.122957251,0.275920542,-0.21866837,-0.078846123,0.364816562,-0.547019174,0.232877264,0.26357906,-0.522456466,-0.25245248,-0.192354684,0.229474579,0.502649936,-0.379583917,0.779775337,0.017060167,-0.317434257,-0.19152173,-0.287232601,0.402599267,-0.448234093,0.404475959,0.218650404,-0.013909902,-0.129419919,-0.744584037,0.274071682,0.162579313,-0.050130294,-0.121304483,0.035431092,-0.893436878,-0.058148024,-0.055378144,0.181377497,-0.19331682,-0.312328028,-0.165770098,0.029699608,-0.06724732,0.159614985,0.090646806,0.029500144,-0.12122175,0.780120253,0.133023254,0.124821596
0,386.5527597,228.7119829,368.487933,15.83948553,-100.3027006,212.8937564,103.295649,-89.15649705,6.324955789,-82.92078331,92.2218594,276.0474159,696.9040108,-54.5808744,-86.95520301,124.6938522,65.30402361,-22.58134218,-51.80569158,-318.6521176,-350.9619483,200.9366782,-53.15211647,98.94018238,-349.1702129,-23.21661865,40.90255598,-69.09581501,22.19444518,-16.55553043,-159.2821212,201.3154703,-7.55984169,39.61548091,256.633434,-139.7408225,-56.26286784,18.70481173,72.92306065,-54.11129277,78.32623498,28.72998754,-35.47108741,-158.6517002,189.6032912,19.7397093,55.92178579,241.0464386,230.045821,34.84290151,123.7855766,17.95334054,137.1312684,-149.9220602,-19.76886928,86.25104902,-73.04159908,79.10881473,-146.9601023,146.4740492,4.117279852,-114.6657125,58.66113333,37.99203036,-156.6743751,79.95052139,-112.9746281,-61.8338589,-79.82532817,-60.64021698,56.14819411,190.1194583,13.46177437,-112.0316477,61.47926819,-40.39380036,101.1898425,-153.7506335,-77.39766026,-87.63662554,30.9851637,-84.06715722,57.35193747,48.87462573,74.05856887,-58.30630618,26.53251918,-139.0909503,41.60932633,-140.7306741,-30.43423269,-58.11087349,-50.95351621,-28.0085577,-4.471911206,-66.12946895,40.60591285,57.57396102,-27.00941989,47.40485808,-53.70020469,6.493016342,-2.328364204,-0.459004274,-1.071831732,-0.066590443,0.362180952,0.024423884,0.361619487,0.05911872,0.121916278,-0.040701383,-0.187929017,0.209986118,-0.257034221,0.078383168,-0.225082489,-0.607706493,-0.212952551,0.322770998,0.048637853,-0.312285118,-0.398344949,-1.385570394,-0.177482141,0.155988878,1.073023078,-0.166288223,0.375068279,0.266682973,-0.106359674,0.630930629,-0.428580377,0.035901288,0.049112023,0.3476596,0.296049804,-0.060759381,-0.220675674,0.297750689,0.01459088,-0.227286273,-0.413133383,-0.099809594,-0.439170573,-0.232941507,-0.405056718,-0.013799809,-0.350299605,-0.14543112,0.028286283,0.34395911,0.020451926,-0.070881826,0.38539201,0.318474963,0.014462164,0.313808015,0.043344684,0.303249585,-0.068984917,0.375228648,-0.216390617,-0.168556704,-0.460788812,0.419642776,-0.158663207,0.02873452,0.426409739,0.466198757,-0.050976282,-0.171422488,-0.366306466,0.028544921,-0.262512785,0.010768987,-0.084993853,-0.05477864,0.050082369,-0.869903733,0.061931788,0.051379012,-0.396590802,-0.271215395,0.329979608,0.064055437,0.084146597,0.398295742,-0.300249498,0.496330239,0.064300933,-0.053340181,-0.452020644,-0.525248955,-0.385118663,-0.40518918,0.069736031,-0.111392507,-0.525933127,0.207182618
