pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20
0,-151.9526509,281.406654,23.12876099,31.31537055,-431.0956232,254.0295696,98.50636665,523.8166036,16.0959285,-136.2504621,-133.8641153,-202.9451589,-189.4620407,-148.9221513,139.8714069,-0.120122401,251.6874577,-293.8439825,183.7156222,3.891125858
0,78.27025388,195.9797102,767.0034401,232.3253668,225.344462,-100.14362,291.4850727,-333.191827,407.1262225,-99.810854,-211.6426545,275.0113978,26.86669387,-219.0974205,-31.00093296,-127.2480149,-6.380683282,70.32952094,70.64960061,-290.6344017
0,-504.6314477,8.632785295,682.1965663,-341.1898773,-37.7923359,9.082630541,-98.90462002,-100.1328309,-129.4243279,112.1374118,168.7799648,-183.3172368,341.6581982,-126.5186659,84.23750519,-90.42339957,44.03319314,-122.8070443,-108.2703505,-55.05733824
0,399.2128051,521.5075588,-11.87265711,552.3157078,-138.940057,-233.4902579,424.0331561,-278.5931246,-156.1794286,-342.6092923,164.1277995,-142.5619785,53.87796848,-57.64642446,-81.51515553,-243.2644469,163.728347,-285.5737413,-243.159202,7.374259972
0.007,705.3599514,85.40518707,-7.052102777,-482.4590063,-331.0862027,-367.1227889,-115.875483,379.6484327,41.50627563,32.19047116,18.2484467,-208.1378369,239.7865543,-102.0423158,-357.7287497,-85.28605895,-92.77818034,-124.7066692,110.9658408,-182.862046
0,-568.850419,97.11315861,562.4855759,-250.5523396,70.47089553,101.3665964,-156.65676,-241.3453652,-133.0004333,110.837531,71.20975345,-249.4869995,365.5141747,-166.8988336,125.3428408,-30.49484028,10.70116417,-164.5674135,-115.6940327,-75.43595241
0.001,-8.183906725,-92.98407354,105.6274171,86.3332682,-324.9825853,458.5327124,-137.6405445,479.1616415,176.6623777,-50.04442403,-174.0328993,316.1052208,208.3353556,10.09089104,-160.1547471,26.72319114,-328.7051842,79.65859498,85.40773111,9.709448937
0.007,474.2122446,428.0758159,26.33664162,-107.913083,-276.4961834,-188.0052397,150.2973059,-428.0586058,56.07514583,313.2564135,-213.8442993,122.0148276,7.396070762,-390.6306791,208.4547303,206.6701289,-386.0628633,49.52952949,-61.5389532,-73.12790363
0,599.9826294,535.3401894,582.1242846,404.8139111,-369.0512125,-159.722545,107.8661907,-157.9398488,76.78200876,-57.61748498,264.139334,371.7149824,482.2192983,-69.99951609,134.4229744,12.72708681,-207.4149082,-107.1067245,269.5891568,11.23002186
0,386.5527597,228.7119836,368.4879164,15.83944494,-100.3026073,212.8932394,103.2949699,-89.15809823,6.342132096,-82.92231895,92.2197604,276.1299677,696.8975979,-54.50747331,-86.85277523,125.3195008,65.90725541,-23.22351732,-50.01467112,-316.849901
0,481.2639034,401.4551958,199.5225765,211.9926497,-291.8943032,-143.2798829,138.9573588,-220.237701,-25.24611969,-396.6321211,545.3713919,-82.54533872,206.588949,358.3405904,-15.14956094,-274.6413525,-185.2274244,68.69551659,-125.577073,174.5403382
0,-626.3470298,-173.1925545,508.1381456,-40.45945924,-187.8585515,104.849301,204.3163983,-158.1027447,-109.3452008,308.1304663,48.0253497,-183.6088727,145.0618074,-229.9047378,-153.2041961,-36.27566036,-52.7732283,-96.92069085,3.416660987,-96.91320773
0,181.1601967,-14.91805817,735.6017022,333.4133162,-113.1830393,-10.11261022,-12.06736489,-55.39934422,124.8880328,-347.0884208,178.796845,272.1048565,146.3015233,0.003414695,-145.4532371,-204.9157092,88.29612229,4.737992011,469.8924599,-49.70863145
0,175.6941709,145.7332904,131.2422728,227.838692,-412.4779686,220.8549757,306.7848603,305.5168629,70.92668982,-72.74772759,-168.2542171,-241.9790498,-205.0980251,-32.8781226,224.6181845,-46.42104356,300.7933867,-345.8833275,107.9655793,-72.86913149
0,183.7690477,-108.2429698,746.7968953,201.0174035,303.9475894,344.2315739,322.5046206,-34.130671,47.42438874,-296.8900613,-180.3613218,228.9366379,-132.2108372,204.7128411,-417.5934519,101.3449536,248.1363592,188.9433615,44.27121731,139.6360582
0,232.1671314,-121.8902456,-249.0944412,-135.3955165,-44.76722811,-161.984266,-107.6699304,218.3306182,328.1030085,-87.95404434,51.19872075,307.5262557,174.2091181,-15.95121127,106.6622917,108.7339877,38.79417352,104.7349679,101.0179201,61.70421043
0,251.4575461,-68.56818042,262.3616797,141.6308338,37.36085458,-152.1261554,123.0070148,-44.66870707,216.5366444,-158.4463244,458.4994171,318.1729904,-31.88661282,50.54436702,-215.362061,62.87302341,274.0279842,-69.27706851,-212.2894707,-234.3681039
0,441.9875453,136.3558515,135.5689141,-232.3062222,-226.9417117,262.0166758,130.0931597,-171.7669267,-61.2713036,23.61396206,-214.9383552,191.9557535,459.3949337,-113.6831628,-93.81206877,110.9114101,-126.9229932,-192.7217016,-93.6178126,-125.5301067
0,-30.87395732,372.8258075,136.3489281,304.4991856,83.35004184,-439.3260032,54.26070153,-183.7960731,154.4650302,277.2262237,149.5455278,303.4020916,-423.9304229,-147.4768093,313.9388125,135.0197132,-39.6721031,20.17102728,205.0802561,-18.32317472
0.014,310.3953975,-364.4143049,28.57838983,-422.7884827,-172.3120642,-183.5232962,-197.4750742,81.54031374,-72.77336294,-113.206122,1.163590432,1.269377175,222.9659449,-331.926483,144.3749038,-3.151714632,133.1503019,-104.7686278,31.91100803,135.3952443
0,610.8862203,902.6642955,37.90971292,503.9373026,-319.0239493,-279.8742675,392.7888083,-318.8782334,-250.1194626,-166.7874412,-53.76844347,327.6547993,301.5690122,-154.0292117,212.8422418,218.8031213,-175.113289,-65.37828833,-437.23274,218.5599952
0,407.7944114,-142.4674053,181.0904266,-177.3544464,-41.95669788,-115.9930341,25.66327216,297.8670476,-62.58991801,-219.5288795,-42.34447826,-359.1443928,-182.0155628,246.9630866,320.1988083,55.40238513,78.06808037,-225.9382851,175.2570644,4.30171018
0,510.2317855,87.37505599,-330.2605223,-234.8781546,-88.43451477,-359.0968312,-68.6231149,181.9197636,121.0038132,46.38127259,228.3658185,131.7147736,-20.63223838,100.0082416,-224.5860578,18.28998671,-65.18409599,-140.5783666,207.4495061,-39.06840391
