pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40
0,-151.9526509,281.4066533,23.12875927,31.31538946,-431.0957266,254.029686,98.50640372,523.8150327,16.09760061,-136.2712457,-133.8257731,-203.0194475,-189.4620455,-148.9534255,139.7270526,-0.315812367,252.2951725,-293.3975572,183.6795408,4.247296599,32.63226603,50.9768821,-157.108017,-28.11996692,46.91761802,-0.900940554,216.5472932,79.7125335,51.14547413,128.4448647,-153.1679582,-89.13238697,94.77150556,-62.78146994,-60.21051289,112.226754,-9.313102345,-6.456889182,41.10482032,-62.96222525
0,78.27025392,195.979709,767.0034812,232.3254908,225.3442308,-100.1434497,291.4871771,-333.1955099,407.0990766,-99.81929539,-211.6130741,274.8833642,26.94662228,-219.1761522,-31.07884519,-128.5700808,-6.493391294,71.55091852,68.16639357,-291.9839298,-436.1362216,209.7747068,-159.5482967,-350.2681518,-30.22664563,-328.1291438,254.8372589,-77.73156097,-165.8929413,123.816808,-185.2314646,78.62683595,-174.8833997,-4.5012766,-149.671727,23.71001104,-114.1335119,40.59044991,80.66590058,-69.61525347
0,-504.6314477,8.632785327,682.1965604,-341.1898815,-37.79244361,9.082791456,-98.9045804,-100.1350934,-129.4186795,112.1304281,168.7947066,-183.3319859,341.6040351,-126.5110225,84.1390134,-90.60800132,44.41064468,-122.6386814,-108.2259158,-54.77971343,-12.43875929,26.09713152,154.1902415,-67.7066152,85.74828824,66.26710159,95.78976718,222.0380454,98.00197727,66.37439942,-61.32913361,-55.03886606,-10.29928558,113.7331715,-23.5806251,37.90020937,189.7755126,-58.43821578,0.316141114,-84.56251947
0,399.2128051,521.5075601,-11.87266975,552.3156651,-138.9400853,-233.4903699,424.0327395,-278.5945287,-156.1733806,-342.5985317,164.0936489,-142.4616809,53.82345213,-57.61821303,-81.45154241,-243.0311852,163.6440803,-285.5900638,-243.8088147,7.587641483,-47.1475955,395.0724563,-265.8162169,-37.41947418,-285.2417481,-110.8523475,-135.6029325,6.102752916,32.71405585,-164.3252104,112.5736841,33.35945973,-11.85794796,154.1364396,-20.76289454,119.2423188,-26.40796287,-139.6191675,39.04231109,-107.5112869
0.007,705.3599514,85.40518645,-7.052098278,-482.4589891,-331.0861927,-367.1227931,-115.8752886,379.6486751,41.50612125,32.19332975,18.2527386,-208.1761256,239.7736265,-102.0417527,-357.7795889,-85.544967,-92.99344468,-124.9141398,110.7236253,-183.2447544,-6.555783603,-130.6813548,82.7548487,33.26462963,-76.33130714,78.97756787,55.85678191,-60.77331777,-95.32349359,6.386214474,-133.4551803,-42.07630741,-14.40634607,-91.11323851,-133.9115797,-185.3962145,122.6649957,118.0957367,-57.81602192,-94.49146363
0,-568.850419,97.11315843,562.4855814,-250.5523276,70.47081865,101.3667885,-156.6565006,-241.3469959,-133.0010012,110.8326736,71.22007422,-249.5211874,365.485673,-166.9124847,125.2710753,-30.798511,10.83940097,-164.3648945,-115.9643196,-75.45151169,4.92022459,-62.16977672,154.0566463,-64.38973261,182.2590371,36.96993202,90.77697293,167.4235977,113.7045957,121.7028248,13.34709455,-74.01594846,60.13100937,125.5765603,-59.43661884,34.71065724,188.5245167,36.4799398,58.57780439,-80.88095233
0.001,-8.183906701,-92.98407459,105.627428,86.33334005,-324.9826824,458.532802,-137.6394793,479.1597962,176.6542859,-50.06575224,-173.9751465,315.9916858,208.4142905,10.08300377,-160.2041056,26.18420941,-327.9695925,80.5993157,85.38342677,10.83213987,-38.68867872,106.2540919,142.0678912,116.9437908,-43.60645838,281.9719781,216.7709942,-73.23493193,-14.23760175,71.57709221,-156.3593604,-95.46290773,-59.96201953,-115.1367214,36.17949869,-29.90412505,-57.66571389,-15.3438913,-57.76717967,139.5006714
0.007,474.2122446,428.0758163,26.33661616,-107.9131057,-276.4962428,-188.0053144,150.2971835,-428.0620242,56.09290497,313.2495491,-213.8244549,122.0601362,7.316897033,-390.5479746,208.3575541,206.6739679,-385.5490633,49.10735575,-60.8386531,-73.35963392,-285.6114081,-198.8555408,24.07418592,-18.99410665,38.9379843,17.25441094,-40.01676758,101.4280693,-137.7089683,-29.48823687,-177.5836282,-252.0695926,-208.5738598,36.282279,-26.82336995,-126.9795935,164.6142248,-99.28241869,-93.28176386,89.68487819
0,599.9826294,535.3401892,582.1243048,404.8139489,-369.0512789,-159.7221149,107.8668063,-157.9392356,76.7663405,-57.6188713,264.1444319,371.6469683,482.2524185,-70.05522728,134.4410325,12.43027932,-207.4672018,-106.3507959,268.3905126,11.15704982,90.28442111,42.92420456,-15.49409746,-1.331960572,-150.0174363,-126.4250973,75.75935935,-213.34976,-113.258606,7.142819471,-23.81510262,-17.29251826,2.47147218,-66.80868594,193.7671335,35.78148695,130.1287586,-80.4409834,-110.288565,-60.41577374
0,386.5527597,228.711983,368.4879329,15.83948603,-100.3027002,212.8937535,103.29566,-89.1564225,6.324937737,-82.92085421,92.22192388,276.0480841,696.9046207,-54.58104412,-86.95627529,124.6989506,65.30111176,-22.58996822,-51.79442993,-318.6601474,-350.9862765,200.9337947,-53.13745997,98.79552277,-349.153016,-23.23937252,40.87767692,-68.91653512,22.70369294,-16.7503119,-158.6971643,201.6366474,-3.80725691,41.29739807,257.5351623,-141.9907198,65.89393736,8.934075484,77.99443578,-59.91182818
0,481.2639034,401.4551963,199.5225989,211.9926298,-291.8943411,-143.2793943,138.9570533,-220.2366952,-25.26174546,-396.6230146,545.3239381,-82.54270617,206.5424015,358.2360494,-15.17689757,-275.0146436,-185.9628587,69.15058195,-127.2009706,173.2202857,251.4696666,-41.13213026,-227.7814524,-102.4422639,-133.1500159,-210.5991215,218.8773209,-9.867594759,-79.10884121,-47.88067428,-1.240074493,98.51405809,141.1680832,38.4057262,117.45536,250.3525082,103.3059664,100.252829,92.06975478,-49.61438875
0,-626.3470299,-173.1925539,508.1381148,-40.45949687,-187.8584147,104.8487786,204.3157834,-158.1028508,-109.3208249,308.1266062,48.0441,-183.5506568,145.078762,-229.7764598,-153.0223038,-35.31973728,-51.85698379,-97.42078571,5.758212741,-94.66203388,-51.82580167,171.3236121,-90.28285348,-46.74395262,-24.2307934,57.96682964,-27.45469696,163.9749644,119.6216336,-23.71012554,158.5361271,-139.022921,-55.41018032,-60.5138708,-56.28809941,-76.81372853,-1.839683634,-89.0776227,-42.93153961,-62.50769672
