pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60
0,-151.9526499,281.4066606,23.12880082,31.31558558,-431.0959635,254.030105,98.50657545,523.8135909,16.09839267,-136.268897,-133.8264302,-203.0145281,-189.4619653,-148.9581863,139.7614929,-0.310785537,252.3140474,-293.3910027,183.6924377,4.236336554,32.55511339,50.96967889,-157.4640647,-28.26527838,46.95661169,-0.949827607,216.709419,79.07925251,52.35257484,128.2007049,-154.1741939,-89.70865908,94.06926952,-64.22705472,-59.83741954,106.1913992,1.49105545,-14.3511369,46.06860688,-62.21240969,42.95044202,102.0445048,-12.54268845,-45.61395467,20.86760437,87.59606641,117.6980048,15.4499013,88.0290094,-18.23081234,-143.1472015,-18.7405353,-83.49020403,-3.58954525,112.0549248,-70.31305971,50.25777591,76.37426504,-37.57555423,112.3724589
0,78.27025287,195.9797542,767.0034684,232.3259178,225.3444239,-100.1433377,291.486346,-333.1972116,407.1006448,-99.82061538,-211.6099869,274.8905533,26.96446459,-219.1777183,-31.09596922,-128.6213525,-6.432837482,71.5319958,68.27781084,-292.0897588,-435.9954784,209.6353631,-159.3647352,-350.179592,-30.57041354,-328.5572593,254.4151083,-77.72007647,-165.2520451,123.6546588,-185.8077113,80.16732057,-171.2349215,-4.247149707,-148.1190454,23.4903233,112.155005,29.2986328,78.30056419,-63.31630581,105.7494913,90.53539789,59.84234082,-45.62564586,48.67170739,92.96550974,-41.88737981,120.7392644,57.38958278,174.2475804,54.94539133,25.58756484,-52.80186451,93.55196875,-88.42006676,-84.21801754,119.1476509,-49.50943998,24.52452933,-103.2177712
0,-504.6314462,8.632811138,682.1965469,-341.1898109,-37.79219481,9.082945133,-98.90458344,-100.1370113,-129.4198199,112.1320991,168.7960091,-183.3425232,341.6023084,-126.5207797,84.09873143,-90.64071763,44.38901799,-122.6554547,-108.1845663,-54.78977026,-12.47611187,26.04593902,154.5776586,-67.68978813,85.50150826,66.24615809,95.50113381,222.2118018,98.37999564,66.13859378,-60.04196473,-55.54946014,-8.62385267,107.1614294,-24.03804767,26.37965688,-197.055865,-63.61524135,5.648635426,-88.64956501,-86.6891869,-133.1267368,-129.3610866,-53.58956195,27.30079899,8.143016296,-32.02350099,36.21805525,-89.51494088,-107.6854829,16.77004834,-69.89656613,-30.62621218,19.05510038,-101.7064906,-87.2913025,32.70197479,-3.385121716,37.92445248,33.44197789
0,399.2128074,521.5075864,-11.87267688,552.3157208,-138.939935,-233.4904442,424.0318942,-278.5979194,-156.1728636,-342.5963376,164.0957597,-142.4698537,53.82140202,-57.62623704,-81.47939263,-243.0803245,163.6317485,-285.6046719,-243.7445612,7.599731275,-47.13193653,395.1634716,-265.4659979,-37.33250099,-285.754351,-110.7261364,-136.5000663,7.043694161,31.06410891,-165.5753764,111.9850026,34.54740653,-12.90382903,160.1561537,-20.63891773,117.4007982,24.692219,-144.0276772,34.23913558,-97.1004807,92.95405674,-85.85245764,44.56378088,4.307442576,-80.34484509,49.28575651,125.4308989,95.38650879,147.3982881,-68.41635647,23.71489836,-63.03458214,-12.9962047,-116.4780188,0.683286945,131.171516,48.73820193,36.69191065,61.43783631,27.44421976
0.007,705.3599497,85.40517442,-7.052095192,-482.4591304,-331.0861575,-367.1225526,-115.8746005,379.6501381,41.50253721,32.19181918,18.25362164,-208.1815231,239.7649909,-102.0363994,-357.7777703,-85.51743699,-93.01002534,-124.9236742,110.6975314,-183.2746121,-6.660606871,-130.6650064,82.67917959,33.13509243,-76.07676161,79.23840925,56.2191719,-60.75883222,-95.68594303,5.543413265,-133.4514225,-41.32087813,-10.03793332,-93.64692648,-134.7607125,-194.3442842,-115.6648949,117.3215423,-48.21468945,-107.045402,-32.20413867,-27.33579202,139.4966435,-107.4642338,-36.86920122,-52.70283087,-30.64014466,124.9317128,-31.75745815,2.467810515,-75.45636528,58.68162896,54.81273213,90.75856842,-2.149089169,6.460093662,-10.63291772,97.37382896,-81.32399236,27.4384539
0,-568.8504176,97.11317264,562.4855781,-250.5523285,70.47096003,101.367171,-156.6563096,-241.3471907,-133.0030758,110.8322527,71.2204464,-249.5371421,365.476887,-166.9209677,125.2276317,-30.81713187,10.79679804,-164.3706431,-115.951004,-75.43753994,4.850877615,-62.18039795,154.4368209,-64.17850088,182.0986463,37.03936286,90.61716159,167.6651371,112.9996675,120.6758196,14.11672098,-74.20726612,60.28081463,122.6736939,-60.43669264,28.83868582,-190.1811098,35.09575072,66.46180267,-88.15593198,-143.6926994,-111.3577526,-174.468345,-20.1968792,59.30822817,20.00885238,3.696828426,27.64879391,-41.11459442,-61.26814913,66.81485529,-143.04556,-0.626551641,9.954965175,-51.6548106,-11.14344591,48.21730275,14.12568844,26.56997426,46.55870611
0.001,-8.183908565,-92.98403807,105.6273991,86.33358184,-324.9824202,458.5331101,-137.6401602,479.1576407,176.6518864,-50.06667443,-173.9698083,315.9850332,208.4166785,10.07273976,-160.2437012,26.13608383,-327.942313,80.59287299,85.47267704,10.79625558,-38.66672011,106.130062,142.2854415,116.9913098,-43.87356428,281.6224319,216.3232856,-73.91714241,-13.22440372,71.63955296,-156.4200144,-95.88386945,-58.4945962,-116.9731375,36.40101871,-28.04967939,59.86143969,-15.51637167,-59.13405923,141.1516846,69.5029193,-26.86392303,43.47097675,-55.74966646,9.576409499,22.22251087,10.63008606,18.34883249,-79.89402613,-19.29763503,21.6070704,29.49265319,104.6572073,64.06355374,62.8107603,129.8578091,-40.31332287,-108.6568941,-30.33585958,-46.14100444
0.007,474.2122451,428.075807,26.33669093,-107.9132392,-276.4964361,-188.004817,150.2979375,-428.0609657,56.0926186,313.2457347,-213.8266822,122.0538029,7.31174022,-390.5534194,208.3428479,206.6737779,-385.5962595,49.09283628,-60.91600525,-73.38362214,-285.7285641,-198.7893352,24.26059186,-18.93635033,38.94886711,17.26419843,-40.01003382,102.0688294,-138.2753288,-28.87321133,-178.2866394,-252.3277799,-212.6227207,34.52253118,-27.67303113,-132.5149394,-153.5749846,-86.78294726,-106.0870731,87.01234642,-131.4354742,-111.843576,137.6420392,109.7423334,-21.5928212,149.1770197,108.9279242,70.14394635,-198.9476952,71.50752336,76.56319524,29.72838266,-85.13829157,-77.03582159,-211.7694907,154.2379222,96.55748801,-209.2817181,-116.9269786,56.20445584
0,599.9826288,535.3401865,582.1242977,404.8139844,-369.051356,-159.7223755,107.8664943,-157.938407,76.76698168,-57.61792983,264.1429703,371.650761,482.2561475,-70.05052409,134.4576738,12.44845532,-207.4602928,-106.3504548,268.4382274,11.20335681,90.27850855,42.9311683,-15.64064129,-1.544744522,-149.9552024,-126.5608054,75.74925871,-213.1020188,-112.9430078,6.868048895,-22.71481077,-16.81366488,1.699759616,-76.43501359,193.5008293,19.47721844,-137.1122299,-85.87423746,-107.4021334,-64.82894716,102.1379857,-58.23267583,-13.82538075,-78.44756843,115.9507436,-60.91749793,-37.16108611,83.17045907,-38.22928908,-36.41009513,-104.5884116,-16.05944675,-100.3120005,-62.1372121,49.46837811,-17.24542844,116.5176122,69.89479457,89.80853063,77.52669112
0,386.5527598,228.7119715,368.4878936,15.83927994,-100.3025149,212.8934034,103.2963704,-89.1535974,6.32505471,-82.9288631,92.22102599,276.0460958,696.9042079,-54.58401905,-87.01161456,124.6854203,65.25335388,-22.58211602,-51.87065049,-318.7078827,-350.9185427,201.0113641,-52.80527286,99.02134824,-349.4654308,-23.32765131,40.63454678,-68.49832792,21.45901716,-16.5722728,-156.8945308,201.7235812,-8.545744189,39.61786953,257.4562863,-137.5292551,-56.39230266,20.29016017,70.90333223,-57.72932435,73.35140239,33.2055634,-37.33961797,-164.9700079,194.8480345,16.80039634,57.08095448,254.7400092,234.0816646,-25.86640494,96.89547955,26.32245209,90.42641892,-202.5609186,-12.32722559,74.35036929,17.74954897,-13.26764267,279.9019403,8.160846029
