pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80
0,-151.9526515,281.4066534,23.12875868,31.31540683,-431.095777,254.0298102,98.50634272,523.8152785,16.09758914,-136.2714498,-133.8257157,-203.017221,-189.461951,-148.9507883,139.7324914,-0.316080544,252.2946156,-293.405315,183.6823362,4.235291567,32.63174786,50.9549642,-157.1321878,-28.20483453,46.95890932,-0.892935971,216.5422488,79.50502411,52.01974194,128.5374169,-152.3071392,-89.70303625,94.88663281,-65.61882136,-59.23146869,108.7245382,0.241867805,-12.65454157,43.70467658,-60.88449386,40.07692405,103.5659016,-9.214311105,-47.39263616,18.76255055,94.91750986,109.4408364,31.70240957,113.5584712,-26.33484612,-158.6700229,21.61793113,-92.18632734,-11.59813478,-110.2621051,-72.02538938,-21.66850003,93.35142933,3.606618779,-90.50792571,23.63247776,77.07661356,-140.590142,-81.1353741,-121.2197982,19.16386222,-80.80475128,114.0371092,26.13208055,31.50591344,160.6603927,-47.29550716,-46.75236811,-33.44143607,-1.669751151,66.74290038,88.24374681,-23.96022281,-50.55423357,-22.05498825
0,78.27025226,195.9797049,767.0034823,232.3255296,225.3442387,-100.1435885,291.4871369,-333.1953965,407.10004,-99.81896488,-211.6122783,274.8804504,26.94625421,-219.1745273,-31.07690351,-128.5679495,-6.49158318,71.56417852,68.19106159,-292.0080883,-436.1713507,209.758223,-159.4386763,-350.2824949,-30.22602868,-328.2497325,254.8647008,-77.38074952,-165.8867114,123.6746369,-185.7553588,78.56181517,-173.0655706,-2.699935714,-149.3506144,24.68870344,110.9974983,30.8912959,79.36016577,-70.12296955,101.298768,90.01205718,49.73631539,-41.21082777,42.07004799,103.1095202,-28.9472961,96.67578667,47.36707314,212.0495829,48.13307736,-32.7896972,-35.84332212,80.23545651,105.0039048,-61.55124169,-23.99479844,80.5756616,94.56986694,28.24454359,-20.97888228,74.4159946,173.4618582,-46.7276496,202.6865226,-136.2644061,-63.27866534,101.0602269,34.52452203,64.26798574,14.53986431,-125.383207,2.440121029,-11.38793385,28.26996041,-68.11898372,18.06487599,-93.57396431,-19.50277185,100.1345259
0,-504.6314471,8.63278987,682.1965521,-341.1899007,-37.79244263,9.082859898,-98.9044911,-100.1349949,-129.4197294,112.1310242,168.7938066,-183.3283057,341.6048804,-126.5097315,84.13675089,-90.60338046,44.40543706,-122.6394356,-108.2267584,-54.7689228,-12.44814428,26.10967857,154.2046156,-67.8547862,85.77490582,66.30100523,95.90463731,222.1282068,98.32543773,65.7173338,-60.09912015,-54.58557331,-6.517272629,109.7037767,-24.25561134,24.05362382,-196.3295764,-62.79623905,8.367485833,-90.95487146,-90.64769809,-137.2490318,-122.8646132,-63.4802105,30.39669916,8.813965068,-41.08619251,35.90530089,-71.16189707,-107.7168479,38.7828813,69.08235365,-33.31833186,-22.60103141,84.06227772,-118.8974996,12.461233,24.79931915,-12.21173256,-38.84227507,44.62812546,-29.80820422,2.551297912,-88.8166047,-21.3865158,31.34674821,-86.40310563,-61.42957801,51.67542831,15.43764403,23.67005998,53.61596371,4.859249866,-40.24481652,-4.141965783,-36.24449243,-15.83818281,-42.71259838,41.62398345,5.619869125
0,399.2128044,521.5075603,-11.87265979,552.3156857,-138.9400431,-233.4905486,424.0328233,-278.5944193,-156.1732844,-342.5979702,164.0935552,-142.4647425,53.8219288,-57.61712063,-81.45843734,-243.0301553,163.6482114,-285.5636968,-243.7897524,7.602911201,-47.19026362,395.152425,-265.72793,-37.25922347,-285.3956249,-110.5771468,-135.7607583,7.133897252,30.30368306,-164.9568757,111.4503705,35.63063415,-10.81284889,161.2688422,-22.6522243,115.4014216,24.72726387,-143.7204153,35.34980201,-103.0349741,94.71505608,-92.00557635,42.32974557,3.166316097,-77.38624875,46.22921937,126.0454201,84.8560377,148.8046323,-37.53583976,19.83879745,64.95816958,-21.58914446,-93.23798303,-54.98294503,107.6291455,113.3973416,37.7430207,-3.172956436,48.7895627,162.4245721,-63.60393007,43.18957019,14.95415149,99.59062269,58.92781169,26.42709938,-160.2652854,15.33461183,49.29627015,21.54582184,-41.48705187,13.84786231,-74.88169599,-40.96509852,-3.391753445,-11.65619165,31.71821644,-34.70757118,52.73826006
0.007,705.359951,85.40518631,-7.052093883,-482.4589736,-331.0861775,-367.1228069,-115.8752797,379.6487412,41.50631834,32.19306987,18.25282535,-208.1769504,239.7742014,-102.0401731,-357.7801684,-85.54313547,-92.99325963,-124.9129556,110.7264476,-183.2492321,-6.580392706,-130.6620116,82.83331515,33.17150874,-76.2809338,79.04254747,55.8543754,-60.57177843,-95.63196083,6.024077655,-132.6899568,-41.29292216,-12.77415804,-93.53951447,-134.6447852,-193.6999024,-115.8025926,117.5313576,-51.43699711,-103.7113211,-31.17095873,-18.85383459,148.4011739,-98.29703863,-39.39121071,-51.40584298,-37.88325783,129.2137826,-17.00292501,-1.23656115,-52.97310891,-57.1137019,40.21349644,79.75006979,17.76153325,-33.32084025,76.35724107,20.51746526,32.41187219,-66.36714206,68.95787878,111.0176428,-96.4237154,59.65875777,-13.30797522,-78.3073369,36.1938665,-81.10666064,64.07660276,-121.8199213,-17.01469127,9.023053658,-16.80617337,184.2247553,-53.23729513,53.51922523,-92.50279017,84.93183451,-28.74981537,60.31810129
0,-568.8504182,97.11315968,562.4855829,-250.5523417,70.47086014,101.3667162,-156.6564183,-241.3471427,-133.0012864,110.832778,71.21948368,-249.5221017,365.4859945,-166.9130525,125.2638199,-30.79692441,10.83526052,-164.3603516,-115.9654878,-75.43427009,4.918850544,-62.12119194,154.0883917,-64.44210931,182.236715,37.05701057,90.8326556,167.5637427,113.2587766,121.3997913,14.64758526,-73.3601784,62.800096,122.89027,-61.07886032,26.64527783,-191.7922806,35.27055925,68.80611198,-88.52325062,-148.1799294,-113.2205781,-169.8144217,-29.30910841,60.27068161,16.63491675,-9.691776275,25.76020825,-24.98092603,-64.56608377,77.65262535,150.062912,-0.472617419,-28.40739079,59.01523406,-50.24233814,10.46950113,71.40335178,1.622844791,-58.41633724,21.32239062,-30.45716982,-39.70199553,19.17882692,16.72876599,33.48086324,-58.26159614,-31.00008032,-17.57071837,-25.56713405,47.03366219,74.43316516,6.811543882,6.504751119,13.24168484,-58.87284223,-42.41162219,-77.88784936,14.89438493,-32.54958441
0.001,-8.183907792,-92.98407193,105.6274318,86.33338704,-324.9827279,458.5329438,-137.6395581,479.1601606,176.6531596,-50.06533109,-173.9761363,315.995971,208.4151049,10.08634849,-160.1986338,26.18006948,-327.9650637,80.59871419,85.38481702,10.83371759,-38.68912974,106.2545279,142.0196046,116.8981444,-43.61317216,281.8726707,216.864374,-73.7692407,-13.89472692,71.34112733,-156.7523793,-96.20946288,-61.86843892,-114.6121925,36.27749456,-30.09519329,59.35571541,-15.28769266,-59.84512857,135.5984361,61.09578832,-29.24159676,39.5537556,-54.52539464,1.711708469,26.7335686,11.76222897,16.88887719,-70.78824496,-20.41359795,20.41649002,-20.07355943,82.30098099,103.2338944,-38.84967856,119.6089969,27.28630474,-18.66084278,35.46125284,-115.8562288,63.20830007,3.03751836,9.545811795,-52.86572026,132.5832564,-83.95565722,-39.20087705,-110.3673422,-104.1908147,-41.85655592,-139.6974743,12.04366024,-41.86219411,-73.43516474,-6.228634333,-70.58648583,25.42616384,-25.2741079,25.39773684,72.78247293
0.007,474.2122446,428.0758184,26.33660925,-107.9131014,-276.496279,-188.0052847,150.2971533,-428.0619455,56.09183268,313.2501507,-213.8255873,122.0632263,7.318543184,-390.5464361,208.3556302,206.666674,-385.5462638,49.0892576,-60.85370852,-73.36485134,-285.6173806,-198.8441667,24.07773183,-19.02631972,38.91719601,17.20506656,-39.97505772,101.7261997,-137.5136871,-29.21425625,-177.9139078,-252.3093445,-209.9440945,39.64891746,-24.85686925,-131.7689779,-155.1966522,-88.13499624,-106.632882,89.59552599,-133.1533699,-108.8548033,137.4556253,117.1641004,-26.52574162,142.1018368,105.4507073,71.75966851,-190.4274128,56.20106237,58.92955823,-44.65801457,-39.16514596,-186.8145195,214.0553222,160.019917,-45.32487936,-0.572785377,238.6532494,-146.3844566,-6.812526506,-11.39428814,38.90995467,-65.94599295,-45.96084528,51.42452888,7.337382431,47.51842223,-42.38369375,-13.20812381,-52.71566239,117.8297507,81.2332461,-21.43343082,48.8423642,94.46466565,95.83469131,47.95594918,-59.96221517,2.684922949
0,599.9826296,535.3401884,582.1243091,404.8139526,-369.0513131,-159.7219092,107.8667224,-157.9392831,76.7666604,-57.6192144,264.1448886,371.6495452,482.2532356,-70.05590676,134.4464636,12.43360814,-207.4741242,-106.3602378,268.3944282,11.13234049,90.25976714,42.94682561,-15.43213064,-1.550095545,-149.9734255,-126.3811275,75.75730525,-213.0384744,-113.0793575,6.84301678,-22.69604372,-17.59288809,2.90078956,-75.78708719,193.7143407,19.26169361,-137.2716783,-87.27654755,-106.4095115,-66.77101503,102.9912307,-56.78677494,-7.813003878,-78.48246582,111.5761948,-52.60125191,-49.82116568,100.2038516,-29.41272601,-27.84133438,-92.37705749,-7.424730107,-99.0543009,-56.79356311,-41.95584859,-51.28937681,12.40886903,164.9535999,-73.21080954,33.16467208,-9.61454723,-74.23412903,-39.14895092,46.34618708,-24.58945161,134.4498046,-61.64353985,18.91505506,-20.21663104,26.2372878,75.39623185,24.31237614,45.23504812,-6.079877743,7.507392965,24.2716793,-35.02590885,5.026545283,22.58787696,-75.43038747
0,386.5527591,228.7119829,368.4879362,15.83952098,-100.3027566,212.8938719,103.2954897,-89.15652612,6.325056798,-82.92248971,92.22020436,276.050401,696.9049533,-54.57477385,-86.95627969,124.6829874,65.31051521,-22.59952501,-51.81552276,-318.6727131,-350.9742331,200.9387645,-53.12669537,99.01890163,-349.2316088,-23.21581563,40.91138184,-69.02144495,22.25488502,-16.92194045,-159.4918452,201.0846013,-7.423640614,39.43459368,256.601528,-139.9017301,-55.26477546,18.71876324,72.95432648,-52.82316545,78.07047022,28.14805405,-36.6635189,-158.4642392,189.4558832,20.36719999,55.14272175,243.1619951,227.520166,33.13976027,121.9535313,-17.19371494,126.7189004,-166.783695,-21.1301114,97.89888719,-39.12450256,73.36334205,-143.6511839,166.3433786,31.2548142,-103.9947308,78.9482452,59.15961475,-133.7969314,40.39175646,-120.5532797,-64.32992276,-82.43244186,-108.0896038,-115.7251657,-86.26426641,160.5181936,-27.38402794,16.54497017,-24.66839445,17.07117873,109.993131,-30.10475008,-59.27714572
