pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100
0,-189.3522269,245.0937006,81.41938059,-29.82170207,-492.0764011,281.7247904,56.75862132,600.1942559,-75.548955,128.1476863,-201.288921,-246.6927538,-112.5715974,-150.9583859,-117.0196863,11.82979754,262.3652446,-274.2656713,-126.3190367,67.2076745,131.2962861,95.9705789,157.1103319,116.7331217,91.07203824,152.348029,-104.7759806,80.92690843,38.16020608,93.80309908,-6.26066468,-248.7492296,14.48135041,74.552728,-54.18357526,82.00364049,71.15715561,-1.919902014,-87.66840125,-126.3688254,-10.17447396,15.83722902,41.06087805,-47.80418493,43.06913132,51.51741802,-134.0507317,77.80136864,-44.12192369,-14.52722511,200.4474538,-123.9210696,-53.37810528,-51.45816292,100.1776469,-16.88411302,73.05053718,77.3884552,13.96261874,-78.03429125,9.402935667,-49.86258164,-155.7609883,-97.05202086,164.1121163,-37.08172626,-5.26772089,65.67206858,-123.289034,-11.69055179,-1.864352113,74.3972798,115.1068691,84.80867211,-3.474969993,-21.01510261,-55.80750581,39.26939033,19.11591616,-130.116749,57.86071068,1.796326977,16.39042167,-39.90519069,96.02039492,3.093861445,28.25886491,38.80482573,-23.99766767,-51.50724185,68.80154558,47.19592168,-43.49992556,2.378271011,-37.70751737,-46.07622717,-30.77883314,12.37149835,18.65716898,-14.19658189
0,-66.41180954,49.94755594,907.1264687,238.0389805,215.5833082,-143.1391125,361.2165043,-223.7104784,538.0863786,57.45009801,-141.3553809,227.7680297,-302.8341229,232.7644699,-18.5690411,-146.8933099,87.18356682,123.6028433,419.5884901,35.26294057,506.4365896,-94.69393468,262.9807605,331.9633888,-136.0984685,446.589113,12.00371503,-201.2307133,-193.8893991,205.4590314,-224.8838394,-40.15034669,162.7906596,-125.9789268,-193.153844,-38.77241687,156.4609785,66.99557584,-116.3473312,-91.32554141,-64.92784767,-84.60977386,60.33503175,-75.97711327,-35.30495582,77.81132956,-51.66329237,170.2171388,73.84327142,-226.0601265,7.434239899,124.4283189,-31.7875172,-146.5545067,-154.7708597,-73.76539696,126.0304391,36.03577923,81.56918684,74.39387304,-136.5265951,-193.9863977,157.4446662,-16.4022394,-189.0323883,-12.26239625,-100.1423145,94.86642432,-87.33703706,38.84005195,85.29101555,-15.17572295,54.71774243,-7.879468328,23.02457408,-64.12613137,-157.9539268,-49.48274561,35.37762043,16.31897288,70.60924204,-38.10438202,-165.1779295,77.70315553,21.35508552,-16.79239915,-233.1309531,49.80969246,58.11493348,-105.1740935,59.60064907,-74.41469511,7.368452553,89.65646497,9.20650514,-36.77571647,37.07212788,-43.36018189,6.251905371,-9.909503752
0,-462.4368083,-3.939928075,724.1464053,-293.112825,2.119792686,31.74044585,-40.7208035,-218.3835311,-104.1660374,-80.89609788,115.4211897,182.288253,-62.31999508,-334.5727511,-84.6054217,-63.23763356,74.92779668,-118.4791254,163.7637779,-17.64717125,-13.80788127,-153.2437475,-131.7793503,71.71281401,154.3731017,6.096489985,-67.32098941,241.1128576,100.7698173,49.33872471,17.22941984,-134.0911773,-55.66279907,-93.00440605,-42.27947552,118.2178571,-169.195592,-118.6753682,5.360901451,-83.35680993,-24.24859975,202.2494283,0.272760266,129.542845,100.4373388,-28.41705689,127.5502734,65.52165242,-3.091321642,42.98181288,-47.69527751,-1.010699415,-73.73477469,19.71782115,-28.09564416,-149.0476222,28.41137425,-10.13918111,-45.48514016,-50.47135401,41.40805528,1.950283282,28.43700127,-59.50489826,97.84530387,25.26513353,-62.59724419,59.74713472,73.41028098,-16.62607929,-27.61890112,23.92315303,-56.9045067,12.47882475,-58.6806692,-36.28798471,28.48829368,-34.80047128,35.85386724,78.09117803,-3.679144172,8.965612189,-34.83636876,-42.89779794,-47.13725978,35.88670308,19.73800953,-70.41976976,17.65270756,-47.0414399,-21.00301836,68.93879662,31.05674782,69.08312222,-24.86335881,25.32779942,4.019165319,55.79327579,-49.71634452,-62.06132181
0,398.6449935,613.1479633,-9.127226455,618.5169733,-189.1433462,-235.6937896,444.4879188,-269.5172313,-21.58399966,457.7752411,53.44491965,-42.33416128,-35.64080159,44.19635923,-165.5792483,8.213503409,153.2951433,-347.0542972,125.3773306,-25.71321724,268.5102755,-316.478866,334.5271999,-104.4428389,-404.2671177,-160.707709,-0.413329837,100.3621166,47.04285673,-135.0467751,-3.855146751,116.1368192,-99.51779533,-74.0351802,-98.18848144,124.1194822,79.48991059,-161.4980774,-60.26636831,-67.94158111,-97.14853564,-70.86942372,3.813919737,185.3685082,39.95125934,-28.2739405,-173.3539871,110.4892171,-142.5610889,-43.4857002,32.65004252,6.809918304,-31.27350789,88.25942117,9.84662556,129.623033,29.38062582,-116.1603367,-77.94784903,83.28511304,137.3154123,-41.65059281,82.74939601,63.55580872,-34.93294349,94.2026069,1.686253881,3.313024893,157.0404848,140.3776662,62.46537418,-12.92153236,15.74254985,37.41857896,-41.14183446,45.7999024,83.64509207,-4.455295376,56.3240595,10.33374716,120.7956082,-14.20359526,47.51467602,68.77366397,41.85888622,96.24144474,-57.84581776,1.888602782,-67.41596852,14.68975429,-9.383583635,26.75231501,108.5875278,-90.34271535,-63.86749246,-81.20573383,52.03626395,19.62592136,16.69215845,30.04766664
0.007,800.3133831,218.3555053,34.73222058,-447.7024051,-313.3087842,-320.3723106,-62.49034302,250.9223923,-39.66643225,-58.94495907,-118.9859362,198.3007795,-31.40736404,-90.35940438,373.6818753,-264.9317084,62.83841702,-163.1205339,140.0486346,106.1887494,-74.55288454,121.1073394,-129.2286886,57.66412985,-15.97207886,0.752938563,-19.6576841,-24.44229018,-114.4372271,-47.1036274,-78.96613812,-110.6196881,85.03131153,34.77143172,-50.7212341,-130.9627778,-214.0589908,113.9701837,33.19388035,-131.9372714,45.17781118,-55.49448369,139.0537221,46.40312333,-46.64636614,-81.07667106,-17.0139517,74.88070397,55.79830497,31.22386421,-71.50020875,-99.59598568,56.39469138,-92.87028946,-56.08547203,12.82738145,19.08048565,-36.56893256,27.59870786,-79.45742597,59.39842758,-64.44498485,-135.3522878,23.7613084,-46.18292632,-3.480770482,7.131734643,58.74103164,99.33759605,-79.4447031,14.79057867,26.16349984,39.02905878,-142.5725712,115.3171599,104.6353207,57.01737431,-15.34626998,-22.56626908,42.01967124,48.66430813,109.4556652,-10.53428903,-28.93613559,128.5025588,-171.7491207,47.16438673,48.66725647,-67.79904535,-40.30083201,-11.92812554,-6.059199514,-37.117732,-8.545958073,-45.46205894,24.18123056,25.62758482,-34.24622445,-39.0096356,3.271486135
0,-464.9418465,158.4746683,566.336487,-144.7297799,143.1890163,132.4042002,-87.39995152,-365.0712678,-91.62094451,-78.34017193,-28.24301412,190.5841108,-98.87611674,-350.8899192,-73.16902781,-15.06138568,21.92038936,-135.2473871,158.4681351,5.356878014,-46.95962255,-67.09134009,-135.2534383,108.2207177,281.0095354,72.910231,34.63660871,168.8551364,109.0860899,32.18932863,93.0290355,-56.19438021,-107.7441616,2.933878868,-86.12471564,96.17509995,-170.9012031,-16.77087066,-18.1250754,-73.77875737,14.83805223,254.0820162,-45.54412465,55.33700691,99.23397872,-4.740024036,68.32052399,39.41146535,-33.14809191,16.92884856,-77.27691737,1.80274104,-104.5243857,96.39343707,-25.9679231,-67.46928489,91.02360297,14.87238607,-21.57525052,-55.69222552,28.06573788,20.74758819,-26.45623529,10.39736575,-5.034885468,36.89124345,-80.68131371,-28.20824463,53.68445093,-45.3554388,-51.76537723,34.7772113,15.13024162,-21.75694028,-58.28741931,-48.84538354,6.967822616,-80.32006485,23.61719282,84.60258863,-10.41906271,-13.5160234,92.27305755,-27.47842484,-91.38272378,-1.403817902,43.874195,-4.015505796,22.57300569,19.15117937,-25.81991318,-30.78226261,10.32229766,-25.27258791,-11.45055567,-0.857780501,39.73959059,37.57001149,-1.227316009,-27.842343
0.001,-36.7454187,-152.9799634,183.8223658,8.611918638,-361.9021108,453.6111265,-172.7765327,518.6347783,56.21712002,-11.12266838,-20.62635188,405.9020173,-4.35933332,165.7074612,130.9290299,-125.6710972,-295.9326765,81.06565484,-105.6166116,45.28548066,131.9943309,141.6966967,-209.8270049,-9.044080863,38.18408139,-60.38015649,-270.2965686,-45.05311772,-62.6261138,11.60647307,-20.35410663,-244.5141483,126.5459802,-68.06350005,54.90259921,-42.14438659,84.68410616,5.511750296,28.2878344,100.080638,-39.529714,-31.69318422,83.98223293,57.46607392,27.73986807,37.21108081,24.08179748,-20.24677511,5.231625161,40.11504564,-83.96439728,-37.54652531,18.71807176,-82.35442763,-32.48599082,140.990598,-29.27754476,43.9557217,54.10702593,-91.69238613,-22.57145364,-111.8976539,47.52892528,-51.47872873,-63.23981021,3.169342408,-73.25293295,-43.2984027,64.08692946,91.63559545,88.07886366,-79.80249132,-179.3459345,47.24511303,16.10243288,3.217059335,92.51473828,-41.51243147,81.37231463,15.73192441,40.04001697,-10.21450337,-66.65059741,-55.71089807,32.19114019,-88.4525403,102.8085043,-83.45342226,-45.9447923,49.60802998,61.57260838,-25.94462679,-33.78453336,-92.84875648,37.35594408,-39.52722023,-32.57251224,27.22851528,-17.45844837,-63.77688645
0.007,422.5796347,431.1341668,-6.248100893,-189.5479511,-358.9808474,-193.4711163,218.783571,-478.9103195,105.5222458,-433.8566152,-133.3927746,72.83300971,-508.8061747,-181.8674658,-40.80826584,72.46524296,-473.3602929,116.8112449,262.9521828,-166.4916667,24.08456713,258.3967242,-75.78674754,79.23412978,90.32986194,17.52725522,187.148783,52.78620083,-161.83255,-91.23475361,-61.55154764,-255.5739956,209.7268575,-279.9233444,-20.06058445,-66.64144348,-222.5676678,-137.3035621,82.81761357,140.1166827,238.7071607,-157.6886471,-45.9818008,252.7073569,133.2161873,141.2569238,-49.9320302,62.06469839,237.9396214,-10.52654105,-5.937132047,227.9529723,59.43326525,266.3719682,-146.4214159,-1.91935411,-78.63358956,199.7696799,200.6184877,-135.2754713,95.72411,-10.00121353,45.08566597,-13.01902229,91.90887253,32.97180236,23.64395162,-78.582629,-58.43223745,-43.23740428,-71.03600757,-82.88848252,-53.57103979,51.84212535,-69.47468769,56.70596193,70.92790344,104.5119188,15.14226227,-71.92288213,63.93717947,29.66467612,30.8428663,-131.3891134,-40.68596786,53.36165142,-65.98784752,-69.15178103,-94.94956796,78.61061762,25.94535987,17.06389969,-1.687899114,-113.9995459,1.961553134,-43.93801513,-65.64847012,-107.9963865,7.081766943,16.87176143
0,599.9959647,547.4599275,704.3144381,477.4076064,-545.6800778,-214.5904655,115.2861893,-152.380589,177.7805861,84.88355189,547.1349896,618.9910953,-50.44358629,-213.472449,-105.990917,-212.7707032,-178.6867725,-146.0563263,-288.7701253,131.0719156,35.34198419,58.35971751,22.20134833,11.03569288,-237.5909441,171.8016107,-57.12220156,-267.4548833,-156.036853,-16.56194751,29.1116338,-66.43216293,41.09645919,-14.56636759,267.876374,109.5893844,-104.8636587,-145.2421496,107.5219883,-56.59792576,-152.8985717,-65.10255307,63.11994121,-32.35564046,133.2811835,-70.40263001,71.63310987,192.9568262,96.73465682,-10.86851852,129.0379011,-102.7570329,-54.93100943,-23.12234888,90.7677284,-24.90459731,161.3604629,43.0595804,-116.5313478,68.21569233,22.42516504,137.2596521,-27.36372304,84.96144172,93.50991121,58.91867242,-43.08913276,-20.45641418,-20.20287164,-17.87986845,-114.7827837,4.813960905,50.0385649,24.06827545,-112.1604365,6.784211554,-46.08521338,29.41806549,-121.0539502,-26.72669208,-50.13168894,-139.2399266,-15.25491642,12.86473414,14.31138758,-94.56107093,85.61914715,77.32311382,-10.93067998,22.16724027,21.71131378,-84.69046979,-93.47635588,-59.99531051,58.08104005,15.57104451,-33.76839895,-11.64778144,4.37714028,-7.3787029
0,402.9137851,271.3880483,413.1613114,55.08782335,-80.59133133,255.2171918,129.472383,-128.5136796,30.13037315,102.2428145,225.9611679,793.1194911,-3.801010376,-135.0096646,97.73130273,128.2471177,76.8315873,-16.43074015,339.5635642,134.0332795,389.5937888,157.144652,-25.61437289,-17.15897569,-393.7667319,18.73170776,-58.64166905,-63.81108245,26.89726184,43.13381243,-209.7394389,13.09317223,-140.1998721,-105.185786,295.8696063,-54.82219505,-99.46214674,33.70198186,-65.75691347,-51.98323714,-145.1196467,70.48138878,116.528748,-178.3141212,114.0381215,43.33908617,-146.5224273,283.5186015,-135.0063689,-65.94720792,-196.4729798,-10.42159168,100.4500876,135.2218247,92.03605916,99.12762054,44.88018742,31.164506,-189.8660453,184.0544311,68.68841805,81.60620797,58.43071245,78.58474125,134.6632094,-137.3683785,-98.82896787,-149.3246141,-3.913570416,-47.18246988,131.0944906,-200.9707395,-104.4674776,-61.53164242,-65.38358227,9.140378616,35.80121335,135.3263851,-95.94729352,-114.5169443,-25.1679988,53.87580704,-2.170560733,112.1957954,-20.1736373,-27.37748051,-24.24339713,-110.3120702,31.34908084,-144.85565,30.15584254,-38.82851942,-131.1735272,16.40618085,-57.72206224,47.55067909,-33.56032581,-78.76448006,63.99982277,1.631936186
