pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120
0,-189.3522268,245.0936999,81.41938387,-29.82169736,-492.0764129,281.7248195,56.75867585,600.1942698,-75.54924269,128.1476506,-201.2887702,-246.6929012,-112.5710383,-150.9587601,-117.0204643,11.82986945,262.3654147,-274.2644465,-126.3198714,67.20719377,131.2933631,95.98027921,157.113657,116.7350773,91.07229987,152.348455,-104.7626714,80.89588567,38.12502777,93.83963355,-6.203921026,-248.8217702,14.4778103,74.54072563,-54.18511532,82.15014717,71.20104778,-2.035926255,-87.81198093,-126.4435732,-10.09940782,15.89314342,41.09710596,-47.81171475,42.77495842,51.27410324,-133.7422799,78.68908247,-44.42396644,-13.45820496,199.4659122,-123.5710062,-54.04519573,-49.9450774,100.4688117,16.30270291,73.29985346,76.55906834,-8.490696222,-78.51988367,8.872965358,-54.26734151,-152.9897522,-78.04952329,173.4148782,-35.96465739,-4.254758678,64.5650834,-125.4768855,-5.840553198,1.418815934,76.15670863,117.2318591,83.34184474,-2.426864032,-16.81528191,-46.64694118,25.93306889,64.48569265,-114.1560639,18.10556632,-11.92239358,75.10738834,-5.799672953,-87.11569476,35.97261228,-60.85461249,-14.298837,83.41049381,6.608491516,80.52246319,60.30226723,30.31279364,-4.219818394,43.75539873,-20.66362659,-47.91884462,59.38206112,-19.27902942,-29.68414142,-32.01765439,47.91653906,80.63721479,-31.51598483,-8.889811303,47.0282152,51.21625867,9.534216409,36.61545933,39.50637637,-10.03503182,-12.2778198,-29.89014442,77.18976773,-68.16389048,53.89306459,-0.481902602,69.33318877,50.72274285,-64.83972347
0,-66.41180922,49.94755627,907.1264739,238.038974,215.5833242,-143.1391636,361.216484,-223.7105862,538.0864011,57.45019399,-141.3555078,227.7680607,-302.8347804,232.7647016,-18.56884944,-146.8949103,87.18123576,123.6005552,419.5865261,35.26382342,506.4248465,-94.68846756,262.9910802,331.9649485,-136.10939,446.5978717,11.99651186,-201.2494493,-193.8698023,205.4322557,-225.0445458,-40.05411327,162.839418,-126.1523978,-192.9394019,-38.70695437,156.3340869,66.93288309,-116.3367651,-91.21913314,-65.4313358,-84.80431519,60.31565884,-76.40607595,-35.40472563,77.92481675,-51.33000119,169.6411386,74.05195124,-226.7834359,8.096629252,124.1596794,-30.8103711,-148.4794481,-154.4905041,76.40039449,125.8328796,38.26339772,-83.98863458,72.13190935,-132.4590568,-190.806872,165.3897945,-28.4235906,-187.4724903,-15.60368962,-100.8955739,91.36757778,-88.40885071,40.94995322,86.21803876,-20.82537745,58.30892241,-4.954039303,33.01275939,-50.40617121,-144.9241136,-55.05341787,87.90473863,13.11578509,54.68402129,-35.79786067,-22.31788328,-171.5001878,73.36693377,-58.04680909,195.866228,29.18032722,95.65054815,-49.35732725,136.0956945,-62.59479536,-28.93430404,-101.4007217,-1.998455431,-6.539252727,58.00230052,-41.36929408,-21.96615518,17.02626192,-5.781764564,177.3407547,-41.15754169,-55.4387042,13.92405841,71.86973802,59.94882979,-9.734579044,-51.496835,38.75473662,78.35651473,-104.198343,83.86535209,-10.0704199,-9.030111472,-119.998371,39.40147536,-9.696351648,-32.5211322,-105.1431505
0,-462.4368083,-3.939927905,724.1464069,-293.1128218,2.119792432,31.74047336,-40.72081071,-218.3835973,-104.1661283,-80.89607121,115.4214489,182.2881054,-62.31987106,-334.57329,-84.60518014,-63.23847516,74.92909353,-118.4792522,163.7627871,-17.64775229,-13.80914343,-153.2459724,-131.7784335,71.71271561,154.356684,6.119149307,-67.32026949,241.1183057,100.7607652,49.35631345,17.24660081,-134.0526565,-55.61552241,-93.11051461,-42.20864854,118.2847005,-169.1555441,-118.7701207,5.440068155,-83.31125518,-24.21764894,202.1996604,0.361312063,129.5971902,100.4879421,-28.40997821,127.8031202,65.14784786,-3.453397187,43.58619146,-47.8123466,-1.36027334,-73.09750647,20.87559284,-27.83887236,149.2038613,28.01908037,-12.24339004,47.28141497,-48.1085057,41.65217034,2.845265286,31.64068752,-54.37885968,96.80976643,25.55318317,-65.34767731,61.95971178,72.97722019,-11.07295768,-29.29008561,33.62519075,-52.83024428,9.432913198,-45.18741394,-40.19504731,17.45129763,-8.65987399,17.57410247,101.9982674,30.86193831,18.5389603,-41.95389045,-1.548052601,-35.67433843,26.20231697,-27.09795639,63.84354314,-57.33571494,63.21271153,18.91514246,-27.80339575,77.08820947,-82.35357235,53.05897213,-44.95259426,64.2769153,17.85923453,-20.36024739,14.99331572,-95.54845846,-12.73567377,-65.26277715,-44.23747105,4.781158209,-23.57962697,111.6392883,56.42469449,-20.0899224,91.51207268,-46.56731396,75.94231257,53.67838908,-47.81664627,18.68522149,50.30194206,-27.46167111,17.88966313,-3.427624198,3.002897749
0,398.6449933,613.1479635,-9.127226025,618.5169743,-189.1433572,-235.6938343,444.4879397,-269.5172386,-21.58417691,457.7756941,53.44503846,-42.33474142,-35.64032307,44.19743438,-165.5818792,8.212750056,153.2963961,-347.0544373,125.3795554,-25.71405619,268.5129072,-316.4851815,334.5250244,-104.4320628,-404.2798328,-160.7234306,-0.412336692,100.359302,47.04463509,-135.0343311,-3.852114989,116.2260985,-99.69317006,-73.96882679,-98.1421927,124.1696209,79.34005206,-161.567171,-60.33155717,-67.76031186,-97.50668942,-70.7091804,4.03043034,185.6941151,39.67266903,-28.99692875,-173.3028139,111.5969109,-142.9754427,-42.31346966,32.00410662,5.916846741,-34.095112,88.51304101,10.72605056,-130.2506391,31.46462145,-113.0583967,74.08983132,83.36727121,142.039033,-36.71501105,85.21979841,60.56976847,-41.27114097,93.52809277,-4.91341011,12.78505236,149.4957612,126.369852,59.89911663,-34.98139982,14.00230781,36.3638871,-53.46670148,36.46647505,93.87628371,-3.37523755,43.52531318,15.16847406,20.03425636,-19.09313243,139.6808706,-44.62390141,38.24232684,77.50013243,39.0625799,70.84033979,47.00475188,-105.0824143,-43.5029929,-78.41446617,120.1385747,85.01623351,-6.536962988,-31.03414405,-16.31344428,72.0584722,-43.88614371,34.2105606,137.650633,97.1796428,60.67757402,67.35849913,14.35332615,-19.15659341,-74.60407775,-42.16953866,-49.72075524,-13.92125673,44.60757585,20.49268358,-29.16159802,48.27711386,61.32680637,21.18892598,6.336468679,12.77890563,12.31795994,-17.60117449
0.007,800.3133831,218.355505,34.73221859,-447.702403,-313.3087885,-320.3723357,-62.49034777,250.922433,-39.66642323,-58.944841,-118.9858567,198.3012258,-31.40788542,-90.35909087,373.6794224,-264.9326877,62.83988714,-163.1205682,140.0502879,106.1871636,-74.54785506,121.0980463,-129.2370959,57.65874812,-15.96359035,0.736060393,-19.6300237,-24.45522647,-114.4168045,-47.07934239,-78.9445016,-110.6326723,84.99820313,34.83318905,-50.72289808,-131.0406646,-214.0714282,114.0780435,33.15932915,-131.8502151,45.0311871,-55.53344235,139.1957267,46.58118817,-46.22141609,-81.09215264,-16.58736879,74.54342048,55.71949321,30.15124785,-72.25441682,-99.88477133,56.3991528,-93.08571032,-55.13976256,-13.03331384,20.26743226,-34.47971989,-27.68248561,-79.43943225,63.51972899,-70.9156693,-135.3340914,22.34648184,-46.64681947,-3.998368913,1.519880326,60.93040691,96.19262169,-77.22474586,9.481838952,28.93255711,50.06980767,-132.7382046,112.2891776,99.2599789,59.69235603,-20.23834881,-54.88351121,14.45565246,10.83849376,112.673095,93.19460569,-79.02874761,-51.03400653,-129.6495371,-110.1461063,-60.75033074,85.6420727,32.09707922,-0.890298054,-0.618329464,-33.16201286,45.70877621,62.5491964,12.07347342,-27.92290877,-39.41768832,-21.15315474,64.06373868,31.93985062,4.211088424,-6.673301047,26.55764722,75.77311372,5.917320643,7.298655871,-43.19058582,-15.12443334,17.72452775,2.843672499,31.01395712,54.2241766,7.433370388,-14.92511709,22.50979189,28.36748648,-66.98350339,-79.24841134,-20.31414528
0,-464.9418463,158.4746678,566.3364863,-144.7297777,143.1890092,132.4041893,-87.39994316,-365.0712318,-91.62105643,-78.34017479,-28.24288984,190.5847633,-98.87634644,-350.889679,-73.17030736,-15.06251176,21.91992634,-135.2459098,158.4669789,5.355568322,-46.95858895,-67.09392288,-135.2511031,108.2247257,281.0044683,72.89911629,34.63792526,168.8240488,109.0907359,32.21281305,93.00522147,-56.21811789,-107.7007077,2.905496923,-86.12659533,96.16949847,-170.8640769,-16.74426727,-18.16800563,-73.81257757,14.79001077,253.9937159,-45.63106301,55.20757419,99.15916527,-4.816814451,68.90187765,39.21595303,-33.77429071,16.80868815,-77.44145663,1.447261002,-103.3960791,96.19291489,-25.8266682,69.00672557,92.75514241,14.10748268,21.45475655,-53.08641864,28.92302761,19.74072233,-27.57978038,12.68833539,-7.504561546,41.23330559,-82.60223168,-26.16029255,55.21521416,-39.85843522,-50.56880573,38.56505693,15.12708974,-21.62301377,-46.83711808,-57.19006949,7.040474922,-62.46675985,16.31936532,96.5814272,34.85012969,-11.93753893,-17.86690809,116.2711666,-2.813902474,-5.508627697,-27.48490992,4.61002261,-51.0269954,-35.93150013,-11.17421924,-18.74978425,-24.3350074,8.347334467,-30.1168641,-7.570150086,30.2847019,3.210119667,-25.85056426,-12.14294347,-3.474651508,25.51041166,-23.34546841,38.58758663,2.205175777,15.01413439,4.840829178,61.40504211,33.04581454,56.01878728,-17.46590039,44.34168549,-11.5708572,24.14594462,92.42702831,28.11526914,-37.03437832,-9.15724453,-68.28336679,-27.32440749
0.001,-36.7454187,-152.979964,183.8223644,8.611916388,-361.9021309,453.6111524,-172.7765186,518.6348084,56.21707335,-11.12274433,-20.62641418,405.9032555,-4.359322177,165.7068151,130.9279429,-125.6712844,-295.9308821,81.06871215,-105.6206185,45.27920108,132.0018809,141.6863354,-209.8225392,-9.047333968,38.19242586,-60.38992323,-270.2984544,-45.06248607,-62.62138208,11.61806919,-20.32994077,-244.5806652,126.6166338,-67.95466521,54.72379447,-42.23410994,84.80127375,5.673415398,28.2997808,99.95010556,-39.3575559,-31.50352252,83.88535421,57.47758011,28.31931304,37.42123216,23.4833596,-20.20772689,5.174688331,39.01384629,-83.67375948,-37.65811131,19.54571142,-82.42318413,-32.85778438,-139.9361853,-27.11059861,44.35830558,-56.29991115,-88.73130172,-18.45673744,-111.9356718,50.9342158,-52.83193281,-61.0457128,7.863567436,-70.50632172,-39.44417803,65.12430096,97.66197436,91.02109701,-53.73623398,-195.4633976,51.35817627,14.47410574,-3.073894502,96.7580488,-14.60238394,57.32788308,61.52991959,-20.84805597,-12.5367081,28.75483478,-68.96187587,-64.45213301,-72.84176255,-109.2622555,58.32615904,-48.59750387,28.79068979,-4.846675331,107.8836956,-44.29960848,87.66054601,-45.39722585,74.81587763,-83.36154642,40.6454057,-22.89790288,-18.03273599,-41.74804366,-23.58461957,-18.94875583,98.54067349,23.04911288,67.60162621,-52.3234811,36.16885764,-4.645538371,-5.371716327,1.19222511,7.157498353,26.53433992,-46.51889876,142.2178538,-13.88975918,56.07313663,-16.54160322,-65.4692395,26.77579148
0.007,422.5796346,431.1341664,-6.248103178,-189.5479554,-358.9808463,-193.4711216,218.7835639,-478.9103528,105.5222099,-433.8568721,-133.3927673,72.83399105,-508.8066586,-181.8668916,-40.80946367,72.46471045,-473.3630248,116.8136123,262.9474149,-166.4919634,24.0865071,258.4039468,-75.77532351,79.22203806,90.33656109,17.51656666,187.1365751,52.74131776,-161.828879,-91.22333388,-61.57258839,-255.6152755,209.853179,-280.0233036,-20.14621369,-66.55167988,-222.5520087,-137.3347818,82.85689747,139.903116,238.887806,-157.8092912,-46.2646293,251.9710091,133.900644,141.4681963,-49.98873855,61.92784645,238.7795378,-10.5954668,-4.60359644,226.9278185,61.04338163,264.8260123,-147.4879781,4.718341376,-76.74339927,200.8218035,-201.7953165,-137.2209179,92.20371478,-1.388015826,47.63487117,-7.171597651,93.68794987,35.74932999,18.36863457,-76.47917063,-48.19284852,-46.25360887,-59.93762089,-79.80720484,-67.49921445,47.93918393,-73.20505849,66.07396631,52.696127,126.1620848,64.28028561,-54.06184038,48.65014684,1.285931174,1.24761501,75.49525796,-125.9916623,10.34588073,71.66623964,107.3844744,-2.663404196,28.40359092,-57.65059772,59.8065314,10.83244669,118.5717066,-66.74563124,21.85542652,-149.743785,-14.30895569,51.61017836,24.50163232,16.67280083,-15.28262971,40.42816828,2.008402137,-51.10817215,-29.90250087,2.84123016,80.30748309,180.4146849,50.03513697,112.6007577,-96.67276903,25.93038703,-22.02988861,-21.57062923,15.70577228,-108.7302472,-66.65813451,-57.99493169,-15.18583813
0,599.9959648,547.4599281,704.3144382,477.4075991,-545.6800465,-214.5905198,115.2862266,-152.3806211,177.7808806,84.88349384,547.1348936,618.9899239,-50.44253742,-213.4725573,-105.9910567,-212.7662114,-178.6893704,-146.0559247,-288.7605076,131.071301,35.34809937,58.36145936,22.18532992,11.0353815,-237.5837566,171.8361849,-57.10155953,-267.3996354,-156.0413404,-16.59823936,29.24735636,-66.47867346,40.71892367,-14.52153818,267.79415,109.7835031,-105.0799279,-145.3585542,107.2282161,-56.84190435,-152.1782006,-64.46768209,62.99922628,-31.49208138,132.7486713,-70.51020769,72.61560921,194.0114245,98.11986764,-8.294060952,128.1881111,-100.8189208,-59.0684408,-21.43408433,91.43326245,20.44996561,158.1861352,38.93529026,124.251266,65.9167213,13.79822503,140.5153122,-29.00774103,91.68830015,99.60277388,53.65647029,-32.33916506,-20.65468579,-37.08995883,-9.751074357,-125.592064,12.21161389,53.06239604,36.43820913,-93.11976249,-13.96696323,-66.60576661,0.715126715,-113.805282,-28.90660747,-2.41121714,-140.0668863,-76.59334118,-14.33791832,-6.857361179,-55.28443764,-61.2313164,-119.6690539,11.64986301,-37.62583483,-30.9460986,32.42535597,-76.087682,109.793471,92.00621731,93.20031865,13.11558356,27.49272903,-1.768313336,-30.35835644,-36.68297471,-20.56167891,93.26155194,-69.83834285,79.40721109,-110.2029937,17.83715414,-45.70602415,13.94104923,-18.62369643,-22.37188382,-8.746265522,109.0743472,-67.21684357,-58.80203432,35.37012399,-10.38313414,40.23651042,128.3650244,-140.5184676
0,402.9137848,271.388049,413.1613121,55.08782844,-80.59133773,255.2172025,129.4723581,-128.5136034,30.13026324,102.2429749,225.9609981,793.1185512,-3.800703704,-135.0092613,97.73369452,128.2472082,76.83296488,-16.43332596,339.5636924,134.0377326,389.5893174,157.1427532,-25.62267169,-17.14450447,-393.7526929,18.7020223,-58.64408914,-63.80246298,26.9016926,43.11378886,-209.7895247,13.20830001,-140.2381278,-104.9879594,295.9126371,-54.99080809,-99.5853117,33.92523086,-65.65718694,-51.53629177,-145.6917693,70.36616975,116.9663649,-177.7861895,113.796505,43.06486942,-145.6265918,283.4522591,-136.293083,-66.88536152,-197.9515362,-10.85790504,99.41709893,134.157265,91.2612024,-98.98939676,46.67532538,33.89134895,186.1080382,185.8318074,69.54104194,83.31979213,52.53273693,70.88165236,110.548665,-132.0080378,-114.7450999,-162.6953682,2.509642645,-82.00680197,138.9173533,-198.9228664,-119.7091504,-64.49296782,-60.98286249,0.106613718,15.59829425,119.1900683,-102.567621,-143.9577915,-48.74632843,37.8243141,12.18192228,-14.62570626,117.8703987,-21.46390618,-38.07363984,109.6849656,-11.90023376,78.01713751,138.79339,-35.10960087,-71.38828765,20.89012295,96.53418302,-39.96665415,25.9989035,-19.93371635,49.45623689,-0.208053949,-11.80112573,18.74386633,-26.10320936,-46.78521117,15.32364505,-79.50875002,-52.02084857,-96.15675548,68.38578253,-137.8710494,-14.0507882,-24.11290665,56.55163769,-5.643128417,57.46528061,-49.18974354,-31.6563769,43.70757452,-34.32228679,30.35068873
