pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140
0,-189.3522268,245.0937001,81.41938447,-29.82169869,-492.0764117,281.7248138,56.75867,600.1942623,-75.54918525,128.1476279,-201.2886667,-246.6928826,-112.5709952,-150.9589318,-117.0202103,11.82994465,262.3650171,-274.2633782,-126.3199636,67.20775744,131.2941792,95.9780374,157.1146542,116.7287254,91.07121284,152.3516292,-104.7655408,80.90465209,38.12833926,93.83193329,-6.204348569,-248.8324899,14.46265735,74.54881676,-54.1928999,82.13694797,71.18759548,-2.029986167,-87.76801624,-126.4084479,-10.14516275,15.88666417,41.04321202,-47.80250275,42.75643737,51.27457809,-133.8565159,78.83940981,-44.33618929,-13.45228337,199.8869047,-123.6475027,-54.00053978,-49.92419767,100.4730149,-16.3535609,73.16243159,76.44839496,8.749115646,-78.35153429,9.117322681,-54.4186304,-153.6960079,-78.8443225,174.3117487,-35.58617378,-4.282337206,65.22908513,-126.0877984,-4.45640154,1.203896203,75.12885137,118.7381669,81.0570367,-4.473160117,-16.58171411,-46.38909454,21.12961434,53.21178405,-120.8461252,25.948346,-13.51342565,74.57546109,6.907281692,-87.71601963,43.19591133,54.71562706,-20.61150312,72.93201293,18.71780374,80.82143325,74.41618711,28.79644379,4.913007014,38.94206893,-23.10597225,-49.37367131,-53.74832936,-17.16706728,-48.3924119,0.461329617,-38.35573917,70.09175933,-44.05520497,-14.04355821,-49.44087072,41.78779521,32.08870657,-10.51791999,43.4184336,12.79263201,12.91924545,-57.49764557,-8.252987074,-53.89867245,-80.81389998,-4.954276089,67.00055469,78.68650513,21.99079106,-22.22149153,38.08750295,6.572209348,-58.5788059,79.2789994,62.60751674,-9.2254037,90.59951449,-3.315976814,-22.90401097,47.09090598,159.9107632,7.207348526,-18.08241832,-70.76420884,126.0190612,-25.56624333,-80.31338756,-42.003499,50.74066749
0,-66.41180926,49.94755584,907.1264706,238.0389783,215.5833254,-143.1391451,361.2164771,-223.7105541,538.0863542,57.45019715,-141.3555885,227.7678121,-302.8349111,232.7648333,-18.5690772,-146.8954563,87.18147916,123.600979,419.587567,35.26414396,506.4262563,-94.68581544,262.9896231,331.969967,-136.1080465,446.5946553,11.99976764,-201.2541787,-193.8592185,205.4588179,-225.0222312,-40.06023734,162.8535992,-126.1626588,-192.9268188,-38.71807037,156.3559501,66.94245517,-116.3432898,-91.2322336,-65.46614944,-84.8122465,60.27804911,-76.54515615,-35.21387033,77.9298931,-51.18234353,169.5560017,73.97789459,-226.5547111,7.68840423,123.770463,-30.78435025,-148.5933237,-154.6256833,-76.1872832,125.9483113,37.66604871,83.30477809,71.82273871,-132.8341946,-191.6304546,165.2904958,-28.37895976,-188.1371316,-15.2275845,-100.1462717,92.42182731,-86.28037658,41.16365168,86.36894706,-21.74230875,58.91793908,-4.583606243,36.82932175,-52.67419236,-144.627362,-55.57752419,84.01290931,-0.969933924,45.3809152,-38.26132943,-25.73362553,168.3230951,69.47642629,-74.61590654,-166.1198862,51.46042869,117.9646997,-55.82779523,140.9638432,-74.2566544,-7.47466048,-108.0977532,-0.804863623,-10.66052475,56.1738945,39.08985219,-15.01135285,22.3836257,-7.596923805,-173.2291473,-11.28659046,-67.25320366,-3.69600315,-96.29501298,66.73205349,-17.02669889,-90.55934275,-21.77139386,-3.952516832,106.1851367,119.2677029,-13.35627625,-53.50227221,85.01843648,91.29620145,3.974493413,89.01916381,-43.24067613,15.57442711,-22.10730227,-26.0888138,106.9529492,-37.17755801,29.53417614,82.63225363,75.01086575,24.93088326,76.59834156,5.706210964,-24.27326383,101.62467,33.28021471,69.48694031,-33.29115568,2.042188385,73.66761755,-3.237953744,12.81288988
0,-462.4368082,-3.939927854,724.1464064,-293.1128209,2.119790221,31.74046634,-40.72081536,-218.3836042,-104.1661171,-80.8960912,115.4215325,182.2880194,-62.31988038,-334.5731502,-84.60520356,-63.23838979,74.92905352,-118.4793745,163.7627289,-17.64798587,-13.80897168,-153.246434,-131.7782126,71.71330608,154.3560794,6.117405499,-67.32616658,241.1143348,100.7565201,49.3609788,17.24269696,-134.0472835,-55.61078653,-93.11528936,-42.23037154,118.2711693,-169.1684598,-118.7649532,5.429338065,-83.31964722,-24.19673818,202.2606357,0.324913293,129.5213415,100.415646,-28.42974122,127.9034919,65.31471512,-3.544337684,43.71549762,-47.61454693,-1.301834801,-73.13661118,20.79147264,-27.69295914,-149.1816174,27.61635479,-11.96045885,-47.79805615,-48.32914431,41.58653389,3.409313224,31.09153657,-54.22970631,97.02668401,25.25251798,-65.50882429,62.61642724,72.90827944,-11.96591081,-29.23754189,32.83765728,-53.15793267,8.848278276,-46.79849833,-38.57321806,16.93912107,-7.625105137,29.0497004,100.3305332,22.89269901,19.87481434,-43.14168866,6.62317326,-32.8134423,35.66324435,28.73970624,60.6223328,-59.22723343,60.41220689,10.70554744,-22.2986021,93.43824059,-62.57895259,52.30320649,-43.66188314,60.20653524,-11.95906695,-28.6188738,-42.55465406,84.81663373,6.06168814,-74.92390714,-52.54889684,-7.887687857,8.192677452,101.3814475,61.329905,-27.64145291,29.1351243,100.8010955,-84.95493992,48.92534977,23.53567343,27.35126183,-26.10553923,-34.25920166,20.03111403,-58.88678143,-34.18731164,49.02405241,-55.78977802,-35.01041309,-10.46604457,7.959921557,16.45986,11.52879633,59.04736899,22.75235992,14.48581195,35.72390994,15.14598192,-31.88818408,-11.07892929,-19.05661715,-20.94576557,-9.611766055,-9.520521268,32.78387359,-5.594592645
0,398.6449933,613.1479634,-9.127225072,618.5169727,-189.1433553,-235.693833,444.4879432,-269.5172366,-21.58420762,457.7756471,53.4450081,-42.33471836,-35.64034966,44.19718308,-165.5820165,8.21276087,153.2964213,-347.0547518,125.3793154,-25.71544237,268.5128443,-316.4867375,334.5239602,-104.4310923,-404.2740612,-160.7202534,-0.410465747,100.3626743,47.04722038,-135.0479512,-3.84906102,116.2230212,-99.67149394,-73.95695678,-98.10047983,124.1779562,79.32314454,-161.5661729,-60.34275287,-67.78667089,-97.5034116,-70.6838549,4.049448202,185.7144529,39.71646245,-28.99342271,-173.5227535,111.466028,-142.951106,-42.39493973,31.8781223,5.995123591,-33.86345431,88.51867954,10.41158309,130.3375203,31.57628568,-113.4731079,-73.36292476,83.71439492,142.6626134,-36.93226073,84.80158777,61.01687733,-41.56366536,93.85570612,-5.063606732,12.4119825,150.079084,127.1798031,59.78806469,-35.87403029,14.28376611,35.6348012,-52.80093632,35.175218,92.95516002,-2.453432695,44.40083659,10.60079464,15.52577147,-24.77919476,138.1093129,50.68981323,35.52958097,74.49168316,-33.03172702,72.32762273,46.56996081,-111.063823,-27.78462407,-83.40371862,93.94158075,115.820652,-2.842655603,-32.38662442,-9.138325349,-77.87589652,-37.68443851,71.97140308,-107.0930882,-84.97030528,78.33080414,80.95594256,14.62420622,22.02308103,-51.88359483,-34.24149872,-32.83153003,-32.5131434,-45.20237184,-19.35332226,-19.45055814,-47.02165168,10.61086856,-45.69702731,-7.721719511,-10.26441463,20.26130992,19.00564222,35.28009663,-27.95522936,-19.40866367,7.06844235,-24.31889298,-38.56121366,23.52799577,-8.155667259,-74.40438142,-79.24324495,17.320633,80.08582604,54.65911482,27.06826941,-40.40780521,86.5945123,-2.725613504,-28.17751471,26.36566332,-18.9366438
0.007,800.3133831,218.3555049,34.73221905,-447.7024038,-313.3087895,-320.3723375,-62.49035518,250.9224225,-39.66640268,-58.94486578,-118.9858029,198.3013398,-31.40771871,-90.35898919,373.679659,-264.932519,62.83953423,-163.1200633,140.050165,106.1868167,-74.54919015,121.0990359,-129.2355363,57.65799762,-15.96336769,0.736130771,-19.63345301,-24.45069746,-114.4248272,-47.07825617,-78.94036863,-110.6507092,85.00656289,34.83517987,-50.74143825,-131.0465626,-214.0532417,114.0494534,33.17392289,-131.8225355,45.01787871,-55.55348095,139.1528207,46.52622687,-46.35881933,-81.2055936,-16.58914466,74.64486631,55.45134622,30.22072481,-72.18988764,-99.93845356,56.32153964,-92.99362424,-55.31122075,12.67086017,20.0789923,-34.26009589,27.87194466,-79.49368636,63.83931926,-70.93901241,-135.3090101,22.60523729,-46.58212575,-4.264764523,0.925214826,60.1429804,95.30262044,-78.44357903,9.691226544,27.01023567,48.77233061,-134.1338242,108.8710273,101.982279,60.5343733,-20.09210942,-50.57819764,21.85291031,14.58117938,107.7550961,95.11703543,82.5731019,-53.05196416,-121.7532963,119.1713702,-66.5903366,80.49240909,38.67621196,-3.945180961,17.60688033,-39.58588175,37.35156171,64.94454111,10.71591775,-20.77831141,38.27408616,-23.13170096,64.96452274,-3.600826642,-2.564958454,-1.976268404,32.19448687,69.57782915,3.955110588,17.17895883,-18.3565262,-27.61783011,22.59517697,5.099029083,-47.38322998,8.951382174,-4.884503942,-46.81388786,51.41685765,-59.66005864,-35.22270074,-32.11353064,-60.30219141,-18.27018387,-22.4405069,33.17953939,-42.61885852,-25.1317469,-13.92876787,-53.46800413,15.25554255,66.60201598,-52.29895642,39.34434796,40.14660747,35.09245826,-20.12190986,-61.54705567,38.14666275,91.9379246,6.351327575,5.714587134,-3.808004893
0,-464.9418463,158.474668,566.3364872,-144.7297783,143.1890064,132.4041888,-87.3999392,-365.0712469,-91.62103189,-78.34013662,-28.24293678,190.5847607,-98.87625396,-350.8899696,-73.17018116,-15.06253339,21.91987205,-135.2461678,158.4672629,5.356605111,-46.95857092,-67.09495877,-135.2492194,108.220081,281.0065607,72.90257881,34.63891646,168.8362648,109.0934113,32.20092493,92.99397879,-56.21960893,-107.7214506,2.902455787,-86.12213312,96.18499095,-170.8637978,-16.75663266,-18.12743925,-73.77303899,14.78107049,253.9807354,-45.59296664,55.31897413,99.10240489,-4.840264092,68.73842792,39.23382363,-33.51975637,16.77922406,-77.3205665,1.657197448,-103.2405989,96.30267992,-25.9489391,-68.93482114,92.35949581,13.86631026,-21.29116442,-53.50595423,29.06346963,19.97533388,-27.48560126,12.7576299,-6.942427215,39.44840919,-83.04151075,-25.41012684,54.75863742,-38.43071672,-51.21698504,38.52044106,15.38840577,-21.00730001,-49.31712632,-57.29904578,7.217108157,-61.69465269,29.61159538,100.6663914,29.55289063,-11.00313185,-13.20769473,-118.7340555,-0.687357141,-1.438487249,25.15572522,-0.072160636,-52.94167185,-34.15599539,-9.911971127,-9.375454838,-28.84060699,6.283710991,-14.99202872,0.093712081,32.84716558,0.293526144,-25.58565715,-25.82239116,-4.209849335,-27.99376272,-19.23504776,48.8626717,-4.597057095,-7.399095801,9.064164915,68.26885886,-7.953423049,51.34687212,31.71424597,-22.58265901,-42.50533096,-64.21741178,21.5723082,-7.274860256,20.43712185,-10.87012453,-3.589573834,-86.80983359,37.88621089,-30.80914396,14.36629962,-10.15327697,33.63420217,30.93643462,-35.47589971,41.33906518,-56.46011721,-44.13614615,-3.949598936,-9.899111846,-27.32565532,-25.31746863,18.33911347,-25.90532212,-15.19487235,4.626346877,-80.19537174,-63.10200649
0.001,-36.74541874,-152.9799638,183.8223639,8.611917128,-361.9021316,453.6111485,-172.7765278,518.6348122,56.21711025,-11.12271288,-20.62633571,405.9032146,-4.359329627,165.7068399,130.9279782,-125.6712079,-295.9310045,81.0692385,-105.6206227,45.27974714,132.0024605,141.6867062,-209.8213669,-9.050737606,38.18908448,-60.39287949,-270.3024732,-45.06068371,-62.62348501,11.62476537,-20.33285809,-244.5815333,126.6158907,-67.96166267,54.7070949,-42.24433873,84.80442363,5.678826318,28.32655967,99.9579179,-39.3802298,-31.52319605,83.84862515,57.41273486,28.32451728,37.38500405,23.54417804,-20.05741645,5.112231331,39.05575575,-83.47421862,-37.74902732,19.35363456,-82.44485575,-32.66048699,139.8276199,-27.25496715,44.29692507,55.93829397,-88.92507716,-18.14272257,-112.0124323,50.7072483,-52.57203934,-60.80530403,7.305027562,-70.99264507,-38.85547958,64.36924532,96.63920993,91.49557705,-54.99104135,-193.9964055,51.57431188,11.85948953,-1.776682052,96.60574445,-16.25082084,64.03090946,51.13201337,-24.41252789,-13.33483997,25.82017651,71.95622323,-66.84854448,-61.04433178,111.5346746,49.86444881,-59.01873195,36.62995226,-11.67359663,112.4241821,-60.40201698,75.18067323,-50.51308735,73.48419907,-79.70019886,-34.24434797,-33.29895234,-26.39600534,34.49329048,12.68352958,-25.16564403,76.14607843,44.84860679,-39.21136686,-79.91540783,43.33805427,-29.5728376,2.490339727,-18.94816559,3.446856903,-21.77104116,-82.91045784,72.22970579,48.03333546,-38.11899743,22.68103456,-97.6373339,-22.57058849,-14.31685211,-33.26591365,-79.83359043,31.87146891,9.555824498,-22.00196662,-6.187038773,39.63001352,4.973530747,4.214067996,-64.20797754,21.55653371,-19.11128889,-51.78666679,15.86560924,-19.39907752,29.07533374,20.59461358,-58.79857212,-25.14368384
0.007,422.5796346,431.1341662,-6.248102526,-189.5479559,-358.980846,-193.4711159,218.7835658,-478.9103504,105.5221933,-433.8569202,-133.3927924,72.83388122,-508.8065855,-181.8670539,-40.80960645,72.46460928,-473.3627996,116.8134062,262.9478713,-166.4931079,24.08630916,258.4032396,-75.77660462,79.22312612,90.3426454,17.51853568,187.1397659,52.7445429,-161.8307806,-91.22764121,-61.56463611,-255.6174494,209.8597571,-280.0053686,-20.12576485,-66.53995279,-222.5765069,-137.343525,82.82988868,139.8982951,238.9042072,-157.7571627,-46.25724363,251.9754077,133.8876138,141.4591604,-50.15209877,61.84505043,238.7636158,-10.50675823,-4.663773406,227.1770003,61.28317637,264.8155365,-147.6196166,-4.648971967,-76.93650362,200.6449457,201.9738557,-137.7882421,92.24932297,-1.460230545,47.68590734,-6.759816971,94.10077393,35.85847436,17.90582075,-76.45847297,-46.82641142,-44.95726627,-59.59938121,-78.51595825,-68.06580175,47.89001482,-73.05456211,64.48756763,52.04030624,126.9931255,58.95085912,-58.54426339,48.94917236,1.599684983,3.705664504,-79.85481202,-121.8888624,12.26466798,-60.21968781,117.6910924,-2.592885057,21.29164966,-63.06875475,41.77374849,-13.42397273,108.5213872,-91.82632475,35.96405763,-150.9161818,16.88397459,52.07293712,20.3152144,-1.078676262,30.08899905,33.17718095,-4.185988782,-62.85593882,31.16382825,21.39964178,72.42718683,53.2083049,174.5803296,-53.61598278,110.1617881,94.31689354,7.788545205,27.08433815,-30.67087413,17.43987796,-97.3517589,10.29412662,-14.02717361,-74.30103045,-22.39696783,-27.18413879,-50.5527246,22.08304792,5.640914257,-56.05031489,1.556032482,-66.4876797,-32.62660439,7.630663573,45.12999241,111.3515701,35.18865546,-34.60818094,-19.39920022,-56.30993975,-67.58934962,81.20688169,0.92696926
0,599.9959648,547.4599278,704.3144368,477.4076012,-545.6800463,-214.5905139,115.2862128,-152.3805882,177.7808934,84.88337835,547.1348919,618.9897303,-50.44267088,-213.4722854,-105.9911565,-212.7662586,-178.6892493,-146.0554197,-288.7597172,131.06976,35.34687342,58.36566105,22.18541933,11.0412538,-237.5846146,171.8339673,-57.10554145,-267.4109713,-156.0447065,-16.58673845,29.26007288,-66.47128061,40.74105444,-14.53016507,267.7863809,109.7799545,-105.0724217,-145.3566595,107.191052,-56.85856433,-152.21731,-64.44552728,62.90477188,-31.69892902,132.8169231,-70.59621094,72.78141491,194.0273422,97.79873497,-8.325644237,127.8491692,-100.6479461,-59.07877376,-21.4981832,91.54519968,-20.42479903,158.309993,38.51203684,-124.8722572,66.04760006,13.46608527,140.6515099,-28.95580598,91.92649811,98.7323044,55.36496404,-33.09883187,-21.045118,-35.38872519,-10.98754857,-124.4310042,11.93383315,52.2522614,33.65257201,-90.27331143,-18.44761767,-65.04397856,0.463805133,-120.9188566,-22.83182605,0.574831521,-143.6035828,-77.34366821,13.94119297,-2.103268268,-51.25324601,65.40433735,-119.0429882,18.02625262,-33.16955409,-29.82519361,24.35021544,-99.12502134,90.44513778,73.25578085,86.94988297,5.235251859,-31.91162813,0.782628256,-36.32736193,8.633679999,18.4039633,75.50211364,-110.4507197,75.15452787,87.64295051,33.61919415,-88.44811247,56.17559035,16.7546178,38.82655783,-12.1077758,145.1967413,-5.592917119,-3.261519676,-75.74591532,-19.55381548,70.05630956,116.7424301,29.86552695,-81.89880016,16.34327167,-143.8406558,-18.58114957,-33.0312404,-27.59660297,-73.00119351,-126.6693419,140.014705,14.95976869,-27.89419238,42.91702018,-94.55976369,-22.57275131,26.63752922,-16.51356723,-21.58209409,-59.66487457,-24.05336057,108.5113205
0,402.9137848,271.3880491,413.1613128,55.08782841,-80.59133612,255.2172012,129.4723626,-128.5136096,30.13025414,102.243049,225.960999,793.118582,-3.800811041,-135.0093395,97.73341598,128.2467482,76.83282414,-16.43334767,339.5634983,134.0385756,389.5908113,157.1399829,-25.62224076,-17.1460703,-393.7494444,18.69824466,-58.64206661,-63.79512879,26.89525668,43.11520617,-209.7830693,13.2030522,-140.2322594,-104.9952777,295.9276261,-54.99947248,-99.58039099,33.92877156,-65.63248277,-51.55759757,-145.6602871,70.39217788,117.0138396,-177.7148921,113.7310069,43.10012412,-145.5254355,283.5665807,-136.2436203,-66.74216015,-197.7981801,-10.89679038,99.28597052,134.264685,91.25840603,99.14359634,46.58024218,34.17657502,-185.4275608,185.9104337,69.72954485,83.22260849,52.31330967,70.74906186,112.2985937,-132.0074297,-114.8117626,-162.6557796,1.969315292,-81.90204433,138.684844,-199.6966143,-118.5284835,-62.59651632,-60.12876257,-1.495546152,13.65767415,116.8892542,-115.1587836,-136.2795564,-33.56762112,41.44905123,12.05203581,15.29189683,114.4760868,-22.85871753,36.36840534,103.8201018,-30.68747622,89.464567,131.5411493,-10.43359397,-77.8541353,5.891199765,98.15062008,-50.88441592,26.32710718,12.40641548,61.19240141,1.893338373,13.58971517,-34.05153878,-27.01630354,-44.73409579,16.06333977,75.51105981,-5.57253728,-109.0329474,105.7213319,-32.82356198,-57.65163582,52.55147953,-8.42634529,-101.3251166,13.27688016,27.6156023,46.66879218,14.59633153,-69.42651789,3.362373479,28.13159803,-50.5036739,42.69694774,-66.10908073,-39.01082485,41.32620639,35.9452005,70.73705388,-72.479817,-2.980260617,11.79159839,-21.97812348,42.23172934,-12.6681433,-19.12231681,-15.10014515,-22.03531086,24.69302083,104.6498713,-76.68816732
