pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40
0,-189.3522268,245.0937002,81.41938457,-29.82169827,-492.0764112,281.724811,56.75867271,600.1942453,-75.54924564,128.1476659,-201.2885961,-246.6930153,-112.5708419,-150.9592689,-117.0181984,11.82767177,262.3631769,-274.2587952,-126.3184028,67.2242006,131.2856853,95.92117643,157.1410034,116.7980894,91.09563764,152.331057,-104.8117345,80.83336645,38.17440819,93.23087957,-6.262011737,-247.7092449,14.66095601,72.73402536,-52.86594756,83.77517278,74.22601388,-4.220204185,-87.31366009,-123.023997
0,-66.41180927,49.94755589,907.1264705,238.0389789,215.5833255,-143.1391524,361.2164655,-223.710608,538.0863448,57.45016852,-141.3556022,227.767741,-302.8344565,232.7642447,-18.5652283,-146.9034483,87.17587448,123.6005518,419.5957426,35.29512998,506.3902055,-94.60434711,262.9603837,331.9746745,-136.0228667,446.4472042,11.82876644,-201.0899453,-193.534659,206.0127871,-223.475063,-40.46130542,164.7413416,-128.2408467,-192.3297582,-33.66092252,159.5152515,69.43426556,-108.9486857,-78.74618359
0,-462.4368082,-3.939927855,724.1464063,-293.1128213,2.119790926,31.74046982,-40.72081362,-218.3836304,-104.1662118,-80.89612892,115.4213941,182.2879265,-62.31983138,-334.5735095,-84.60327421,-63.23508185,74.92696577,-118.4694501,163.7628422,-17.65236634,-13.77139134,-153.2791343,-131.784242,71.78871164,154.173872,6.152536679,-67.23179246,241.4478642,100.2850951,49.40776025,16.78566103,-135.3015167,-54.30416905,-94.66170519,-41.13400068,121.5589523,-169.7800498,-113.8485595,4.562384394,-79.89551759
0,398.6449933,613.1479634,-9.127225026,618.5169731,-189.1433559,-235.693835,444.4879437,-269.5172211,-21.58415536,457.7757376,53.44505123,-42.33486987,-35.64125809,44.19789399,-165.5825951,8.207596363,153.3017022,-347.058904,125.372328,-25.7044511,268.4948231,-316.486989,334.529271,-104.4738692,-404.1494225,-160.7631897,-0.366671834,100.2351126,47.23841225,-135.2909229,-3.575870991,118.0818577,-100.5123978,-72.87669777,-97.48527765,122.9288507,80.88518204,-159.8574816,-57.24545851,-63.38799979
0.007,800.3133831,218.3555049,34.73221907,-447.7024043,-313.3087889,-320.3723358,-62.49035379,250.9224031,-39.66645118,-58.94494242,-118.985952,198.3013653,-31.40762624,-90.35977996,373.6807876,-264.9274997,62.83634427,-163.1122003,140.0577615,106.1719161,-74.50396163,121.0969502,-129.2351119,57.70937707,-16.17291771,0.740628754,-19.44629312,-24.15444723,-114.7918225,-46.96528177,-79.24052393,-112.8607457,86.12694,32.43405247,-49.59674601,-129.9762501,-215.0951344,120.9290591,29.13827612,-127.4713576
0,-464.9418463,158.474668,566.3364872,-144.7297784,143.1890066,132.4041913,-87.39993772,-365.07126,-91.62111453,-78.34012128,-28.24294925,190.5846113,-98.87672614,-350.8896133,-73.16871743,-15.0628095,21.92095447,-135.2374758,158.4643893,5.362483182,-46.93952728,-67.11355074,-135.2464315,108.2690138,280.9181307,72.88890039,34.69446571,169.1265301,108.7131962,32.14870415,92.79075036,-56.07257958,-106.3891128,2.754012119,-85.82953758,97.99619509,-170.4764991,-12.31306775,-18.30709717,-70.95891067
0.001,-36.74541874,-152.9799638,183.8223638,8.611916818,-361.9021313,453.6111471,-172.7765314,518.634806,56.21710079,-11.12273743,-20.62633291,405.9031775,-4.359663182,165.7065226,130.9283979,-125.6689341,-295.9305327,81.07322738,-105.6123458,45.27402968,132.0227356,141.698028,-209.810956,-9.034999929,38.10577344,-60.4165291,-270.1425448,-44.93400753,-62.59620782,11.59399792,-20.26922364,-245.5551328,127.2504491,-69.47258605,55.69428935,-43.4963937,85.07239948,9.593634688,26.59673073,107.0452591
0.007,422.5796346,431.1341663,-6.248102446,-189.5479552,-358.9808455,-193.4711143,218.7835672,-478.9103467,105.5220893,-433.8568726,-133.392525,72.83376406,-508.8064591,-181.8661268,-40.81128211,72.4609146,-473.3627904,116.8148222,262.9532476,-166.4874437,24.01729116,258.3843356,-75.7248454,79.13237694,90.49302555,17.526488,186.6623268,52.88116265,-162.0058926,-91.35771093,-60.63293665,-253.8082611,209.9773145,-280.2145724,-20.83440674,-63.56291018,-222.8991302,-138.2227712,85.28519629,136.614622
0,599.9959648,547.4599278,704.3144369,477.4076007,-545.680045,-214.5905146,115.2862148,-152.380629,177.7807475,84.88333505,547.134749,618.989546,-50.44317041,-213.4733715,-105.9868913,-212.762019,-178.6914148,-146.038268,-288.7512767,131.077722,35.4185505,58.2884177,22.22287942,11.17880635,-237.8965911,171.8655327,-56.69576398,-266.9378967,-156.5571077,-17.16726484,28.14358099,-67.63749374,42.34299176,-18.30450473,271.3460758,113.3692586,-103.0720078,-132.7812523,103.6036676,-38.54321671
0,402.9137848,271.388049,413.1613127,55.08782779,-80.59133731,255.2172029,129.4723615,-128.5135712,30.13028025,102.2431268,225.9610853,793.1187218,-3.802792429,-135.0073069,97.73251159,128.2505586,76.8455956,-16.43027316,339.5506077,134.040669,389.6549769,157.157617,-25.63607954,-17.11709022,-393.8798039,18.74165602,-58.0571367,-63.53080733,26.73579098,43.13499388,-211.5091348,14.14772923,-139.029729,-103.9643164,295.911135,-60.7796109,-101.9680152,51.14189665,-69.90411416,-50.31130555
