pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60
0,-189.3522246,245.0936884,81.41922346,-29.82174158,-492.076436,281.7247378,56.75977733,600.1922293,-75.54928256,128.1489307,-201.2783144,-246.6833534,-112.593569,-150.9546184,-117.0650098,11.8591285,262.4138189,-274.3268056,-126.3147984,67.24409896,131.2231997,96.07852797,157.2980165,116.3163933,90.81225513,152.0236988,-104.6633125,80.58483781,36.90178467,94.31268477,-6.511646604,-249.5910165,16.94603341,76.31846656,-53.19112811,81.45449424,71.10487153,-4.799007967,-87.83866947,-128.7935015,-10.77367183,24.48042554,31.86203511,-39.46483684,52.86591493,57.68760282,-80.02848601,87.8266102,-58.30118523,-15.92723033,202.286407,-117.2204696,-67.79741129,-47.97097594,112.5042734,-36.69117701,45.05727716,-37.29871192,-5.071922498,68.42505976
0,-66.41181518,49.94753786,907.1265197,238.0392453,215.5834039,-143.1394846,361.2168973,-223.7079648,538.086426,57.44599868,-141.3769736,227.7590835,-302.8253883,232.7611077,-18.54409047,-146.8900578,87.1162381,123.6384925,419.6494202,35.13521505,506.4271655,-94.57955632,262.9027315,331.9214458,-136.0771307,446.8111551,12.34268602,-200.959678,-193.2530841,204.9216232,-223.7939832,-38.435236,163.4025459,-125.6337984,-196.1573118,-38.85610095,158.5550546,65.92308224,-118.9607044,-92.01821694,-64.39226212,-88.03010185,50.73567617,-77.92612128,-35.70085866,68.29107204,0.368884277,149.5872591,99.19777304,200.4351808,97.29352724,103.5832873,-50.3672824,-124.0234971,-144.2839538,-80.58767185,77.138741,139.4078218,-67.82516054,-171.4113875
0,-462.4368091,-3.9399083,724.1463776,-293.1130009,2.119665689,31.74021832,-40.7214948,-218.38085,-104.1681367,-80.89649318,115.4307241,182.2894269,-62.3177078,-334.5791748,-84.61058942,-63.23238616,74.94335845,-118.4951541,163.7188484,-17.69037225,-13.80120578,-153.3555133,-131.8109974,71.83476927,154.4913693,6.256772257,-67.27267931,241.161791,100.9799843,49.85692595,16.14813344,-134.2272147,-54.58870245,-95.66444135,-41.36225449,120.4779251,-171.8503841,-112.4540593,6.872288599,-86.64950408,-21.49162843,192.9881045,5.30901036,129.5708983,83.18226648,-23.19321717,133.6128599,25.37626599,0.393241489,-9.376030749,-54.77107961,-12.73848831,-49.70700152,15.79736056,-47.94095068,-141.186982,-23.18255301,-11.03257959,31.44477928,49.23922144
0,398.6449969,613.1479912,-9.127147142,618.5170511,-189.1432386,-235.6932274,444.4881702,-269.5175085,-21.58610266,457.7750437,53.45127568,-42.34298643,-35.62318162,44.21329643,-165.5825401,8.184311622,153.308827,-347.0348508,125.3728298,-25.79411259,268.5051911,-316.6216722,334.5891755,-104.2747353,-404.4366821,-160.3699953,0.071138365,100.6320848,46.8558549,-132.8118862,-3.509924289,115.339692,-99.88328887,-74.58173859,-100.3507711,128.3697674,81.13184845,-161.5134009,-60.49904921,-65.59994913,-97.51930965,-69.60555546,12.74005902,190.4856106,53.1719669,-19.68935693,-126.0747274,162.9929047,-147.1053286,65.30615724,49.93563975,17.50664263,23.31429141,113.1307917,6.395577881,114.1086491,-75.52581252,93.3423289,66.7421681,-13.10802407
0.007,800.31339,218.3555006,34.73223196,-447.7023917,-313.3087126,-320.3724409,-62.48892975,250.9195984,-39.66306032,-58.94560955,-118.9749746,198.3073625,-31.41999816,-90.34736951,373.6426615,-264.9088835,62.91472419,-163.070522,140.0800587,106.2386937,-74.58710596,121.1894075,-129.1009392,57.15809692,-16.03873265,0.526085261,-19.78821943,-24.75869312,-115.6632567,-46.78329858,-79.89459307,-110.4250846,87.54457529,38.47197516,-49.76350886,-131.00906,-212.2623635,111.9035576,30.82210705,-133.5818646,45.15889132,-54.12877757,138.2917228,50.31786711,-33.27932247,-79.26968297,27.03075352,73.3861208,59.04700519,7.451988452,-63.28756139,-79.93449722,37.72170472,-108.0771646,-32.62765855,31.8350141,-51.65202325,9.809565085,2.755595948,56.70847717
0,-464.9418503,158.4746868,566.3364164,-144.7299397,143.1888053,132.4039898,-87.40069261,-365.0689028,-91.62178383,-78.33974589,-28.23649,190.5823508,-98.87605901,-350.9144823,-73.17738377,-15.06600831,21.92182339,-135.3111049,158.4215423,5.322137128,-46.92833271,-67.18223171,-135.2662798,108.3117737,281.130541,72.89207424,34.7745273,168.60907,109.1017994,30.99593549,92.17919259,-56.76632318,-107.702291,-0.062538404,-86.19222165,97.59124334,-171.8549376,-12.74965824,-14.91719413,-77.25729209,17.81510624,244.6588294,-45.11134187,53.77712121,86.04612044,-2.51602164,67.25665784,29.07651096,-29.28983502,33.37588524,-48.76025979,-15.13301206,-55.65569989,108.2667729,-48.59946818,-66.6996604,32.31972309,25.66651935,26.15769273,84.8250066
0.001,-36.74541742,-152.9799478,183.8224487,8.61194469,-361.9022171,453.6109583,-172.7761888,518.6346503,56.21482228,-11.12301311,-20.6210764,405.8977214,-4.347254179,165.7065901,130.9386155,-125.682712,-295.9102062,81.1295824,-105.6952589,45.20687107,132.0382783,141.6971413,-209.8595047,-9.077963621,38.33468863,-60.29904467,-270.384796,-45.45620289,-62.35784073,11.34901657,-21.00526675,-244.262925,125.5650488,-66.24394048,55.8702195,-43.93178444,86.20967163,2.917322712,26.2991384,99.17464053,-41.89737422,-32.53132758,86.27435635,51.5294405,31.77156885,37.54739239,26.33523989,-13.57606428,7.923254053,-0.514594892,-84.53592266,-23.22573011,-1.008700002,-97.66778133,-17.20721001,159.5502843,13.7629218,-20.28307229,-67.61058599,-33.53481013
0.007,422.5796402,431.1341416,-6.248003505,-189.5482753,-358.9809259,-193.4714596,218.7820081,-478.9093849,105.5194143,-433.8553566,-133.3832455,72.85087677,-508.8199322,-181.8704299,-40.80064249,72.45871265,-473.3599758,116.8523081,262.8725117,-166.406875,24.11740766,258.6330967,-75.84982394,79.416458,90.71591868,17.29379097,186.1784743,53.15946112,-160.5928967,-90.48086212,-62.26411041,-255.6650204,210.865647,-283.9995193,-15.22963579,-67.83268649,-228.6127576,-129.5549907,82.89163068,139.3008413,240.5893028,-165.7606679,-20.40350629,246.4113079,126.5741577,162.3652927,-23.32950127,61.45472963,275.3871913,-35.79691753,50.4634015,175.2738616,94.33736927,188.755095,-170.4424774,58.62106406,120.618679,-80.94886537,-220.4853265,94.0449934
0,599.9959577,547.4599232,704.3142556,477.4074849,-545.6800671,-214.5899406,115.2848705,-152.3773558,177.7849154,84.8847426,547.1240838,618.9793376,-50.45884451,-213.4906304,-105.985426,-212.7781494,-178.7480923,-146.2032057,-288.7573133,131.1350955,35.40437818,58.11880191,22.2528215,11.36739835,-237.6700782,171.8420096,-56.60602314,-266.7357313,-156.0055327,-16.60848784,29.81875472,-68.02803131,40.88326724,-12.54051767,267.7988543,110.737811,-108.2766555,-140.7223072,116.9605647,-51.67253466,-155.9901469,-55.18422541,58.31433241,-35.46208611,116.414563,-68.78808246,133.4698559,152.9399487,78.69606539,-10.90878426,152.5533495,-112.3364981,-46.39220022,-17.03799239,115.4132542,-43.0230924,85.87820981,92.59309391,179.4715183,96.05370585
0,402.9137809,271.3880022,413.1613155,55.08764358,-80.59132878,255.2168217,129.4710508,-128.5121566,30.13157951,102.242139,225.9559159,793.1302227,-3.813376763,-135.0148297,97.74834554,128.2374447,76.78570761,-16.44162732,339.5049364,134.1924239,389.5575277,157.1380229,-25.71706568,-17.14655072,-393.5570538,18.50244197,-59.36175262,-63.76017703,27.81491239,42.77955938,-209.2788338,13.46249386,-140.779537,-107.7812594,298.2266841,-59.59362116,-103.1664872,39.25411666,-66.39470002,-53.74756469,-139.5825183,74.67326073,116.6169692,-187.4956819,121.4409787,44.05051876,-42.31438174,335.6120248,-89.15761986,127.3513902,-131.2081978,-3.054027394,142.807929,117.0055011,114.7608387,82.8804456,57.84406905,30.14072187,208.7642956,-105.7231026
