pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80
0,-189.3522276,245.0936982,81.41938648,-29.82171756,-492.0764438,281.7249207,56.75881511,600.1943411,-75.54981234,128.1480553,-201.2883137,-246.6930461,-112.5709453,-150.9549145,-117.0130161,11.83715873,262.358181,-274.2606966,-126.3059552,67.21425353,131.2869714,95.96246108,157.0846023,116.7398802,91.08457107,152.2957237,-104.7800434,80.82080491,38.10421196,94.04221456,-6.195382291,-249.235386,14.6098031,74.75410241,-54.44153812,82.7641002,71.42948631,-1.989285799,-87.9697496,-127.0372876,-10.60574646,16.03018337,41.96105445,-47.88826152,41.74000988,49.84911852,-133.2899759,82.24316949,-42.17001594,-15.40443897,201.3120379,-121.4519936,-51.9522796,-48.46510098,93.43594228,-23.43213203,65.57270515,81.06661068,5.241737722,-82.37210167,0.944935532,-41.63831963,-159.8397654,-111.2054066,-124.1627666,-74.85800071,38.39176201,-106.3200776,-114.7828744,-41.25881458,-23.31976619,-95.00653122,85.12789863,-65.09725328,-2.806612136,22.09489538,-4.329153054,-11.56679152,99.9208153,20.13762661
0,-66.41181002,49.94755461,907.1264542,238.0389317,215.5833865,-143.1392231,361.2165338,-223.7106473,538.0863774,57.45068781,-141.3563478,227.7669457,-302.8357995,232.7635449,-18.57665824,-146.8860948,87.17214398,123.6093418,419.6085879,35.28787472,506.4180788,-94.75486466,263.0269635,332.0224154,-136.2053867,446.5341864,11.97005775,-201.3597829,-193.6779454,205.5796172,-225.0660001,-40.17736475,163.0581075,-125.299852,-192.0699967,-38.87561129,156.5482836,67.07437788,-115.1510694,-90.78748845,-66.16735612,-86.53480133,56.32827938,-76.17233982,-34.86040397,75.76819332,-52.06696782,167.4184855,73.866468,-233.4623484,-0.218029671,122.4657901,-29.71594898,-153.2191102,-143.1129002,-87.44213665,125.0327457,35.0304244,88.76146689,55.73147673,-114.5311032,-182.9687407,139.1038572,11.21069333,151.2572445,23.86537618,139.1843049,38.24503307,-71.77389505,-13.23502065,-34.1531077,20.61555388,87.73082716,31.03087941,28.97822101,93.4893081,130.4722704,-73.61278472,15.40737659,105.6010135
0,-462.4368074,-3.939928301,724.1464249,-293.1128474,2.119794459,31.74059964,-40.72081177,-218.3837249,-104.1661215,-80.89647771,115.4221328,182.2870247,-62.32106053,-334.5730273,-84.60398588,-63.2344733,74.92700569,-118.4784108,163.7639541,-17.67147331,-13.80505624,-153.2484337,-131.7412355,71.7350624,154.3299366,6.101572511,-67.50076367,241.0988182,100.7220457,49.20180446,17.39847169,-134.0378257,-55.62002837,-93.26281114,-42.59963894,118.3498176,-169.4319674,-119.2916012,5.88949688,-83.08197627,-23.9079434,201.7522989,1.175295644,129.8974377,99.66207777,-27.22433816,127.5680189,62.61317489,-4.48888543,44.53283927,-45.52465801,-3.328804844,-74.44193321,22.08410742,-28.14390292,-155.2439006,13.44919288,-15.43754853,-54.10195954,-53.82597233,23.29500987,9.075866879,39.8228503,-76.39545927,-90.28107113,13.2105805,73.38387514,-21.98575476,84.43192556,21.40883469,9.888662956,-2.381149487,-49.22607429,4.346216545,-35.64957172,-11.91612579,-46.36672271,-5.095980003,-46.22366662,45.59716614
0,398.6449936,613.1479628,-9.127225514,618.5169958,-189.1433925,-235.6938751,444.4878302,-269.5175113,-21.58400421,457.7761294,53.44554187,-42.33386427,-35.64139396,44.19515767,-165.583786,8.214831888,153.3029641,-347.0579292,125.371341,-25.72750059,268.5218658,-316.4761959,334.5240245,-104.4243828,-404.2480063,-160.6824808,-0.485814909,100.2866634,47.09287423,-135.0608696,-3.919726212,116.4106943,-99.56738611,-73.98413139,-98.08101476,123.6690532,79.08548301,-161.0785901,-60.21686364,-66.9729003,-98.09302403,-70.27115518,4.914350236,187.247651,39.63484139,-28.22490674,-172.9180141,113.8802902,-144.5266552,-40.1511369,33.41936148,-0.469755153,-38.39366688,86.32555164,9.411892723,127.6130993,38.52823383,-107.7443596,-80.91120219,75.15647352,147.5234092,-54.07825487,83.43656198,60.04314787,28.51394803,105.694112,35.66497049,61.78489434,143.3524097,143.6284024,-32.28632161,-1.401520166,76.16737538,28.17333467,-35.22155366,-54.19421537,-60.16170625,9.114638306,80.29094219,-59.8592047
0.007,800.3133834,218.3555027,34.73221846,-447.7023852,-313.3087825,-320.3723899,-62.49033304,250.9228948,-39.66595932,-58.94542529,-118.9846385,198.3013779,-31.40607685,-90.35874198,373.6733519,-264.9374022,62.84170484,-163.1124385,140.038262,106.2141609,-74.57611413,121.1173333,-129.2559862,57.62290362,-15.90076429,0.79586899,-19.48745557,-24.53197862,-114.3746192,-47.00617024,-78.9540276,-110.5214091,84.82690091,34.96478712,-50.82507096,-131.2461543,-213.3599724,113.6732108,32.84282222,-132.4726398,45.07949325,-54.97269997,139.428903,45.69596,-45.05323437,-82.47491193,-18.83057007,75.33913995,56.33092418,30.35327692,-72.69099428,-96.76060096,55.78338775,-96.62796767,-53.97591809,16.13289958,25.66441824,-29.88537427,36.4839474,-84.43623282,72.01586543,-52.78726197,-140.3696039,35.68326315,41.78677937,17.1880364,62.75126429,-4.056465586,100.2659394,-119.2415065,16.33514663,-27.3191949,-59.87086627,99.86347761,78.83205705,-15.38130669,-95.30138624,-9.058206391,-49.02736543,-79.56234555
0,-464.9418466,158.4746681,566.3364916,-144.7298041,143.1890206,132.4042635,-87.39986198,-365.0713342,-91.62129281,-78.34041276,-28.24323212,190.5841069,-98.8768306,-350.8888453,-73.166568,-15.05974175,21.91440396,-135.2434334,158.481409,5.346571561,-46.97205474,-67.12170455,-135.2049375,108.226237,280.9626089,72.85897783,34.54315951,168.8631683,109.1160559,32.18931741,92.98043306,-56.43627029,-107.6269179,3.00526454,-86.14168712,96.55639163,-170.5953079,-16.7349843,-17.91271067,-73.88770053,14.60548896,254.0871034,-45.45804118,54.8076782,98.03155552,-5.503916604,68.56261189,38.08017198,-33.64422433,16.08220716,-76.87068018,2.241741321,-106.8630714,98.08257164,-25.76008486,-74.15673952,83.23847767,13.73621014,-21.098657,-58.09231009,27.80599702,29.62089423,-14.21807898,34.04330971,-44.2587365,33.7287883,19.31894201,36.26011665,53.06672938,-23.95617464,35.57945231,-36.81705311,-18.74458024,35.7376064,-44.39079848,-35.72984325,-25.5899961,-57.62406893,-62.82808357,-17.98296352
0.001,-36.74541853,-152.9799638,183.8223539,8.611897959,-361.902109,453.6111537,-172.7765405,518.634557,56.21693946,-11.12232159,-20.6276981,405.9024207,-4.358869442,165.7068901,130.9284912,-125.672477,-295.9306457,81.06558829,-105.6045603,45.28307842,131.9954092,141.6704333,-209.7836734,-9.044453576,38.16693705,-60.42150848,-270.3225459,-44.98816474,-62.47848679,11.57785072,-20.48933297,-244.7477872,126.8102811,-67.64075963,54.97489069,-42.38956742,84.87334931,5.535087174,28.2045718,100.1937435,-39.70756587,-32.69922959,81.65383509,57.01897349,26.83847569,36.50697282,24.27911518,-25.12423697,4.280959182,36.79072346,-83.95660321,-36.79850523,22.11424598,-79.76195871,-33.26394255,144.7586589,-26.30170983,40.8257846,57.80561654,-91.93788547,-19.60460035,-103.1000363,39.5621779,-49.35870699,61.68443438,27.98186449,25.48755878,127.2781416,58.15500681,123.5306305,-89.1347436,146.8305929,-50.66012634,-87.89142556,5.82207379,-31.27466101,-59.73965403,-30.01336386,18.97673824,-27.57213733
0.007,422.5796346,431.1341704,-6.248119951,-189.5479594,-358.9808649,-193.4711383,218.7836753,-478.9112468,105.5213458,-433.85599,-133.395337,72.83504961,-508.808496,-181.8638165,-40.8000587,72.4649231,-473.3617892,116.8076369,262.9736649,-166.5068715,24.10986874,258.410842,-75.7876417,79.22578393,90.36739227,17.47718429,187.0328605,52.87555394,-161.7396669,-91.27771004,-61.68424984,-256.0097845,210.4013239,-280.0197769,-20.00266903,-66.38232175,-222.7061175,-137.0394641,82.56154348,140.5872555,238.5918279,-159.2615423,-48.00061095,252.1929637,131.4979558,143.5515118,-46.05577762,60.18183591,238.894421,-5.992537403,-1.284501681,228.9631374,61.98686137,274.0971394,-162.0861878,-4.929989234,-88.7877164,188.8521828,192.7412134,-115.6562642,97.49929347,-27.60537753,54.28024121,-45.82879449,-86.70612759,-5.196488995,-87.81063992,5.884785982,-34.1704416,-15.29258563,56.68316954,82.62953781,-12.13312672,-78.98908326,-47.89216856,5.984309738,-114.2007504,105.4669281,36.35156944,17.08670975
0,599.9959652,547.4599265,704.3144471,477.4076105,-545.6800617,-214.5904925,115.286254,-152.38024,177.7815633,84.8832373,547.135142,618.9903986,-50.44328886,-213.4714952,-105.9941212,-212.7671515,-178.6941211,-146.0520794,-288.7847815,131.0839339,35.35500466,58.39593759,22.12174377,11.07800229,-237.4883721,171.8386128,-56.97464133,-267.4842477,-156.1865934,-16.51434213,29.26081263,-66.4637601,40.84163665,-14.70102013,267.484354,109.9685388,-104.9550304,-145.4577834,106.9302838,-57.15284076,-152.1283021,-65.10836505,63.4742964,-31.88549983,133.5271112,-69.91499532,73.28584208,197.010123,99.48311537,-7.251834153,131.7583499,-99.75974277,-59.35350147,-25.35059948,89.96323483,-27.66395014,156.5287995,51.11338665,-122.4188147,72.10936123,4.394894475,117.0442945,-10.65027576,85.40075511,-131.9987672,23.4016224,-2.019913928,8.251227894,-67.75216999,-17.35115499,101.0942258,-66.96237697,-20.98133023,-37.26923083,-125.1385665,12.61701496,91.26890403,-1.782224761,-50.55064414,87.1835814
0,402.9137851,271.3880468,413.1613007,55.0878388,-80.59134403,255.2171495,129.4724406,-128.513073,30.13099081,102.2429429,225.9614568,793.1190773,-3.799742802,-135.0101073,97.72718758,128.2459114,76.83329739,-16.42032392,339.5582973,134.066747,389.5939278,157.1207018,-25.60379942,-17.15834,-393.7455273,18.74363855,-58.59114079,-63.71804234,26.86858458,43.11525189,-209.7428191,13.56058145,-140.2992026,-105.0744845,296.8967815,-55.50508509,-99.43682031,33.96791969,-64.99196875,-51.68243766,-145.3067945,70.49744346,117.2557177,-178.271335,114.5586662,44.42324951,-144.9048982,287.655158,-136.7007441,-61.46731527,-196.1750311,-12.30065747,93.84801883,128.8481864,93.20774158,94.0876505,52.94224826,42.52236648,-182.6810291,179.3512302,82.98741063,72.78378214,66.84798427,44.56573444,-162.6026318,-175.6938127,-60.60015213,168.5449282,40.13201989,-68.01656624,-36.25864787,263.8602211,-21.96899829,-30.92342027,-63.40857688,-39.68642395,71.88596034,83.18387892,67.43440159,-10.30789606
