pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160
0,-163.1632531,354.2342588,78.83016586,48.72188745,-460.856599,334.1215019,82.02245594,592.9102492,84.50158493,-72.57758981,-261.0095458,-190.5551811,-174.8201524,-119.4657851,-105.1771839,105.6277235,-227.0953061,-304.1692149,-165.618123,-5.699349893,153.6360574,95.32871365,-189.9374814,31.21956433,43.53515545,268.0252641,-15.58300153,-30.91267487,187.0126793,-191.4946373,-69.21399655,36.58242146,-120.545435,-83.71704007,141.8070366,12.57592481,-17.94003811,43.98941045,-101.1102567,-51.07680867,-30.12763941,14.44337733,-34.58031213,97.76175313,23.50141289,-118.6672123,-200.888471,27.89323521,147.6586387,-192.217132,-110.4098647,58.52572876,-46.81931383,28.77728897,75.56477601,-181.5088966,83.54193003,-66.84039475,186.4525048,14.22915464,-50.03697849,-81.70580526,-161.9747642,-81.66445515,-1.317676352,52.87799663,-21.2306481,51.90294423,-164.3323634,-190.1663454,30.14774938,67.13276627,74.41190457,-17.3657402,-5.498899761,18.85109212,94.88235221,95.44634457,-37.87530242,68.53799822,-15.79134633,58.87470174,82.0856956,-91.5184312,78.74681332,-13.22379343,-14.30991675,-58.98624314,20.4058684,-22.67410585,84.5391313,-36.01653733,-1.632928215,28.26817543,-1.10690144,-15.7130972,-51.02555857,-37.12883257,-57.71853539,-41.13687712,110.046723,-21.44766105,38.9431106,51.68912985,-67.50658996,-16.89171364,20.71152302,58.33928243,30.14285089,-25.6822308,-14.40115726,17.1504088,4.432372414,59.87010246,10.9821326,67.44089779,-14.34231316,-72.55831671,42.92620851,26.93100848,82.61880118,-4.963892053,23.3315267,9.904058667,65.34034386,130.2113869,47.51009292,-48.02334702,-13.28549057,6.673240311,-36.21800659,77.9697608,-30.82531588,-105.5441537,-156.3229488,13.62488362,55.94853217,100.4788149,41.96545533,55.2903075,-31.3842551,-118.7444209,-47.69513502,-22.19644348,-119.9602699,5.886732349,59.11352548,46.59091234,-29.63526085,-57.42943138,-77.37256214,27.59957062,-48.08607225,72.71638386,-11.69390627,-2.546392922,-101.3983293,-68.19711509,-31.19675193,55.87692286
0,-124.3306682,-89.4990983,1014.215066,239.6220165,263.7988188,-211.0105549,396.5260088,-196.4924675,-606.5097112,-20.66076358,-85.40915454,254.9928207,-290.179616,293.6540796,-63.04985126,-76.93239576,-153.0859377,138.4578527,534.6551213,-102.8184312,499.5875539,-116.9608929,-354.6630479,-238.695575,-211.9537346,478.5659136,-320.5365232,-203.0172785,68.37704638,-10.55018017,-294.5334242,-303.2870314,-28.68376551,70.91293766,21.73627478,-93.80351694,73.24971763,124.3743155,-135.4513962,-94.29582729,28.89836025,-156.4007257,31.88244946,13.01515964,53.00718515,-140.986439,48.60060971,199.2028082,208.4226153,203.2118599,94.32952518,-67.89947068,-57.67718887,114.7846383,-135.1825695,53.63804376,79.87039334,-120.5815981,32.68817457,-129.5610875,191.9855194,-70.55843102,204.9320801,-1.871796263,-251.3631765,60.30714093,73.47472316,82.46873581,-58.79985108,-8.27839941,-124.4019889,6.187123022,34.91778141,-17.0218838,3.463728562,-5.866146458,201.8854341,68.54983894,-113.263235,-112.7532499,4.921729295,132.1715041,-188.7657916,55.03519382,-18.49869487,111.4862446,154.9547502,-6.465541675,-63.0496121,-19.67880211,31.34994582,-159.1999215,-42.42016426,88.56620907,-6.080050578,-16.60029628,-1.216131705,-81.66737307,-62.17592984,28.26827326,-92.65175196,-95.02012539,135.8591749,-105.3916513,-62.67790992,27.37744691,76.20086802,13.30803833,130.8932113,103.8863255,65.2807318,109.3239865,-26.74991187,-88.61019644,79.31018722,-21.84786561,-86.51617374,61.55185278,60.5985804,35.20140738,55.46427109,7.371042139,-116.8341203,74.95004749,-14.50571603,-69.23029652,-38.08567252,-122.9796401,104.9654475,51.93742691,21.41745557,60.8819401,54.97545056,56.47198882,14.67301728,45.09261541,-7.962843902,12.57809145,-116.9018847,-25.80147993,25.38501246,-17.78433564,-85.83332452,105.3726788,-61.87147296,-8.899239959,59.42536833,-37.02917915,-41.6529672,-21.99561259,5.624669498,17.58502871,-32.01316849,58.40875796,-40.09846908,17.60958335,-22.55630771,-115.129415,59.62657228,22.91253937
0,-448.9330977,-12.16479843,739.109315,-243.1650439,90.72833234,44.89217862,-27.74663551,-279.6878497,131.1586835,74.91856829,108.1832973,237.1803715,-78.55706467,-281.8262481,-80.59384027,-33.51601956,-73.66649308,-123.9578932,127.3604735,-28.88571067,-16.97536246,-186.2945715,138.0967,53.32150573,134.7284466,102.2593912,185.5006367,-9.017985725,227.3280222,-130.0293675,-6.506349411,34.464593,-33.56849612,98.95598599,4.691142344,198.2649896,-141.750728,-10.3288676,-28.90180997,33.59427026,58.19709372,251.2342896,84.06777924,-7.119438029,0.428459817,14.4417014,74.97077529,-13.73346951,-97.77275615,-54.01297555,-34.85488953,78.70393388,76.29382396,125.7888447,-111.3377794,-101.5598526,80.37082106,9.480151776,48.03949281,48.77143705,-72.64561765,-73.7819866,24.86927245,-57.05098467,-22.76194035,-78.41268685,-87.55291242,72.28201211,11.95625505,-1.145560188,55.84831163,46.6099966,-25.31779837,31.32822772,-33.13175486,-62.31450838,-53.13000672,7.936381663,-8.939234112,-95.34936104,21.084342,-48.43981264,-1.610931113,-52.20852091,15.80053338,32.71118796,-67.65811502,29.70344964,68.87016035,28.64723981,-29.18470994,-27.55547594,-22.90480981,114.0697825,71.73614424,22.72365425,44.11731024,-17.16668302,-13.42135192,37.04928025,53.37307172,-79.82077268,-75.02799,-58.11761506,-4.678766549,-7.70306061,32.82302016,78.2157202,88.80866632,-109.2403665,-109.3210384,36.22176537,-2.304305133,-67.29067843,-56.29259825,-8.783070778,20.52554759,-11.15269547,16.91824739,-58.38631542,-93.36170052,-60.60351241,-16.46396763,-46.20358916,19.57738627,13.69236799,-3.160825399,-38.7415058,19.47386578,-19.20313252,-37.67761463,5.216223621,-8.685771022,-56.71832667,-27.69189894,25.85591314,-43.8804087,-24.72977633,-17.59434049,29.50120053,-20.41191653,-24.36580402,36.88595759,8.75958944,21.56950189,19.40782724,-6.325897303,9.917829602,14.94555312,-50.67102241,-0.190934242,-32.39160095,-8.371096326,70.38109713,-0.868136976,15.48526294,0.274813917,1.84308138,15.51714442,-54.70044404
0,384.3449173,691.0277677,47.59294171,681.4864195,-232.1178144,-270.9952059,489.0836498,-288.1050266,-13.79382684,-559.5538476,13.77604433,-12.16302254,-77.512874,123.0182646,-157.2709245,67.61194556,-110.0209945,-339.503748,161.6026669,-70.91508908,368.9658721,-198.1717784,-318.8807544,-180.7620368,-215.4910021,-367.407555,208.0188192,91.38977032,-133.0055528,57.12049262,48.55799329,-13.12995545,-10.5604016,168.0164807,143.8621264,-24.8247136,-190.5299897,76.64155104,-72.52865544,-21.84139932,157.1602782,-7.599426305,-10.11680456,99.36665159,45.93741547,127.5773544,-165.819016,145.8038553,12.64171131,-4.149042822,-27.24541063,138.5235257,-13.7093739,-152.0972153,41.3327934,148.9247784,5.927439763,93.06976558,-139.6137113,33.20243689,-48.42089648,-166.5896368,60.76079005,50.99015725,-20.99707835,-194.9240795,5.716524373,67.27004125,-3.73500184,97.97864866,-100.0826868,50.00886442,107.4497008,-19.28645592,-37.70259124,6.119189638,-111.7364151,37.63184879,-31.00526186,-44.70954324,-41.90803948,128.5617045,36.89420442,-26.28012949,48.66356474,83.5438718,-30.10022956,65.43217525,-119.5265703,-73.94047814,15.79122216,4.638965409,194.1641568,24.41782645,47.25923869,51.68240437,-26.22557197,-103.3876384,52.69320682,-86.92319814,-64.16077452,41.70297371,125.7680463,100.0047181,25.08133145,-4.427597214,-27.37535822,-42.8370506,-11.38856733,69.62881987,-30.72289474,-37.18373392,-27.4396087,70.99951553,-60.70865097,12.06990798,1.711032751,-3.326800785,70.38312429,39.31308895,-19.69571081,1.609247409,58.08580044,11.60697326,-18.60992446,-46.5536058,26.20249941,-44.45748131,-39.34573694,62.02033268,-73.57417401,50.60660213,16.4515834,-34.70262486,-16.98680858,-58.97165858,26.86017353,139.4112905,23.57799685,85.95701368,12.73607676,53.10144379,-3.092616274,-10.12424427,-39.69461569,-37.25560204,21.90596907,-24.56613348,9.232021531,-69.73998231,8.57288762,-18.69516046,61.01530644,-107.3246427,20.94852088,-17.40612221,0.627560278,-49.67539483,7.073359404,-39.29730176
0.007,831.123683,274.0095113,110.8759797,-527.4591333,-350.0018288,-367.0134377,-115.5512262,313.2774398,30.42217681,62.39837375,-61.86862218,225.4295813,10.02922497,-119.3134015,322.0643298,-312.7190583,-239.3078458,-162.3129331,176.872292,109.6458631,-92.03822521,103.0978979,101.8304574,-79.18413634,49.25675298,59.85083808,-2.399084356,-81.66308066,-88.3264084,-55.3917634,-106.2155919,-73.75454849,-117.7549967,-82.73903379,-245.9204441,115.7931203,121.4940428,34.04884156,-64.01044944,150.0916587,1.739230989,-41.84592104,108.6236283,109.5654876,-102.5707335,68.93494057,31.87762867,76.7776881,6.870203456,-17.38848166,-93.25854268,-144.3250311,-30.39668668,52.23949482,-19.81648244,47.26259859,10.11946538,24.35565349,52.73675223,60.22008499,71.62745873,-75.383706,-169.3351832,-34.16339392,-6.777685955,9.127467147,7.167142162,71.48973444,143.0403157,14.53478758,-1.768417831,-52.44775576,-36.24775746,-195.338724,102.8100662,94.51421055,-58.81070071,-6.043285991,8.114073768,-25.12228969,-61.75270584,45.82888448,-12.20695855,-121.7647183,-74.73612907,-140.3160847,-18.85282128,-127.2364291,80.74845197,-69.60162085,91.79470845,-33.14322505,11.33251997,-77.21766083,44.61758715,11.57175105,-41.00955005,12.44113919,58.05407468,34.31933195,-48.19899537,31.11281674,53.45713935,-26.76345607,20.50911443,-29.67620781,-11.17076916,-4.023024823,24.23052571,12.71120768,-24.91284432,-59.28192258,-31.29101488,-48.30831608,59.33138677,-41.20775532,104.6242858,18.75457817,54.84251874,-42.16759232,15.28429285,-0.149822597,56.36435479,-22.55943868,28.34752026,50.17133029,-71.54589469,51.9455865,47.64834568,-37.80700243,5.364367155,79.88650022,-13.3126809,-51.50351813,-40.41319318,-73.38974116,-54.06571817,65.65820882,5.436462864,12.27747465,35.67535348,40.76002738,-27.6035181,49.50830017,33.50011575,54.81974996,5.763911159,5.294636683,-28.52971732,-57.34118035,-33.17630263,-5.694147935,15.59801135,-4.891033524,51.79797639,-10.08860396,30.34212613,-13.07289177,5.821748666,-4.897159722
0,-586.3627329,32.5665417,631.6109441,-189.7761998,174.6472576,132.525602,-100.7757096,-401.4323463,105.2914709,48.66379714,-7.925876347,254.2560157,-133.6005524,-392.4163398,-83.13436183,-10.6786191,-12.97916899,-182.2265629,159.8364259,-4.715917145,-111.5906467,-192.3592082,130.6558169,135.3297624,136.7449931,142.9804311,118.3671911,31.91845132,226.5712128,-96.03087745,98.07492837,26.85359726,-132.6362758,88.27514185,15.87913645,209.0979005,-32.19504042,55.01229381,-34.20623925,25.9146208,-5.245657273,297.6424224,91.90296382,-111.2786364,44.69357332,28.04766172,49.7549709,20.6835846,-112.634925,14.80110136,-41.47974065,148.7553446,56.21379824,53.74634408,-66.57165512,16.39409545,107.2246165,-34.52745106,30.26681444,58.07896296,-13.11742323,10.31702523,-27.13434872,-37.93123307,-60.34994446,-58.07604625,-25.20864421,-22.99553953,43.8744021,4.654507984,90.01203804,11.03697209,5.951878016,-34.26210433,-33.42424404,-63.90827413,-32.72400486,-58.89088575,-53.62304862,-94.70763572,5.812664895,-96.82848591,66.91269899,58.34944359,29.64121517,-5.235161754,-4.915738607,-55.53158021,-32.54622429,69.09182199,-24.69535416,25.31257203,22.83787,7.56302757,-0.839331086,27.07259682,18.79494608,-47.82967483,-26.46825068,1.333780682,-13.97316179,6.387445174,-12.64621178,2.071596845,30.93318491,-43.28196245,-40.47678747,58.62565316,40.60291763,-71.17660874,12.31768512,-27.06572711,-58.81582038,16.32396303,-22.13988185,-9.541010396,9.137846993,63.15396004,46.28021767,-76.70168155,33.46721534,-95.88337499,-31.63575798,-6.546431227,43.84611391,-0.422722747,9.007341179,-20.27925798,-82.17330045,2.597274612,-35.13125143,3.921066914,12.38485121,-29.42433545,-2.741981835,16.29442964,-28.46090085,-26.34004614,34.89370635,-3.915891566,-39.35371321,-30.44323284,-108.2671033,72.7578694,-46.74589516,-26.75946745,13.79047875,-112.9420869,24.9428763,-37.22897643,43.30366573,-53.05700039,50.23963953,-43.64650357,21.55621307,19.07848724,-53.42297026,-3.104494102,-28.85559995,-51.35311658
0.001,-29.91788352,-188.4817135,198.7354868,14.08647562,-390.9031314,536.2598618,-196.4216838,592.1433119,-73.27413132,86.06168658,25.17169416,433.3912718,87.09247045,231.7148382,164.4016531,-256.2953141,236.3259168,109.4113254,-72.70341726,44.26719652,153.2201724,225.034777,222.5557828,-20.81357693,207.3477776,200.1200838,53.0298585,7.57797002,-102.6497882,-178.7892079,-104.9154188,-14.13749218,58.87430974,-104.9756069,-77.40405593,-59.8638868,53.99366286,-131.0188601,-21.36675053,-124.8061642,-12.63457059,-86.33992543,73.21633115,49.21637232,60.23463224,147.1605857,65.85734246,-38.99619743,-100.7901847,30.35429144,-60.4239552,-86.55910843,-79.24569285,-39.39095114,66.51694899,108.770134,-137.3423795,-81.1930636,70.50584689,54.42257207,124.3179071,-102.1400474,74.94734818,-55.43359981,-67.45294572,-30.85734976,-80.65823359,-40.03136603,14.2466081,173.6833243,-102.7312714,58.61042771,-35.09967382,143.4820593,-27.77058938,-113.3335013,-145.4557536,73.40697989,-35.97607288,-18.14812922,19.91881938,55.28726003,8.885760989,-89.83571014,-61.50389597,-23.62808164,-114.2889944,-68.28852715,97.583917,31.86674984,93.8995832,95.05263058,-6.713034343,-134.9372239,-95.11299594,-31.43129426,-32.29808597,-61.02586967,2.531574777,-28.19382369,-1.250103971,35.65309341,-36.13561072,1.605202551,1.92124972,-89.13347815,-108.5762897,-6.442886163,21.11717806,29.53205468,47.3688643,-28.42684966,-89.88078384,13.3043723,-21.966756,-46.48267884,4.989277084,-6.645106987,-3.007661317,-77.81296003,-102.4549264,34.58757489,-40.78452444,-40.45611745,19.49546917,-49.36275174,-4.425590864,-27.26024271,-39.73274288,-17.37326528,57.1754748,50.28593204,-41.83434885,-7.011434504,13.18085801,41.27734225,-21.35438359,22.72988982,6.5984309,-66.51957271,-60.64042126,-9.008181018,-34.77874728,50.35525763,-14.81048461,-10.53354247,-0.134298406,-38.7237606,-19.41249158,17.22052188,-34.49838749,-21.20345037,63.52149867,-61.07883719,-21.00317522,1.123558651,33.46384366,-5.142533189,-44.42599781,-45.0246565
0.007,388.7566259,444.220441,80.10772406,-239.8048821,-391.3563348,-232.4568154,229.9000431,-474.9077364,-95.93146107,445.8967639,-75.6868734,145.8233144,-540.1369443,-167.4623632,34.22685927,-89.19369411,484.3681264,134.7132005,263.0014756,-183.015281,-96.60969137,177.2805166,50.06815969,-8.43036511,76.93957786,19.97272178,-73.90049116,-250.6888747,60.63230798,-382.297296,-160.4198309,-155.4822159,122.1877962,90.76269412,-234.8436683,173.5376782,-150.3702951,-53.8715554,254.8301895,265.0560935,-68.4970397,-81.99709378,4.717537314,55.47962136,207.1503366,215.0772586,120.5621122,4.163629458,136.3202166,0.582154823,208.8102441,114.8613346,321.4363679,63.27483818,-62.91958871,128.948825,-164.7472066,-146.4163862,272.3165162,-14.57798734,-123.3030741,-76.45519358,3.556368537,42.66193628,51.8704483,-5.329661596,24.38659254,-82.6147895,29.17096587,66.95569771,109.081795,-57.74296324,48.72058278,125.3609023,-71.46735572,66.58220287,-4.440702335,138.5486999,74.6414114,6.38033169,76.63189057,0.888458844,127.9194605,-81.88408775,-60.06991212,126.8613208,25.52797796,-19.41174947,11.66415412,-2.711296096,-69.09276001,99.8257333,47.32495272,-98.31325101,-103.6953845,21.39918379,-118.1586928,62.4545809,38.17144544,-96.88542427,95.9579994,-49.66703692,-55.13350587,90.92255771,0.131144097,0.979941648,25.50197145,69.25728783,-42.7277377,-27.32758294,197.2804384,32.02614743,24.79612752,-75.63888547,-79.88088331,-56.77352678,65.1759093,95.15977963,60.28760428,62.38170709,1.499097364,24.46466018,-43.06503331,-44.563785,41.12761167,72.05513646,-35.49219542,-11.22159349,-67.40882012,82.61312064,-42.72008671,21.76415011,51.29494606,-59.85753042,77.26155245,-40.91617039,71.65268302,18.80415725,2.205532919,81.30170485,52.23773302,81.62902105,11.53773639,-52.2473077,-78.65570077,-4.007060226,-27.53093499,-8.930565756,-54.86078727,-8.761883985,12.95355988,-22.85057311,-26.95898378,43.05510322,-4.80522172,30.89449558,-54.3804566,-44.63614294,-38.95619325,-56.77039004
0,625.7160993,614.4697821,851.5016839,573.6157661,-572.532632,-232.3788919,125.6436858,-219.955497,-212.6863009,-85.32292782,650.1908777,683.331942,38.18398478,-129.8233495,-110.7126672,-308.8489759,140.1053651,-149.2296378,-297.9422196,124.1558728,91.27933325,117.2410214,-56.56603715,-164.5824677,-220.4444415,164.4479875,-228.8258296,-53.68534477,-227.3811647,-10.15310479,26.45757804,154.1927362,196.6608209,-163.640783,-37.35938303,179.1326896,-154.0022545,-94.73277718,-158.1798015,31.05932011,180.1518858,-91.9728718,143.0475084,-142.4759335,-39.02059014,29.27554528,94.85342576,110.8595022,86.9866285,-177.1073482,-79.43099274,55.10070525,-42.79787419,-44.00021764,76.64898587,-79.59786555,212.4736484,-65.09711373,-53.43128173,56.63695392,-145.7037464,111.3944525,-67.44054772,46.72432794,-8.418168739,-111.5042868,-31.0739539,-1.565258955,-95.96593171,-90.14680956,142.3786638,-12.97807982,11.86962291,66.18455833,-56.51915581,-0.467337914,30.31156243,-120.4433051,23.7092255,77.55468899,94.86883417,-2.628115427,-121.5108933,53.27442475,70.19132305,-153.041996,97.66184874,-105.728782,-35.51546649,24.72644373,28.20873258,37.22449446,23.25946132,-152.5835887,32.7356606,50.93274956,33.50008031,42.05775782,-34.9263206,-40.0887908,158.5293773,-11.36612092,63.31452707,27.20028315,15.70360895,16.64136332,104.3110642,-72.49368826,-25.25476455,-24.00100432,-108.0559731,156.4535033,5.803010947,-51.86656471,-47.39711377,-60.86829045,-6.093485133,-77.40162366,137.9394054,93.21865754,5.482347093,192.203219,-6.998236231,-36.62472905,-26.49452341,-21.19620779,1.395942695,162.864427,-20.44853975,-90.10129248,92.69980574,80.9117687,-64.73056572,14.33672319,-128.8766355,78.42303048,4.387614904,-58.42345341,-31.84809798,-86.59147258,-9.596288184,62.34272037,78.00323016,49.61492366,-49.22583843,91.312828,1.99005079,5.163722662,-56.32101966,21.49430083,-11.94903504,-17.76715751,59.94487961,29.18732386,-55.73464531,-24.88052041,-3.348800598,-6.730820774,-74.04699891,59.95369562
0,430.0607004,279.8684372,479.573196,79.94120226,-72.60729618,288.7651083,148.2724381,-163.2473532,-61.96596651,-109.7084086,343.7668899,925.891914,112.364652,-75.85778744,101.9531725,166.0773896,-71.56772618,-37.50677692,465.4539016,33.7254492,452.8050858,306.7991139,20.56588979,-321.4091737,-187.2006255,-73.73299034,-19.642952,53.71257868,-10.56977426,138.7318619,-215.4802412,297.5032808,199.7466347,-22.29157618,-164.8170428,70.44488086,36.17667138,77.51950875,-94.7104378,-166.0129906,114.3178858,-16.99719801,223.8162319,-155.313522,84.74585343,-66.96357923,-228.1043031,382.6874431,-60.20704753,108.9153016,-130.3041651,0.570303956,250.8870909,-21.81036792,229.08154,-107.5808315,71.52122014,-4.247594043,-178.287332,-17.61026304,-194.5497397,-3.224974107,-25.15065764,153.8668671,-63.52054303,70.1867108,-189.0357928,-151.6719096,176.8954939,91.10877464,-170.1087807,-154.606721,41.62647093,94.48195045,-113.111651,24.21820732,34.04390389,-19.58379792,141.9144937,151.9184323,34.43353773,55.53986656,12.56016003,51.67653643,-17.75438605,104.1280418,-96.5685744,5.635609627,135.4097551,49.81671864,79.07926181,-117.9637673,-2.878318663,-36.0450532,94.74489504,-39.0705441,59.6491226,55.15815178,-28.33205615,35.37550259,-18.5135821,-44.63867639,36.77935354,-55.21147402,50.23720321,32.8314135,100.4307186,-105.927595,-129.2848097,39.72737685,59.65559482,-7.740445252,-82.62874053,59.93394852,10.92926351,13.15690518,-33.24418706,89.62688518,24.82790498,-39.99512063,-13.01228628,-52.02806302,48.17016246,-61.17961251,-46.5455413,27.94219332,-31.930136,-86.35569318,-10.31434989,72.77328653,-8.200558183,-38.00019405,17.35630163,-41.62501954,8.719738312,27.2882224,21.99638388,-19.41715915,-93.75273166,35.37511944,1.834368027,38.90534163,-42.14331785,-77.77286366,85.75824772,-17.19543009,-30.89768492,11.61623656,-47.18228486,-68.49132364,-97.36529514,28.70722172,-7.183315746,5.595926025,-23.72039613,1.527207918,-27.45252139,-32.91266585,92.39373427,12.58297651
