pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180
0,-163.1632531,354.2342589,78.83016585,48.72188769,-460.8565992,334.1215031,82.02245609,592.9102488,84.50158797,-72.57758892,-261.0095527,-190.5551715,-174.8201522,-119.465797,-105.1772018,105.6276912,-227.0952239,-304.1691925,-165.6180676,-5.699351384,153.636159,95.32875721,-189.9374992,31.21938956,43.5352413,268.0252736,-15.58334391,-30.91310718,187.0132382,-191.4949369,-69.21480776,36.58144786,-120.5462571,-83.72041352,141.8085347,12.57576777,-17.93751544,43.991844,-101.1066303,-51.07804878,-30.13103281,14.44168092,-34.5797889,97.76753054,23.49635935,-118.6632172,-200.8753896,27.91268661,147.6669963,-192.2107747,-110.4057574,58.53180902,-46.82507261,28.75195453,75.58606786,-181.5233725,83.52190561,-66.78052624,186.4274929,14.25361992,-50.07358292,-81.70432081,-161.9330543,-81.60616091,-1.372993913,52.96533885,-21.17346544,51.89248434,-164.2084216,-190.1780155,30.17562889,67.02654567,74.51239179,-17.26709928,-5.530645676,18.91009755,94.76066736,95.40709005,-37.84334348,68.17521097,-15.55241123,59.08873957,81.94336328,-91.88055796,78.74381653,-13.20720057,-14.1802449,-59.05600026,20.75149605,-23.01116668,84.95066196,-35.7393114,-1.233691305,27.42035212,-1.594076516,-16.29839836,-50.5741689,-36.37801496,-57.79621118,-41.28690783,109.5385787,-18.03824435,40.45311517,51.17216808,-68.53487313,-17.90276762,22.85172911,56.37084219,29.05489382,-26.59990173,-15.60117021,17.96837858,3.308499706,59.00961789,12.21777143,66.1555504,-5.029530933,-77.25710417,46.41054468,25.76547817,82.28363925,-8.159308552,28.47163946,31.09648641,80.10309406,122.6999078,55.85400079,57.39495937,6.799362634,-0.416811107,-4.369764461,88.76615865,-36.19506509,-139.0707411,132.6241525,-61.59077352,51.49971716,72.74855689,-40.89655981,44.41464736,11.18689096,-109.0826534,32.96150199,-48.3914762,-113.4202709,-38.0951612,-46.044708,-51.10672127,45.30645251,43.71765601,74.75577201,-4.155302811,91.84190481,45.64695099,-14.31621064,2.098232604,-44.86132826,56.38908142,-45.05795664,-88.4802702,34.33023027,44.28294759,-29.19123363,-4.845321318,-59.23834524,-19.92321057,-4.512386349,-1.870621459,-38.64995539,-5.236171337,51.6423821,50.09907982,-4.895105066,-19.13896018,6.037461652,10.31481876,-9.63923266,10.5725823,-67.99829805,-61.93276432
0,-124.3306682,-89.49909832,1014.215066,239.6220166,263.7988186,-211.0105556,396.5260094,-196.4924678,-606.5097175,-20.6607656,-85.40915874,254.9928158,-290.1796364,293.6540717,-63.04985179,-76.9323412,-153.0859697,138.4578865,534.6550504,-102.8185135,499.58748,-116.9607619,-354.6629819,-238.6951038,-211.953957,478.5656918,-320.536278,-203.0179095,68.37690257,-10.54935222,-294.5317903,-303.2870524,-28.68535046,70.91416461,21.73723762,-93.80745962,73.24910772,124.3766169,-135.4570654,-94.29770028,28.89337369,-156.40042,31.88778617,13.00489598,53.01850684,-140.9769008,48.58853614,199.2188223,208.4223016,203.2054626,94.32901595,-67.88801214,-57.67427724,114.7774184,-135.2206896,53.60688802,79.92537458,-120.6074149,32.73339294,-129.5249524,191.9617534,-70.6146552,204.9895698,-1.872301896,-251.3254335,60.29649177,73.31974283,82.57189566,-58.97257414,-8.038691305,-124.4969379,6.141530512,34.96287811,-16.91485826,3.482309412,-5.914169275,202.0867001,68.48094947,-113.2179228,-113.1309391,4.837762962,132.4370936,-188.5709101,55.02552084,-18.43590642,111.0725673,155.0319543,-6.263983728,-62.85178786,-20.14047007,32.39347452,-159.3025372,-43.34432853,88.50683375,-6.87382369,-15.50401973,-0.989505472,-80.55132141,-62.02232032,27.89692478,-92.41774498,-90.9713607,137.2677748,-105.7139938,-62.93566249,27.49555232,74.8761165,14.09236092,131.0203391,102.8979373,67.6768017,103.5183611,-27.54631217,-93.64318493,78.91695349,-23.86098189,-87.62191175,55.31659073,61.48734481,36.66111888,59.62986202,32.15803775,-108.3176281,71.32461618,-20.14855367,-70.20389551,-12.30114536,86.00592426,-137.0758988,69.65146931,20.80891377,52.66764731,48.54100354,66.61917333,-1.878171415,38.02404217,-3.465311017,-5.137209905,99.53698941,-55.94065013,-72.13678195,-71.64418623,-60.23149732,110.2206513,-71.41861955,-11.32340253,-73.1207192,6.703683263,45.42951009,28.1874447,-24.85536449,20.96912233,27.49484377,63.09854213,18.16176976,-11.36629395,-22.41638629,-8.124900143,-50.22256072,-98.08206185,43.0885418,-24.80526625,-25.33555108,-21.83703175,-10.24375148,-49.78901014,13.28759457,-36.97289356,-2.146779364,119.1472856,-19.25426297,-12.38834619,76.39179515,-82.97709501,-29.88616024,-20.76642322,-5.821152888,-74.58926302,-31.18437543,-49.67248356
0,-448.9330977,-12.16479844,739.1093151,-243.1650439,90.7283322,44.89217805,-27.74663351,-279.6878514,131.1586847,74.91857889,108.1832967,237.1803825,-78.55705989,-281.8262426,-80.59384321,-33.51605849,-73.66652281,-123.9578884,127.3605116,-28.88557627,-16.97538506,-186.2946406,138.0965387,53.32154693,134.7281349,102.2595504,185.500801,-9.01734503,227.3288099,-130.0296028,-6.506819814,34.46193095,-33.56739165,98.95660078,4.690238449,198.2650312,-141.7533908,-10.33109063,-28.89662061,33.59091252,58.1934525,251.237902,84.0655405,-7.118690214,0.43473832,14.42592576,74.96184732,-13.73793656,-97.77589033,-54.02053678,-34.88882249,78.66782279,76.29764542,125.8131322,-111.3303604,-101.5242775,80.39682145,9.486027342,47.98238997,48.8461173,-72.62722049,-73.62334385,24.82828951,-57.06253927,-22.87587213,-78.34264746,-87.45464688,72.47220323,12.03279524,-1.248995718,55.93721149,46.84194342,-25.26664312,31.22324737,-33.24705558,-62.08326356,-53.12090376,7.538023848,-9.091827677,-95.80346253,21.78291019,-48.50650216,-1.846830848,-52.37093477,15.33171823,32.95521097,-67.37019001,30.0776718,69.02635298,28.97936699,-29.32516384,-27.4130627,-23.29242292,114.4257767,69.71847522,20.5314945,43.87650645,-18.2193699,-13.55115762,35.87837717,54.76693913,-82.75710606,-72.90442217,-58.1864106,-5.389363496,-7.854141258,33.12099223,78.5715492,88.8157104,-109.0874058,-110.5043558,33.53725544,-3.457517585,-69.7196353,-56.04821508,-8.015698711,18.46620428,-8.816728218,20.67779165,-59.13424556,-89.22543645,-52.89470805,-36.55264131,-38.56289492,28.75102681,6.581506452,3.035352709,42.78252208,-28.42955165,-10.92320098,-27.9137102,7.639252204,-14.65648163,-74.10956769,29.07405094,12.78418485,-29.2505059,-10.95455434,38.787745,35.91298237,17.70041199,-12.20232126,39.83461264,15.02878452,24.73071214,31.23869176,33.37129135,-42.85175399,-7.649715352,55.99166232,-6.316814508,-21.89949496,-34.52298968,52.04579594,-25.25231273,52.05887409,-57.69145011,-32.3901595,3.859617032,43.50174502,11.57543011,-31.34718843,28.61558686,-0.919246395,-47.01228442,-14.59137311,8.66806007,-9.523594764,-1.207382361,35.13151989,3.629691153,-15.99027383,7.860280881,-9.494091895,-4.159256053,-18.87092328,-19.02857949,-87.18972653,40.51800207,-5.914486106
0,384.3449173,691.0277677,47.59294161,681.4864194,-232.1178139,-270.995206,489.08365,-288.1050231,-13.79383097,-559.5538512,13.77605283,-12.16302949,-77.51286424,123.0182662,-157.2709199,67.6119852,-110.0209966,-339.5037819,161.6026776,-70.91503092,368.9659231,-198.171678,-318.8806733,-180.7620025,-215.4907057,-367.4071817,208.0184251,91.38957661,-133.0065005,57.12096867,48.55877685,-13.12969139,-10.56087676,168.0183399,143.8626673,-24.8261398,-190.5301997,76.64468032,-72.52522726,-21.84174161,157.1758313,-7.610426596,-10.11935696,99.36108048,45.9368268,127.603844,-165.8395893,145.7849518,12.6693152,-4.135654339,-27.23789342,138.5069115,-13.71328655,-152.0391182,41.37550447,148.9543137,5.96770453,92.95514717,-139.6004082,33.16972266,-48.43789713,-166.5227345,60.64617739,50.96328065,-21.02563435,-194.9598201,5.614489863,67.47519274,-3.826985157,97.88766582,-100.220612,50.04435935,107.2883191,-19.30120861,-37.72895573,6.330377278,-111.9731561,37.42088378,-31.39424606,-44.57630604,-42.20062485,128.1772997,37.73041469,-26.0973424,48.39542692,84.00222156,-30.42574051,65.61350418,-119.8623783,-74.3943145,15.00924617,4.972569763,193.0417511,27.86390038,48.33549482,51.17443311,-28.14844282,-103.4573316,52.98760935,-83.86925761,-65.04784621,45.36899157,124.3108498,101.0522284,26.62691925,-3.950176552,-30.00526354,-39.89447078,-9.595174688,70.33321065,-33.69682295,-32.11129247,-29.44064501,71.7043564,-52.85669646,14.68406183,1.029277781,-7.644317414,66.02052871,47.67899804,-18.6218719,-14.34899462,47.25553309,7.400121495,-22.21355353,-53.56490754,24.91949698,40.01207532,27.63397494,43.93382919,-67.63383723,68.38867586,15.15528207,-46.75657111,7.555755086,-60.63326152,73.4518375,122.1403489,7.615595556,52.50062154,10.73016708,52.25159919,-44.28414461,-4.805884627,-37.21989326,-39.8710777,-20.45716285,30.69447174,-18.56433218,60.85583581,-11.95336346,30.92115026,-48.2822687,-143.5566111,73.03727675,-25.52318317,-33.65717033,-30.90334698,-24.36612245,-20.78297036,-12.61051986,-21.61597306,-17.09069121,55.12040614,-22.56833547,70.28475932,-82.72890228,-30.50948271,5.07305649,44.32625334,-2.300272679,57.92627241,-4.350012798,-4.821477642,8.383178606,2.530805035,72.92499062,30.86196835,12.05587543,47.97067974
0.007,831.123683,274.0095113,110.8759797,-527.4591334,-350.0018288,-367.0134386,-115.5512263,313.2774414,30.42216777,62.39837208,-61.86862757,225.4295697,10.02922802,-119.3134072,322.0643646,-312.7190264,-239.3078478,-162.3129375,176.8722367,109.6457721,-92.0382991,103.0976082,101.8306989,-79.1838126,49.25637361,59.85146911,-2.39858384,-81.66400924,-88.32693152,-55.39253683,-106.2150781,-73.75440332,-117.7540328,-82.73775841,-245.9197559,115.7933793,121.4949994,34.05118027,-64.00981205,150.0906755,1.74563136,-41.84596118,108.634375,109.5704028,-102.5672754,68.96377229,31.8604956,76.76013975,6.870684265,-17.38627566,-93.24819734,-144.3264374,-30.37175511,52.24921803,-19.85265326,47.21449843,10.1701433,24.32059027,52.81680673,60.15621395,71.6438953,-75.47438044,-169.2918569,-34.16982822,-6.676186422,9.222392403,7.158726737,71.70874997,142.9296521,14.59752487,-1.826119115,-52.45142263,-35.89894381,-195.5423036,102.7164598,94.27022005,-58.67423385,-5.772496466,8.510071335,-24.66458289,-61.36711631,45.84052144,-12.0435389,-121.903545,-74.9711102,-140.5640574,-18.68188125,-126.6183634,81.37059172,-69.57746808,91.52337439,-32.42348942,11.57727358,-76.9777565,45.42725496,12.50525483,-40.76598317,12.89314151,58.48920293,34.62326657,-47.20638572,33.03023674,51.93836922,-27.17300925,22.17607178,-30.21058843,-13.46734531,-4.901552215,23.26453154,12.75297566,-23.03916333,-63.7251128,-25.80608004,-51.26904035,60.35491396,-44.11939636,103.4423979,24.63130044,56.77328922,-38.67558757,14.36943223,-4.917949004,48.77798409,-27.44895763,25.21060217,51.42596826,-85.67551821,-39.15808241,-28.3006024,-34.36961058,7.5727997,69.21793083,-39.58329475,-51.82101117,-16.11355126,-78.88229864,-32.41476656,76.68841324,11.27167828,-6.566346143,-27.29996703,21.26324279,-31.3580205,75.67530113,44.11244123,47.2733853,-9.891390092,-37.52271827,38.66363461,30.74572815,-12.6153978,-29.9577514,-23.85004592,-37.42891545,-23.95314912,-4.80288646,-70.33149809,-74.82742367,41.65218806,-47.50045371,-72.55418043,28.29957622,-5.002140973,-27.01668647,-14.88305801,-17.21364142,-62.52318957,-33.10736432,-21.1477908,22.95403709,93.2405963,29.03781544,42.06802911,-1.590673551,16.05288732,-2.09829892,8.14417337,-26.23787618,-1.58293682,100.6127845
0,-586.3627329,32.56654168,631.6109442,-189.7761995,174.6472572,132.5256024,-100.7757078,-401.4323483,105.2914745,48.66379754,-7.925874027,254.2560197,-133.6005632,-392.4163512,-83.13437496,-10.67861105,-12.97914227,-182.2265372,159.8363248,-4.715980327,-111.5906251,-192.3590382,130.6556586,135.3300009,136.7449588,142.9803407,118.3667537,31.91811448,226.5721399,-96.02923454,98.07342643,26.85316178,-132.6365393,88.27599723,15.87877905,209.0943076,-32.19939349,55.01508119,-34.20391632,25.91640996,-5.24531635,297.6365728,91.89549919,-111.28377,44.70386217,28.03348188,49.75947883,20.69756998,-112.6291739,14.78325653,-41.5047528,148.7302918,56.21871276,53.77691013,-66.60697373,16.4115172,107.1998069,-34.562829,30.19274838,58.18857392,-13.20728952,10.44514965,-27.06140247,-37.98229626,-60.53250353,-58.11920451,-25.34833394,-23.03519696,43.95768283,4.793722404,90.01749801,10.92318315,5.975335646,-34.17980387,-33.43605814,-63.72756647,-32.26478845,-59.88692043,-53.72963067,-95.11501005,5.704904623,-96.98644054,66.90615804,58.11197685,29.33187579,-4.661333757,-4.556460635,-55.13419939,-31.61438653,69.00385481,-23.96100185,24.6332422,23.82393588,7.434405557,-2.368297252,26.4332819,18.84348227,-47.75045593,-25.67895718,2.087286912,-14.79816831,6.39684256,-12.4411206,1.582081535,30.43360319,-42.48698631,-42.72705417,58.62787476,40.12303231,-72.12597511,8.654330825,-28.98067231,-63.49724125,17.22543157,-22.15121162,-10.19340928,6.546690241,61.01311094,51.07541594,-70.28663743,34.1439565,-88.93576261,-49.96452218,4.022495766,48.50974283,-7.121147227,25.89905549,48.94711777,74.20798342,-13.92867664,-40.80026863,2.408836734,11.09098986,-29.32660182,7.346075824,21.70577288,-42.77526988,-9.233795418,-35.79255389,9.399652386,7.446682474,-104.8318217,-76.46848879,63.27554753,-60.01201709,6.591535312,-46.56866052,76.49595929,-36.97936749,55.62303789,-60.82580984,-7.446005881,-81.45379807,-38.66772639,9.930547118,25.27581658,-38.01458671,-7.532270886,-48.26958363,51.14240192,1.183021691,-15.00022765,27.742457,-8.477948706,-4.426320306,-26.21782162,-2.034026827,-1.045647051,5.688594796,23.34883966,-36.866621,38.91434438,10.50117866,2.056561596,4.103954837,46.46189432,39.60373381,8.303211648,-2.517761823,-7.377730849
0.001,-29.91788352,-188.4817135,198.7354868,14.08647578,-390.9031316,536.2598633,-196.4216849,592.1433115,-73.27412894,86.06168963,25.17168913,433.3912784,87.09247145,231.7148253,164.4016005,-256.2953338,236.3260556,109.411337,-72.70331165,44.26721598,153.2202877,225.0348247,222.5556796,-20.81381427,207.3481889,200.1198527,53.02980651,7.577973713,-102.6493817,-178.7909133,-104.9157608,-14.13707724,58.87262345,-104.978675,-77.40512909,-59.86421673,53.99700344,-131.0183561,-21.36338494,-124.8058362,-12.63589359,-86.33858804,73.21097414,49.22305056,60.22706035,147.1406081,65.88904998,-38.97381812,-100.7900307,30.34916965,-60.42462517,-86.52064572,-79.27379524,-39.42689323,66.52588464,108.7768197,-137.3893941,-81.11231088,70.49116204,54.4777598,124.2562764,-102.1660162,75.04964447,-55.38335273,-67.45867489,-30.94101523,-80.52781615,-40.24771185,14.37247058,173.6911435,-102.6027969,58.39896511,-35.25408142,143.6036984,-27.78956778,-113.3461396,-145.4081981,73.16698702,-36.10447653,-18.6731164,19.57130384,55.49692311,8.811937352,-90.02478768,-61.39769039,-23.46293446,-114.3186195,-68.05452671,97.61579006,32.0678306,93.78943772,95.04483512,-4.38816163,-135.9402602,-94.03240323,-31.17209001,-31.49955382,-59.96182405,2.276796338,-27.93380817,-2.705875607,34.90420402,-36.61666341,1.650228372,2.129635061,-88.55984711,-107.1616761,-5.689783258,19.63147559,27.52264848,44.56157535,-29.20654652,-94.81723246,14.98654347,-23.40699744,-45.87077462,1.463574303,-2.835212673,0.708755186,-79.01151041,-102.1978658,42.1729702,-29.53068855,-36.33446521,19.34382747,-49.16088253,-1.457129501,37.86292353,27.93537379,-21.87031563,74.42669424,42.74896458,-35.83539161,4.751932804,14.27693312,46.25379133,-32.1939605,19.77278773,0.052376959,-57.61728865,41.76927183,-42.39518876,-31.8975906,25.71211276,-25.08583877,10.15383513,-11.05145177,51.34288911,7.343259803,-3.825876228,20.148176,-60.67295682,9.572883715,-7.461774503,25.69692958,-25.38017894,93.6610148,23.90151798,-50.22786688,60.96532151,48.64165085,10.59628571,36.82759868,70.08199018,34.221853,-2.647030535,-17.51843486,52.07187514,-62.05996504,-43.49022489,-56.1484325,25.09160151,52.75616117,-60.1665406,-47.26096315,76.97551409,-5.787134456,-2.75631443,56.81492211,-44.58720463
0.007,388.7566259,444.2204411,80.10772391,-239.8048819,-391.3563349,-232.4568145,229.9000433,-474.907738,-95.93145265,445.8967483,-75.68686309,145.823311,-540.1369562,-167.4623729,34.22688235,-89.19371608,484.3681501,134.7132388,263.0014717,-183.015468,-96.60955889,177.2808444,50.06837934,-8.430501244,76.940002,19.97231364,-73.90135091,-250.6898247,60.63198992,-382.2963649,-160.4202998,-155.4813002,122.1882522,90.7614208,-234.8411367,173.5356948,-150.3728887,-53.86824847,254.8278634,265.0631408,-68.49515796,-81.99900865,4.718057906,55.47750508,207.1384692,215.0764014,120.5963228,4.177414255,136.3298698,0.594303282,208.8325753,114.8522203,321.4394027,63.25442648,-62.94235532,128.941429,-164.797503,-146.4218907,272.2716414,-14.61569578,-123.3971256,-76.51176292,3.467896542,42.67327808,51.86721472,-5.406348321,24.42572878,-83.02763225,29.16020781,66.94461642,109.029138,-58.057356,48.66309674,125.6234794,-71.20042894,66.58823191,-4.677210659,138.3423976,75.22021078,6.372895537,76.31569491,1.178828936,127.8012871,-82.00895307,-59.73768189,126.5041336,25.64594351,-20.27439176,11.45719598,-3.113429082,-69.06944847,98.61973503,48.28391157,-98.66487424,-102.4453782,22.73025263,-118.1494685,62.97784044,39.47040999,-98.87304873,94.58072644,-47.3381385,-53.23940911,90.42452604,-2.395844352,2.361493575,25.30590439,66.93094611,-42.04030178,-27.95091806,197.2964851,34.99216952,19.95535106,-70.15514617,-87.25704572,-55.86423261,61.35652195,95.02292527,58.07096681,72.03023626,-0.576790769,33.40085139,-33.73902881,-32.91008862,51.42154721,74.1678345,-25.74603994,38.07719548,70.99600555,62.16030606,-49.65938023,37.5635568,47.06322886,-41.48117427,-88.25441293,-5.632028603,66.148437,4.320165023,-14.81174034,62.18600866,-25.79170996,94.7249173,-38.49129609,-41.83972064,-85.70397924,-20.75163013,11.13650304,56.40052247,35.80186174,18.87610278,42.76900917,43.66893256,-5.965463493,44.39274256,-0.762395409,17.03722324,-27.86120103,41.08100051,-50.71791956,-51.8811746,6.121549402,-1.595521515,-47.03910627,132.2889319,69.05788709,49.55744977,59.0257104,-33.52399359,10.91025101,-51.37916004,26.3226783,-6.353901039,7.639369584,-39.80235344,8.929807053,75.54846918,112.0042064,97.22524331,-33.75029348,3.682924051
0,625.7160993,614.4697821,851.501684,573.6157664,-572.5326318,-232.3788915,125.6436868,-219.9554976,-212.6862908,-85.32292308,650.1908761,683.3319397,38.18399866,-129.8233412,-110.7126691,-308.8490174,140.1053511,-149.2296739,-297.9422826,124.1559374,91.279352,117.2411239,-56.566184,-164.5827136,-220.4445494,164.4480091,-228.8265836,-53.68639855,-227.380706,-10.15199126,26.45579572,154.1922771,196.6603193,-163.6413971,-37.35976746,179.1341901,-154.0060562,-94.73103485,-158.176514,31.06075122,180.1491263,-91.98276976,143.037189,-142.4827232,-39.00379994,29.27925038,94.85397157,110.8505047,86.9860328,-177.1086607,-79.43139189,55.07290233,-42.79593399,-43.97619417,76.6655004,-79.59209639,212.4360466,-65.13305858,-53.50349365,56.69735283,-145.7164937,111.4581378,-67.45733671,46.70540946,-8.547518618,-111.4298538,-31.12777191,-1.563660627,-95.81947353,-90.16235428,142.3880443,-12.98993079,11.7455375,66.2668493,-56.5012517,-0.183365858,30.41801968,-120.7581494,23.77841083,77.58578577,94.9306771,-3.031884737,-121.2608935,53.17158519,70.003614,-152.5417285,97.66804091,-105.665196,-35.05113226,24.55453464,28.96423315,37.25688148,24.56578459,-152.3655838,32.3854679,49.13622342,32.91149629,40.67163285,-33.5729314,-40.40918213,157.7751149,-8.946186102,63.6049149,28.04214313,15.42201452,14.78261848,101.2871412,-74.77743254,-22.82617164,-23.53217277,-109.6942913,156.8979704,9.642895682,-51.48168127,-49.28549907,-59.81842654,-6.633394818,-76.73487943,132.218326,100.1225921,8.544739421,182.2848004,26.97193908,-37.30671171,-32.22623349,-3.247716838,-50.63924379,-162.5543745,45.84625815,-88.93344385,91.88725,63.69025693,-65.60041276,3.840360554,156.6783607,18.47581915,-23.84567181,-76.46021159,5.231861958,-79.4920073,13.31704434,72.2861029,24.86545371,63.25543199,-83.03202568,81.15227825,21.81463723,-31.91719743,47.17881851,4.412919972,-16.61126615,-25.98577923,13.86379776,10.05777438,50.65274053,-26.10904715,-31.50236963,64.22061147,-59.98033917,39.06485058,-57.6306804,-11.1745808,47.39281107,36.27976978,-27.85543725,2.876107049,-27.04659058,58.63880828,25.60700087,17.37050471,-59.27508142,-26.32227106,-86.4492046,-50.99667766,4.766146949,27.3776918,-14.90693892,29.46684813,65.54941941,20.0926651
0,430.0607004,279.8684372,479.573196,79.94120229,-72.60729606,288.7651084,148.2724387,-163.2473553,-61.96595753,-109.7084102,343.7668881,925.8919146,112.3646382,-75.85776283,101.953138,166.0773289,-71.56775312,-37.50676069,465.453946,33.72557923,452.8050453,306.7990856,20.56554939,-321.4094792,-187.2010726,-73.73282244,-19.64340252,53.71334999,-10.56967836,138.7313006,-215.4815998,297.5022051,199.7458096,-22.29217123,-164.8171775,70.44677496,36.17174457,77.51898717,-94.70208607,-166.0138677,114.3160645,-16.99914874,223.8071565,-155.3223149,84.75546397,-66.98139835,-228.1129867,382.6802293,-60.20674487,108.9085095,-130.2904447,0.554768528,250.8301836,-21.8155074,229.0861331,-107.5505083,71.47020827,-4.228466938,-178.3498059,-17.47853245,-194.5943671,-3.126062452,-25.17256134,153.9349542,-63.61642807,70.1257796,-189.1159139,-151.7561649,176.9996532,91.14375767,-169.8671428,-154.6830854,41.44481363,94.47779707,-113.3269204,24.47299135,33.95314726,-19.84830006,141.5538816,151.646738,34.35902939,55.06840612,12.23962432,51.62537634,-17.37700098,104.3732009,-96.49811955,5.270040954,135.4401227,50.06464729,79.26538228,-116.7174684,-2.723125514,-35.33592243,94.84121918,-40.91069661,59.35089262,54.75488278,-29.46420629,36.3005064,-18.00010948,-45.40834977,38.44503493,-52.93708971,50.37092617,32.47037314,100.7538108,-105.1215301,-128.3264081,39.62928845,54.60727846,-7.534813752,-83.12462681,61.42911909,14.55456587,18.02144573,-42.89283888,91.72079762,26.96543219,-39.9907181,-17.37005136,-65.63868806,31.72061223,-64.87704036,-41.74238226,25.66019986,-12.93595345,94.92437336,-6.285905264,73.32637732,-14.21840722,-21.36944557,33.63965865,-42.0242558,6.254016221,20.07847181,36.8427332,-39.04821257,80.93359252,27.18912747,-9.83635102,18.12739316,-54.08224371,-81.9369658,85.41117756,28.46103558,38.44981455,30.39885905,36.57313284,103.5942705,70.68866145,-16.11829342,83.28582628,-3.962734082,31.66170723,32.53907,-45.58188321,-7.695266993,-30.60577227,-55.219875,14.04207934,-80.20697036,73.38414773,-32.12103127,-7.787012913,34.06361945,34.55855619,41.83291832,34.6466636,-47.88116574,-1.378522217,-25.78301698,-31.60078064,67.53544432,20.67502451,24.15973593,-29.03888999,5.929650698,-34.46852603,-20.37655864
