pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,f_200
0,-163.1632531,354.2342589,78.83016588,48.72188766,-460.8565991,334.1215028,82.02245633,592.9102486,84.50158663,-72.57758953,-261.0095489,-190.55517,-174.8201585,-119.4657897,-105.177196,105.6276909,-227.0952492,-304.1691813,-165.6180754,-5.699346032,153.6361169,95.32876459,-189.9374308,31.21935544,43.53522011,268.0251163,-15.5833182,-30.91260227,187.0130851,-191.4948548,-69.21464544,36.58175084,-120.5458436,-83.7202827,141.8084247,12.57594619,-17.9369793,43.99111078,-101.109002,-51.0781254,-30.13122774,14.44332813,-34.5801627,97.76571875,23.49553142,-118.6649392,-200.8779578,27.91619757,147.6719985,-192.2159615,-110.4017517,58.53242645,-46.81693577,28.75596264,75.59391301,-181.5050988,83.50743461,-66.79482337,186.4364825,14.26052968,-50.06855614,-81.70074125,-161.9673021,-81.60960859,-1.361624442,52.93570067,-21.17692627,51.87669229,-164.2774106,-190.2014077,30.15495289,67.03723211,74.52593358,-17.26441889,-5.521009935,18.99078038,94.79233563,95.47489803,-37.72218461,68.16116768,-15.51005079,59.12567614,81.92564364,-91.72230384,78.77285459,-13.25875785,-14.14623242,-58.98834766,20.69710843,-22.9824861,84.88639436,-35.76557359,-1.158391151,27.52204419,-1.595094576,-16.53190811,-50.70486044,-36.31394999,-57.71147822,-41.325701,109.5040508,-17.73830032,40.60402837,51.0546561,-68.55203749,-17.44654977,22.31318524,56.59755722,28.67453629,-26.91373645,-15.78064758,17.95218382,3.851598478,59.79579019,12.63642295,65.8054213,-5.559741196,-76.86896424,46.37303456,26.43992355,81.48202163,-7.32509595,28.97412415,31.06519242,69.64453129,128.9710013,55.28092249,55.68565553,-3.519990993,1.762876268,-9.925820449,92.57592565,-35.57220751,-131.1477253,145.3194498,-56.18128335,50.18194856,76.56022758,-39.8649792,44.72445882,12.20474042,-112.9653002,19.94991033,-46.51159096,-112.7796743,-30.86656697,-47.03305332,-55.54262585,-49.10562529,38.77939584,86.92439706,13.3492989,81.4959339,46.17118698,-29.07992832,-24.77857129,-12.37818443,-65.92197664,-40.08708731,-91.82444416,17.06615205,-17.73076892,57.37655115,-38.54880823,-45.10373876,-25.24398926,-14.08323468,7.208112305,38.4610787,11.20046862,54.60933156,16.57119372,38.03499829,22.61937231,-25.40920786,-11.07641655,29.00108553,54.08758201,-6.003705343,43.07316287,51.13570605,13.05935813,-16.6083651,44.23100918,-47.71661826,-0.245323059,22.33258121,20.66572737,15.77490587,10.88153618,-11.05647189,-72.2052106,-51.2403149,12.8441917,-2.015380803,4.83204925,70.70053571,-6.976571251,36.04571553,70.04410523
0,-124.3306682,-89.49909832,1014.215066,239.6220165,263.7988187,-211.0105556,396.5260095,-196.4924677,-606.5097166,-20.66076409,-85.40915966,254.9928167,-290.1796336,293.6540677,-63.04985477,-76.93234189,-153.0859698,138.4579004,534.655062,-102.8185267,499.5874619,-116.9608074,-354.6629528,-238.6951612,-211.953867,478.5656828,-320.5363025,-203.0179816,68.37705538,-10.54934253,-294.5317473,-303.2869609,-28.68517181,70.91414079,21.73671032,-93.80695809,73.24937013,124.3769058,-135.4569214,-94.29801693,28.89385394,-156.4002886,31.88617238,13.00393615,53.01718439,-140.9761062,48.58631608,199.2219814,208.4215941,203.2076564,94.33317817,-67.89105508,-57.66925663,114.7762568,-135.2129029,53.60538159,79.91445306,-120.6078172,32.71510517,-129.535215,191.9783522,-70.61294397,204.9926874,-1.876854724,-251.3144867,60.28400424,73.33280872,82.58163437,-58.98344468,-8.04270604,-124.5001933,6.138240889,34.96869851,-16.92297678,3.473615104,-5.866589307,202.0676269,68.55057952,-113.2112435,-113.138058,4.892419384,132.3677307,-188.5271884,55.0358501,-18.47938481,111.1053411,154.9558993,-6.238933158,-62.77824769,-20.12261007,32.37045576,-159.395507,-43.37991733,88.73581248,-6.984543124,-15.52662931,-0.837130929,-80.49935517,-62.11544343,27.86042243,-92.52662641,-90.90399326,137.4382987,-105.5664772,-62.91460145,27.26658684,74.66391265,14.23495877,131.1967997,103.2544393,67.4028448,103.5240768,-28.30171025,-92.80383559,79.62182348,-23.17947966,-86.97652426,55.07629543,61.30317968,36.89694747,60.02477415,27.85450257,-109.2504151,72.84206376,-16.16692549,-70.69094938,-13.25284568,85.43302648,137.4214375,70.55238073,20.22672521,51.11545724,49.72333036,61.5585649,-10.36117584,41.40584452,-3.28653667,-9.78223876,100.914339,-51.13303102,-73.65505233,-65.2782857,-66.48116582,110.6628492,-70.22260112,-9.839714599,-71.22568093,8.873320708,-37.01401766,27.38714415,-21.50879766,18.22783449,31.92962061,58.72975332,-12.9048432,-10.35460799,-19.54234707,0.91681083,-52.72142548,-97.75475533,15.59011402,67.46561418,24.95172229,-39.92216341,-0.274627851,-39.71089416,37.32926845,-36.01346745,-61.55709449,96.45248222,-25.22430154,45.25294522,-22.60005855,68.07005536,22.21250183,73.77866881,22.30639957,-27.40294602,41.20780474,28.28100658,100.1390994,33.21748942,3.33674566,-49.58368328,13.86129592,71.53174112,-43.65416846,-62.26940991,-38.85383133,20.37749224,-22.67984754,-38.86820662,3.064774001,-21.1998089,43.74562892,-0.856781614,-2.289911281,12.50089004,-28.34680981,18.82862143
0,-448.9330977,-12.16479844,739.1093151,-243.1650439,90.72833215,44.89217793,-27.74663359,-279.6878519,131.1586859,74.91857802,108.1832972,237.1803806,-78.5570545,-281.8262457,-80.59384663,-33.51604975,-73.66652422,-123.9578998,127.3604906,-28.88558424,-16.97541236,-186.2946675,138.0964972,53.32152693,134.7280896,102.2596099,185.5007177,-9.017525692,227.3288475,-130.0292576,-6.506994287,34.46181117,-33.56753414,98.95637444,4.691015763,198.2646165,-141.7532201,-10.33085147,-28.89771286,33.58986186,58.19214644,251.2349815,84.06660231,-7.120763519,0.434066267,14.42856897,74.96162352,-13.73593467,-97.77341082,-54.02126551,-34.88487098,78.67187231,76.29819163,125.8090448,-111.3383639,-101.530378,80.40424947,9.482653277,47.98648197,48.84269532,-72.64600136,-73.6246528,24.85124763,-57.06617257,-22.86997469,-78.34159979,-87.47923845,72.48409077,12.01787669,-1.234158838,55.93226469,46.80233212,-25.2424751,31.21771957,-33.24630424,-62.10238077,-53.12375019,7.553379641,-9.107562781,-95.72116318,21.6951679,-48.61003661,-1.906222315,-52.4407217,15.43821532,33.00278523,-67.37562512,30.12242495,69.18989128,28.97915368,-29.23729742,-27.43908197,-23.32313816,114.2572389,69.69667393,20.56540832,43.70832289,-18.34541564,-13.45371956,35.80427163,54.88790196,-82.59879921,-73.24226379,-58.12155407,-5.345013471,-8.151457522,33.16067708,78.76349097,88.77845709,-109.3732731,-109.9058024,33.18574502,-3.861504235,-69.67313048,-56.47490417,-8.083593617,19.03989694,-8.850411344,21.84551005,-58.83756403,-88.43310421,-55.34707364,-34.22462602,-39.75703129,28.06701172,8.769699997,2.657442903,42.37434157,28.07430746,-10.59955215,-29.3998399,7.851038713,-16.93618599,-72.68561726,30.65932346,13.65742478,-27.51246686,-13.58107945,33.3475757,33.52366456,17.32481954,-14.95126976,42.83076172,12.47885702,24.08987106,26.16676721,36.64016876,-37.55250034,10.23132534,63.29115176,-8.436903526,-27.9128694,-26.34372586,40.68137973,-36.90499015,12.36339517,-88.73551153,-1.440688087,-0.96138697,47.53185304,18.05196759,18.41844426,-38.95096977,-8.154883118,-45.08520716,-7.029260921,12.68152732,-3.287808094,-0.938859819,20.77708566,-0.585054835,4.00995156,0.973191927,-8.426752762,4.964154307,35.34390781,-17.63145984,-83.07311632,33.75968607,24.03323887,31.65924513,8.394781223,36.79975332,-46.20285278,24.97337417,6.436981431,22.49767406,34.99041106,57.60816342,23.76659401,-28.72813325,-7.175770917,-5.5332881,25.93877286,47.06015554,-37.57966548,-15.22783636,-84.78392735,-4.997350801,22.52572058
0,384.3449173,691.0277677,47.59294161,681.4864194,-232.117814,-270.9952061,489.08365,-288.1050235,-13.79382997,-559.5538532,13.77604991,-12.16303732,-77.5128682,123.0182764,-157.2709199,67.61198215,-110.0210048,-339.5037945,161.6026158,-70.91503076,368.9658979,-198.1716926,-318.8806982,-180.7620099,-215.4907376,-367.4071931,208.0187386,91.38943668,-133.0065325,57.12114799,48.55826472,-13.12937356,-10.55990508,168.0185432,143.8641971,-24.82702675,-190.5292314,76.64585462,-72.52559309,-21.84305363,157.1773109,-7.614036345,-10.12038742,99.35922037,45.93814938,127.6032524,-165.8385591,145.7852767,12.66816617,-4.145654657,-27.23247808,138.5077911,-13.71384355,-152.0253006,41.34714157,148.9512628,5.976712158,92.97421857,-139.5743129,33.17322153,-48.45624395,-166.5028682,60.67492063,50.9597548,-21.02009647,-194.9860543,5.592106648,67.40428651,-3.830516374,97.87262591,-100.2284697,50.02824325,107.3044767,-19.31312019,-37.68084338,6.310684361,-111.8830549,37.36812479,-31.31238025,-44.47036336,-42.13477603,128.152942,37.64001429,-26.02986662,48.49342234,84.03390943,-30.33664589,65.40533503,-119.8012241,-74.41599857,15.17197037,5.107731816,193.037526,27.5732198,48.17980026,51.46624578,-28.06594249,-103.7048457,53.2614815,-83.74449094,-64.77954137,45.71787748,123.9084926,100.9647549,26.72266339,-4.19559987,-29.69148903,-40.30687169,-10.06734139,69.85064361,-33.20382783,-32.48222922,-26.9293174,72.91343621,-54.08761516,14.85810556,1.815003767,-8.146392369,66.82849102,47.58424094,-20.80641438,-10.57800288,49.9983106,6.346598754,-20.99733576,-52.38350822,23.95088634,39.68028714,-28.2684763,44.44450825,-71.38793602,67.0486083,11.81372129,-46.23285801,12.57021956,-58.5621349,66.66335334,124.0063888,11.73295724,60.97416733,13.01348815,56.42062991,-41.30966483,-3.688429272,-45.52727407,-43.39762132,-22.36361887,37.72329489,12.23611819,67.43290149,-17.83854933,36.96586617,-48.71896896,-112.0560034,120.0997146,-22.37829474,-29.22748081,20.05829524,-10.72133505,-28.63462999,-0.476126377,0.960213866,-8.713984331,60.29751168,-33.27378085,65.45031588,-63.09732297,-32.18278858,-26.96379109,56.03110196,4.846326529,45.94330105,53.77925296,31.64339527,-8.281828227,-8.071247159,-3.942404379,29.55904094,54.3619513,-32.51667371,-102.4349811,-38.68523733,-29.37235099,-25.00860164,-42.79408015,-14.45172404,32.37293388,25.96430512,-58.7269149,27.63194275,60.67088131,1.416146824,36.51310243,41.81538287,78.96896702,-37.84525976,38.77434892,-41.88201685,14.04758167,-23.88653874
0.007,831.123683,274.0095113,110.8759797,-527.4591334,-350.0018287,-367.0134386,-115.5512262,313.2774415,30.4221679,62.39837263,-61.86862645,225.4295716,10.02922645,-119.3134083,322.0643584,-312.7190277,-239.3078486,-162.3129333,176.8722394,109.6457816,-92.03830411,103.097639,101.8307219,-79.1838496,49.25637091,59.85145515,-2.398602897,-81.66387941,-88.32688152,-55.39248944,-106.2149062,-73.7544074,-117.7540525,-82.73766976,-245.9197775,115.7935338,121.4945788,34.05118785,-64.01015222,150.0908344,1.745134914,-41.84455269,108.6344931,109.5693391,-102.5663338,68.96412193,31.85983837,76.76151272,6.870084074,-17.38764183,-93.24881658,-144.3255318,-30.36937806,52.24836885,-19.8416459,47.21552813,10.15989257,24.31928859,52.80647843,60.15603526,71.65693086,-75.47037783,-169.2941937,-34.16916058,-6.682218836,9.214910556,7.173039649,71.70628526,142.9173791,14.59683149,-1.842254735,-52.43865311,-35.90930928,-195.5413606,102.7264771,94.28563316,-58.68520817,-5.729932074,8.524763715,-24.71680385,-61.37947444,45.83626801,-12.01872597,-121.8702673,-75.04375006,-140.5906677,-18.66871743,-126.5454209,81.30494272,-69.65267195,91.47855423,-32.4807497,11.51514162,-76.95474728,45.46267084,12.43773064,-40.74611753,12.93325336,58.45052187,34.62714282,-47.29486822,33.00648639,52.1868542,-27.24875488,22.11896252,-30.22031839,-13.44495849,-4.793747612,23.35383628,12.67333546,-22.97180587,-63.77850873,-26.37579476,-50.99459327,60.50343567,-43.71856625,103.6788284,24.49433106,56.49989652,-38.52997608,14.80075898,-2.916053004,48.48120877,-27.53676992,20.0418799,53.57610299,-85.62229304,-38.52643373,28.33770216,-34.2632501,4.532673938,69.35374096,-40.18483819,-49.04612113,-7.288245992,-80.12668846,-37.89752874,75.84709603,15.55000497,-7.952992753,-26.54697484,22.85696617,-25.57737667,76.72788479,45.6885778,46.13750593,-9.991247985,-28.2423061,-43.09780369,32.49859081,-8.547151164,-26.42865386,-12.77536572,-50.39579919,2.487827377,-34.38770512,-93.32154909,38.04559476,46.92459869,-44.20669051,-66.41103836,-30.69204551,2.85868665,-16.66002389,2.561988419,-6.008302976,-42.59103499,-51.28642577,-2.558158238,42.22348431,91.65291943,58.01036478,-3.060172204,-6.471410922,-12.62947951,-0.281914194,19.54120653,-37.0992119,12.70359027,-59.40476232,-16.65332498,72.19018987,-15.8879654,-4.806059975,25.84652921,-73.71968845,-22.33418963,-13.49007573,45.43278576,-48.0620538,3.744950498,17.66570317,-29.93619819,7.077903429,-3.609333247,14.64293994,-52.42873463,-28.06087428,6.406109169,4.162519995
0,-586.3627329,32.56654167,631.6109442,-189.7761996,174.6472573,132.5256024,-100.7757079,-401.4323484,105.2914745,48.6637977,-7.925872814,254.2560218,-133.6005527,-392.4163574,-83.13437042,-10.67860836,-12.97915101,-182.2265131,159.836354,-4.716018364,-111.5906488,-192.3591489,130.6556492,135.3299598,136.7450062,142.9803085,118.3666062,31.91791945,226.5719568,-96.02922119,98.07374814,26.85294841,-132.6368223,88.27550501,15.877531,209.0947928,-32.1994876,55.0146593,-34.2040569,25.91526153,-5.245267748,297.6359662,91.89631789,-111.283459,44.70009851,28.0336722,49.75614539,20.69739613,-112.6235337,14.78712633,-41.4997217,148.7211701,56.22042793,53.76373829,-66.60022639,16.40976427,107.1982468,-34.56926132,30.18523222,58.17745139,-13.20098541,10.43226991,-27.08523043,-37.98108236,-60.52015172,-58.13290386,-25.36914662,-22.9711161,43.93978667,4.800036444,90.01152374,10.92084025,6.019939268,-34.19744058,-33.49986696,-63.72729526,-32.34699646,-59.84750413,-53.75616486,-95.05240703,5.627173479,-97.01825247,66.97696996,58.05495327,29.50792159,-4.630838226,-4.818120429,-55.07402427,-31.39736209,69.10070638,-24.03209589,24.51813572,23.95822862,7.648580084,-2.38908749,26.29357125,18.79198373,-47.83221221,-25.86728697,2.122143356,-14.83985843,6.433948586,-12.54510653,1.739888316,30.52428313,-42.52709694,-43.13146745,58.43080615,40.35758818,-71.81390464,8.618532491,-28.46884536,-64.21042084,17.41573972,-21.22276049,-10.17799982,6.610007961,61.45820743,51.44132298,-70.64733453,35.46055992,-90.52201242,-45.75733619,4.264915578,50.25607584,-4.592598648,26.06729556,49.43770027,-73.81230442,-12.48214055,-42.2546609,1.75261875,9.783615624,-27.57006972,8.926311239,21.65534178,-42.0308928,-10.73324025,-39.07727451,12.57256383,6.447135499,-92.44578716,-85.92937949,65.16547301,-59.51679683,5.047394266,-45.60125591,70.23860268,50.09182098,54.28672268,-64.79728011,-25.06421352,-66.07434775,-33.31787784,21.94155286,19.06462518,-37.40115247,-20.58455747,-51.51320991,44.8552677,23.83303891,-5.561355558,-31.38823973,-10.58102951,-0.547973829,-17.8797375,-12.19466915,8.820262517,-19.830246,0.33971421,-44.36358743,21.47791401,26.59073526,-1.333091019,-11.88372449,-11.88262236,89.81407961,-0.798213414,3.1205535,42.89961205,14.10189353,58.91572468,-26.05743652,-31.72067816,-23.27065064,-31.87665743,-62.78754751,-22.55268626,2.390889759,51.31355083,-7.635429084,83.06556174,24.2388224,35.62158088,4.509119874,-42.24797271,15.41442328,-8.555604003,19.9731411,-2.985427223
0.001,-29.91788352,-188.4817134,198.7354868,14.08647575,-390.9031315,536.2598631,-196.4216848,592.1433113,-73.27412898,86.06168909,25.17169034,433.3912774,87.09246758,231.7148315,164.4016024,-256.2953362,236.3260387,109.4113465,-72.70333389,44.26721887,153.2202503,225.0348236,222.5557043,-20.8138642,207.3481807,200.1197454,53.02989672,7.578166661,-102.6494535,-178.7908383,-104.9157305,-14.13690951,58.87305003,-104.9786832,-77.40480474,-59.86415208,53.99758284,-131.0181809,-21.36467362,-124.806517,-12.63561369,-86.33852281,73.21056335,49.22101542,60.22695129,147.1400392,65.88635345,-38.97199011,-100.7880968,30.34272935,-60.42042428,-86.52217737,-79.26956093,-39.42231159,66.52556549,108.785755,-137.3972045,-81.11240491,70.50128222,54.47925141,124.2591043,-102.1541467,75.04023845,-55.38491757,-67.45068448,-30.97344674,-80.53414048,-40.26501004,14.33178721,173.6774793,-102.6178111,58.40135395,-35.24507613,143.6028439,-27.7879125,-113.3175363,-145.3784316,73.21717581,-36.02044647,-18.65790001,19.59295639,55.49420458,8.793503322,-89.9240533,-61.31504416,-23.48526427,-114.3339025,-68.06025856,97.65197983,32.06037767,93.76867274,95.01106364,-4.365344083,-135.9369021,-93.97953104,-31.23934142,-31.56213563,-59.99670928,2.284840247,-27.83433503,-2.661294754,35.13788343,-36.62596915,1.524255083,2.053144695,-88.36690895,-107.291097,-5.973094293,19.41434117,27.37837605,44.60211095,-28.87616949,-94.12366038,16.29657015,-23.34729596,-45.66417104,1.68369344,-1.830920203,1.175506828,-80.21982935,-102.263774,40.32308774,-31.02640005,-35.73799096,22.57673076,-47.80858553,-1.738457112,37.66500417,-27.70016814,-22.28139722,70.82530815,46.59380389,-36.71810802,5.879907407,10.98720965,46.17696563,-30.03261543,18.85818086,-3.292151154,-53.89813419,41.77618783,-41.62908097,-37.97587738,24.76051448,-25.51676063,8.495775229,-9.013412642,46.22799544,4.269530295,-5.672176984,25.13404927,-57.71682829,20.71295636,7.103968891,29.2253116,25.95308773,89.16205631,26.4979988,-48.04081153,52.53106368,61.09663775,-21.7200101,-29.22369975,36.72985931,21.05808375,-39.30371264,-29.66793409,65.65811199,53.1884796,7.768528454,-33.33745563,45.85331309,-9.963104441,123.288101,76.08986386,-15.54894268,29.17097234,45.34842077,27.89466932,34.62325939,-53.42503114,-19.08201954,47.38509268,37.47588339,-30.9063635,-43.6420857,-33.43648979,-7.652022743,-14.19554817,32.77500984,23.95074042,3.584587482,-27.19543438,57.18320826,32.9653729,7.308238179,27.65843406,-23.98925256,44.36237397,73.58339936
0.007,388.7566259,444.2204411,80.1077239,-239.8048819,-391.356335,-232.4568143,229.9000432,-474.9077376,-95.93145321,445.8967475,-75.68686198,145.8233116,-540.1369544,-167.4623759,34.22688314,-89.19371177,484.368144,134.7132447,263.0014809,-183.0154754,-96.60953935,177.2808211,50.06834735,-8.430486472,76.93995483,19.97223141,-73.90147671,-250.6898248,60.63174474,-382.296441,-160.4200314,-155.4815013,122.1878502,90.76112904,-234.8417018,173.5355042,-150.3739049,-53.86867084,254.8279443,265.0636749,-68.49550145,-81.99845375,4.719536536,55.47927198,207.1400828,215.0754073,120.5968744,4.17356787,136.332839,0.594318211,208.8284465,114.844857,321.4379517,63.24559635,-62.9363836,128.93849,-164.7968697,-146.4215216,272.2708518,-14.61732313,-123.3894393,-76.52130246,3.438051267,42.67760648,51.83980529,-5.409573969,24.42620515,-82.98556654,29.14488305,66.97426068,109.0179862,-58.04821823,48.65175016,125.6158154,-71.25059544,66.55371071,-4.718352198,138.3006718,75.18436197,6.377634236,76.20361792,1.187044903,127.820729,-82.12733427,-59.70405519,126.5548352,25.52248735,-20.24614716,11.45356438,-3.130183478,-69.0916293,98.54530362,48.38967428,-98.86145324,-102.3297512,22.55684113,-118.3176073,62.88487551,39.54117789,-98.8897982,94.44965172,-47.56614667,-53.36130338,90.40990682,-2.39603206,2.184718937,25.22167694,66.95392078,-41.6669711,-27.84624257,197.4048351,35.52736281,18.54235818,-70.83919866,-87.13372402,-56.22107303,61.09536488,94.40118513,58.20478302,71.94669521,-0.556692341,32.03686888,-36.31863332,-34.05720171,46.2208104,77.8115381,-25.20456407,39.23521771,-69.541598,63.02871723,-50.65613968,35.21102264,43.71934832,-45.23769365,-86.83798209,-11.58557148,62.73057376,9.809863307,-16.97636689,59.87941215,-24.15595223,103.8957424,-24.84998514,-37.28437269,-85.86739281,-19.29556909,9.627007503,51.24481921,-32.85760803,10.36233247,42.12998805,28.6152591,-21.50695524,43.90814483,-27.55718711,-1.734480527,4.181417196,-55.75039158,-47.955548,-54.5160761,43.7214836,9.080378489,36.48120354,148.356169,32.11793474,24.50127579,61.02864132,-26.49273485,16.46548492,-58.98332162,31.69603696,-14.7122363,-26.86977343,18.60058897,-38.37773706,-9.390201431,152.8463544,53.39291136,-33.89343117,4.391867682,-32.48954412,-22.38104149,-40.94671571,-8.613649838,1.056003495,-2.302521437,18.47921256,12.94710649,23.75037753,-16.31921321,11.11194442,-14.87854628,53.82734046,-10.74589748,-32.71603764,-29.91105127,-7.503271208,-15.14519638,-4.60352432,-26.67945075
0,625.7160993,614.4697821,851.501684,573.6157663,-572.5326318,-232.3788915,125.6436868,-219.9554977,-212.6862932,-85.32292397,650.1908787,683.3319416,38.18399632,-129.8233377,-110.7126615,-308.8490192,140.1053332,-149.2296647,-297.9422662,124.155921,91.27936027,117.2410931,-56.56613684,-164.5826824,-220.4445775,164.4479038,-228.8265821,-53.68609957,-227.3810659,-10.15210655,26.45609684,154.1924059,196.6604979,-163.6412322,-37.36090305,179.1342182,-154.0063728,-94.73219904,-158.1771129,31.06097198,180.1497123,-91.9810325,143.03791,-142.480893,-39.00564805,29.27557777,94.85450438,110.8485004,86.99150691,-177.1084374,-79.43174808,55.06939997,-42.79561597,-43.9791771,76.66863282,-79.58236086,212.4345161,-65.14289729,-53.49535279,56.70470996,-145.7161959,111.4479833,-67.50544707,46.71168991,-8.540474264,-111.4325425,-31.14209766,-1.552880435,-95.83890636,-90.18167633,142.3801847,-12.95438281,11.78204115,66.24920311,-56.52689038,-0.160784871,30.40051061,-120.8065542,23.8307778,77.61714822,94.96833122,-2.915767317,-121.2292327,53.22510663,70.0825987,-152.6057121,97.58294953,-105.7039269,-35.0931062,24.59987355,28.8646814,37.30687064,24.73508364,-152.2420628,32.43931426,49.02327577,32.82850889,40.68948923,-33.7015677,-40.3526054,157.6885472,-9.042778837,63.6203673,27.97573867,15.5788928,15.2838923,100.9179278,-74.55499127,-22.84899548,-23.574999,-110.3904619,157.6508859,8.775182481,-51.56732739,-49.23590495,-60.49590717,-7.449716766,-76.42952339,132.0009031,99.16638444,6.462823764,183.2774578,19.34752954,-35.95080973,-29.81199008,-7.32646497,-50.97005164,-163.0992048,-44.94933786,-89.10862107,88.97424959,67.80147143,-59.95723157,10.88848945,155.2273161,34.18527146,-21.89772689,-75.03425637,5.260472582,-83.82705351,16.17178449,71.24310086,31.16903776,62.52873727,-72.92737659,85.71386939,23.12250586,-34.90503303,-48.6155957,6.946017426,-12.7558124,-27.75212349,18.16432172,30.146037,38.65826492,-32.77559172,22.49844493,-66.49483257,-64.79614323,25.19950689,-33.60594747,-52.07943006,-48.85127308,33.71030865,-48.36704488,-4.715984195,-48.39768113,54.99506623,-39.98652567,-6.755751881,-63.75775877,-90.17932549,25.43782204,30.5357457,-29.77148256,25.59394649,42.86821181,-30.32856166,-53.46376165,22.65350831,-33.79008906,8.755061878,27.9756103,9.722711958,13.82994607,-18.13056163,-46.11364974,9.871433781,23.7125928,21.02699824,85.62617656,-11.29856914,9.436337056,-41.13389186,-22.92108388,52.09321389,35.44594003,10.07564599,-10.15699929,-25.10833622
0,430.0607004,279.8684372,479.573196,79.9412023,-72.60729607,288.7651085,148.2724387,-163.2473551,-61.96595704,-109.7084095,343.7668871,925.8919142,112.3646357,-75.85776418,101.9531365,166.07733,-71.56774645,-37.50676288,465.4539442,33.7255872,452.8050599,306.799126,20.56557872,-321.4094602,-187.2010665,-73.73286684,-19.64337811,53.71337401,-10.56944204,138.7311636,-215.4816253,297.5023457,199.745619,-22.29205441,-164.8167915,70.44686634,36.17174928,77.51929628,-94.70207585,-166.0128726,114.3157803,-16.9991979,223.8058036,-155.3220736,84.75691008,-66.98139683,-228.1132632,382.6807653,-60.2103666,108.9067109,-130.294529,0.554135646,250.8299301,-21.81144543,229.0883491,-107.5496892,71.46564227,-4.225398842,-178.3519911,-17.47821258,-194.5849249,-3.122804616,-25.16249583,153.9321267,-63.62963948,70.1186474,-189.1019708,-151.7644269,177.0045538,91.15290958,-169.8608405,-154.6904948,41.41267529,94.49743432,-113.2943949,24.48251593,33.98973964,-19.83028811,141.5563904,151.5853838,34.3513601,55.05436495,12.25421361,51.59466811,-17.45562679,104.4100346,-96.43367855,5.265026959,135.3565861,49.98550206,79.25952269,-116.7924904,-2.807618374,-35.40805504,94.79601851,-40.8706303,59.5222048,54.78153893,-29.50924377,36.25059,-18.0980828,-45.43786293,38.52270799,-52.96295882,50.3849884,32.21963511,100.8040392,-105.2425729,-128.2029498,39.74076755,54.85039857,-7.691942284,-82.49779994,62.06352638,14.39399954,18.37489014,-42.77723598,91.00083762,26.80615223,-39.3395324,-16.23052443,-64.01180933,33.1420625,-66.02503399,-45.65690419,24.10042178,-12.29404431,95.80885975,6.20785199,73.81050314,-12.78169465,-21.4204002,28.60064,-45.52334082,2.500952319,21.02671954,37.47534383,-38.6523735,81.61558803,32.69282589,-10.58476083,22.70229717,-53.49416936,-82.07871586,82.65859516,23.94911147,40.53998251,37.22976183,-35.24172072,93.86895825,84.54032833,3.513299672,78.47270196,3.699730781,28.37990503,0.290558829,-48.13204761,-23.71385774,-28.2923976,-53.03184939,18.48108077,57.47899222,-85.73691112,-15.30665251,-16.13093099,43.13345805,8.474781591,50.72312779,-2.534170275,-61.17230297,-6.588914125,-33.29387342,-10.80790415,-59.91249527,13.37807092,-54.65880955,-16.26328724,12.11865546,-29.75388391,-37.0548028,21.50420831,-18.06412241,-7.679639941,34.19225968,17.4042125,10.80646023,60.37214415,-36.62579726,10.57151516,44.67356889,-48.09437396,-26.65190367,-15.33724376,-2.774211127,-11.37617613,6.645044547,15.17317594,57.28820483,-19.54120198,56.16129129
