pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20
0,-163.163253,354.2342581,78.83018092,48.72184467,-460.8565794,334.1220406,82.02314873,592.9086059,84.50683886,-72.55708678,-260.9695109,-190.4736047,-174.8817518,-119.2860176,-105.0483652,105.3854577,-227.1693001,-303.6771996,-166.0939985,-6.361259082
0,-124.3306683,-89.49909968,1014.215092,239.6219001,263.7992872,-211.0075393,396.5292101,-196.4610085,-606.4967473,-20.62527768,-85.28335668,255.1554307,-290.0948323,294.107888,-61.58850703,-78.88797253,-153.1543204,140.7884542,529.5278577,-96.4529372
0,-448.9330976,-12.16479877,739.1093393,-243.1650938,90.72831919,44.89223095,-27.74655235,-279.696082,131.1650141,74.93979028,108.207585,237.2497898,-78.66417016,-281.6903612,-80.72599295,-33.43817765,-73.57007924,-123.5990899,127.3959059,-31.82368362
0,384.3449174,691.0277677,47.59294273,681.4864382,-232.117856,-270.9957564,489.083292,-288.112843,-13.7907698,-559.5525345,13.75519248,-12.18665675,-77.58084106,123.0211491,-157.6761792,68.11577934,-109.9097891,-339.559201,162.5798048,-73.46503427
0.007,831.1236829,274.0095115,110.8759857,-527.4591861,-350.0017665,-367.0126338,-115.551078,313.2834841,30.42243177,62.3981066,-61.84202673,225.4773472,10.03134413,-119.2637184,322.3814156,-313.05254,-239.2260698,-161.995076,175.568355,111.4532533
0,-586.3627328,32.5665412,631.6109591,-189.7762485,174.6472041,132.5258446,-100.7757979,-401.4395774,105.2931297,48.67529704,-7.90785711,254.3196094,-133.6955,-392.3286438,-83.15972037,-10.68781095,-13.03373106,-182.1501443,159.6657121,-6.973012338
0.001,-29.91788353,-188.4817134,198.7354933,14.08646764,-390.9031127,536.2596917,-196.4216983,592.1414488,-73.26911077,86.06897682,25.17467576,433.4084857,87.07868003,231.7211804,164.3179212,-256.2797666,236.4445395,109.5852293,-72.37578039,44.83045452
0.007,388.7566258,444.2204399,80.10777218,-239.804987,-391.3562506,-232.4565283,229.9005073,-474.9191604,-95.90597235,445.948504,-75.62036401,146.0122901,-540.3493315,-167.1648941,34.2814728,-89.29366084,484.6644759,135.7140061,261.9041947,-185.3911243
0,625.7160992,614.4697841,851.5016832,573.6158101,-572.5326889,-232.3801216,125.6427994,-219.9578031,-212.6928577,-85.34066244,650.1523257,683.2176492,38.25027726,-130.0049946,-111.1224593,-308.4190972,140.5738537,-149.4479273,-296.5658953,124.2079599
0,430.0607004,279.8684388,479.5731943,79.94122844,-72.60721194,288.7651337,148.2730713,-163.2314455,-61.98129411,-109.7235174,343.7673638,925.8055473,112.5637039,-75.95405424,102.30704,165.5806787,-71.4414264,-37.60356166,465.2804362,35.21874524
0,580.7879548,616.8122312,272.3308795,353.4824292,-332.3373228,-138.1114379,142.5514946,-336.7304982,-183.3228964,-615.4322634,423.972299,-11.67550316,466.2910487,30.73088752,-156.906447,-331.0148532,124.4210931,88.1249238,-93.17057692,-19.30989006
0,-608.1292504,-259.8881548,515.4370376,63.12952201,-103.9823692,166.8350783,329.6244665,-299.2146295,132.8128794,299.7653908,1.962186177,94.66240358,-229.528172,-168.1691877,189.2818244,-140.7366291,-99.32632515,-117.1934767,130.2298017,39.03339249
